"","ensembl_gene_id","external_gene_name"
"1","ENSMUSG00000000001","Gnai3"
"2","ENSMUSG00000000003","Pbsn"
"3","ENSMUSG00000000028","Cdc45"
"4","ENSMUSG00000000031","H19"
"5","ENSMUSG00000000037","Scml2"
"6","ENSMUSG00000000049","Apoh"
"7","ENSMUSG00000000056","Narf"
"8","ENSMUSG00000000058","Cav2"
"9","ENSMUSG00000000078","Klf6"
"10","ENSMUSG00000000085","Scmh1"
"11","ENSMUSG00000000088","Cox5a"
"12","ENSMUSG00000000093","Tbx2"
"13","ENSMUSG00000000094","Tbx4"
"14","ENSMUSG00000000103","Zfy2"
"15","ENSMUSG00000000120","Ngfr"
"16","ENSMUSG00000000125","Wnt3"
"17","ENSMUSG00000000126","Wnt9a"
"18","ENSMUSG00000000127","Fer"
"19","ENSMUSG00000000131","Xpo6"
"20","ENSMUSG00000000134","Tfe3"
"21","ENSMUSG00000000142","Axin2"
"22","ENSMUSG00000000148","Brat1"
"23","ENSMUSG00000000149","Gna12"
"24","ENSMUSG00000000154","Slc22a18"
"25","ENSMUSG00000000157","Itgb2l"
"26","ENSMUSG00000000159","Igsf5"
"27","ENSMUSG00000000167","Pih1d2"
"28","ENSMUSG00000000168","Dlat"
"29","ENSMUSG00000000171","Sdhd"
"30","ENSMUSG00000000182","Fgf23"
"31","ENSMUSG00000000183","Fgf6"
"32","ENSMUSG00000000184","Ccnd2"
"33","ENSMUSG00000000194","Gpr107"
"34","ENSMUSG00000000197","Nalcn"
"35","ENSMUSG00000000202","Btbd17"
"36","ENSMUSG00000000204","Slfn4"
"37","ENSMUSG00000000214","Th"
"38","ENSMUSG00000000215","Ins2"
"39","ENSMUSG00000000216","Scnn1g"
"40","ENSMUSG00000000223","Drp2"
"41","ENSMUSG00000000244","Tspan32"
"42","ENSMUSG00000000247","Lhx2"
"43","ENSMUSG00000000248","Clec2g"
"44","ENSMUSG00000000253","Gmpr"
"45","ENSMUSG00000000263","Glra1"
"46","ENSMUSG00000000266","Mid2"
"47","ENSMUSG00000000275","Trim25"
"48","ENSMUSG00000000276","Dgke"
"49","ENSMUSG00000000278","Scpep1"
"50","ENSMUSG00000000282","Mnt"
"51","ENSMUSG00000000290","Itgb2"
"52","ENSMUSG00000000295","Hddc2"
"53","ENSMUSG00000000296","Tpd52l1"
"54","ENSMUSG00000000301","Pemt"
"55","ENSMUSG00000000303","Cdh1"
"56","ENSMUSG00000000305","Cdh4"
"57","ENSMUSG00000000308","Ckmt1"
"58","ENSMUSG00000000317","Bcl6b"
"59","ENSMUSG00000000318","Clec10a"
"60","ENSMUSG00000000320","Alox12"
"61","ENSMUSG00000000325",NA
