	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL
ENSMUSG00000051951	0.0540371599948098	0.0640216151422089	4.92742312588537	0.0129929201342345	0.98963344129942	NA	Xkr4
ENSMUSG00000102331	0.0540223436348516	0.049073227820653	4.92768185620347	0.00995868427643611	0.992054250907269	NA	Gm19938
ENSMUSG00000104238	0.0886922760104149	0	4.60054143553992	0	1	NA	Gm37587
ENSMUSG00000098104	0.419244861651436	1.0335977255438	1.55087530079232	0.666460885034244	0.505116557175678	NA	Gm6085
ENSMUSG00000103922	0.425480906516771	1.01086919451496	1.6179098531485	0.624799455017706	0.532102688416914	NA	Gm6123
ENSMUSG00000033845	350.392680852995	-0.281814372936587	0.0679408042892709	-4.14793989980909	3.35480434204534e-05	0.000679232988704523	Mrpl15
ENSMUSG00000102275	0.0583629689562907	1.01085824440788	4.92768185620347	0.205138698866143	0.837463761984184	NA	Gm37144
ENSMUSG00000025903	247.924862982279	0.128592535163894	0.0735626488476892	1.74806830882536	0.0804521998171162	0.262490841787412	Lypla1
ENSMUSG00000033813	110.432748287128	-0.123035378877111	0.134461647632512	-0.915022097701572	0.360180029494258	0.626725811015479	Tcea1
ENSMUSG00000062588	0.113688091128049	0	3.32442907561924	0	1	NA	Gm6104
ENSMUSG00000002459	0.563001140948333	-0.896660030052503	1.17795571463179	-0.761200118913457	0.446537547244866	NA	Rgs20
ENSMUSG00000033793	153.331022062969	-0.0270202828129616	0.0806087545475466	-0.335202832057452	0.737472085823079	0.885445769980918	Atp6v1h
ENSMUSG00000025905	0.171464865297551	1.01086693176316	2.66354061281929	0.379519999394035	0.70430175580931	NA	Oprk1
ENSMUSG00000025907	122.480951516593	0.207606612032656	0.0832170929351362	2.49475924608993	0.0126042616534075	0.0747687177768416	Rb1cc1
ENSMUSG00000090031	2.28369934917127	0.646801167251245	0.609825802272257	1.06063266729813	0.288856870641616	0.557805591779597	4732440D04Rik
ENSMUSG00000087247	132.221827003398	-0.0737156087829686	0.100377669779344	-0.734382546885325	0.462715620855054	0.711925764605096	Alkal1
ENSMUSG00000102135	0.294703941942845	0.529971214678292	1.89932216065291	0.279031764940872	0.780220447597756	NA	Gm37108
ENSMUSG00000051285	25.4702013346866	0.229803882705092	0.188210396267136	1.22099462762365	0.222088053908135	0.482782248123557	Pcmtd1
ENSMUSG00000098201	0.0530583498988928	0	4.92768185620347	0	1	NA	Gm26983
ENSMUSG00000103509	0.0609319732725672	0.049073227820653	4.92768185620347	0.00995868427643611	0.992054250907269	NA	Gm38372
ENSMUSG00000097797	0.41023735175776	0.0490737646190302	1.55085873910176	0.0316429623032291	0.974756781566404	NA	Gm26901
ENSMUSG00000025909	0.234291058732968	-0.92038197287953	1.69785063627591	-0.542086537658171	0.587758892334959	NA	Sntg1
ENSMUSG00000086235	0.0830657830482046	0.0490732818695197	4.6988660366565	0.0104436435273303	0.99166732954492	NA	Gm16284
ENSMUSG00000084353	0.0667904967569578	0.0490733475758711	4.40471794250529	0.0111410874013784	0.991110882264153	NA	Gm15452
ENSMUSG00000103933	0.0540589191259982	0	4.92768185620347	0	1	NA	Gm36964
ENSMUSG00000061024	200.241807979847	-0.397940588266278	0.093592619947614	-4.25183725478585	2.12023918495561e-05	0.000457476425600641	Rrs1
ENSMUSG00000025911	0.989926690836362	-0.206920977459781	0.848438476686885	-0.243884480896951	0.807320288779758	NA	Adhfe1
ENSMUSG00000079671	3.31190525394689	0.585962992433951	0.549321614589103	1.06670296029086	0.286105989947206	0.554849471073604	2610203C22Rik
ENSMUSG00000081441	0.0558376582372327	0	4.92768185620347	0	1	NA	Gm6161
ENSMUSG00000067879	0.110503820183529	0.977531848631145	3.34893021853316	0.291893764528575	0.770367851174247	NA	Vxn
ENSMUSG00000025912	8.59402569102433	-0.120218413350964	0.324123209758444	-0.370903439591872	0.710709453182535	0.871811119896613	Mybl1
ENSMUSG00000045210	51.1715416277484	-0.185101716658448	0.128840677778804	-1.43667139795891	0.150811385730497	0.385472076281323	Vcpip1
ENSMUSG00000097893	0.191387629416755	0.042259660071787	2.38592735751186	0.0177120480800627	0.985868569178099	NA	1700034P13Rik
ENSMUSG00000025915	4.05136877953778	0.360395093157687	0.489014841189911	0.736981913024857	0.461133348569529	0.710600901014741	Sgk3
