	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL
ENSMUSG00000051951	0.0540371599948098	0	4.92768185620347	0	1	NA	Xkr4
ENSMUSG00000102331	0.0540223436348516	0	4.92768185620347	0	1	NA	Gm19938
ENSMUSG00000104238	0.0886922760104149	0.882732864798258	4.60054143553992	0.19187586443174	0.847839443545702	NA	Gm37587
ENSMUSG00000098104	0.419244861651436	-1.26063722144432	1.46489774053378	-0.860563291595341	0.389478610833145	NA	Gm6085
ENSMUSG00000103922	0.425480906516771	1.12146648805857	1.49949802958497	0.747894606016232	0.454523731354149	NA	Gm6123
ENSMUSG00000033845	350.392680852995	-0.101130152797588	0.0631405401520714	-1.60166752698061	0.109229149653103	0.375758373676166	Mrpl15
ENSMUSG00000102275	0.0583629689562907	0	4.92768185620347	0	1	NA	Gm37144
ENSMUSG00000025903	247.924862982279	0.0747325623907807	0.0717034988947511	1.04224429132079	0.29729843313179	0.633989621257649	Lypla1
ENSMUSG00000033813	110.432748287128	-0.0413132947710562	0.128101443472599	-0.322504521815893	0.747070512696311	0.910983681106982	Tcea1
ENSMUSG00000062588	0.113688091128049	0.88273732852358	3.32442907561924	0.265530504169096	0.790600814028813	NA	Gm6104
ENSMUSG00000002459	0.563001140948333	-1.11756383261396	1.23830280424582	-0.902496407810855	0.366793228792994	NA	Rgs20
ENSMUSG00000033793	153.331022062969	0.0498353161784226	0.0831869499970151	0.599076131294762	0.549122117659907	0.817180124514361	Atp6v1h
ENSMUSG00000025905	0.171464865297551	0.401842434110006	2.66354061281929	0.150867770581755	0.88008002478452	NA	Oprk1
ENSMUSG00000025907	122.480951516593	0.187006198069898	0.109941938619632	1.70095416196804	0.0889515949219719	0.335673799500254	Rb1cc1
ENSMUSG00000090031	2.28369934917127	0.171034014318066	0.89763302229717	0.19053890628975	0.848886858765421	NA	4732440D04Rik
ENSMUSG00000087247	132.221827003398	-0.257041242113944	0.345178238149309	-0.744662361949827	0.456475857910449	0.75745568723099	Alkal1
ENSMUSG00000102135	0.294703941942845	0.451572570742638	1.8662358077511	0.241969727977089	0.808803619884831	NA	Gm37108
ENSMUSG00000051285	25.4702013346866	0.538152041687198	0.1989504258771	2.7049554647329	0.00683135474163495	0.0652115846195041	Pcmtd1
ENSMUSG00000098201	0.0530583498988928	-0.0790535276035209	4.92768185620347	-0.0160427417821222	0.987200293063951	NA	Gm26983
ENSMUSG00000103509	0.0609319732725672	0.882731488983705	4.92768185620347	0.179137272807584	0.857829915874514	NA	Gm38372
ENSMUSG00000097797	0.41023735175776	-0.44115765583639	1.48562112390713	-0.296951657954461	0.766503416570949	NA	Gm26901
ENSMUSG00000025909	0.234291058732968	-0.0790543595442791	1.79862820398571	-0.0439525852920002	0.964942198768641	NA	Sntg1
ENSMUSG00000086235	0.0830657830482046	0	4.6988660366565	0	1	NA	Gm16284
ENSMUSG00000084353	0.0667904967569578	-0.0790537205207777	4.40471794250529	-0.0179475102725452	0.98568072739042	NA	Gm15452
ENSMUSG00000103933	0.0540589191259982	0.401838980690092	4.92768185620347	0.081547265512731	0.935006737569612	NA	Gm36964
ENSMUSG00000061024	200.241807979847	-0.197060102501774	0.07550570627141	-2.60987032944807	0.0090576548896055	0.0791281854102929	Rrs1
ENSMUSG00000025911	0.989926690836362	0.882741447980539	1.31094243048866	0.6733640070308	0.500715741155963	NA	Adhfe1
ENSMUSG00000079671	3.31190525394689	-0.480948063015622	0.49783002242569	-0.966088908563992	0.333999694072491	NA	2610203C22Rik
ENSMUSG00000081441	0.0558376582372327	0.401838980690092	4.92768185620347	0.081547265512731	0.935006737569612	NA	Gm6161
ENSMUSG00000067879	0.110503820183529	0	3.35189487802885	0	1	NA	Vxn
ENSMUSG00000025912	8.59402569102433	0.327049573862187	0.359129111767664	0.910674081119243	0.362467124559642	0.690196604883481	Mybl1
ENSMUSG00000045210	51.1715416277484	-0.0728703666093476	0.137283047038872	-0.530803825972147	0.595554728513782	0.842963489347305	Vcpip1
ENSMUSG00000097893	0.191387629416755	-0.559951239372794	2.38682217203125	-0.234601155433486	0.81451831267237	NA	1700034P13Rik
ENSMUSG00000025915	4.05136877953778	-0.09100733408506	0.523364238240494	-0.173889095653572	0.861952622480717	0.953998319527076	Sgk3
ENSMUSG00000098234	51.2576185021649	0.119124376565887	0.204265430171573	0.583184224887337	0.559769289546882	0.821419326990758	Snhg6
ENSMUSG00000099032	0.988934275487241	-0.0790544178096285	1.32703111541059	-0.0595723920046659	0.952496207293	NA	Tcf24
ENSMUSG00000025917	342.644778117697	-0.0542483317765685	0.0606236718762612	-0.894837447116279	0.370873989214348	0.697127692889319	Cops5
ENSMUSG00000056763	20.3207470989988	-0.0182281803954296	0.221600639965509	-0.0822568941960942	0.934442431656704	0.979541768405858	Cspp1
ENSMUSG00000067851	102.138440885418	-0.146036576069963	0.101736324907192	-1.4354418267338	0.151161234231836	0.451171252252347	Arfgef1
ENSMUSG00000102556	0.0405667519481542	-0.0790535276035209	4.92768185620347	-0.0160427417821222	0.987200293063951	NA	Gm37569
ENSMUSG00000042501	0.976866895845732	0.734988028952039	1.11369148874111	0.659956582574633	0.509281691902376	NA	Cpa6
ENSMUSG00000048960	102.679873735443	0.427582365340637	0.118443580692858	3.6100087724418	0.000306186649694035	0.00624789308485756	Prex2
ENSMUSG00000097628	0.073129629793524	-0.0790537627074243	4.28185474233728	-0.0184625045604121	0.98526988948983	NA	Gm2383
ENSMUSG00000016918	36.2213170042467	-0.262583959376965	0.169910370443888	-1.54542632501459	0.122243176830174	0.400786075922276	Sulf1
ENSMUSG00000025938	13.3352972384259	0.0371419320578165	0.26950364053265	0.137816068029392	0.890385785087949	0.962644962988091	Slco5a1
ENSMUSG00000005886	41.1051531490947	0.2334465871866	0.173151330049432	1.34822289334973	0.17758670346223	0.490303309136908	Ncoa2
ENSMUSG00000103506	0.151288948796233	-0.559950674959779	2.7771995110613	-0.201624216311991	0.840210512133628	NA	Gm38376
ENSMUSG00000102639	0.0398789936356314	0	4.92768185620347	0	1	NA	Gm38223
