Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Negative Regulation Of Amyloid-Beta Formation (GO:1902430)	5/16	5.16223135114986e-06	0.00651830890501327	0	0	26.6607869742198	324.572196846005	PRNP;RTN1;APOE;CLU;SORL1
2	Bone Development (GO:0060348)	7/44	8.6087987923879e-06	0.00651830890501327	0	0	11.1485269052837	130.022211950356	CYP26B1;OPTC;OGN;LRP5;STC1;SULF1;FGFR2
3	Negative Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902992)	5/18	9.84638807403817e-06	0.00651830890501327	0	0	22.556831228473	260.044305385473	PRNP;RTN1;APOE;CLU;SORL1
4	Regulation Of Osteoblast Differentiation (GO:0045667)	9/85	1.41148855156654e-05	0.00700804065852789	0	0	7.00651931944665	78.2507738387844	SCUBE3;IFITM1;PTCH1;SMOC1;LRP5;LRP3;TMEM53;NPNT;FGFR2
5	Positive Regulation Of Cell Differentiation (GO:0045597)	16/283	2.98717236309706e-05	0.0118650486262215	0	0	3.5868127803209	37.3695612592237	IFITM1;TGFB3;IGFBP3;LRP5;CREBL2;LRP3;PTN;GDPD5;NPNT;OLFM1;SCUBE3;SFRP1;ZFP36;RPS6KA1;RIN2;CMKLR1
6	Cell Projection Assembly (GO:0030031)	4/12	3.64657219056698e-05	0.0120701539507767	0	0	29.2440476190476	298.848954335135	CYFIP2;GSN;RAC3;MTSS2
7	Negative Regulation Of Neuron Death (GO:1901215)	8/88	0.000126682946329568	0.026459636150542	0	0	5.89759036144578	52.9239324931752	NRBP2;PINK1;TGFB3;ATP13A2;APOE;CLU;SORL1;CD200
8	Negative Regulation Of Macrophage Migration (GO:1905522)	3/7	0.000162014074113473	0.026459636150542	0	0	43.7448071216617	381.797123984623	DDT;EMILIN1;CD200
9	Response To Interferon-Alpha (GO:0035455)	4/17	0.000163920026325709	0.026459636150542	0	0	17.9917582417582	156.818537829919	IFITM3;BST2;IFITM1;GAS6
10	Extracellular Matrix Assembly (GO:0085029)	4/17	0.000163920026325709	0.026459636150542	0	0	17.9917582417582	156.818537829919	MFAP4;RAMP2;EMILIN1;GAS6
11	Regulation Of Cell Migration (GO:0030334)	19/434	0.000174661002154018	0.026459636150542	0	0	2.74484855309087	23.7502511443229	CARMIL1;SEMA5B;PDGFRA;IFITM1;CEMIP;ACE;STC1;SEMA3F;SULF1;SORL1;MYLK;BST2;SH3RF2;SFRP1;TMEFF2;PDGFD;CLDN19;EMILIN1;RIGI
12	Cellular Response To Oxidative Stress (GO:0034599)	9/117	0.000176103455391686	0.026459636150542	0	0	4.92245720040282	42.5518806096071	PDGFRA;PINK1;MPV17L;PYCR1;SLC4A11;ATP13A2;FOS;PDK2;ETV5
