Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Amyloid-Beta Binding (GO:0001540)	8/79	5.86855524256119e-05	0.0203638866916873	0	0	6.64822670965552	64.775780233963	CST3;PRNP;ADRB2;APBB1;APOE;CLU;SORL1;ITM2A
2	Protein Homodimerization Activity (GO:0042803)	25/662	0.000180118171102872	0.0312505026863483	0	0	2.37011288031696	20.4348701192695	HSPB6;CPQ;CIB2;PTH1R;ADRB2;ZBTB4;RAP1GAP;S100A16;KCNN2;HES1;APOE;ABCD1;PDK2;GSTM4;PDGFRA;GSTM2;CDSN;GSTM1;DGAT2;TAP1;NAGA;BST2;IL17D;ATF3;FGFR2
3	Glutathione Binding (GO:0043295)	3/9	0.000379104848954953	0.0438497941957896	0	0	29.160237388724	229.715536315633	GSTM4;GSTM2;GSTM1
4	Platelet-Derived Growth Factor Binding (GO:0048407)	3/10	0.000534768116233072	0.046391134083219	0	0	24.9932174650276	188.290835885693	PDGFRA;COL3A1;COL1A2
5	RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)	11/228	0.00188242446280838	0.130640257718902	0	0	2.99571386550502	18.7986878467066	HES6;BCAS3;EGR2;IFI27;HEY1;DTX3L;EPAS1;NFATC1;HES1;FOS;TRIB2
6	DNA-binding Transcription Factor Binding (GO:0140297)	12/282	0.00336731284355396	0.170632048253752	0	0	2.62737127371274	14.9593067791926	HES6;EGR2;IFI27;HEY1;NFIA;EPAS1;NAAA;NFATC1;PBXIP1;HES1;FOS;TRIB2
7	Insulin-Like Growth Factor II Binding (GO:0031995)	2/6	0.00413124569044316	0.170632048253752	0	0	29.0769230769231	159.608356958813	IGFBP3;IGFBP2
8	2-Oxoglutarate-Dependent Dioxygenase Activity (GO:0016706)	4/41	0.00506280941102926	0.170632048253752	0	0	6.31370656370656	33.3732031169566	EGLN3;KDM4B;JARID2;KDM7A
9	Protease Binding (GO:0002020)	7/125	0.00556620878339536	0.170632048253752	0	0	3.48129485417621	18.07154469045	CST3;PRNP;COL3A1;PINK1;COL1A2;STIM1;ADAMTSL4
10	MHC Class Ib Protein Binding (GO:0023029)	2/7	0.00571894582654345	0.170632048253752	0	0	23.2603550295858	120.115793859513	TAP2;TAP1
11	Peptide Transmembrane Transporter Activity (GO:1904680)	2/7	0.00571894582654345	0.170632048253752	0	0	23.2603550295858	120.115793859513	TAP2;TAP1
12	Low-Density Lipoprotein Particle Receptor Binding (GO:0050750)	3/22	0.00590082011252167	0.170632048253752	0	0	9.20240512259878	47.2328528936175	APBB1;APOE;CLU
13	Phosphoric Diester Hydrolase Activity (GO:0008081)	4/44	0.00652227040165528	0.174094448413414	0	0	5.83928571428571	29.3863965502222	SMPD3;PLCB4;GDPD2;GDPD5
14	Notch Binding (GO:0005112)	3/24	0.0075637263786761	0.187472360957186	0	0	8.32513777024163	40.6632305212223	SNED1;TCIM;DNER
15	Histone H3K36 Demethylase Activity (GO:0051864)	2/9	0.0095859129869685	0.221754120431871	0	0	16.6128486897718	77.2075606595083	KDM4B;KDM7A
16	Lipoprotein Particle Receptor Binding (GO:0070325)	3/27	0.0105290122216751	0.222327384881487	0	0	7.28338278931751	33.1657630968261	APBB1;APOE;CLU
17	Ubiquitin-Like Protein Ligase Binding (GO:0044389)	11/289	0.0108921197204187	0.222327384881487	0	0	2.33104458682294	10.5356588459261	EGR2;PINK1;DTX3L;USP2;TXNIP;FZD8;UBE2L6;APBB1;TRIB2;CLU;RIGI
18	Glutathione Transferase Activity (GO:0004364)	3/28	0.0116464651584653	0.224517967221526	0	0	6.99169139465875	31.1322717904566	GSTM4;GSTM2;GSTM1
19	Histone Demethylase Activity (GO:0032452)	3/29	0.0128295704803916	0.229706030468641	0	0	6.72243779958913	29.282956389965	KDM4B;JARID2;KDM7A
20	Actin Binding (GO:0003779)	8/183	0.0132395406610168	0.229706030468641	0	0	2.68296041308089	11.6025895386609	ABLIM1;GSN;SYNPO2;SYNPO;CORO2B;MTSS1;MTSS2;MSRB1
21	Insulin-Like Growth Factor I Binding (GO:0031994)	2/12	0.0169933160683884	0.268030939805945	0	0	11.6272189349112	47.3801635379196	IGFBP3;IGFBP2
22	Platelet-Derived Growth Factor Receptor Binding (GO:0005161)	2/12	0.0169933160683884	0.268030939805945	0	0	11.6272189349112	47.3801635379196	PDGFRA;PDGFD
23	Ubiquitin Protein Ligase Binding (GO:0031625)	10/271	0.0180093815808709	0.271706756894009	0	0	2.25229304539649	9.0471513783003	EGR2;PINK1;USP2;TXNIP;FZD8;UBE2L6;APBB1;TRIB2;CLU;RIGI
24	MHC Protein Binding (GO:0042287)	3/34	0.0197458214116832	0.275655462415074	0	0	5.6367378194697	22.1231440365847	CD81;TAP2;TAP1
25	Histone H3K9 Demethylase Activity (GO:0032454)	2/13	0.01985990363221	0.275655462415074	0	0	10.5696611081226	41.4230565017366	KDM4B;KDM7A
26	Monoatomic Cation Transmembrane Transporter Activity (GO:0008324)	3/37	0.0247051731010535	0.329719041002522	0	0	5.13859312270902	19.016610575984	TRPV2;SLC4A11;CLU
27	Insulin-Like Growth Factor Binding (GO:0005520)	2/15	0.0261450535330955	0.330764332761652	0	0	8.94264906690942	32.5878651105317	IGFBP3;IGFBP2
28	Ubiquitin-Protein Transferase Activator Activity (GO:0097027)	2/16	0.0295495513418191	0.330764332761652	0	0	8.30346576500423	29.2422051001691	EFNB1;RIGI
29	Water Transmembrane Transporter Activity (GO:0005372)	2/16	0.0295495513418191	0.330764332761652	0	0	8.30346576500423	29.2422051001691	SLC4A11;AQP5
30	Low-Density Lipoprotein Particle Binding (GO:0030169)	2/16	0.0295495513418191	0.330764332761652	0	0	8.30346576500423	29.2422051001691	SORL1;PLTP
31	Wnt Receptor Activity (GO:0042813)	2/16	0.0295495513418191	0.330764332761652	0	0	8.30346576500423	29.2422051001691	LRP5;FZD8
32	Endopeptidase Regulator Activity (GO:0061135)	3/42	0.0343200209259858	0.372157726916159	0	0	4.47865784067564	15.1021524512795	CST3;APH1B;TFPI
33	Microtubule Plus-End Binding (GO:0051010)	2/19	0.0407301904679762	0.401522369823898	0	0	6.83710407239819	21.8841048142806	STIM1;MAPRE3
34	Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process (GO:0043027)	2/19	0.0407301904679762	0.401522369823898	0	0	6.83710407239819	21.8841048142806	RPS6KA1;GAS6
35	Actinin Binding (GO:0042805)	2/20	0.0447581065560288	0.401522369823898	0	0	6.456936226167	20.0583606724048	SYNPO2;KCNN2
36	Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, NAD Or NADP As Acceptor (GO:0016620)	2/20	0.0447581065560288	0.401522369823898	0	0	6.456936226167	20.0583606724048	ALDH6A1;ALDH1A1
37	Phosphatidic Acid Binding (GO:0070300)	2/20	0.0447581065560288	0.401522369823898	0	0	6.456936226167	20.0583606724048	SMPD3;PLTP
38	Semaphorin Receptor Binding (GO:0030215)	2/22	0.0532288466004878	0.401522369823898	0	0	5.81065088757396	17.0435385434951	SEMA5B;SEMA3F
39	Lipoprotein Particle Binding (GO:0071813)	2/23	0.0576600250531127	0.401522369823898	0	0	5.53367145674838	15.7886224399895	SORL1;PLTP
40	Mitogen-Activated Protein Kinase Binding (GO:0051019)	2/23	0.0576600250531127	0.401522369823898	0	0	5.53367145674838	15.7886224399895	ACE;NFATC1
41	Alpha-Actinin Binding (GO:0051393)	2/23	0.0576600250531127	0.401522369823898	0	0	5.53367145674838	15.7886224399895	SYNPO2;KCNN2
42	Peptidase Activator Activity (GO:0016504)	2/24	0.0622142402836569	0.401522369823898	0	0	5.28187197417967	14.6686635843017	PINK1;APH1B
43	Chemorepellent Activity (GO:0045499)	2/24	0.0622142402836569	0.401522369823898	0	0	5.28187197417967	14.6686635843017	SEMA5B;SEMA3F
