Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Focal Adhesion WP85	11/185	0.000338891594972563	0.0325335931173661	0	0	3.74429654473675	29.9162939125562	PDGFRA;COL3A1;COL1A2;PDGFD;ITGA10;COL6A2;LAMA4;SELENOP;ITGA8;RAC3;MYLK
2	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	14/324	0.00138339358522107	0.0664028920906114	0	0	2.68058579061943	17.6468744051064	PDGFRA;ANGPT2;ANGPT1;EPAS1;LAMA4;COL3A1;COL1A2;PIK3IP1;PDGFD;ITGA10;COL6A2;DDIT4;ITGA8;FGFR2
3	Statin Pathway WP1	3/19	0.00385523289670256	0.123367452694482	0	0	10.9295252225519	60.7498408186287	ABCA1;APOE;PLTP
4	Selenium metabolism/Selenoproteins WP108	4/50	0.0102219854636342	0.201333382429093	0	0	5.07608695652174	23.2647950413984	SELENOM;SELENOP;FOS;MSRB1
5	Osteoblast WP238	2/10	0.0118487070998925	0.201333382429093	0	0	14.5355029585799	64.4727542507424	PDGFRA;PTH1R
6	ESC Pluripotency Pathways WP339	6/118	0.0155466351110238	0.201333382429093	0	0	3.13537211291702	13.0554106036017	PDGFRA;SELENOP;LRP5;FZD8;FOS;FGFR2
7	Myometrial Relaxation and Contraction Pathways WP385	7/153	0.0158828621741117	0.201333382429093	0	0	2.8096178370151	11.6388829151429	RGS17;RAMP2;IGFBP3;IGFBP2;FOS;ATF3;ADCY5
8	White fat cell differentiation WP2872	3/32	0.0167777818690911	0.201333382429093	0	0	6.02609229509874	24.6328561227234	EGR2;TCF7L1;KLF2
9	Retinol metabolism WP1259	3/39	0.0283495386419272	0.302395078847224	0	0	4.85262116716123	17.290590531995	CYP26B1;ALDH1A1;DHRS3
10	Notch Signaling Pathway WP29	3/46	0.0432075356588071	0.31489296704529	0	0	4.06121040645918	12.7592686541632	APH1B;DTX3L;HES1
11	BMP Signaling Pathway in Eyelid Development WP3663	2/20	0.0447581065560288	0.31489296704529	0	0	6.456936226167	20.0583606724048	SFRP1;FGFR2
12	Glutathione metabolism WP164	2/20	0.0447581065560288	0.31489296704529	0	0	6.456936226167	20.0583606724048	GSTM2;GSTM7
13	Regulation of Actin Cytoskeleton WP523	6/152	0.0457119528008174	0.31489296704529	0	0	2.40103354933968	7.40813802691375	CYFIP2;PDGFRA;GSN;RAC3;FGFR2;MYLK
14	MicroRNAs in Cardiomyocyte Hypertrophy WP1560	4/82	0.0511387374602079	0.31489296704529	0	0	2.98870573870574	8.88605874753053	CTF1;LRP5;FGFR2;MYLK
15	Delta-Notch Signaling Pathway WP265	4/83	0.0530394445424559	0.31489296704529	0	0	2.95072332730561	8.66544645581563	HES6;APH1B;HEY1;HES1
16	Hedgehog Signaling Pathway WP116	2/22	0.0532288466004878	0.31489296704529	0	0	5.81065088757396	17.0435385434951	PTCH1;GAS1
17	Id Signaling Pathway WP512	3/51	0.0557622962476034	0.31489296704529	0	0	3.63724035608309	10.4994665438309	ID3;HES1;ATF3
18	PluriNetWork WP1763	9/292	0.0626947175339567	0.334371826847769	0	0	1.86172109359154	5.15599576861788	TLE2;TCF7L1;DGKA;IGFBP3;LRP5;FOS;JARID2;ETV5;KLF2
19	Dysregulated miRNA Targeting in Insulin/PI3K-AKT Signaling WP3855	2/26	0.0716701855194254	0.335223111068359	0	0	4.84122287968442	12.7599164518767	COL3A1;COL1A2
20	Aflatoxin B1 metabolism WP1262	1/5	0.0821663608724863	0.335223111068359	0	0	14.4955752212389	36.2245772259523	GSTM1
21	Spinal Cord Injury WP2432	4/99	0.0885018717400307	0.335223111068359	0	0	2.45175438596491	5.94484628013664	ZFP36;BTG2;SLIT3;FOS
