Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Endoderm Formation (GO:0001706)	4/35	2.52546357599165e-05	0.013829414467011	0	0	27.2765957446809	288.763703344495	DUSP4;DUSP5;DUSP2;COL7A1
Endoderm Development (GO:0007492)	3/14	3.99290646994961e-05	0.013829414467011	0	0	57.1033492822966	578.36590895521	DUSP4;DUSP5;DUSP2
Protein Modification Process (GO:0036211)	13/711	4.32169202094093e-05	0.013829414467011	0	0	4.20785437384123	42.2859003550315	DUSP5;TGFB1;PLK2;PDGFB;LMTK2;SERP2;CDK6;HLCS;UST;PRKG2;FAM20C;CCL2;SGK1
Positive Regulation Of miRNA Transcription (GO:1902895)	4/43	5.776409198881e-05	0.0138633820773144	0	0	21.6726677577741	211.506668633763	EGR1;TGFB1;KLF5;PDGFB
Positive Regulation Of miRNA Metabolic Process (GO:2000630)	4/49	9.69665099632824e-05	0.0186175699129502	0	0	18.777304964539	173.523795955968	EGR1;TGFB1;KLF5;PDGFB
Response To Organic Cyclic Compound (GO:0014070)	4/58	0.000187734422001379	0.0205422819623433	0	0	15.6406619385343	134.204422029111	TGFB1;HLCS;SPP1;CCL2
Regulation Of miRNA Transcription (GO:1902893)	4/59	0.000200635473286402	0.0205422819623433	0	0	15.3555125725338	130.737154391496	EGR1;TGFB1;KLF5;PDGFB
Regulation Of Hormone Biosynthetic Process (GO:0046885)	2/5	0.00023538031415185	0.0205422819623433	0	0	138.1875	1154.46093590117	EGR1;STC2
Regulation Of Hyaluronan Biosynthetic Process (GO:1900125)	2/5	0.00023538031415185	0.0205422819623433	0	0	138.1875	1154.46093590117	TGFB1;PDGFB
Double-Strand Break Repair Via Synthesis-Dependent Strand Annealing (GO:0045003)	2/5	0.00023538031415185	0.0205422819623433	0	0	138.1875	1154.46093590117	HELQ;XRCC3
Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949)	2/5	0.00023538031415185	0.0205422819623433	0	0	138.1875	1154.46093590117	EGR1;NAB2
Phosphorylation (GO:0016310)	9/429	0.000257923270344422	0.0206338616275537	0	0	4.69069020866774	38.758462174902	TGFB1;CDK6;PLK2;PDGFB;LMTK2;PRKG2;FAM20C;CCL2;SGK1
