Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Receptor Ligand Activity (GO:0048018)	10/319	3.74990707092111e-06	0.000347057016693557	0	0	7.20542806707855	90.0230294686996	SEMA7A;TGFB1;WNT7B;PDGFB;LIF;VEGFC;TIMP1;METRNL;AREG;EREG
2	MAP Kinase Tyrosine Phosphatase Activity (GO:0033550)	3/9	9.37991937009614e-06	0.000347057016693557	0	0	104.715789473684	1212.28834800935	DUSP4;DUSP5;DUSP2
3	MAP Kinase Tyrosine/Serine/Threonine Phosphatase Activity (GO:0017017)	3/9	9.37991937009614e-06	0.000347057016693557	0	0	104.715789473684	1212.28834800935	DUSP4;DUSP5;DUSP2
4	Protein Tyrosine/Threonine Phosphatase Activity (GO:0008330)	3/9	9.37991937009614e-06	0.000347057016693557	0	0	104.715789473684	1212.28834800935	DUSP4;DUSP5;DUSP2
5	DNA Replication Origin Binding (GO:0003688)	3/13	3.14847224304183e-05	0.000931947783940381	0	0	62.8168421052632	651.159896089294	ORC2;MCM10;CDC6
6	MAP Kinase Phosphatase Activity (GO:0033549)	3/14	3.99290646994961e-05	0.000984916929254237	0	0	57.1033492822966	578.36590895521	DUSP4;DUSP5;DUSP2
7	Protein Tyrosine/Serine/Threonine Phosphatase Activity (GO:0008138)	3/23	0.000188149303677079	0.00397801384917253	0	0	31.3926315789474	269.294618553076	DUSP4;DUSP5;DUSP2
8	Cytokine Activity (GO:0005125)	6/178	0.000244251079951374	0.00451864497910041	0	0	7.48104145601618	62.2221696812656	TGFB1;KLF5;WNT7B;LIF;CCL2;TIMP1
9	Growth Factor Activity (GO:0008083)	4/85	0.000809957901821937	0.0133193077188496	0	0	10.4129235618597	74.1246909015985	TGFB1;PDGFB;LIF;VEGFC
10	Transmembrane Receptor Protein Tyrosine Kinase Activator Activity (GO:0030297)	2/12	0.00151913458372644	0.0224831918391513	0	0	41.4416666666667	268.940439208306	AREG;EREG
11	DNA Binding, Bending (GO:0008301)	2/17	0.00308079638844763	0.0414507150445681	0	0	27.6208333333333	159.719323426583	FOXD1;LEF1
12	Protein Tyrosine Phosphatase Activity (GO:0004725)	3/76	0.00619246355291657	0.0763737171526377	0	0	8.57779379956741	43.6131259274927	DUSP4;DUSP5;DUSP2
13	Protein Tyrosine Kinase Activator Activity (GO:0030296)	2/29	0.00885264232063074	0.10078392795795	0	0	15.3356481481481	72.4922114446621	AREG;EREG
