Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Lung fibrosis WP3632	6/61	5.29546916925918e-07	2.43591581785922e-05	0	0	23.5339920948617	340.095463698127	TGFB1;PDGFB;SPP1;CCL2;PTX3;TIMP1
2	DNA Replication WP150	4/41	4.7757961225668e-05	0.00109843310819036	0	0	22.8464634847614	227.307799090199	POLE2;ORC2;MCM10;CDC6
3	TGF Beta Signaling Pathway WP113	4/52	0.000122514400898348	0.00187855414710801	0	0	17.6010638297872	158.537745001886	TGFB1;LEF1;SPP1;LIF
4	PluriNetWork WP1763	7/292	0.000586408997142854	0.00674370346714282	0	0	5.29473684210526	39.4007474888603	HELLS;TGFB1;KLF5;LEF1;LIF;SPP1;SGK1
5	Osteoclast WP454	2/14	0.00208123434333103	0.0191473559586454	0	0	34.53125	213.223359697542	PDGFB;SPP1
6	G1 to S cell cycle control WP413	3/61	0.00334217608419069	0.0256233499787953	0	0	10.8043557168784	61.5970706707748	CDK6;POLE2;ORC2
7	MAPK signaling pathway WP493	4/159	0.00779208319701829	0.0512051181518345	0	0	5.42127659574468	26.3183843539596	DUSP4;DUSP5;TGFB1;PDGFB
8	Spinal Cord Injury WP2432	3/99	0.012745655260533	0.0732875177480648	0	0	6.51513157894737	28.4226838847774	EGR1;TGFB1;CCL2
9	ESC Pluripotency Pathways WP339	3/118	0.0202981006179602	0.0983755546632575	0	0	5.43350114416476	21.1755925956492	WNT7B;PDGFB;LIF
10	ErbB signaling pathway WP1261	2/46	0.0213859901441864	0.0983755546632575	0	0	9.40246212121212	36.152647735938	AREG;EREG
11	Adipogenesis genes WP447	3/134	0.0282036536039697	0.117942551434782	0	0	4.76601044596223	17.006572942128	TGFB1;KLF5;LIF
12	Endochondral Ossification WP1270	2/62	0.0371565179325197	0.142433318741326	0	0	6.88958333333333	22.6847528275248	TGFB1;SPP1
13	Purine metabolism WP2185	3/171	0.0518323257628538	0.183406691160867	0	0	3.7093984962406	10.9788598342961	POLE2;PDE4B;POLR3G
14	MicroRNAs in Cardiomyocyte Hypertrophy WP1560	2/82	0.0613052028461783	0.19209002693835	0	0	5.16197916666667	14.4116809295627	TGFB1;LIF
15	Focal Adhesion WP85	3/185	0.0626380522625053	0.19209002693835	0	0	3.42163100057837	9.47922603617696	PDGFB;SPP1;VEGFC
16	Wnt Signaling Pathway and Pluripotency WP723	2/97	0.0820440536004086	0.229066289547738	0	0	4.34364035087719	10.8612680798604	WNT7B;LEF1
17	Small Ligand GPCRs WP353	1/18	0.0846549330937291	0.229066289547738	0	0	12.0588235294118	29.7753081545444	PTGER4
18	Novel Jun-Dmp1 Pathway WP3654	1/26	0.119964335864924	0.278987105038774	0	0	8.19670103092784	17.3816027438558	ETS2
19	Cytokines and Inflammatory Response WP222	1/27	0.12428211698541	0.278987105038774	0	0	7.88104678826328	16.4335679096551	TGFB1
20	Matrix Metalloproteinases WP441	1/29	0.132854871702785	0.278987105038774	0	0	7.31737849779087	14.770113400184	TIMP1
21	Dopaminergic Neurogenesis WP1498	1/30	0.137110046402711	0.278987105038774	0	0	7.06469960895841	14.0373561939592	TGFB1
22	Prostaglandin Synthesis and Regulation WP374	1/31	0.141344552566278	0.278987105038774	0	0	6.82886597938144	13.361050061201	PTGER4
23	Ovarian Infertility Genes WP273	1/31	0.141344552566278	0.278987105038774	0	0	6.82886597938144	13.361050061201	EGR1
24	White fat cell differentiation WP2872	1/32	0.145558489585447	0.278987105038774	0	0	6.60824742268041	12.7352643125676	KLF5
25	Wnt Signaling in Kidney Disease WP3857	1/37	0.16632308175121	0.305514538467089	0	0	5.68900343642612	10.2050658175397	WNT7B
26	Myometrial Relaxation and Contraction Pathways WP385	2/153	0.17268213043792	0.305514538467089	0	0	2.72502759381898	4.78597351374906	PDE4B;ETS2
27	Insulin Signaling WP65	2/159	0.183194159505683	0.312108568046719	0	0	2.62009023354565	4.44683995927522	EGR1;SGK1
28	Heart Development WP2067	1/44	0.194556866952372	0.314881475284739	0	0	4.76120834332294	7.79424462505968	VEGFC
29	Striated Muscle Contraction WP216	1/45	0.198512234418639	0.314881475284739	0	0	4.65276476101218	7.52307649542604	TNNT2
30	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	3/324	0.21228952711713	0.325510608246266	0	0	1.92631578947368	2.98541238209888	PDGFB;SPP1;VEGFC
31	TYROBP Causal Network WP3625	1/58	0.248215609153726	0.367405654208611	0	0	3.58925664677157	5.00147666124036	SPP1
