Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Cholesterol Biosynthetic Process (GO:0006695)	13/25	7.74364877947628e-20	1.1104392349769e-16	0	0	106.576285240464	4689.87119305542	MVK;HMGCS1;INSIG1;MSMO1;DHCR24;LSS;TM7SF2;NSDHL;PMVK;SC5D;MVD;DHCR7;FDFT1
Sterol Biosynthetic Process (GO:0016126)	13/28	5.42112276356535e-19	3.88694502147636e-16	0	0	85.2480928689884	3585.4336665669	MVK;HMGCS1;INSIG1;MSMO1;DHCR24;LSS;TM7SF2;SQLE;NSDHL;PMVK;MVD;DHCR7;FDFT1
Secondary Alcohol Biosynthetic Process (GO:1902653)	12/24	3.98554697742167e-18	1.90509145520756e-15	0	0	97.8910891089109	3921.89460659677	NSDHL;MVK;HMGCS1;INSIG1;PMVK;DHCR24;MSMO1;MVD;DHCR7;LSS;TM7SF2;FDFT1
Cholesterol Metabolic Process (GO:0008203)	13/67	2.54903895225024e-13	9.13830464381711e-11	0	0	23.6333149069467	685.31626133376	MVK;HMGCS1;INSIG1;MSMO1;DHCR24;LSS;TM7SF2;SQLE;NSDHL;PMVK;MVD;DHCR7;FDFT1
acetyl-CoA Metabolic Process (GO:0006084)	5/16	5.31112428998705e-07	0.000152323044636829	0	0	43.0078294910831	621.389683393362	ACSS2;MVK;HMGCS1;PMVK;MVD
Skin Morphogenesis (GO:0043589)	4/8	8.6263953997862e-07	0.00020617085005489	0	0	94.2	1315.33993185369	COL1A1;CDSN;COL1A2;ITGB4
Lipid Biosynthetic Process (GO:0008610)	7/71	1.08335617626563e-05	0.00221933250966417	0	0	10.4207427536232	119.138910418912	SREBF1;ACSS2;MVK;MVD;LSS;FADS1;FDFT1
Skin Development (GO:0043588)	6/68	8.81192491158143e-05	0.015009640211112	0	0	9.17679900744417	85.6821164453957	COL1A1;CDSN;COL1A2;ITGB4;DHCR24;SPRR1A
Cellular Response To Insulin Stimulus (GO:0032869)	7/99	9.42027628312467e-05	0.015009640211112	0	0	7.23892039487503	67.1052339777119	INSIG1;GRB10;PDK4;PCSK9;TRIB3;LPIN1;PCK2
Sterol Homeostasis (GO:0055092)	6/73	0.00013110667999136	0.018800697910761	0	0	8.48981056257176	75.8946548603558	ABCA2;INSIG1;LIPG;PCSK9;ABCD1;LDLR
Steroid Biosynthetic Process (GO:0006694)	5/50	0.000191690292036866	0.0242581933313494	0	0	10.4949494949495	89.8328798293415	SQLE;PMVK;MSMO1;LSS;FDFT1
Response To Insulin (GO:0032868)	6/79	0.000202997433735142	0.0242581933313494	0	0	7.78964699683878	66.2300498044058	INSIG1;PCSK9;TRIB3;LPIN1;KHK;PCK2
Positive Regulation Of Cholesterol Transport (GO:0032376)	4/31	0.000319677106137096	0.0352628438615843	0	0	13.9393298059965	112.186501807185	ABCA3;LPCAT3;LIPG;PLTP
Regulation Of Cholesterol Efflux (GO:0010874)	4/32	0.00036230267213708	0.0371101451317552	0	0	13.4408163265306	106.491998837208	ABCA2;SHH;ABCA3;PLTP
Regulation Of Receptor Recycling (GO:0001919)	3/17	0.000735276593984556	0.0700539069929226	0	0	20.0798916723087	144.881715715927	PCSK9;LDLR;OPTN
Odontogenesis (GO:0042476)	4/39	0.000781633550827588	0.0700539069929226	0	0	10.748843537415	76.8985652451805	BMP4;COL1A1;COL1A2;AQP5
Phospholipid Metabolic Process (GO:0006644)	5/69	0.000862799980897691	0.0727797160357229	0	0	7.37215909090909	52.0129979892157	LIPG;PLB1;FADS1;PLCD1;FDFT1
Cholesterol Homeostasis (GO:0042632)	5/72	0.00104673343750649	0.0833897638546835	0	0	7.04099121616796	48.3158518764297	ABCA2;INSIG1;LIPG;PCSK9;LDLR
Cholesterol Import (GO:0070508)	2/5	0.00111561043663444	0.084199229796515	0	0	62.2106918238994	422.930277427221	STARD4;LDLR
Negative Regulation Of Phosphate Metabolic Process (GO:0045936)	3/20	0.00120385518508122	0.0863164167703232	0	0	16.5338723166992	111.144429964134	BMP4;CDA;CDKN2B
Cellular Response To Nutrient Levels (GO:0031669)	5/78	0.0014998381906686	0.088250659902576	0	0	6.46031329881366	42.0075285938834	SREBF1;CDKN2B;PDK4;PCSK9;FADS1
Positive Regulation Of Cytoskeleton Organization (GO:0051495)	5/79	0.00158746290968586	0.088250659902576	0	0	6.37268847795164	41.0759167819147	BCAS3;SYNPO2;LMOD1;CDC42EP2;SYNPO
Negative Regulation Of Lipoprotein Particle Clearance (GO:0010985)	2/6	0.00166162330360499	0.088250659902576	0	0	46.6556603773585	298.594372351919	PCSK9;LDLR
Bleb Assembly (GO:0032060)	2/6	0.00166162330360499	0.088250659902576	0	0	46.6556603773585	298.594372351919	PMP22;MYLK
Cellular Hypotonic Response (GO:0071476)	2/6	0.00166162330360499	0.088250659902576	0	0	46.6556603773585	298.594372351919	SLC4A11;MYLK
Hypotonic Response (GO:0006971)	2/6	0.00166162330360499	0.088250659902576	0	0	46.6556603773585	298.594372351919	SLC4A11;MYLK
