Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Low-Density Lipoprotein Particle Binding (GO:0030169)	4/16	2.09688372779859e-05	0.00572449257689014	0	0	31.3873015873016	338.118863961506	PCSK9;SORL1;LDLR;PLTP
2	Lipoprotein Particle Binding (GO:0071813)	4/23	9.61989814404869e-05	0.0124793613615491	0	0	19.8165413533835	183.285009903797	PCSK9;SORL1;LDLR;PLTP
3	Platelet-Derived Growth Factor Binding (GO:0048407)	3/10	0.000137135839137902	0.0124793613615491	0	0	40.1740013540961	357.329205632702	COL1A2;COL2A1;COL6A1
4	Protein Homodimerization Activity (GO:0042803)	18/662	0.000286577683271787	0.0195589268832995	0	0	2.72971859551274	22.2676819344801	CDA;ST6GAL1;GSTM2;CDSN;GSTM1;HMGCS1;IDH1;BNIP3;NAGA;AHR;ADRB2;RAP1GAP;ALDH1A3;COL2A1;S100A16;MVD;ABCD1;PDLIM4
5	Oxidoreductase Activity, Acting On The CH-CH Group Of Donors, NAD Or NADP As Acceptor (GO:0016628)	3/18	0.000875399162980659	0.047796794298744	0	0	18.7402843601896	131.947167376609	DHCR24;DHCR7;TM7SF2
6	K48-linked Polyubiquitin Modification-Dependent Protein Binding (GO:0036435)	2/6	0.00166162330360499	0.0648033088405945	0	0	46.6556603773585	298.594372351919	MINDY2;ZFAND2B
7	Mitogen-Activated Protein Kinase Kinase Binding (GO:0031434)	2/6	0.00166162330360499	0.0648033088405945	0	0	46.6556603773585	298.594372351919	TRIB3;TRIB2
8	Oxidoreductase Activity, Acting On Paired Donors, With Oxidation Of A Pair Of Donors Resulting In The Reduction Of Molecular Oxygen To Two Molecules Of Water (GO:0016717)	2/7	0.00230989251851847	0.0788250821944429	0	0	37.322641509434	226.569121316891	SC5D;FADS1
9	Carboxy-Lyase Activity (GO:0016831)	3/27	0.00292339235554542	0.0886762347848777	0	0	11.707345971564	68.3124875074833	MVD;CSAD;PCK2
10	Glutathione Transferase Activity (GO:0004364)	3/28	0.00324860361757383	0.0886868787597656	0	0	11.2384834123223	64.3912282149226	GSTM2;GSTM1;GSTT1
11	Glutathione Binding (GO:0043295)	2/9	0.00390431488588977	0.0968979967134461	0	0	26.6563342318059	147.827311867087	GSTM2;GSTM1
12	Chemoattractant Activity (GO:0042056)	3/35	0.00614403467405313	0.139776788834709	0	0	8.77695497630332	44.694656461692	BMP4;VEGFB;PGF
13	Vascular Endothelial Growth Factor Receptor Binding (GO:0005172)	2/12	0.00700826351567012	0.147173533829072	0	0	18.6566037735849	92.5491674019823	VEGFB;PGF
14	Oxidoreductase Activity, Acting On The CH-NH Group Of Donors, NAD Or NADP As Acceptor (GO:0016646)	2/13	0.00822446617086264	0.153009186409189	0	0	16.9596912521441	81.4174042270882	PYCR1;ALDH1L2
15	Muscle Alpha-Actinin Binding (GO:0051371)	2/14	0.00952804457493119	0.153009186409189	0	0	15.5455974842767	72.3416830258685	SYNPO2;PDLIM4
16	Aldehyde Dehydrogenase (NAD+) Activity (GO:0004029)	2/14	0.00952804457493119	0.153009186409189	0	0	15.5455974842767	72.3416830258685	ALDH1A3;ALDH1L2
17	Aldehyde Dehydrogenase [NAD(P)+] Activity (GO:0004030)	2/14	0.00952804457493119	0.153009186409189	0	0	15.5455974842767	72.3416830258685	ALDH1A3;ALDH1L2
18	Amyloid-Beta Binding (GO:0001540)	4/79	0.01025122604249	0.155476928311098	0	0	5.00596825396825	22.9291265728576	ADRB2;APBB1;LDLR;SORL1
19	Protease Binding (GO:0002020)	5/125	0.0111476204634707	0.160173704554079	0	0	3.92065390749601	17.6293348377414	COL1A1;COL1A2;TIMP3;SERPINB9;LDLR
20	Water Transmembrane Transporter Activity (GO:0005372)	2/16	0.0123893963748976	0.169115260517352	0	0	13.3234501347709	58.5021277655492	SLC4A11;AQP5
21	Growth Factor Activity (GO:0008083)	4/85	0.0131503102913308	0.1709540337873	0	0	4.63374485596708	20.0701850814996	ARTN;VEGFB;PTN;PGF
22	Phosphatidylcholine Transporter Activity (GO:0008525)	2/17	0.0139432838318642	0.173023476640861	0	0	12.4345911949686	53.1299907035924	ABCA3;PLTP
23	Cholesterol Transfer Activity (GO:0120020)	2/18	0.0155767742432303	0.184889537756603	0	0	11.6568396226415	48.5154669834232	STARD4;PLTP
24	Sterol Transfer Activity (GO:0120015)	2/19	0.017288002791931	0.193298513859374	0	0	10.9705882352941	44.5158221135082	STARD4;PLTP
25	Actinin Binding (GO:0042805)	2/20	0.0190751351249388	0.193298513859374	0	0	10.3605870020964	41.021393400337	SYNPO2;PDLIM4
26	Sialyltransferase Activity (GO:0008373)	2/20	0.0190751351249388	0.193298513859374	0	0	10.3605870020964	41.021393400337	ST6GAL1;ST8SIA2
27	Polyubiquitin Modification-Dependent Protein Binding (GO:0031593)	3/53	0.0191174354366414	0.193298513859374	0	0	5.6121327014218	22.2080762314847	MINDY2;ZFAND2B;OPTN
28	Low-Density Lipoprotein Particle Receptor Binding (GO:0050750)	2/22	0.0228699234600959	0.222981753735935	0	0	9.32358490566038	35.2238755289087	PCSK9;APBB1
29	K63-linked Polyubiquitin Modification-Dependent Protein Binding (GO:0070530)	2/23	0.0248740592098288	0.226353938809442	0	0	8.87915543575921	32.7989770171526	MINDY2;OPTN
30	Alpha-Actinin Binding (GO:0051393)	2/23	0.0248740592098288	0.226353938809442	0	0	8.87915543575921	32.7989770171526	SYNPO2;PDLIM4
31	Lipoprotein Particle Receptor Binding (GO:0070325)	2/27	0.0335624818240042	0.262560061695163	0	0	7.45698113207547	25.3115774204758	PCSK9;APBB1
32	Adenyl Nucleotide Binding (GO:0030554)	2/31	0.0432478380134877	0.262560061695163	0	0	6.42713077423552	20.1863839775935	DHCR7;TM7SF2
33	Inorganic Anion Transmembrane Transporter Activity (GO:0015103)	2/32	0.045813250863374	0.262560061695163	0	0	6.2125786163522	19.1545100015694	CLCN6;SLC4A11
34	Actin Binding (GO:0003779)	5/183	0.0471968646734149	0.262560061695163	0	0	2.63534218590398	8.04682713250231	ABLIM1;SYNPO2;SYNPO;CORO2B;PDLIM4
35	Adenyl Ribonucleotide Binding (GO:0032559)	7/309	0.0490389931737005	0.262560061695163	0	0	2.18171929487795	6.57818806378194	ABCA1;ABCA2;ACSS2;MVK;PMVK;PDK4;ABCD1
36	MHC Protein Binding (GO:0042287)	2/34	0.051106545601199	0.262560061695163	0	0	5.82370283018868	17.3187761253411	COL2A1;TUBB2A
37	Sodium Ion Transmembrane Transporter Activity (GO:0015081)	2/34	0.051106545601199	0.262560061695163	0	0	5.82370283018868	17.3187761253411	SLC41A3;SLC4A11
38	1-Acylglycerophosphocholine O-acyltransferase Activity (GO:0047184)	1/5	0.0523721695960952	0.262560061695163	0	0	23.2183098591549	68.4796174164916	LPCAT3
39	High-Density Lipoprotein Particle Binding (GO:0008035)	1/5	0.0523721695960952	0.262560061695163	0	0	23.2183098591549	68.4796174164916	PLTP
40	Lactate Dehydrogenase Activity (GO:0004457)	1/5	0.0523721695960952	0.262560061695163	0	0	23.2183098591549	68.4796174164916	LDHB
41	Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Another Compound As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016716)	1/5	0.0523721695960952	0.262560061695163	0	0	23.2183098591549	68.4796174164916	MSMO1
42	alpha-N-acetylneuraminate Alpha-2,8-Sialyltransferase Activity (GO:0003828)	1/5	0.0523721695960952	0.262560061695163	0	0	23.2183098591549	68.4796174164916	ST8SIA2
43	Apolipoprotein Receptor Binding (GO:0034190)	1/5	0.0523721695960952	0.262560061695163	0	0	23.2183098591549	68.4796174164916	PCSK9
44	arachidonate-CoA Ligase Activity (GO:0047676)	1/5	0.0523721695960952	0.262560061695163	0	0	23.2183098591549	68.4796174164916	ACSL3
45	Protein Phosphatase 2B Binding (GO:0030346)	1/5	0.0523721695960952	0.262560061695163	0	0	23.2183098591549	68.4796174164916	ATP2B4
46	Cobalamin Binding (GO:0031419)	1/5	0.0523721695960952	0.262560061695163	0	0	23.2183098591549	68.4796174164916	MMAB
47	Retinyl-Palmitate Esterase Activity (GO:0050253)	1/5	0.0523721695960952	0.262560061695163	0	0	23.2183098591549	68.4796174164916	PLB1
48	NADP Binding (GO:0050661)	2/35	0.0538315503529527	0.262560061695163	0	0	5.64694110920526	16.499772075029	DHCR7;TM7SF2
49	Receptor Ligand Activity (GO:0048018)	7/319	0.0563099303264994	0.262560061695163	0	0	2.11070853462158	6.07226440773059	BMP4;SHH;ARTN;VEGFB;PTN;GDF6;PGF
50	Amino Acid Binding (GO:0016597)	2/36	0.0566069158042542	0.262560061695163	0	0	5.48057713651498	15.738157463212	CASTOR2;SESN2
51	Monoatomic Cation Transmembrane Transporter Activity (GO:0008324)	2/37	0.0594312636651613	0.262560061695163	0	0	5.32371967654987	15.0285138957053	SLC4A11;CALHM5
52	Galactosidase Activity (GO:0015925)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	NAGA
53	CDP-alcohol Phosphatidyltransferase Activity (GO:0017169)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	PGF
54	Leucine Binding (GO:0070728)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	SESN2
55	MHC Class II Protein Binding (GO:0042289)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	COL2A1
56	Morphogen Activity (GO:0016015)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	SHH
57	Nitric-Oxide Synthase Binding (GO:0050998)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	ATP2B4
58	acetyl-CoA C-acyltransferase Activity (GO:0003988)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	ACAT2
59	Oxysterol Binding (GO:0008142)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	INSIG1
60	Patched Binding (GO:0005113)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	SHH
61	Phosphatidic Acid Transfer Activity (GO:1990050)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	PLTP
62	Aryl Hydrocarbon Receptor Binding (GO:0017162)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	ARNT2
63	Cell-Matrix Adhesion Mediator Activity (GO:0098634)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	ITGA11
64	Ceramide Transfer Activity (GO:0120017)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	PLTP
65	Proton Channel Activity (GO:0015252)	1/6	0.0625143004036103	0.262560061695163	0	0	18.5737089201878	51.4930065838464	SLC4A11
66	Fructose Transmembrane Transporter Activity (GO:0005353)	1/7	0.0725483872640994	0.264076129641322	0	0	15.4773082942097	40.6047419777833	SLC2A3
67	2-Acylglycerol-3-Phosphate O-acyltransferase Activity (GO:0047144)	1/7	0.0725483872640994	0.264076129641322	0	0	15.4773082942097	40.6047419777833	LPCAT3
68	CD4 Receptor Binding (GO:0042609)	1/7	0.0725483872640994	0.264076129641322	0	0	15.4773082942097	40.6047419777833	PLSCR4
69	Neurotrophin Binding (GO:0043121)	1/7	0.0725483872640994	0.264076129641322	0	0	15.4773082942097	40.6047419777833	PCSK6
70	Neutral L-amino Acid:Sodium Symporter Activity (GO:0005295)	1/7	0.0725483872640994	0.264076129641322	0	0	15.4773082942097	40.6047419777833	SLC6A9
71	Phosphatidylethanolamine Binding (GO:0008429)	1/7	0.0725483872640994	0.264076129641322	0	0	15.4773082942097	40.6047419777833	PLTP
72	Arginine Binding (GO:0034618)	1/7	0.0725483872640994	0.264076129641322	0	0	15.4773082942097	40.6047419777833	CASTOR2
73	Retinal Dehydrogenase Activity (GO:0001758)	1/7	0.0725483872640994	0.264076129641322	0	0	15.4773082942097	40.6047419777833	ALDH1A3
74	Dehydroascorbic Acid Transmembrane Transporter Activity (GO:0033300)	1/7	0.0725483872640994	0.264076129641322	0	0	15.4773082942097	40.6047419777833	SLC2A3
75	Sodium Channel Inhibitor Activity (GO:0019871)	1/7	0.0725483872640994	0.264076129641322	0	0	15.4773082942097	40.6047419777833	PCSK9
76	Endopeptidase Regulator Activity (GO:0061135)	2/42	0.07424112370605	0.266681931207259	0	0	4.65707547169811	12.1104316221695	ABCA2;APH1B
77	ATP Binding (GO:0005524)	6/279	0.0799456317955151	0.268045619793735	0	0	2.06181318681319	5.20898231500841	ABCA1;ABCA2;MVK;PMVK;PDK4;ABCD1
78	Oxidoreductase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0016616)	3/95	0.0819262807764968	0.268045619793735	0	0	3.04358128992376	7.61484392724515	LDHB;NSDHL;DCXR
79	L-lysine Transmembrane Transporter Activity (GO:0015189)	1/8	0.0824755753211491	0.268045619793735	0	0	13.2655935613682	33.1010132741235	SLC7A2
80	Lysophospholipid Acyltransferase Activity (GO:0071617)	1/8	0.0824755753211491	0.268045619793735	0	0	13.2655935613682	33.1010132741235	LPCAT3
81	P-type Calcium Transporter Activity (GO:0005388)	1/8	0.0824755753211491	0.268045619793735	0	0	13.2655935613682	33.1010132741235	ATP2B4
82	Carbonyl Reductase (NADPH) Activity (GO:0004090)	1/8	0.0824755753211491	0.268045619793735	0	0	13.2655935613682	33.1010132741235	DCXR
83	Prenyltransferase Activity (GO:0004659)	1/8	0.0824755753211491	0.268045619793735	0	0	13.2655935613682	33.1010132741235	FDPS
84	Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004112)	1/8	0.0824755753211491	0.268045619793735	0	0	13.2655935613682	33.1010132741235	CNP
85	Potassium Channel Regulator Activity (GO:0015459)	2/45	0.0836316121977826	0.268605060352878	0	0	4.33150504607284	10.7479094166811	KCNIP1;ADRB2
86	Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538)	2/46	0.0868385429002981	0.275661886183504	0	0	4.23284734133791	10.3438289984673	CDKN2B;CCNG2
87	Glycine Transmembrane Transporter Activity (GO:0015187)	1/9	0.0922969977803603	0.276890993341081	0	0	11.6068075117371	27.6560470666687	SLC6A9
88	Voltage-Gated Chloride Channel Activity (GO:0005247)	1/9	0.0922969977803603	0.276890993341081	0	0	11.6068075117371	27.6560470666687	CLCN6
89	Phosphatidylinositol Transfer Activity (GO:0008526)	1/9	0.0922969977803603	0.276890993341081	0	0	11.6068075117371	27.6560470666687	PLTP
90	Clathrin Heavy Chain Binding (GO:0032050)	1/9	0.0922969977803603	0.276890993341081	0	0	11.6068075117371	27.6560470666687	LDLR
