Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4346	22/49	5.66424852776255e-31	4.8712537338758e-29	0	0	83.8537808641975	5840.07737389052	ABCA1;SREBF1;FDPS;MVK;HMGCS1;MSMO1;DHCR24;ACSL3;LSS;TM7SF2;FADS2;SQLE;NSDHL;PMVK;SCD2;ACOT2;SC5D;MVD;SCD1;DHCR7;FADS1;FDFT1
2	Cholesterol Biosynthesis WP103	12/15	7.29358666074579e-22	3.13624226412069e-20	0	0	391.742574257426	19066.0627572736	FDPS;SQLE;NSDHL;MVK;HMGCS1;PMVK;SC5D;MSMO1;MVD;DHCR7;LSS;FDFT1
3	Focal Adhesion WP85	10/185	3.16668364690724e-05	0.000907782645446742	0	0	5.49327731092437	56.9116745845029	COL1A1;COL1A2;COL2A1;ITGB4;COL6A2;ITGA11;VEGFB;PGF;MYLK;MAP2K6
4	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	13/324	4.93879211209106e-05	0.000928399802642264	0	0	4.0500871846555	40.159873441347	SREBF1;ITGB4;VEGFB;SLC2A3;PGF;COL1A1;COL1A2;COL2A1;GNG2;PIK3IP1;COL6A2;DDIT4;ITGA11
5	Glutathione metabolism WP164	4/20	5.39767327117596e-05	0.000928399802642264	0	0	23.5357142857143	231.284463546243	GSTM2;IDH1;GSTT1;GSTM7
6	PPAR signaling pathway WP2316	6/81	0.000232853804875813	0.00333757120321999	0	0	7.58115384615385	63.4171081296079	FADS2;SCD2;SCD1;ACSL3;PLTP;PCK2
7	Endochondral Ossification WP1270	5/62	0.000527727777816326	0.00648351269888629	0	0	8.28044992864938	62.4919758105101	COL2A1;THRA;HMGCS1;MGP;TIMP3
8	Adipogenesis genes WP447	7/134	0.000606451148067402	0.00651934984172457	0	0	5.23462284605729	38.7774912863533	BMP4;SREBF1;TRIB3;AHR;SCD1;LPIN1;PCK2
9	Statin Pathway WP1	3/19	0.00103137262088693	0.00959424975505617	0	0	17.5681279620853	120.813639418993	ABCA1;PLTP;LDLR
10	Aflatoxin B1 metabolism WP1262	2/5	0.00111561043663444	0.00959424975505617	0	0	62.2106918238994	422.930277427221	GSTM1;GSTT1
11	Fatty Acid Biosynthesis WP336	3/22	0.00160084935275966	0.0125157313033937	0	0	14.7919680718384	95.2191666914397	ACSS2;ACSL3;SCD1
12	Amino Acid metabolism WP662	5/95	0.00355737608919537	0.0254945286392335	0	0	5.23551302498671	29.5216551417786	GPT2;IDH1;CTH;PDK4;PYCR1
13	SREBF and miR33 in cholesterol and lipid homeostasis WP2084	2/11	0.00588146045252237	0.0389081229936095	0	0	20.730607966457	106.471369543372	SREBF1;LDLR
14	Heart Development WP2067	3/44	0.0115899676114563	0.0711955153275175	0	0	6.84718529649752	30.5221187349665	BMP4;SHH;VEGFB
