Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Positive Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0045741)	3/10	5.05324892217252e-06	0.00208340943204359	0	0	125.558823529412	1531.25001703965	AREG;EREG;HBEGF
2	Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0045742)	4/33	5.51896538289693e-06	0.00208340943204359	0	0	40.9675759135358	496.007557185705	PLAUR;AREG;EREG;HBEGF
3	Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098)	4/38	9.82322016568247e-06	0.00247217707503009	0	0	34.9341527655838	402.817386198265	PDGFB;AREG;EREG;HBEGF
4	Positive Regulation Of Cell Population Proliferation (GO:0008284)	9/483	5.11754526341238e-05	0.00965936668469088	0	0	5.9580440996325	58.8669686807536	LEF1;PDGFB;LIF;HMOX1;SCN5A;TIMP1;AREG;EREG;HBEGF
5	Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0007176)	3/26	0.000105115158422296	0.0116684463162037	0	0	38.1828644501279	349.772375747732	AREG;EREG;HBEGF
6	Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429)	3/27	0.000117953989137879	0.0116684463162037	0	0	36.5900735294118	330.965116044892	PTGS2;ASS1;KLF2
7	Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949)	2/5	0.0001233961468319	0.0116684463162037	0	0	192.521739130435	1732.71695894091	EGR1;NAB2
8	Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407)	3/28	0.000131772730007186	0.0116684463162037	0	0	35.1247058823529	313.819291366366	PTGS2;ASS1;KLF2
9	Positive Regulation Of Cytokine Production (GO:0001819)	7/320	0.000139094062047462	0.0116684463162037	0	0	6.85463258785942	60.8716060645887	PTGER4;CCBE1;EGR1;SERPINE1;HMOX1;PTGS2;EREG
10	Positive Regulation Of Cellular Process (GO:0048522)	9/594	0.000244390925486316	0.0169536416778106	0	0	4.8	39.9203590133643	RPS6KA3;LEF1;PDGFB;LIF;CCN2;TIMP1;AREG;EREG;HBEGF
11	Peptidyl-Serine Phosphorylation (GO:0018105)	5/158	0.000247006699941611	0.0169536416778106	0	0	9.79203802733215	81.3335990429237	RPS6KA3;DYRK3;MAST4;PLK2;PDGFB
12	Positive Regulation Of Signaling Receptor Activity (GO:2000273)	3/36	0.000281412713437762	0.0177055498871259	0	0	26.5989304812834	217.464563001164	AREG;EREG;HBEGF
13	Peptidyl-Serine Modification (GO:0018209)	5/166	0.00031031665216989	0.018022236337559	0	0	9.30171277997365	75.1384668008395	RPS6KA3;DYRK3;MAST4;PLK2;PDGFB
14	Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428)	3/39	0.000357464467676697	0.019277548078279	0	0	24.3786764705882	193.480746392583	PTGS2;ASS1;KLF2
15	Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	5/174	0.000385239189538678	0.0193903725401135	0	0	8.85780885780886	69.6369588606422	EGR1;PDGFB;PTGS2;ASS1;KLF2
16	Regulation Of Tau-Protein Kinase Activity (GO:1902947)	2/9	0.000440161889353639	0.0195483662624704	0	0	82.4927536231884	637.534354724299	EGR1;NAB2
17	Response To Laminar Fluid Shear Stress (GO:0034616)	2/9	0.000440161889353639	0.0195483662624704	0	0	82.4927536231884	637.534354724299	ASS1;KLF2
18	Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173)	3/45	0.000546635476398716	0.0229283213711684	0	0	20.8897058823529	156.917796585025	AREG;EREG;HBEGF
19	Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536)	3/46	0.000583290040726016	0.0231781042499022	0	0	20.4028727770178	151.936643437275	PDGFB;HMOX1;PTGS2
20	Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661)	3/47	0.000621480145347529	0.0234608754868692	0	0	19.9381684491979	147.211604397444	PDGFB;HMOX1;EREG
21	Magnesium Ion Transport (GO:0015693)	2/11	0.000669387223750471	0.0240660644729336	0	0	64.1545893719807	468.915379328079	NIPAL1;SLC41A2
22	Cell Chemotaxis (GO:0060326)	3/50	0.000745520856643999	0.0255849203075554	0	0	18.662703379224	134.398104358423	LEF1;PDGFB;HBEGF
23	Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0043618)	2/12	0.000801422123683058	0.0263075523209004	0	0	57.736231884058	411.608684446225	HMOX1;KLF2
24	ERBB Signaling Pathway (GO:0038127)	3/54	0.000933939466384756	0.0279635821750515	0	0	17.1955017301038	119.957521271553	AREG;EREG;HBEGF
25	Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)	3/54	0.000933939466384756	0.0279635821750515	0	0	17.1955017301038	119.957521271553	PDGFB;HMOX1;EREG
26	Positive Regulation Of Epithelial Cell Proliferation (GO:0050679)	4/123	0.000962984286822967	0.0279635821750515	0	0	9.93854258121159	69.0278837607052	JAML;PDGFB;SCN5A;AREG
27	Endoderm Development (GO:0007492)	2/14	0.00109992913671719	0.0307572777119066	0	0	48.1086956521739	327.740947241599	DUSP5;DUSP2
28	Regulation Of Fibrinolysis (GO:0051917)	2/16	0.00144381428927147	0.0351638641419341	0	0	41.231884057971	269.675771063559	SERPINE1;PLAUR
29	Regulation Of Plasminogen Activation (GO:0010755)	2/16	0.00144381428927147	0.0351638641419341	0	0	41.231884057971	269.675771063559	SERPINE1;PLAUR
30	Chondroitin Sulfate Metabolic Process (GO:0030204)	2/16	0.00144381428927147	0.0351638641419341	0	0	41.231884057971	269.675771063559	CHST11;DSEL
31	Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050)	2/16	0.00144381428927147	0.0351638641419341	0	0	41.231884057971	269.675771063559	HMOX1;PTGS2
32	Positive Regulation Of Protein Kinase Activity (GO:0045860)	4/145	0.00176746651047341	0.041701162981482	0	0	8.37853286757701	53.1048849525058	EGR1;NAB2;PDGFB;EREG
33	T-helper Cell Differentiation (GO:0042093)	2/18	0.00183243759471443	0.0419239510305877	0	0	36.0742753623188	227.343985830745	PTGER4;LEF1
34	Regulation Of Smooth Muscle Cell Migration (GO:0014910)	2/19	0.00204332785494864	0.0453738979554771	0	0	33.9505541346974	210.261740037946	SERPINE1;PDGFB
35	Positive Regulation Of Response To External Stimulus (GO:0032103)	4/155	0.00225349963992794	0.0486112065184457	0	0	7.81970940001977	47.6632469617294	PTGER4;SERPINE1;PDGFB;EREG
36	Regulation Of Stress Fiber Assembly (GO:0051492)	3/75	0.00241082418175347	0.0505603404784408	0	0	12.1672794117647	73.3417638674165	PTGER4;CCN2;CGNL1
37	Positive Regulation Of Multicellular Organismal Process (GO:0051240)	6/387	0.00250906894102527	0.0511985689317319	0	0	4.73603876438522	28.3586590943906	PTGER4;SERPINE1;LEF1;PDGFB;SPP1;EREG
38	Wound Healing (GO:0042060)	3/80	0.0028964910526098	0.0572471668300782	0	0	11.3743315508021	66.4744969545793	JAML;HMOX1;EREG
39	Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042)	2/23	0.00299558443227735	0.0572471668300782	0	0	27.4782608695652	159.665620350183	SERPINE1;HMOX1
40	Metal Ion Transport (GO:0030001)	4/171	0.00321136208163267	0.0572471668300782	0	0	7.06479578157119	40.5594172281122	NIPAL1;SLC41A2;SCN5A;SLC4A4
41	ERK1 And ERK2 Cascade (GO:0070371)	2/24	0.00326043466714353	0.0572471668300782	0	0	26.2279314888011	150.178375451453	PTGER4;DUSP5
42	Iron Ion Transport (GO:0006826)	2/24	0.00326043466714353	0.0572471668300782	0	0	26.2279314888011	150.178375451453	SLC41A2;F3
43	Positive Regulation Of Vascular Endothelial Growth Factor Production (GO:0010575)	2/24	0.00326043466714353	0.0572471668300782	0	0	26.2279314888011	150.178375451453	CCBE1;PTGS2
44	Regulation Of Protein Processing (GO:0070613)	2/25	0.00353584562017578	0.0606718964371071	0	0	25.0863264020164	141.607365380661	CCBE1;PLAUR
45	Positive Regulation Of Nuclear Division (GO:0051785)	2/26	0.00382174112768619	0.0627264032913712	0	0	24.0398550724638	133.831055170806	PDGFB;EREG
46	Regulation Of Vascular Endothelial Growth Factor Production (GO:0010574)	2/26	0.00382174112768619	0.0627264032913712	0	0	24.0398550724638	133.831055170806	CCBE1;PTGS2
47	Positive Regulation Of Fibroblast Proliferation (GO:0048146)	2/28	0.00442468311968606	0.0710773564970845	0	0	22.1884057971014	120.273509807731	PDGFB;EREG
48	Regulation Of Blood Coagulation (GO:0030193)	2/29	0.00474157924005201	0.0745810901299847	0	0	21.365539452496	114.335227893333	SERPINE1;PLAUR
49	Regulation Of Cell Differentiation (GO:0045595)	4/193	0.0049363416139562	0.0750360330154981	0	0	6.23548922056385	33.1174987658046	RPS6KA3;LEF1;LIF;CCN2
50	Negative Regulation Of Blood Coagulation (GO:0030195)	2/30	0.00506865918382835	0.0750360330154981	0	0	20.6014492753623	108.87204547206	SERPINE1;PDGFB
51	Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049)	2/30	0.00506865918382835	0.0750360330154981	0	0	20.6014492753623	108.87204547206	HMOX1;PTGS2
52	Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041)	2/31	0.00540584874021848	0.0770078452616029	0	0	19.8900549725137	103.831533082331	SERPINE1;HMOX1
53	Positive Regulation Of Mononuclear Cell Migration (GO:0071677)	2/31	0.00540584874021848	0.0770078452616029	0	0	19.8900549725137	103.831533082331	SERPINE1;JAM2
54	Transition Metal Ion Transport (GO:0000041)	2/32	0.00575307408446614	0.0795387524261181	0	0	19.2260869565217	99.1685591861296	SLC41A2;F3
55	Regulation Of MAPK Cascade (GO:0043408)	4/204	0.00599525114051468	0.0795387524261181	0	0	5.88925373134328	30.1340604641298	DUSP5;DUSP2;PDGFB;LIF
56	Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173)	2/33	0.00611026177578126	0.0795387524261181	0	0	18.6049555867228	94.8440758486946	PDGFB;KLF2
