Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Transmembrane Receptor Protein Tyrosine Kinase Activator Activity (GO:0030297)	3/12	9.21720330437406e-06	0.00103232677008989	0	0	97.6470588235294	1132.16285686964	AREG;EREG;HBEGF
Receptor Ligand Activity (GO:0048018)	7/319	0.000136432919246492	0.00547320831031145	0	0	6.876953125	61.2026649829051	SEMA7A;PDGFB;LIF;TIMP1;AREG;EREG;HBEGF
Protein Tyrosine Kinase Activator Activity (GO:0030296)	3/29	0.000146603794026199	0.00547320831031145	0	0	33.7720588235294	298.132200366929	AREG;EREG;HBEGF
MAP Kinase Tyrosine Phosphatase Activity (GO:0033550)	2/9	0.000440161889353639	0.0082163552679346	0	0	82.4927536231884	637.534354724299	DUSP5;DUSP2
MAP Kinase Tyrosine/Serine/Threonine Phosphatase Activity (GO:0017017)	2/9	0.000440161889353639	0.0082163552679346	0	0	82.4927536231884	637.534354724299	DUSP5;DUSP2
Protein Tyrosine/Threonine Phosphatase Activity (GO:0008330)	2/9	0.000440161889353639	0.0082163552679346	0	0	82.4927536231884	637.534354724299	DUSP5;DUSP2
MAP Kinase Phosphatase Activity (GO:0033549)	2/14	0.00109992913671719	0.017598866187475	0	0	48.1086956521739	327.740947241599	DUSP5;DUSP2
Protein Tyrosine/Serine/Threonine Phosphatase Activity (GO:0008138)	2/23	0.00299558443227735	0.0419381820518829	0	0	27.4782608695652	159.665620350183	DUSP5;DUSP2
Growth Factor Activity (GO:0008083)	3/85	0.0034383610832529	0.0427884934804806	0	0	10.6780846484935	60.5742152123201	PDGFB;LIF;HBEGF
Protease Binding (GO:0002020)	3/125	0.0100016292269986	0.112018247342385	0	0	7.16260848601736	32.983864197251	CCBE1;SERPINE1;TIMP1
Double-Stranded Methylated DNA Binding (GO:0010385)	1/5	0.0176260304057791	0.134306922238276	0	0	71.1607142857143	287.373896428125	EGR1
Symporter Activity (GO:0015293)	1/6	0.0211143151809355	0.134306922238276	0	0	56.9257142857143	219.608249637401	SLC4A4
Nitric-Oxide Synthase Binding (GO:0050998)	1/6	0.0211143151809355	0.134306922238276	0	0	56.9257142857143	219.608249637401	SCN5A
Armadillo Repeat Domain Binding (GO:0070016)	1/7	0.0245903887041511	0.134306922238276	0	0	47.4357142857143	175.768277473899	LEF1
