Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Lung fibrosis WP3632	5/61	2.49088557650464e-06	0.000114580736519213	0	0	26.8844696969697	346.886878210699	PDGFB;SPP1;HMOX1;TIMP1;CCN2
2	TGF Beta Signaling Pathway WP113	4/52	3.47033195736655e-05	0.000798176350194307	0	0	24.7276119402985	253.919815749667	SERPINE1;LEF1;SPP1;LIF
3	ErbB signaling pathway WP1261	3/46	0.000583290040726016	0.00683902657505094	0	0	20.4028727770178	151.936643437275	AREG;EREG;HBEGF
4	PluriNetWork WP1763	6/292	0.000594697963047908	0.00683902657505094	0	0	6.33986013986014	47.0890379816264	LEF1;JADE1;SPP1;LIF;MYBL2;KLF2
5	Osteoclast WP454	2/14	0.00109992913671719	0.0101193480577982	0	0	48.1086956521739	327.740947241599	PDGFB;SPP1
6	Complement and Coagulation Cascades WP449	3/62	0.00139544332683206	0.0106983988390458	0	0	14.857926221336	97.6840765741026	SERPINE1;PLAUR;F3
7	Prostaglandin Synthesis and Regulation WP374	2/31	0.00540584874021848	0.0355241488642929	0	0	19.8900549725137	103.831533082331	PTGER4;PTGS2
8	Insulin Signaling WP65	3/159	0.0190025043518211	0.0942337881128452	0	0	5.59191176470588	22.1617780341076	RPS6KA3;EGR1;RRAD
9	MAPK signaling pathway WP493	3/159	0.0190025043518211	0.0942337881128452	0	0	5.59191176470588	22.1617780341076	RPS6KA3;DUSP5;PDGFB
10	Endochondral Ossification WP1270	2/62	0.0204856061114881	0.0942337881128452	0	0	9.59855072463768	37.3194798613123	CHST11;SPP1
11	Eicosanoid Lipid Synthesis Map WP4335	1/9	0.0315060693676755	0.13175265371937	0	0	35.5732142857143	122.997058993997	PTGS2
12	Macrophage markers WP2271	1/10	0.0349457600054769	0.133958746687661	0	0	31.6190476190476	106.048961940834	F3
13	Spinal Cord Injury WP2432	2/99	0.0483425778186248	0.157980176614076	0	0	5.92619154340356	17.9530569887813	EGR1;CHST11
14	Keap1-Nrf2 WP1245	1/14	0.0485844938901796	0.157980176614076	0	0	21.8857142857143	66.1922672780771	HMOX1
15	Alanine and aspartate metabolism WP240	1/15	0.0519643766701575	0.157980176614076	0	0	20.3214285714286	60.0944647458803	ASS1
16	Small Ligand GPCRs WP353	1/18	0.0620331594172908	0.157980176614076	0	0	16.7327731092437	46.5185517358437	PTGER4
17	Eicosanoid Synthesis WP318	1/18	0.0620331594172908	0.157980176614076	0	0	16.7327731092437	46.5185517358437	PTGS2
18	ESC Pluripotency Pathways WP339	2/118	0.0659263221014817	0.157980176614076	0	0	4.95077461269365	13.4622329273401	PDGFB;LIF
