Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Neutrophil Chemotaxis (GO:0030593)	5/70	0.000217803825366448	0.117303831832393	0	0	10.0759042282221	84.9591758995517	CXADR;KLF5;CCL7;PDE4B;CCL2
Granulocyte Chemotaxis (GO:0071621)	5/73	0.000265281529976844	0.117303831832393	0	0	9.62991819244254	79.2996695241688	CXADR;KLF5;CCL7;PDE4B;CCL2
Neutrophil Migration (GO:1990266)	5/77	0.000340339937618161	0.117303831832393	0	0	9.09308314937454	72.6134122075784	CXADR;KLF5;CCL7;PDE4B;CCL2
DNA Repair (GO:0006281)	9/291	0.000477283828264353	0.123099137346561	0	0	4.24706904038211	32.4790324506798	ALKBH2;WDHD1;POLQ;POLE2;CHEK1;XRCC3;ERCC8;UBE2V1;UNG
Double-Strand Break Repair Via Synthesis-Dependent Strand Annealing (GO:0045003)	2/5	0.000595256950418575	0.123099137346561	0	0	85.8917748917749	637.876760423899	HELQ;XRCC3
Sprouting Angiogenesis (GO:0002040)	4/52	0.000720602389582104	0.124183811804649	0	0	10.8530701754386	78.5265540406897	GREM1;TGFB1;BMPER;VEGFC
Peptidyl-Threonine Phosphorylation (GO:0018107)	4/58	0.00108917023462261	0.159917228584991	0	0	9.64424951267057	65.7963407842628	HIPK4;CHEK1;LMTK2;CDK5R1
Collecting Duct Development (GO:0072044)	2/7	0.00123727062735003	0.159917228584991	0	0	51.5298701298701	344.984618727646	WNT7B;DACT2
Peptidyl-Threonine Modification (GO:0018210)	4/66	0.0017632048249997	0.165213383858897	0	0	8.39643463497453	53.2386198684248	HIPK4;CHEK1;LMTK2;CDK5R1
Protein Phosphorylation (GO:0006468)	11/500	0.0019211321685133	0.165213383858897	0	0	3.0026796417742	18.7812825190394	HIPK4;TGFB1;CDK6;CHEK1;LMTK2;PRKG2;FAM20C;CCL2;CDC7;SGK1;CDK5R1
DNA Metabolic Process (GO:0006259)	8/288	0.00193977206819161	0.165213383858897	0	0	3.77683397683398	23.5870261572105	WDHD1;POLQ;POLE2;CHEK1;ORC2;XRCC3;MCM10;UNG
Negative Regulation Of Osteoblast Differentiation (GO:0045668)	3/32	0.00195569461746066	0.165213383858897	0	0	13.3975659229209	83.5607505683468	GREM1;CDK6;TWIST2
DNA-templated DNA Replication (GO:0006261)	4/69	0.00207715086089523	0.165213383858897	0	0	8.00769230769231	49.4615783453765	WDHD1;POLE2;ORC2;MCM10
Extracellular Matrix Organization (GO:0030198)	6/176	0.00261094927441124	0.189696109841186	0	0	4.62917647058824	27.534533374132	GREM1;ADAMTS14;TGFB1;COL7A1;NID1;MMP10
Positive Regulation Of Signaling Receptor Activity (GO:2000273)	3/36	0.00275187780233828	0.189696109841186	0	0	11.7712418300654	69.3970238259719	BTC;GREM1;CCL2
Macrophage Chemotaxis (GO:0048246)	2/11	0.00317471387319319	0.196629711149383	0	0	28.6219336219336	164.648754192795	KLF5;CCL2
DNA Damage Response (GO:0006974)	9/384	0.00324380505525737	0.196629711149383	0	0	3.17861224489796	18.216652962428	WDHD1;POLQ;POLE2;CHEK1;XRCC3;ERCC8;MCM10;WDR76;UNG
Macrophage Migration (GO:1905517)	2/12	0.0037902094212865	0.196629711149383	0	0	25.7584415584416	143.611915140146	KLF5;CCL2
Protein Modification Process (GO:0036211)	13/711	0.0038453841670399	0.196629711149383	0	0	2.49361812972128	13.8667155929517	TGFB1;LMTK2;JADE3;SERP2;CDK6;HLCS;CHEK1;UST;LORICRIN;PRKG2;FAM20C;CCL2;SGK1
