Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050)	3/16	0.000122798611879959	0.103789442041076	0	0	37.8823903369358	341.129593275052	HMOX1;GATA2;PTGS2
Positive Regulation Of Cell Population Proliferation (GO:0008284)	11/483	0.00021159927021626	0.103789442041076	0	0	4.00187490625469	33.8591284648917	FGF5;NR4A3;SPHK1;WNT5A;HMOX1;PTK2B;HAS2;SCN5A;STX3;DYNAP;HBEGF
Positive Regulation Of Vasculature Development (GO:1904018)	5/104	0.000476052304155893	0.107696012938498	0	0	8.3935998641881	64.2108948184961	SPHK1;SERPINE1;WNT5A;HMOX1;GATA2
Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429)	3/27	0.000610255945665535	0.107696012938498	0	0	20.5082644628099	151.794628680921	PTGS2;ASS1;KLF2
Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407)	3/28	0.000680405339581882	0.107696012938498	0	0	19.6869421487603	143.573361857507	PTGS2;ASS1;KLF2
Negative Regulation Of Neural Precursor Cell Proliferation (GO:2000178)	2/7	0.000784613660254309	0.107696012938498	0	0	65.1508196721311	465.849151186	WNT5A;GATA2
Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049)	3/30	0.000835654521880821	0.107696012938498	0	0	18.22681359045	129.178809958749	HMOX1;GATA2;PTGS2
Positive Regulation Of Angiogenesis (GO:0045766)	5/119	0.000878254947510688	0.107696012938498	0	0	7.28365030222615	51.2592253222915	SPHK1;SERPINE1;WNT5A;HMOX1;GATA2
Positive Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903589)	2/8	0.00104190877220747	0.113568056170614	0	0	54.2896174863388	372.790564719257	HMOX1;GATA2
Response To Laminar Fluid Shear Stress (GO:0034616)	2/9	0.00133416631015617	0.13088171502632	0	0	46.5316159250585	308.013643100497	ASS1;KLF2
Positive Regulation Of Endocytosis (GO:0045807)	4/79	0.00147739102432811	0.131756417715079	0	0	8.80044444444444	57.3566992568932	IL15RA;SERPINE1;GATA2;F3
Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428)	3/39	0.00180622484725744	0.141672319414237	0	0	13.66391184573	86.3083223270184	PTGS2;ASS1;KLF2
Cellular Response To Fluid Shear Stress (GO:0071498)	2/11	0.00202182718837851	0.141672319414237	0	0	36.1876138433515	224.499040659383	HAS2;KLF2
Magnesium Ion Transport (GO:0015693)	2/11	0.00202182718837851	0.141672319414237	0	0	36.1876138433515	224.499040659383	NIPAL1;SLC41A2
Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0043618)	2/12	0.00241636972448482	0.158030579981307	0	0	32.5672131147541	196.233383698395	HMOX1;KLF2
Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536)	3/46	0.00290713207048517	0.178243535071622	0	0	11.4355179704017	66.7901516224742	HMOX1;GATA2;PTGS2
Hyaluronan Metabolic Process (GO:0030212)	2/14	0.00330475645952536	0.184375139003414	0	0	27.1366120218579	155.014978904628	TNFAIP6;HAS2
Positive Regulation Of Cytokine Production (GO:0001819)	7/320	0.00384196668476972	0.184375139003414	0	0	3.73941181289424	20.7977517517132	CCBE1;SPHK1;SERPINE1;WNT5A;HMOX1;IRF5;PTGS2
Regulation Of Fibrinolysis (GO:0051917)	2/16	0.00432276064941746	0.184375139003414	0	0	23.2576112412178	126.611203756924	SERPINE1;PLAUR
Regulation Of Plasminogen Activation (GO:0010755)	2/16	0.00432276064941746	0.184375139003414	0	0	23.2576112412178	126.611203756924	SERPINE1;PLAUR
Chondroitin Sulfate Metabolic Process (GO:0030204)	2/16	0.00432276064941746	0.184375139003414	0	0	23.2576112412178	126.611203756924	CHST11;DSEL
Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081)	2/16	0.00432276064941746	0.184375139003414	0	0	23.2576112412178	126.611203756924	NR4A3;WNT5A
Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903587)	2/16	0.00432276064941746	0.184375139003414	0	0	23.2576112412178	126.611203756924	HMOX1;GATA2
Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131)	2/17	0.00487933937346942	0.19146527701494	0	0	21.7060109289617	115.535570748507	WNT5A;PTK2B
