Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098)	3/38	1.2458697138517e-05	0.00241364104287176	0	0	81.3918367346939	919.165468843585	PDGFB;AREG;EREG
Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949)	2/5	1.37695251714827e-05	0.00241364104287176	0	0	605.242424242424	6774.51036815808	EGR1;NAB2
Positive Regulation Of Cell Population Proliferation (GO:0008284)	6/483	1.78788225397908e-05	0.00241364104287176	0	0	13.6261355695318	148.959464823029	LEF1;LIF;PDGFB;TIMP1;AREG;EREG
Positive Regulation Of Protein Kinase Activity (GO:0045860)	4/145	2.51574309150122e-05	0.00254718988014498	0	0	28.1347517730496	297.957072170256	EGR1;NAB2;PDGFB;EREG
Regulation Of Tau-Protein Kinase Activity (GO:1902947)	2/9	4.94256962288309e-05	0.00357192372235419	0	0	259.337662337662	2571.34332214957	EGR1;NAB2
Positive Regulation Of Cellular Process (GO:0048522)	6/594	5.70386247411251e-05	0.00357192372235419	0	0	10.9909297052154	107.400967876021	LEF1;LIF;PDGFB;TIMP1;AREG;EREG
Positive Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0045741)	2/10	6.17369532258749e-05	0.00357192372235419	0	0	226.909090909091	2199.3453827158	AREG;EREG
Positive Regulation Of Multicellular Organismal Process (GO:0051240)	5/387	8.29571575443364e-05	0.00419970610068203	0	0	13.4982088729678	126.845182923214	PTGER4;LEF1;PDGFB;SPP1;EREG
Regulation Of MAPK Cascade (GO:0043408)	4/204	9.5159746559803e-05	0.00428218859519114	0	0	19.776	183.124841124753	DUSP5;DUSP2;LIF;PDGFB
Endoderm Development (GO:0007492)	2/14	0.000124480947880634	0.00504147838916568	0	0	151.242424242424	1359.87476343208	DUSP5;DUSP2
T-helper Cell Differentiation (GO:0042093)	2/18	0.00020868016842799	0.00766858541872221	0	0	113.409090909091	961.10890422201	PTGER4;LEF1
Positive Regulation Of Gene Expression (GO:0010628)	5/480	0.000227217345739917	0.00766858541872221	0	0	10.8038781163435	90.6402539646869	PTGER4;EGR1;LEF1;PDGFB;EREG
ERK1 And ERK2 Cascade (GO:0070371)	2/24	0.000374792524302161	0.0111548638103881	0	0	82.4545454545455	650.495283994842	PTGER4;DUSP5
