Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Negative Regulation Of Amyloid-Beta Formation (GO:1902430)	6/16	2.2704710076771e-06	0.00557400632384729	0	0	22.0661625708885	286.7613288524	RTN2;PRNP;RTN1;APOE;CLU;SORL1
2	Negative Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902992)	6/18	5.02849427080139e-06	0.00617247671740871	0	0	18.3865784499055	224.323427273573	RTN2;PRNP;RTN1;APOE;CLU;SORL1
3	Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	20/244	9.91656899728349e-06	0.00811505896277699	0	0	3.33581830790569	38.4329753587384	PDGFRA;SYK;PSCA;ANGPT1;FBLN1;NPNT;MT3;MTURN;GAREM1;THPO;DDT;PDGFD;CCL5;ROR1;EMILIN1;SPRY1;APOE;EPHB2;GAS6;FGFR2
4	Regulation Of Cell Migration (GO:0030334)	27/434	4.76007331626518e-05	0.0292149499785775	0	0	2.48875969742111	24.7697850488949	KANK1;SEMA5B;CEMIP;IFITM1;SEMA3B;CAMK2A;STC1;SEMA3F;MYLK;PDGFD;CCL5;EMILIN1;EPHB2;NTNG1;SEMA6C;CARMIL1;PDGFRA;ACE;SULF1;SORL1;BST2;SH3RF2;TMEFF2;SFRP1;FGF18;CLDN19;RIGI
5	Extracellular Matrix Assembly (GO:0085029)	5/17	6.37111027898592e-05	0.0312821514698208	0	0	15.2932389937107	147.750302093153	MFAP4;RAMP2;EMILIN1;MYH11;GAS6
6	Regulation Of Osteoblast Differentiation (GO:0045667)	10/85	8.93293945531233e-05	0.0365506106046529	0	0	4.92444444444444	45.9114817483192	SCUBE3;IFITM1;MEF2C;PTCH1;SMOC1;LRP5;LRP3;TMEM53;NPNT;FGFR2
7	Negative Regulation Of Neuron Death (GO:1901215)	10/88	0.000119969198778388	0.0420749118572777	0	0	4.73431013431013	42.7426563132386	NRBP2;MEF2C;PINK1;TGFB3;ATP13A2;APOE;CLU;MT3;SORL1;CD200
8	Bone Development (GO:0060348)	7/44	0.000153017019473426	0.0436425772505496	0	0	6.96130221130221	61.1547712504452	CYP26B1;OPTC;OGN;LRP5;STC1;SULF1;FGFR2
9	Defense Response To Virus (GO:0051607)	15/189	0.00017948607452237	0.0436425772505496	0	0	3.1981100795756	27.5850200393157	IFITM3;RTP4;RAB2B;IFITM1;STAT2;IFIT1;LYST;USP18;IFIT3;BST2;RNF135;TRIM7;IFI27;DDIT4;RIGI
10	Negative Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000378)	5/21	0.00019175161965077	0.0436425772505496	0	0	11.467570754717	98.1544892645653	PINK1;SIRT5;MT3;ABCD1;PAX2
11	Cell Projection Assembly (GO:0030031)	4/12	0.000211231411010808	0.0436425772505496	0	0	18.3210922787194	155.043274717859	CYFIP2;GSN;RAC3;MTSS2
12	Regulation Of Amyloid-Beta Formation (GO:1902003)	6/33	0.000213324206519998	0.0436425772505496	0	0	8.16551144717496	69.0205978130507	RTN2;PRNP;RTN1;APOE;CLU;SORL1
13	Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	14/179	0.00033919124759329	0.0517597620186973	0	0	3.1431396498575	25.1103743710476	PDGFRA;ANGPT1;NPNT;MT3;MTURN;GAREM1;THPO;DDT;PDGFD;CCL5;ROR1;APOE;GAS6;FGFR2
14	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	22/364	0.000349970934522463	0.0517597620186973	0	0	2.39792300764908	19.0818570828734	MYOM1;MEF2C;RAMP2;CALCOCO1;PID1;GSN;DTX3L;ANGPT1;ANK2;LRP3;CLU;MT3;ACTG2;KLF2;OLFM1;FGF18;CLDN19;EMILIN1;ATP13A2;EPHB2;GAS6;RIGI
15	Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I (GO:0019885)	3/6	0.000358417903999126	0.0517597620186973	0	0	36.5827067669173	290.240278531367	ERAP1;TAP2;TAP1
16	Elastic Fiber Assembly (GO:0048251)	3/6	0.000358417903999126	0.0517597620186973	0	0	36.5827067669173	290.240278531367	MFAP4;EMILIN1;MYH11
17	Epithelial Cell Differentiation Involved In Kidney Development (GO:0035850)	3/6	0.000358417903999126	0.0517597620186973	0	0	36.5827067669173	290.240278531367	MEF2C;MTSS1;PAX2
18	Regulation Of Neuron Apoptotic Process (GO:0043523)	10/105	0.000511990206136413	0.0648237044322544	0	0	3.88370927318296	29.4276615631178	NRBP2;PRNP;MEF2C;EGLN3;PINK1;TGFB3;ATP13A2;APOE;CLU;MT3
19	Axonogenesis (GO:0007409)	14/188	0.000556142236699084	0.0648237044322544	0	0	2.9791735610122	22.3273759597704	CYFIP2;NTNG1;SEMA5B;SEMA6C;ATL1;SEMA3B;SEMA3F;IGSF9;PAX2;EFNB1;DPYSL5;APBB1;EPHB2;FGFR2
20	Negative Regulation Of Macrophage Migration (GO:1905522)	3/7	0.000614768222363571	0.0648237044322544	0	0	27.4356203007519	202.866253401436	DDT;EMILIN1;CD200
21	Defense Response To Symbiont (GO:0140546)	12/148	0.000642030541006292	0.0648237044322544	0	0	3.26099426386233	23.971160178063	IFITM3;BST2;RTP4;RAB2B;IFITM1;IFI27;STAT2;DDIT4;IFIT1;LYST;IFIT3;RIGI
