Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Amyloid-Beta Binding (GO:0001540)	9/79	0.000255776847153574	0.0750885508878169	0	0	4.74076588810429	39.2118473918781	CST3;PRNP;ADRB2;APBB1;APOE;EPHB2;CLU;SORL1;ITM2A
2	Insulin-Like Growth Factor II Binding (GO:0031995)	3/6	0.000358417903999126	0.0750885508878169	0	0	36.5827067669173	290.240278531367	IGFBP4;IGFBP3;IGFBP2
3	Glutathione Binding (GO:0043295)	3/9	0.00141750471308531	0.166337044150423	0	0	18.2885338345865	119.951881771602	GSTM4;GSTM2;GSTM1
4	Protein Homodimerization Activity (GO:0042803)	31/662	0.0019272343231432	0.166337044150423	0	0	1.83588031091993	11.4773165726937	MYOM1;HSPB6;CPQ;CAMK2A;CIB2;PTH1R;ADRB2;ZBTB4;RAP1GAP;TRIM9;S100A16;CCL5;KCNN2;HES1;APOE;ABCD1;PDK2;GSTM4;PDGFRA;GSTM2;GSTM1;DGAT2;CDSN;GCA;S100A1;TAP1;NAGA;BST2;IL17D;ATF3;FGFR2
5	Platelet-Derived Growth Factor Binding (GO:0048407)	3/10	0.00198492892780935	0.166337044150423	0	0	15.6750805585392	97.5330500156382	PDGFRA;COL3A1;COL1A2
6	Semaphorin Receptor Binding (GO:0030215)	4/22	0.00252444761734066	0.17629059194429	0	0	8.13852270349446	48.6824698722941	SEMA5B;SEMA6C;SEMA3B;SEMA3F
7	Insulin-Like Growth Factor I Binding (GO:0031994)	3/12	0.00349670511475912	0.184123729259637	0	0	12.1904761904762	68.9485305863458	IGFBP4;IGFBP3;IGFBP2
8	Chemorepellent Activity (GO:0045499)	4/24	0.0035154888641458	0.184123729259637	0	0	7.32391713747646	41.3843554123862	SEMA5B;SEMA6C;SEMA3B;SEMA3F
9	Retinyl-Palmitate Esterase Activity (GO:0050253)	2/5	0.00676932536006367	0.278629197935473	0	0	24.3427141963727	121.600471041774	LIPE;PLB1
10	Insulin-Like Growth Factor Binding (GO:0005520)	3/15	0.00681313366623659	0.278629197935473	0	0	9.14144736842105	45.6057951887664	IGFBP4;IGFBP3;IGFBP2
11	Ubiquitin-Protein Transferase Activator Activity (GO:0097027)	3/16	0.00822080378144039	0.278629197935473	0	0	8.43782533256218	40.510735968385	EFNB1;ENTREP1;RIGI
12	Wnt Receptor Activity (GO:0042813)	3/16	0.00822080378144039	0.278629197935473	0	0	8.43782533256218	40.510735968385	LRP5;FZD8;ROR1
13	RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)	13/228	0.00864871978033495	0.278629197935473	0	0	2.22979595473581	10.5922977707307	HES6;BCAS3;MEF2C;EGR2;DTX3L;EPAS1;NFATC1;FOS;TBX3;IFI27;HEY1;HES1;TRIB2
14	Leucine Binding (GO:0070728)	2/6	0.00997479228885942	0.278629197935473	0	0	18.2560975609756	84.1185137435819	SESN3;SESN1
15	Oxidoreductase Activity, Acting On The CH-CH Group Of Donors, With A Flavin As Acceptor (GO:0052890)	2/6	0.00997479228885942	0.278629197935473	0	0	18.2560975609756	84.1185137435819	ACAD11;ACADSB
16	MHC Class Ib Protein Binding (GO:0023029)	2/7	0.0137188151258713	0.319343529874448	0	0	14.6041275797373	62.6369136498504	TAP2;TAP1
17	Coreceptor Activity Involved In Wnt Signaling Pathway (GO:0071936)	2/7	0.0137188151258713	0.319343529874448	0	0	14.6041275797373	62.6369136498504	LRP5;ROR1
18	Peptide Transmembrane Transporter Activity (GO:1904680)	2/7	0.0137188151258713	0.319343529874448	0	0	14.6041275797373	62.6369136498504	TAP2;TAP1
19	Amino Acid Binding (GO:0016597)	4/36	0.0151534691907416	0.334173873206355	0	0	4.57462335216572	19.1655024848567	SESN3;CASTOR2;SESN1;THNSL2
20	Monoatomic Cation Transmembrane Transporter Activity (GO:0008324)	4/37	0.0166400840269074	0.348609760363709	0	0	4.43577013068538	18.1686518306723	PIEZO2;TRPV2;SLC4A11;CLU
21	Low-Density Lipoprotein Particle Receptor Binding (GO:0050750)	3/22	0.020084056876534	0.38310429466427	0	0	5.77146814404432	22.5539104062708	APBB1;APOE;CLU
22	DNA-binding Transcription Factor Binding (GO:0140297)	14/282	0.0201152612950214	0.38310429466427	0	0	1.92481450711892	7.5188576444633	HES6;MEF2C;EGR2;EPAS1;NFATC1;PBXIP1;FOS;TBX3;IFI27;HEY1;NFIA;NAAA;HES1;TRIB2
23	Histone H3K36 Demethylase Activity (GO:0051864)	2/9	0.0226998072115984	0.409660691823609	0	0	10.4304476011793	39.4834043274951	KDM4B;KDM7A
24	2-Oxoglutarate-Dependent Dioxygenase Activity (GO:0016706)	4/41	0.0234808799647465	0.409660691823609	0	0	3.9554130401588	14.8390041823201	EGLN3;KDM4B;JARID2;KDM7A
25	Notch Binding (GO:0005112)	3/24	0.0253810658876933	0.409660691823609	0	0	5.22126745435016	19.1816408153537	SNED1;TCIM;DNER
26	Endopeptidase Regulator Activity (GO:0061135)	4/42	0.0254204725236607	0.409660691823609	0	0	3.85112498761027	14.1421028152162	CST3;PCSK1N;APH1B;TFPI
27	acyl-CoA Dehydrogenase Activity (GO:0003995)	2/10	0.0278785393404823	0.417182427987932	0	0	9.12617260787992	32.6707678460361	ACAD11;ACADSB
28	Myosin II Binding (GO:0045159)	2/10	0.0278785393404823	0.417182427987932	0	0	9.12617260787992	32.6707678460361	GSN;LLGL2
29	Phosphoric Diester Hydrolase Activity (GO:0008081)	4/44	0.0295812452064664	0.427397991086532	0	0	3.65819209039548	12.8790849452857	SMPD3;PLCB4;GDPD2;GDPD5
