Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Adipogenesis genes WP447	11/134	0.000963102107141371	0.0598481484724183	0	0	3.30109228573202	22.9272450089695	LIPE;MEF2C;EGR2;CYP26B1;SOCS1;PTGIS;EPAS1;STAT2;ID3;LPIN1;KLF15
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	19/324	0.00123460120122565	0.0598481484724183	0	0	2.31312746219342	15.4910314423983	PDGFRA;ANGPT2;ANGPT1;EPAS1;LAMA4;LIPE;COL3A1;COL1A2;PIK3IP1;PDGFD;COL4A4;ITGA10;COL6A2;GNG7;DDIT4;FGF18;ITGA8;FGFR2;ITGA9
Focal Adhesion WP85	13/185	0.00147167578210865	0.0598481484724183	0	0	2.79347099705961	18.2172119745988	PDGFRA;LAMA4;MYLK;COL3A1;COL1A2;COL4A4;PDGFD;ITGA10;COL6A2;SELENOP;ITGA8;RAC3;ITGA9
Type II interferon signaling (IFNG) WP1253	5/34	0.00196935964962236	0.060065469313482	0	0	6.32270657124268	39.3907580945813	SOCS1;STAT2;TAP1;IRF9;PSMB9
Myometrial Relaxation and Contraction Pathways WP385	11/153	0.00278187154306071	0.0678776656506813	0	0	2.85658800129018	16.809967337449	RGS17;RAMP2;RGS3;IGFBP4;IGFBP3;GNG7;IGFBP2;CAMK2A;FOS;ATF3;ADCY5
Endochondral Ossification WP1270	6/62	0.00617035478454954	0.125463880619174	0	0	3.93106940318661	20.0012769610802	CDKN1C;MEF2C;PTCH1;MGP;FGF18;PTH1R
White fat cell differentiation WP2872	4/32	0.0100565949209157	0.175272082907388	0	0	5.22921711057304	24.0519234516728	EGR2;TCF7L1;KLF15;KLF2
Primary Focal Segmental Glomerulosclerosis FSGS WP2573	6/72	0.012557165720846	0.181724511545044	0	0	3.33373431861145	14.5933013071245	CDKN1C;KIRREL3;COL4A4;LRP5;SYNPO;PAX2
Statin Pathway WP1	3/19	0.0134059065893885	0.181724511545044	0	0	6.8546757518797	29.5577722924935	ABCA1;APOE;PLTP
BMP Signaling Pathway in Eyelid Development WP3663	3/20	0.0154638451818671	0.188658911218779	0	0	6.45112781954887	26.8963682010359	SFRP1;DKK2;FGFR2
Calcium Regulation in the Cardiac Cell WP553	9/147	0.0175144990692531	0.194251716949898	0	0	2.39630517440899	9.69239837686263	GNAO1;GNAZ;RGS17;RGS3;GNG7;CAMK2A;ADRB1;ADRB2;ADCY5
Splicing factor NOVA regulated synaptic proteins WP1983	4/42	0.0254204725236607	0.258441470657217	0	0	3.85112498761027	14.1421028152162	NTNG1;PLCB4;EPB41;RAP1GAP
Osteoblast WP238	2/10	0.0278785393404823	0.261629369195296	0	0	9.12617260787992	32.6707678460361	PDGFRA;PTH1R
Dysregulated miRNA Targeting in Insulin/PI3K-AKT Signaling WP3855	3/26	0.0313539547458946	0.27212103045942	0	0	4.76675384112455	16.504479389075	COL3A1;SOCS1;COL1A2
p53 signaling WP2902	5/67	0.0334575037450107	0.27212103045942	0	0	2.95237370663421	10.0306282304569	SESN3;RRM2B;SESN1;IGFBP3;CCNG2
Mecp2 and Associated Rett Syndrome WP2910	4/47	0.036535170073427	0.278580671809881	0	0	3.40244383129681	11.2603195340713	MEF2C;ARHGEF26;DLX5;TAP1
ESC Pluripotency Pathways WP339	7/118	0.0393037994998097	0.282062561116281	0	0	2.31159568659569	7.48132707175173	PDGFRA;SELENOP;FGF18;LRP5;FZD8;FOS;FGFR2
Selenium metabolism/Selenoproteins WP108	4/50	0.0443519735162224	0.300022410545864	0	0	3.18005404077622	9.90777024002147	SELENOM;SELENOP;FOS;MSRB1
Id Signaling Pathway WP512	4/51	0.0471495830452263	0.300022410545864	0	0	3.11223304083023	9.5060983188876	ID3;HES1;PAX2;ATF3
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling WP3675	3/31	0.0491840017288301	0.300022410545864	0	0	3.91454081632653	11.7913284743672	IGFBP4;IGFBP3;IGFBP2
Integrin-mediated Cell Adhesion WP6	6/100	0.0518170733020687	0.301032521088209	0	0	2.3373285605116	6.91857570967178	ITGA10;CAPN5;SELENOP;ITGA8;RAC3;ITGA9
Alanine and aspartate metabolism WP240	2/15	0.0595944040489743	0.330478058817039	0	0	5.61466301053543	15.8344366947273	PCX;ABAT
Delta-Notch Signaling Pathway WP265	5/83	0.0716364393437671	0.379984591301721	0	0	2.34482341557813	6.18130954167349	HES6;MEF2C;APH1B;HEY1;HES1
Complement and Coagulation Cascades WP449	4/62	0.0841242494543492	0.402259165701012	0	0	2.52055328268069	6.23952986974973	C1RA;CD59A;TFPI;A2M
Parkinsons Disease Pathway WP3638	3/39	0.085727363182183	0.402259165701012	0	0	3.04338972431078	7.47634011040253	PINK1;UBA7;UBE2L6
Retinol metabolism WP1259	3/39	0.085727363182183	0.402259165701012	0	0	3.04338972431078	7.47634011040253	CYP26B1;ALDH1A1;DHRS3
Glutathione metabolism WP164	2/20	0.0988971106198267	0.407078364679736	0	0	4.05399207838232	9.37962115956574	GSTM2;GSTM7
G Protein Signaling Pathways WP232	5/92	0.100465890256281	0.407078364679736	0	0	2.10127954890479	4.82860804279134	GNAO1;GNAZ;PDE1B;GNG7;ADCY5
Heart Development WP2067	3/44	0.112949348560211	0.407078364679736	0	0	2.67155694113332	5.82617359741581	MEF2C;HEY1;NFATC1
IL-5 Signaling Pathway WP151	4/69	0.11321844081791	0.407078364679736	0	0	2.24829784151818	4.89777345519774	SOCS1;SYK;RPS6KA1;RAP1GAP
Regulation of Actin Cytoskeleton WP523	7/152	0.114026440548426	0.407078364679736	0	0	1.76645768025078	3.8355535862795	CYFIP2;PDGFRA;GSN;FGF18;RAC3;FGFR2;MYLK
Hedgehog Signaling Pathway WP116	2/22	0.116181410158857	0.407078364679736	0	0	3.64821763602251	7.85316214403439	PTCH1;GAS1
Notch Signaling Pathway WP29	3/46	0.124649463394112	0.407078364679736	0	0	2.54703619513901	5.30356554150105	APH1B;DTX3L;HES1
Folic Acid Network WP1273	2/23	0.125089373150775	0.407078364679736	0	0	3.4743143035826	7.22215029601171	PTGIS;MSRB1
Selenium Micronutrient Network WP1272	2/23	0.125089373150775	0.407078364679736	0	0	3.4743143035826	7.22215029601171	PTGIS;SELENOP
Triacylglyceride Synthesis WP386	2/23	0.125089373150775	0.407078364679736	0	0	3.4743143035826	7.22215029601171	LIPE;DGAT2
Spinal Cord Injury WP2432	5/99	0.126312002272061	0.407078364679736	0	0	1.94409875551987	4.02234076118309	ZFP36;BTG2;GAP43;SLIT3;FOS
Aflatoxin B1 metabolism WP1262	1/5	0.126794900474016	0.407078364679736	0	0	9.11095505617978	18.8158027510383	GSTM1
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4346	3/49	0.14296788458825	0.447232869737603	0	0	2.38055737169009	4.630506075566	ABCA1;ACOT2;TM7SF2
Regulation of Cardiac Hypertrophy by miR-208 WP1526	1/6	0.150158943761567	0.457984778472778	0	0	7.28838951310861	13.8192305314842	HOPX
PluriNetWork WP1763	11/292	0.161443149189388	0.474886117476411	0	0	1.43315856673277	2.61351113773653	MEF2C;TLE2;TCF7L1;DGKA;IGFBP3;LRP5;FOS;JARID2;ETV5;TBX3;KLF2
Wnt Signaling Pathway NetPath WP539	5/108	0.163485384704994	0.474886117476411	0	0	1.77340172192709	3.21168670478441	SFRP1;CAMK2A;LRP5;FZD8;PAX2
