Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Positive Regulation Of Signaling Receptor Activity (GO:2000273)	5/36	1.67920910835782e-05	0.0202841247887525	0	0	18.2387096774194	200.52736395061	BTC;GREM1;CCL2;AREG;EREG
Neutrophil Chemotaxis (GO:0030593)	6/70	3.97664002536981e-05	0.0202841247887525	0	0	10.6443965517241	107.854222636942	CXADR;KLF5;JAML;CCL7;PDE4B;CCL2
Granulocyte Chemotaxis (GO:0071621)	6/73	5.0491797296629e-05	0.0202841247887525	0	0	10.1662377766341	100.581703281394	CXADR;KLF5;JAML;CCL7;PDE4B;CCL2
Neutrophil Migration (GO:1990266)	6/77	6.82663756081279e-05	0.0202841247887525	0	0	9.59154929577465	92.0030349407986	CXADR;KLF5;JAML;CCL7;PDE4B;CCL2
Positive Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0045741)	3/10	8.21219627075001e-05	0.0202841247887525	0	0	47.9733656174334	451.300085387633	BTC;AREG;EREG
Endoderm Development (GO:0007492)	3/14	0.000242578854254815	0.0471323072926899	0	0	30.5223420647149	254.073583163454	DUSP4;DUSP5;DUSP2
Endoderm Formation (GO:0001706)	4/35	0.000267146681011198	0.0471323072926899	0	0	14.508064516129	119.368186429892	DUSP4;DUSP5;DUSP2;COL7A1
Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098)	4/38	0.00036877938937971	0.0514329140407772	0	0	13.225935828877	104.555148603893	BTC;PDGFB;AREG;EREG
Peptidyl-Serine Phosphorylation (GO:0018105)	7/158	0.000579855540581703	0.0514329140407772	0	0	5.2705661677449	39.2801147826822	HIPK4;PLK2;PDGFB;LMTK2;CDC7;SGK1;CDK5R1
Positive Regulation Of miRNA Transcription (GO:1902895)	4/43	0.000595353981641873	0.0514329140407772	0	0	11.5273892773893	85.6064781058796	EGR1;TGFB1;KLF5;PDGFB
Protein Phosphorylation (GO:0006468)	13/500	0.00061865462824485	0.0514329140407772	0	0	3.09027530155295	22.8308407994814	HIPK4;TGFB1;PLK2;PDGFB;LMTK2;CDC7;CDK6;CHEK1;PRKG2;FAM20C;CCL2;SGK1;CDK5R1
Positive Regulation Of Cell Cycle Process (GO:0090068)	6/118	0.000700438070788154	0.0514329140407772	0	0	6.06773399014778	44.0748340889321	BTC;XRCC3;PDGFB;CDC7;CDC6;EREG
Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173)	4/45	0.000708799776152362	0.0514329140407772	0	0	10.9639689578714	79.5100173546842	BTC;TGFB1;AREG;EREG
Protein Modification Process (GO:0036211)	16/711	0.000718824752041307	0.0514329140407772	0	0	2.68468152307422	19.4314375183075	DUSP5;TGFB1;PLK2;PDGFB;LMTK2;JADE3;SERP2;CDK6;HLCS;CHEK1;UST;LORICRIN;PRKG2;FAM20C;CCL2;SGK1
Peptidyl-Serine Modification (GO:0018209)	7/166	0.000776796072185961	0.0514329140407772	0	0	5.00334460319191	35.8256119586108	HIPK4;PLK2;PDGFB;LMTK2;CDC7;SGK1;CDK5R1
Regulation Of Hormone Biosynthetic Process (GO:0046885)	2/5	0.000791275600627341	0.0514329140407772	0	0	74.2209737827715	530.076117802107	EGR1;STC2
Regulation Of Hyaluronan Biosynthetic Process (GO:1900125)	2/5	0.000791275600627341	0.0514329140407772	0	0	74.2209737827715	530.076117802107	TGFB1;PDGFB
Double-Strand Break Repair Via Synthesis-Dependent Strand Annealing (GO:0045003)	2/5	0.000791275600627341	0.0514329140407772	0	0	74.2209737827715	530.076117802107	HELQ;XRCC3
Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949)	2/5	0.000791275600627341	0.0514329140407772	0	0	74.2209737827715	530.076117802107	EGR1;NAB2
Positive Regulation Of miRNA Metabolic Process (GO:2000630)	4/49	0.000980161484026213	0.0587092567917581	0	0	9.98737373737374	69.190460065938	EGR1;TGFB1;KLF5;PDGFB
Positive Regulation Of Cellular Process (GO:0048522)	14/594	0.00099829505475864	0.0587092567917581	0	0	2.79767345243041	19.3304175107538	TGFB1;TENM4;LEF1;PDGFB;LIF;VEGFC;CDC7;NID1;AREG;EREG;BTC;GREM1;CHEK1;TIMP1
Sprouting Angiogenesis (GO:0002040)	4/52	0.00122645349887727	0.0688486395960649	0	0	9.36174242424242	62.7576443420552	GREM1;TGFB1;BMPER;VEGFC
DNA Repair (GO:0006281)	9/291	0.00132156842943749	0.0699296568569517	0	0	3.64650989175065	24.1724808548442	ALKBH2;WDHD1;POLQ;POLE2;CHEK1;XRCC3;ERCC8;UBE2V1;UNG
ERBB Signaling Pathway (GO:0038127)	4/54	0.00141285237837869	0.0699296568569517	0	0	8.98636363636364	58.9698181009965	BTC;TGFB1;AREG;EREG
Positive Regulation Of Cell Population Proliferation (GO:0008284)	12/483	0.00146998831269914	0.0699296568569517	0	0	2.93433424325144	19.1391975334895	BTC;GREM1;TGFB1;CDK6;LEF1;PDGFB;LIF;VEGFC;CDC7;TIMP1;AREG;EREG
Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0007176)	3/26	0.00160049732280436	0.0699296568569517	0	0	14.5887988209285	93.9145297927312	BTC;AREG;EREG
Positive Regulation Of Nuclear Division (GO:0051785)	3/26	0.00160049732280436	0.0699296568569517	0	0	14.5887988209285	93.9145297927312	BTC;PDGFB;EREG
Regulation Of Mitotic Nuclear Division (GO:0007088)	4/56	0.00161815290813691	0.0699296568569517	0	0	8.63986013986014	55.5238016508698	BTC;CHEK1;PDGFB;EREG
Collecting Duct Development (GO:0072044)	2/7	0.00164207291404988	0.0699296568569517	0	0	44.5280898876404	285.505022542424	WNT7B;DACT2
Peptidyl-Threonine Phosphorylation (GO:0018107)	4/58	0.00184332446024471	0.0734356680129749	0	0	8.31902356902357	52.3781077972973	HIPK4;CHEK1;LMTK2;CDK5R1
Response To Organic Cyclic Compound (GO:0014070)	4/58	0.00184332446024471	0.0734356680129749	0	0	8.31902356902357	52.3781077972973	TGFB1;HLCS;SPP1;CCL2
Regulation Of miRNA Transcription (GO:1902893)	4/59	0.00196366276379519	0.0744818044342204	0	0	8.16735537190083	50.9066669677003	EGR1;TGFB1;KLF5;PDGFB
Positive Regulation Of Fibroblast Proliferation (GO:0048146)	3/28	0.00199020206180508	0.0744818044342204	0	0	13.4203389830508	83.4680547248836	CDK6;PDGFB;EREG
Response To Vitamin (GO:0033273)	2/8	0.00217648832879889	0.0767989453161894	0	0	37.1048689138577	227.454425601332	HLCS;SPP1
Embryonic Placenta Development (GO:0001892)	2/8	0.00217648832879889	0.0767989453161894	0	0	37.1048689138577	227.454425601332	WNT7B;PDGFB
G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	4/63	0.00249947724352588	0.0857459554376239	0	0	7.61209553158706	45.6091923820297	CDK6;PLK2;E2F2;CDC7
Regulation Of Tau-Protein Kinase Activity (GO:1902947)	2/9	0.00278181159514293	0.0928523600000411	0	0	31.8025682182986	187.147075629858	EGR1;NAB2
Negative Regulation Of Osteoblast Differentiation (GO:0045668)	3/32	0.00293489727613017	0.0937905444460483	0	0	11.5669199298656	67.4476681519409	GREM1;CDK6;TWIST2
Peptidyl-Threonine Modification (GO:0018210)	4/66	0.00296180666671731	0.0937905444460483	0	0	7.24266862170088	42.1664968536776	HIPK4;CHEK1;LMTK2;CDK5R1
Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0045742)	3/33	0.00320721547375877	0.0990227777523019	0	0	11.180790960452	64.2040392559102	BTC;AREG;EREG
Positive Regulation Of Macrophage Differentiation (GO:0045651)	2/10	0.00345673742500827	0.102311445210243	0	0	27.8258426966292	157.701017775283	TGFB1;LIF
DNA-templated DNA Replication (GO:0006261)	4/69	0.00347941756990299	0.102311445210243	0	0	6.90734265734266	39.1017094909938	WDHD1;POLE2;ORC2;MCM10
