Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Transmembrane Receptor Protein Tyrosine Kinase Activator Activity (GO:0030297)	4/12	2.96873480020518e-06	0.000673902799646575	0	0	56.2840909090909	716.348714035787	BTC;GREM1;AREG;EREG
Receptor Ligand Activity (GO:0048018)	12/319	3.35954055632068e-05	0.00262722600834024	0	0	4.54001861330852	46.7672821654368	BTC;GREM1;SEMA7A;TGFB1;WNT7B;PDGFB;LIF;VEGFC;TIMP1;METRNL;AREG;EREG
MAP Kinase Tyrosine Phosphatase Activity (GO:0033550)	3/9	5.78684142806221e-05	0.00262722600834024	0	0	55.9717514124294	546.135344232174	DUSP4;DUSP5;DUSP2
MAP Kinase Tyrosine/Serine/Threonine Phosphatase Activity (GO:0017017)	3/9	5.78684142806221e-05	0.00262722600834024	0	0	55.9717514124294	546.135344232174	DUSP4;DUSP5;DUSP2
Protein Tyrosine/Threonine Phosphatase Activity (GO:0008330)	3/9	5.78684142806221e-05	0.00262722600834024	0	0	55.9717514124294	546.135344232174	DUSP4;DUSP5;DUSP2
Protein Tyrosine Kinase Activator Activity (GO:0030296)	4/29	0.000126389254726357	0.00478172680381385	0	0	17.9954545454545	161.52979296399	BTC;GREM1;AREG;EREG
DNA Replication Origin Binding (GO:0003688)	3/13	0.000191865812826969	0.00622193421596027	0	0	33.5762711864407	287.369713076072	ORC2;MCM10;CDC6
MAP Kinase Phosphatase Activity (GO:0033549)	3/14	0.000242578854254815	0.00688317498948039	0	0	30.5223420647149	254.073583163454	DUSP4;DUSP5;DUSP2
Protein Tyrosine/Serine/Threonine Phosphatase Activity (GO:0008138)	3/23	0.00111199208742095	0.0265043561306861	0	0	16.7796610169492	114.128579268129	DUSP4;DUSP5;DUSP2
Cytokine Activity (GO:0005125)	7/178	0.00116759278108749	0.0265043561306861	0	0	4.6493932325998	31.3964742372528	TGFB1;KLF5;CCL7;WNT7B;LIF;CCL2;TIMP1
Protein Serine/Threonine Kinase Activity (GO:0004674)	9/342	0.00390859233784293	0.0806591327900314	0	0	3.07997471155366	17.0771599822027	HIPK4;CDK6;PLK2;CHEK1;LMTK2;FAM20C;CDC7;SGK1;MAPK4
Vascular Endothelial Growth Factor Receptor Binding (GO:0005172)	2/12	0.00501026300256218	0.0947774751318012	0	0	22.2584269662921	117.886569314141	GREM1;VEGFC
Growth Factor Activity (GO:0008083)	4/85	0.00729446542518652	0.124001297485791	0	0	5.53843995510662	27.2526657430443	TGFB1;PDGFB;LIF;VEGFC
Damaged DNA Binding (GO:0003684)	3/45	0.00770980692877201	0.124001297485791	0	0	7.98143664245359	38.8317814665351	POLQ;AUNIP;UNG
Chemokine Activity (GO:0008009)	3/46	0.00819391833606549	0.124001297485791	0	0	7.79542767047694	37.4520647853972	KLF5;CCL7;CCL2
DNA Binding, Bending (GO:0008301)	2/17	0.0100240730342841	0.13762601791308	0	0	14.8352059925094	68.2829784144105	FOXD1;LEF1
Chemokine Receptor Binding (GO:0042379)	3/50	0.01030679429305	0.13762601791308	0	0	7.13054453660296	32.6218987115246	KLF5;CCL7;CCL2
Gap Junction Channel Activity (GO:0005243)	2/20	0.013759237140469	0.164386675309814	0	0	12.3607990012484	52.9789393756764	PANX1;GJB4
DNA-directed DNA Polymerase Activity (GO:0003887)	2/20	0.013759237140469	0.164386675309814	0	0	12.3607990012484	52.9789393756764	POLQ;POLE2
DNA Polymerase Activity (GO:0034061)	2/21	0.015118507805493	0.171595063592345	0	0	11.7096392667061	49.0848827789694	POLQ;POLE2
Single-Stranded DNA Helicase Activity (GO:0017116)	2/22	0.0165330266273425	0.17871414497175	0	0	11.123595505618	45.6333857529038	POLQ;HELQ
DNA Binding (GO:0003677)	14/846	0.0209588244824829	0.199544509905735	0	0	1.92475671918443	7.43956101911986	EGR1;POLQ;CSRNP2;FOXD1;FOXF2;TINF2;LEF1;MCM10;ETS2;WDR76;UNG;TFAP4;E2F2;AUNIP
Wide Pore Channel Activity (GO:0022829)	2/25	0.0210972169063333	0.199544509905735	0	0	9.67122618466048	37.3175301785799	PANX1;GJB4
Epidermal Growth Factor Receptor Binding (GO:0005154)	2/25	0.0210972169063333	0.199544509905735	0	0	9.67122618466048	37.3175301785799	BTC;EREG
Protein Tyrosine Phosphatase Activity (GO:0004725)	3/76	0.0312274213244343	0.281621252958783	0	0	4.58486185279777	15.8932341733817	DUSP4;DUSP5;DUSP2
Chemoattractant Activity (GO:0042056)	2/35	0.0394719942792347	0.281621252958783	0	0	6.7371467483827	21.7755622674459	PDGFB;VEGFC
Peptidase Inhibitor Activity (GO:0030414)	2/37	0.043671978847429	0.281621252958783	0	0	6.35152487961477	19.886933074902	SPINK2;TIMP1
Gap Junction Hemi-Channel Activity (GO:0055077)	1/5	0.0442013747685578	0.281621252958783	0	0	27.6759776536313	86.3213573368869	PANX1
Uridine Transmembrane Transporter Activity (GO:0015213)	1/5	0.0442013747685578	0.281621252958783	0	0	27.6759776536313	86.3213573368869	SLC29A1
Double-Stranded Methylated DNA Binding (GO:0010385)	1/5	0.0442013747685578	0.281621252958783	0	0	27.6759776536313	86.3213573368869	EGR1
Catalytic Activity, Acting On A tRNA (GO:0140101)	2/39	0.0480298325257829	0.281621252958783	0	0	6.00759186152445	18.2386460836255	PUS10;PTRH1
