Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Lung fibrosis WP3632	7/61	1.23231239215689e-06	6.5312556784315e-05	0	0	14.8107471633483	201.524181314987	GREM1;TGFB1;PDGFB;SPP1;CCL2;PTX3;TIMP1
DNA Replication WP150	5/41	3.2187209905731e-05	0.00085296106250187	0	0	15.7015873015873	162.41629881242	POLE2;ORC2;MCM10;CDC7;CDC6
TGF Beta Signaling Pathway WP113	4/52	0.00122645349887727	0.0216673451468318	0	0	9.36174242424242	62.7576443420552	TGFB1;LEF1;SPP1;LIF
G1 to S cell cycle control WP413	4/61	0.00222044129103087	0.029420847106159	0	0	7.87998405103668	48.1470912171416	CDK6;POLE2;ORC2;E2F2
Osteoclast WP454	2/14	0.00682696940971006	0.0723658757429267	0	0	18.5468164794007	92.4906446983504	PDGFB;SPP1
ErbB signaling pathway WP1261	3/46	0.00819391833606549	0.0723796119685785	0	0	7.79542767047694	37.4520647853972	BTC;AREG;EREG
MAPK signaling pathway WP493	5/159	0.0146124741911723	0.110637304590305	0	0	3.64860853432282	15.4185808055806	DUSP4;DUSP5;TGFB1;PDGFB;MAPK4
PluriNetWork WP1763	7/292	0.0167808075901191	0.111172850284539	0	0	2.77345096846162	11.3365347798856	HELLS;TGFB1;KLF5;LEF1;LIF;SPP1;SGK1
ESC Pluripotency Pathways WP339	4/118	0.0220348518836049	0.119538015004219	0	0	3.92862838915471	14.98822764359	WNT7B;PDGFB;LIF;MAPK4
p53 signaling WP2902	3/67	0.0225543424536262	0.119538015004219	0	0	5.23199152542373	19.8388101911862	CDK6;CD82;CHEK1
Matrix Metalloproteinases WP441	2/29	0.0278916632214074	0.134387104612236	0	0	8.2367873491469	29.4829826885524	TIMP1;MMP10
MicroRNAs in Cardiomyocyte Hypertrophy WP1560	3/82	0.0378470989550136	0.167158020384643	0	0	4.2353572194808	13.8674106226116	TGFB1;LIF;MAPK4
Insulin Signaling WP65	4/159	0.0557237868651346	0.22718159260401	0	0	2.88343108504399	8.32546946665414	EGR1;SGK1;SH2B2;MAPK4
Spinal Cord Injury WP2432	3/99	0.0601148374405061	0.227577598881916	0	0	3.48234463276836	9.79060702039834	EGR1;TGFB1;CCL2
Focal Adhesion WP85	4/185	0.086236020638359	0.304700606255535	0	0	2.46597187343044	6.04327667180494	PDGFB;SPP1;VEGFC;MAPK4
TYROBP Causal Network WP3625	2/58	0.0960534475338615	0.318177044955916	0	0	3.96548956661316	9.29054920315773	ABCC4;SPP1
Endochondral Ossification WP1270	2/62	0.107406799041144	0.334856491128271	0	0	3.70037453183521	8.25602326445733	TGFB1;SPP1
Adipogenesis genes WP447	3/134	0.120441851703663	0.354634341127453	0	0	2.54741881226549	5.39183660103655	TGFB1;KLF5;LIF
Small Ligand GPCRs WP353	1/18	0.150240979381305	0.419093258274168	0	0	6.50772264212948	12.335484222996	PTGER4
Purine metabolism WP2185	3/171	0.199953879869205	0.475833368180863	0	0	1.98264729620662	3.19140497798639	POLE2;PDE4B;POLR3G
Novel Jun-Dmp1 Pathway WP3654	1/26	0.209592398561143	0.475833368180863	0	0	4.42346368715084	6.91206274867154	ETS2
Cytokines and Inflammatory Response WP222	1/27	0.216715316545038	0.475833368180863	0	0	4.25311559948431	6.50373972469694	TGFB1
Wnt Signaling Pathway and Pluripotency WP723	2/97	0.21731906159467	0.475833368180863	0	0	2.33293908929627	3.56097180627412	WNT7B;LEF1
IL-6 signaling Pathway WP387	2/99	0.22393380248486	0.475833368180863	0	0	2.28460558322715	3.41869475039415	SGK1;CDK5R1
Dopaminergic Neurogenesis WP1498	1/30	0.237703323740004	0.475833368180863	0	0	3.81256020034675	5.47762694359984	TGFB1
Prostaglandin Synthesis and Regulation WP374	1/31	0.244574290263877	0.475833368180863	0	0	3.6852886405959	5.18975676263709	PTGER4
Ovarian Infertility Genes WP273	1/31	0.244574290263877	0.475833368180863	0	0	3.6852886405959	5.18975676263709	EGR1
White fat cell differentiation WP2872	1/32	0.251383666208758	0.475833368180863	0	0	3.56622814921607	4.92415851675508	KLF5
Wnt Signaling in Kidney Disease WP3857	1/37	0.284525733691024	0.519995306400837	0	0	3.07014276846679	3.85895939209155	WNT7B
Splicing factor NOVA regulated synaptic proteins WP1983	1/42	0.316208354636715	0.554088670280326	0	0	2.6950538220466	3.10296081646026	MAPK4
Heart Development WP2067	1/44	0.328487172027665	0.554088670280326	0	0	2.56944263998961	2.8604512691403	VEGFC
Striated Muscle Contraction WP216	1/45	0.334544102810763	0.554088670280326	0	0	2.51091924834942	2.74942283304283	TNNT2
Regulation of Actin Cytoskeleton WP523	2/152	0.398127020445063	0.625532285002584	0	0	1.47340823970037	1.35698567615606	PDGFB;MAPK4
Myometrial Relaxation and Contraction Pathways WP385	2/153	0.40128486207713	0.625532285002584	0	0	1.4635761589404	1.33636757048608	PDE4B;ETS2
Wnt Signaling Pathway WP403	1/60	0.419142001845464	0.634700745651703	0	0	1.87112962787615	1.62703236640441	WNT7B
Kit Receptor Signaling Pathway WP407	1/67	0.454872155026247	0.636655455975093	0	0	1.67208396817335	1.31716554813647	SH2B2
IL-5 Signaling Pathway WP151	1/69	0.464673209278437	0.636655455975093	0	0	1.62274071639829	1.24370239416661	SH2B2
Primary Focal Segmental Glomerulosclerosis FSGS WP2573	1/72	0.479047162115276	0.636655455975093	0	0	1.55393815406405	1.14363046068103	TGFB1
Alzheimers Disease WP2075	1/75	0.493037248471167	0.636655455975093	0	0	1.49071417786502	1.05418916965292	CDK5R1
IL-2 Signaling Pathway WP450	1/76	0.497617077027439	0.636655455975093	0	0	1.4707635009311	1.02648176240469	ETS2
Chemokine signaling pathway WP2292	2/190	0.511885447939276	0.636655455975093	0	0	1.17332058331341	0.785719307029291	CCL7;CCL2
PPAR signaling pathway WP2316	1/81	0.519906335274931	0.636655455975093	0	0	1.37849162011173	0.901680477928746	ACSBG1
Apoptosis WP1254	1/81	0.519906335274931	0.636655455975093	0	0	1.37849162011173	0.901680477928746	HELLS
Delta-Notch Signaling Pathway WP265	1/83	0.528544152130266	0.636655455975093	0	0	1.34473361493391	0.857441062499626	LEF1
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	3/324	0.560395743757774	0.651601444961854	0	0	1.02956861502719	0.596235601102275	PDGFB;SPP1;VEGFC
G Protein Signaling Pathways WP232	1/92	0.565540876759345	0.651601444961854	0	0	1.21118546258211	0.690342650440487	PDE4B
IL-3 Signaling Pathway WP373	1/100	0.595994889569521	0.658077690566347	0	0	1.11286044805598	0.57593108520923	CHEK1
Integrin-mediated Cell Adhesion WP6	1/100	0.595994889569521	0.658077690566347	0	0	1.11286044805598	0.57593108520923	MAPK4
Wnt Signaling Pathway NetPath WP539	1/108	0.624325205682766	0.675290528595645	0	0	1.0292382394403	0.484857546797639	LEF1
Calcium Regulation in the Cardiac Cell WP553	1/147	0.736547590053732	0.780740445456957	0	0	0.752812428254381	0.230196059828389	GJB4
TNF-alpha NF-kB Signaling Pathway WP246	1/187	0.817053144421359	0.849094444202589	0	0	0.58971586472037	0.119152761555339	FKBP5
GPCRs, Class A Rhodopsin-like WP189	1/228	0.874207341381277	0.891019021023225	0	0	0.482194275588807	0.0648250887654717	PTGER4
Non-odorant GPCRs WP1396	1/267	0.911974807303273	0.911974807303273	0	0	0.410677531818373	0.0378410240280301	PTGER4
