Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Cholesterol Biosynthetic Process (GO:0006695)	14/25	1.31309388785556e-17	2.63669252681397e-14	0	0	59.8395979020979	2326.05854905625	MVK;HMGCS1;INSIG1;MSMO1;DHCR24;LSS;TM7SF2;PLPP6;NSDHL;PMVK;SC5D;MVD;DHCR7;FDFT1
2	Sterol Biosynthetic Process (GO:0016126)	14/28	1.11435790264932e-16	1.11881533425991e-13	0	0	47.0096153846154	1726.80810940622	MVK;HMGCS1;INSIG1;MSMO1;DHCR24;LSS;TM7SF2;PLPP6;SQLE;NSDHL;PMVK;MVD;DHCR7;FDFT1
3	Secondary Alcohol Biosynthetic Process (GO:1902653)	13/24	3.52706581320474e-16	2.36078271763838e-13	0	0	55.4320906910835	1972.32340832136	MVK;HMGCS1;INSIG1;DHCR24;MSMO1;LSS;TM7SF2;PLPP6;NSDHL;PMVK;MVD;DHCR7;FDFT1
4	Cholesterol Metabolic Process (GO:0008203)	14/67	1.26680601317408e-10	6.35936618613386e-08	0	0	12.3928701015965	282.425480863834	MVK;HMGCS1;INSIG1;MSMO1;DHCR24;LSS;TM7SF2;PLPP6;SQLE;NSDHL;PMVK;MVD;DHCR7;FDFT1
5	Skin Morphogenesis (GO:0043589)	4/8	1.3773602280038e-05	0.00539476758065884	0	0	45.9295774647887	514.078584792455	COL1A1;CDSN;COL1A2;ITGB4
6	acetyl-CoA Metabolic Process (GO:0006084)	5/16	1.61198234481838e-05	0.00539476758065884	0	0	20.9187165775401	230.84767621905	ACSS2;MVK;HMGCS1;PMVK;MVD
7	Steroid Biosynthetic Process (GO:0006694)	7/50	9.09330111799036e-05	0.0260847837784638	0	0	7.51492660399142	69.9293038092457	CYP39A1;SQLE;DHRS11;PMVK;MSMO1;LSS;FDFT1
8	Lipid Biosynthetic Process (GO:0008610)	8/71	0.000139229893197731	0.0343334823719624	0	0	5.86985631535395	52.1207087368476	SREBF1;DHRS11;ACSS2;MVK;MVD;LSS;FADS1;FDFT1
9	Sterol Homeostasis (GO:0055092)	8/73	0.000169463194407119	0.0343334823719624	0	0	5.68866204885162	49.3939403318472	CYP39A1;ABCA2;INSIG1;LIPG;PCSK9;ABCD1;ABCG4;LDLR
10	Cellular Hypotonic Response (GO:0071476)	3/6	0.000188081825742822	0.0343334823719624	0	0	45.824355971897	393.110352805403	TRPV4;SLC4A11;MYLK
11	Hypotonic Response (GO:0006971)	3/6	0.000188081825742822	0.0343334823719624	0	0	45.824355971897	393.110352805403	TRPV4;SLC4A11;MYLK
12	Cellular Response To Osmotic Stress (GO:0071470)	5/28	0.000293206589120636	0.0490632359128531	0	0	9.99846547314578	81.3338483378155	TRPV4;CASP1;SLC4A11;AQP5;MYLK
13	Organic Cyclic Compound Biosynthetic Process (GO:1901362)	5/29	0.00034808764649032	0.0537661533963509	0	0	9.58137254901961	76.297008580839	DHRS11;GCH1;PYCR1;LSS;FDFT1
14	Regulation Of Receptor Recycling (GO:0001919)	4/17	0.000401535191489921	0.0575916188936973	0	0	14.1256771397616	110.465837598414	PCSK9;LDLR;OPTN;TBC1D16
15	Isoprenoid Metabolic Process (GO:0006720)	3/8	0.00050996116168065	0.0640001257909216	0	0	27.4918032786885	208.420198902817	PLPP6;MVK;MVD
16	Negative Regulation Of Smooth Muscle Cell Differentiation (GO:0051151)	3/8	0.00050996116168065	0.0640001257909216	0	0	27.4918032786885	208.420198902817	SHH;PDCD4;NFATC2
17	Skin Development (GO:0043588)	7/68	0.000633616502972262	0.0748412904687236	0	0	5.29252412510173	38.974500517483	COL1A1;SPRR3;CDSN;COL1A2;ITGB4;DHCR24;SPRR1A
18	Phospholipid Metabolic Process (GO:0006644)	7/69	0.000692329549658076	0.0772332075396343	0	0	5.20689392206208	37.8824885118051	SMPD3;PLPP6;LIPG;PLB1;FADS1;PLCD1;FDFT1
19	Neuron Projection Regeneration (GO:0031102)	3/9	0.000752757786266976	0.0795546123591625	0	0	22.9086651053864	164.753782793243	NREP;PTN;FOLR1
20	Cholesterol Homeostasis (GO:0042632)	7/72	0.000894686342980779	0.0898265088352702	0	0	4.96581196581197	34.8552196903256	CYP39A1;ABCA2;INSIG1;LIPG;PCSK9;ABCG4;LDLR
21	Monocarboxylic Acid Metabolic Process (GO:0032787)	8/97	0.00116565656577063	0.111458970669877	0	0	4.1495287288993	28.0278705291445	GAMT;LDHB;BTD;ACOT2;MSMO1;HACL1;ME3;ACSL3
22	Cellular Response To Insulin Stimulus (GO:0032869)	8/99	0.00133058197613792	0.121445845822043	0	0	4.05791365033071	26.8720676598254	INSIG1;GRB10;PDK4;PCSK9;TRIB3;LPIN1;PDK2;PCK2
23	Negative Regulation Of Cell Activation (GO:0050866)	3/13	0.00240394022981418	0.196385588307641	0	0	13.7423887587822	82.8754835222249	C1QTNF1;EMILIN1;LDLR
24	Regulation Of cAMP-dependent Protein Kinase Activity (GO:2000479)	3/13	0.00240394022981418	0.196385588307641	0	0	13.7423887587822	82.8754835222249	PRKAR1B;ATP2B4;ADRB2
25	Cellular Response To Ketone (GO:1901655)	5/44	0.00244503969506526	0.196385588307641	0	0	5.89170437405732	35.4309067785185	GNG2;AHR;TRERF1;CFTR;PCK2
26	2-Oxoglutarate Metabolic Process (GO:0006103)	3/14	0.0030110865963528	0.232548534056785	0	0	12.4924419842453	72.5243006588959	GPT2;IDH1;D2HGDH
