Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Carboxy-Lyase Activity (GO:0016831)	5/27	0.000245142953223394	0.0616860646428965	0	0	10.4534759358289	86.9067391961823	AZIN2;MVD;CSAD;SFI1;PCK2
Low-Density Lipoprotein Particle Binding (GO:0030169)	4/16	0.000312334504520995	0.0616860646428965	0	0	15.3035993740219	123.522020079779	PCSK9;SORL1;LDLR;PLTP
Platelet-Derived Growth Factor Binding (GO:0048407)	3/10	0.00105825773117297	0.0888141363709744	0	0	19.6349949815992	134.52193012653	COL1A2;COL2A1;COL6A1
Monoatomic Cation Transmembrane Transporter Activity (GO:0008324)	5/37	0.00110966616814498	0.0888141363709744	0	0	7.18308823529412	48.8715491129708	CALHM2;TRPC1;TRPV4;SLC4A11;CALHM5
Protein Homodimerization Activity (GO:0042803)	27/662	0.00118788099589658	0.0888141363709744	0	0	1.99779214943045	13.4562973062377	CDA;CIB2;AHR;ADRB2;RAP1GAP;SRR;PAXX;S100A16;NUDT16;ABCD1;PDLIM4;PDK2;GSTM2;ST6GAL1;GSTM1;CDSN;HMGCS1;GCH1;MIGA1;IDH1;BNIP3;NAGA;ALDH1A3;COL2A1;STING1;MVD;ABCG4
Lipoprotein Particle Binding (GO:0071813)	4/23	0.00134907548917936	0.0888141363709744	0	0	9.66197183098592	63.8495538078405	PCSK9;SORL1;LDLR;PLTP
Glutathione Transferase Activity (GO:0004364)	4/28	0.00286619839864752	0.118937920555935	0	0	7.6471048513302	44.7720303359849	GSTK1;GSTM2;GSTM1;GSTT1
Aldehyde Dehydrogenase (NAD+) Activity (GO:0004029)	3/14	0.0030110865963528	0.118937920555935	0	0	12.4924419842453	72.5243006588959	ALDH1A3;ALDH1B1;ALDH1L2
Aldehyde Dehydrogenase [NAD(P)+] Activity (GO:0004030)	3/14	0.0030110865963528	0.118937920555935	0	0	12.4924419842453	72.5243006588959	ALDH1A3;ALDH1B1;ALDH1L2
Endopeptidase Activator Activity (GO:0061133)	3/14	0.0030110865963528	0.118937920555935	0	0	12.4924419842453	72.5243006588959	APH1B;CASP1;VSIR
Oxidoreductase Activity, Acting On The CH-CH Group Of Donors, NAD Or NADP As Acceptor (GO:0016628)	3/18	0.0063335250026605	0.198485646407091	0	0	9.15925058548009	46.3631952002288	DHCR24;DHCR7;TM7SF2
