Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4346	22/49	3.51366212706245e-24	3.65420861214495e-22	0	0	39.0292302106028	2107.78854122266	ABCA1;SREBF1;FDPS;MVK;HMGCS1;MSMO1;DHCR24;ACSL3;LSS;TM7SF2;FADS2;SQLE;NSDHL;PMVK;SCD2;ACOT2;SC5D;MVD;SCD1;DHCR7;FADS1;FDFT1
Cholesterol Biosynthesis WP103	12/15	3.59513680333557e-18	1.8694711377345e-16	0	0	187.244019138756	7521.02108520241	FDPS;SQLE;NSDHL;MVK;HMGCS1;PMVK;SC5D;MSMO1;MVD;DHCR7;LSS;FDFT1
Adipogenesis genes WP447	10/134	0.000648281014639729	0.0161558566063167	0	0	3.73387096774194	27.411042360936	STAT5A;BMP4;SREBF1;EPAS1;STAT2;TRIB3;AHR;SCD1;LPIN1;PCK2
Focal Adhesion WP85	12/185	0.000688539615330146	0.0161558566063167	0	0	3.21879580717427	23.4358517502144	COL1A1;COL1A2;COL2A1;ITGB4;COL6A2;ITGA11;VEGFB;TESK2;RAC3;PGF;MYLK;MAP2K6
Glutathione metabolism WP164	4/20	0.000776723875303687	0.0161558566063167	0	0	11.4753521126761	82.1684055368997	GSTM2;IDH1;GSTT1;GSTM7
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	16/324	0.00184708093783644	0.032016069589165	0	0	2.41696467783424	15.2127352238679	SREBF1;EPAS1;ITGB4;VEGFB;SLC2A3;PGF;COL1A1;COL1A2;COL2A1;GNG2;PIK3IP1;COL6A2;DDIT4;ITGA11;GNG8;FGF13
Aflatoxin B1 metabolism WP1262	2/5	0.00441764662335914	0.0656336069756216	0	0	30.4781931464174	165.257278975594	GSTM1;GSTT1
Statin Pathway WP1	3/19	0.00740255756044776	0.0907905682477633	0	0	8.58635831381733	42.1240704572742	ABCA1;PLTP;LDLR
PPAR signaling pathway WP2316	6/81	0.00797883585252131	0.0907905682477633	0	0	3.67830188679245	17.7697394399326	FADS2;SCD2;SCD1;ACSL3;PLTP;PCK2
Endochondral Ossification WP1270	5/62	0.0106465235195825	0.0907905682477633	0	0	4.02745098039216	18.2947841596009	COL2A1;THRA;HMGCS1;MGP;TIMP3
