Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Positive Regulation Of Cell Population Proliferation (GO:0008284)	17/483	1.24691819236164e-07	0.000149131415806453	0	0	5.3574099362726	85.1689990298187	SPHK1;WNT5A;LEF1;PDGFB;LIF;AREG;EREG;DYNAP;FGF5;NR4A3;HMOX1;PTK2B;HAS2;SCN5A;TIMP1;STX3;HBEGF
Positive Regulation Of Cellular Process (GO:0048522)	15/594	3.86466314059546e-05	0.015758089566736	0	0	3.72592993581316	37.8593638882491	SPHK1;LEF1;PDGFB;LIF;AREG;EREG;DYNAP;FGF5;RPS6KA3;PTK2B;HAS2;CCN2;TIMP1;STX3;HBEGF
Positive Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0045741)	3/10	4.67977201220985e-05	0.015758089566736	0	0	58.2504892367906	580.738508701107	AREG;EREG;HBEGF
Positive Regulation Of Fibroblast Proliferation (GO:0048146)	4/28	5.27026406914248e-05	0.015758089566736	0	0	22.7896551724138	224.497360608346	SPHK1;WNT5A;PDGFB;EREG
Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0045742)	4/33	0.000102324764407661	0.0244760836463125	0	0	18.8556480380499	173.233604648241	PLAUR;AREG;EREG;HBEGF
Positive Regulation Of Cytokine Production (GO:0001819)	10/320	0.000146747998449352	0.0280842441115635	0	0	4.53492689719192	40.0288643408512	PTGER4;CCBE1;EGR1;SPHK1;SERPINE1;WNT5A;HMOX1;IRF5;PTGS2;EREG
Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098)	4/38	0.000179324354883417	0.0280842441115635	0	0	16.0787018255578	138.699936342327	PDGFB;AREG;EREG;HBEGF
Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050)	3/16	0.000211336285120461	0.0280842441115635	0	0	31.3561643835616	265.337742027012	HMOX1;GATA2;PTGS2
Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081)	3/16	0.000211336285120461	0.0280842441115635	0	0	31.3561643835616	265.337742027012	SEMA7A;NR4A3;WNT5A
Positive Regulation Of Epithelial Cell Proliferation (GO:0050679)	6/123	0.000321006549110105	0.0348264629505004	0	0	7.07692307692308	56.9271162323369	NR4A3;JAML;WNT5A;PDGFB;SCN5A;AREG
Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173)	4/45	0.000347630441036416	0.0348264629505004	0	0	13.3288477712363	106.155883234527	PTK2B;AREG;EREG;HBEGF
Regulation Of Fibroblast Proliferation (GO:0048145)	4/46	0.000378548510331526	0.0348264629505004	0	0	13.0108374384236	102.51455225196	SPHK1;WNT5A;PDGFB;EREG
Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536)	4/46	0.000378548510331526	0.0348264629505004	0	0	13.0108374384236	102.51455225196	PDGFB;HMOX1;GATA2;PTGS2
Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661)	4/47	0.000411383324204995	0.0351438896963696	0	0	12.7076182838813	99.0684029987628	NR4A3;PDGFB;HMOX1;EREG
Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949)	2/5	0.000543251679877926	0.0433152672755999	0	0	90.0136054421769	676.716691058915	EGR1;NAB2
ERBB Signaling Pathway (GO:0038127)	4/54	0.000700574496101107	0.0492874763139367	0	0	10.9246896551724	79.3526833962678	PTK2B;AREG;EREG;HBEGF
Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)	4/54	0.000700574496101107	0.0492874763139367	0	0	10.9246896551724	79.3526833962678	NR4A3;PDGFB;HMOX1;EREG
Activation Of Protein Kinase B Activity (GO:0032148)	3/25	0.000826375608522102	0.0549080682106908	0	0	18.5202366127024	131.465180194003	WNT5A;PDGFB;DYNAP
Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0007176)	3/26	0.000929086551371781	0.0551554733486369	0	0	17.7141155449672	123.667708210852	AREG;EREG;HBEGF
Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429)	3/27	0.00103954347911548	0.0551554733486369	0	0	16.9751712328767	116.602003471529	PTGS2;ASS1;KLF2
Positive Regulation Of Response To External Stimulus (GO:0032103)	6/155	0.00108631054202901	0.0551554733486369	0	0	5.54803585676069	37.8651680065946	PTGER4;SERPINE1;WNT5A;PDGFB;STX3;EREG
Positive Regulation Of Vasculature Development (GO:1904018)	5/104	0.00109167415900802	0.0551554733486369	0	0	6.92760942760943	47.246593043031	SPHK1;SERPINE1;WNT5A;HMOX1;GATA2
Negative Regulation Of Neural Precursor Cell Proliferation (GO:2000178)	2/7	0.00112970271039651	0.0551554733486369	0	0	54.0027210884354	366.451706290879	WNT5A;GATA2
Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904754)	2/7	0.00112970271039651	0.0551554733486369	0	0	54.0027210884354	366.451706290879	NR4A3;PDGFB
Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407)	3/28	0.00115796501139913	0.0551554733486369	0	0	16.2953424657534	110.174295160583	PTGS2;ASS1;KLF2
