Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Transmembrane Receptor Protein Tyrosine Kinase Activator Activity (GO:0030297)	3/12	8.48615478406858e-05	0.0152750786113235	0	0	45.3013698630137	424.677215139006	AREG;EREG;HBEGF
Receptor Ligand Activity (GO:0048018)	9/319	0.000661285697584408	0.0575329541790529	0	0	4.05228110599078	29.6680653119243	FGF5;SEMA7A;WNT5A;PDGFB;LIF;TIMP1;AREG;EREG;HBEGF
Protein Tyrosine Kinase Activator Activity (GO:0030296)	3/29	0.00128456368223041	0.0575329541790529	0	0	15.6678082191781	104.305866286897	AREG;EREG;HBEGF
MAP Kinase Tyrosine Phosphatase Activity (GO:0033550)	2/9	0.00191776513930176	0.0575329541790529	0	0	38.5694849368319	241.313637384538	DUSP5;DUSP2
MAP Kinase Tyrosine/Serine/Threonine Phosphatase Activity (GO:0017017)	2/9	0.00191776513930176	0.0575329541790529	0	0	38.5694849368319	241.313637384538	DUSP5;DUSP2
Protein Tyrosine/Threonine Phosphatase Activity (GO:0008330)	2/9	0.00191776513930176	0.0575329541790529	0	0	38.5694849368319	241.313637384538	DUSP5;DUSP2
C2H2 Zinc Finger Domain Binding (GO:0070742)	2/11	0.00290140430480955	0.0746075392665312	0	0	29.9954648526077	175.250315612157	LEF1;GATA2
Growth Factor Activity (GO:0008083)	4/85	0.00375461373604294	0.0752132972737538	0	0	6.7330779054917	37.6026905894863	FGF5;PDGFB;LIF;HBEGF
Promoter-Specific Chromatin Binding (GO:1990841)	3/42	0.00376066486368769	0.0752132972737538	0	0	10.4383561643836	58.2790075063507	EGR1;PRDM15;NUP98
MAP Kinase Phosphatase Activity (GO:0033549)	2/14	0.00473069419166175	0.0851524954499115	0	0	22.4931972789116	120.421455168402	DUSP5;DUSP2
Calmodulin-Dependent Protein Kinase Activity (GO:0004683)	2/23	0.0125887964778881	0.188831947168321	0	0	12.8474246841594	56.2068152995736	CAMK2B;PTK2B
Protein Tyrosine/Serine/Threonine Phosphatase Activity (GO:0008138)	2/23	0.0125887964778881	0.188831947168321	0	0	12.8474246841594	56.2068152995736	DUSP5;DUSP2
DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	7/348	0.0156171293162279	0.21623717514777	0	0	2.82041220932634	11.7311856920578	EGR1;NR4A3;TFDP1;LEF1;PRDM15;MYBL2;IRF5
Heme Binding (GO:0020037)	3/87	0.0272619457954004	0.308857555507475	0	0	4.83537181996086	17.4182833005025	HMOX1;PTGS2;BACH1
Growth Factor Receptor Binding (GO:0070851)	3/96	0.0350303051109185	0.308857555507475	0	0	4.36544410075122	14.630968081602	FGF5;PDGFB;EREG
DNA-methyltransferase Activity (GO:0009008)	1/5	0.0367025054388786	0.308857555507475	0	0	33.5253378378378	110.798232928632	METTL4
Double-Stranded Methylated DNA Binding (GO:0010385)	1/5	0.0367025054388786	0.308857555507475	0	0	33.5253378378378	110.798232928632	EGR1
Acetylcholine Receptor Inhibitor Activity (GO:0030550)	1/5	0.0367025054388786	0.308857555507475	0	0	33.5253378378378	110.798232928632	LYPD6
Protein Serine/Threonine Kinase Activity (GO:0004674)	6/342	0.0431875276362471	0.308857555507475	0	0	2.43693806193806	7.65735539899094	CAMK2B;RPS6KA3;DYRK3;MAST4;PLK2;PTK2B
Symporter Activity (GO:0015293)	1/6	0.0438808466173447	0.308857555507475	0	0	26.8189189189189	83.8433787633621	SLC4A4
Arachidonic Acid Binding (GO:0050544)	1/6	0.0438808466173447	0.308857555507475	0	0	26.8189189189189	83.8433787633621	STX3
Icosatetraenoic Acid Binding (GO:0050543)	1/6	0.0438808466173447	0.308857555507475	0	0	26.8189189189189	83.8433787633621	STX3
Nitric-Oxide Synthase Binding (GO:0050998)	1/6	0.0438808466173447	0.308857555507475	0	0	26.8189189189189	83.8433787633621	SCN5A
Armadillo Repeat Domain Binding (GO:0070016)	1/7	0.0510060541018411	0.308857555507475	0	0	22.347972972973	66.5033425810081	LEF1
Icosanoid Binding (GO:0050542)	1/7	0.0510060541018411	0.308857555507475	0	0	22.347972972973	66.5033425810081	STX3
NMDA Glutamate Receptor Activity (GO:0004972)	1/7	0.0510060541018411	0.308857555507475	0	0	22.347972972973	66.5033425810081	PTK2B
Histone H3K14 Acetyltransferase Activity (GO:0036408)	1/8	0.0580785181093375	0.308857555507475	0	0	19.1544401544402	54.5127594581985	JADE1
Histone H4K16 Acetyltransferase Activity (GO:0046972)	1/8	0.0580785181093375	0.308857555507475	0	0	19.1544401544402	54.5127594581985	JADE1
Tropomyosin Binding (GO:0005523)	1/8	0.0580785181093375	0.308857555507475	0	0	19.1544401544402	54.5127594581985	TNNT2
Nuclear Glucocorticoid Receptor Binding (GO:0035259)	1/8	0.0580785181093375	0.308857555507475	0	0	19.1544401544402	54.5127594581985	NR4A3
Superoxide-Generating NADPH Oxidase Activator Activity (GO:0016176)	1/9	0.0650986261466566	0.308857555507475	0	0	16.7592905405405	45.7838985951609	PDGFB
Bioactive Lipid Receptor Activity (GO:0045125)	1/9	0.0650986261466566	0.308857555507475	0	0	16.7592905405405	45.7838985951609	SPHK1
cAMP Response Element Binding (GO:0035497)	1/9	0.0650986261466566	0.308857555507475	0	0	16.7592905405405	45.7838985951609	NR4A3
Prostaglandin Receptor Activity (GO:0004955)	1/9	0.0650986261466566	0.308857555507475	0	0	16.7592905405405	45.7838985951609	PTGER4
Protease Binding (GO:0002020)	3/125	0.0668401975084732	0.308857555507475	0	0	3.32287222097462	8.9898667114635	CCBE1;SERPINE1;TIMP1
Transferrin Receptor Binding (GO:1990459)	1/10	0.0720667629517442	0.308857555507475	0	0	14.8963963963964	39.1799406007792	F3
Histone H4K12 Acetyltransferase Activity (GO:0043997)	1/10	0.0720667629517442	0.308857555507475	0	0	14.8963963963964	39.1799406007792	JADE1
Histone H4K5 Acetyltransferase Activity (GO:0043995)	1/10	0.0720667629517442	0.308857555507475	0	0	14.8963963963964	39.1799406007792	JADE1
Histone H4K8 Acetyltransferase Activity (GO:0043996)	1/10	0.0720667629517442	0.308857555507475	0	0	14.8963963963964	39.1799406007792	JADE1
Platelet-Derived Growth Factor Binding (GO:0048407)	1/10	0.0720667629517442	0.308857555507475	0	0	14.8963963963964	39.1799406007792	PDGFB
Magnesium Ion Transmembrane Transporter Activity (GO:0015095)	1/10	0.0720667629517442	0.308857555507475	0	0	14.8963963963964	39.1799406007792	SLC41A2
Racemase And Epimerase Activity, Acting On Carbohydrates And Derivatives (GO:0016857)	1/10	0.0720667629517442	0.308857555507475	0	0	14.8963963963964	39.1799406007792	DSEL
Monoatomic Cation:Bicarbonate Symporter Activity (GO:0140410)	1/11	0.0789833105680656	0.323113543232996	0	0	13.4060810810811	34.0315876181229	SLC4A4
UDP-galactose:beta-N-acetylglucosamine Beta-1,3-Galactosyltransferase Activity (GO:0008499)	1/11	0.0789833105680656	0.323113543232996	0	0	13.4060810810811	34.0315876181229	B3GNT5
Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups (GO:0016747)	2/64	0.0824169198110106	0.329667679244042	0	0	4.34254992319508	10.8388505590866	SPHK1;PIGW
Platelet-Derived Growth Factor Receptor Binding (GO:0005161)	1/12	0.0858486482289488	0.3359294930698	0	0	12.1867321867322	29.920492407791	PDGFB
Histone H3 Acetyltransferase Activity (GO:0010484)	1/13	0.0926631524562931	0.347486821711099	0	0	11.1706081081081	26.5724680582303	JADE1
Metalloendopeptidase Inhibitor Activity (GO:0008191)	1/13	0.0926631524562931	0.347486821711099	0	0	11.1706081081081	26.5724680582303	TIMP1
Hyaluronic Acid Binding (GO:0005540)	1/14	0.0994271970296019	0.350919518928007	0	0	10.3108108108108	23.800749699495	TNFAIP6
Beta-1,3-Galactosyltransferase Activity (GO:0048531)	1/14	0.0994271970296019	0.350919518928007	0	0	10.3108108108108	23.800749699495	B3GNT5
Acetylcholine Receptor Regulator Activity (GO:0030548)	1/14	0.0994271970296019	0.350919518928007	0	0	10.3108108108108	23.800749699495	LYPD6
DNA Nuclease Activity (GO:0004536)	1/15	0.106141153026966	0.367411683554883	0	0	9.5738416988417	21.4739875198209	DFFB
Protein Tyrosine Phosphatase Activity (GO:0004725)	2/76	0.110105808584407	0.36918127251667	0	0	3.63614635043206	8.02247870564235	DUSP5;DUSP2
Ionotropic Glutamate Receptor Activity (GO:0004970)	1/16	0.112805388824538	0.36918127251667	0	0	8.93513513513514	19.4972794614073	PTK2B
RNA Methyltransferase Activity (GO:0008173)	1/16	0.112805388824538	0.36918127251667	0	0	8.93513513513514	19.4972794614073	METTL4
Histone Acetyltransferase Binding (GO:0035035)	1/17	0.1194202700908	0.370614631316275	0	0	8.37626689189189	17.8004577617122	EGR1
DNA Binding, Bending (GO:0008301)	1/17	0.1194202700908	0.370614631316275	0	0	8.37626689189189	17.8004577617122	LEF1
Carboxylic Acid Binding (GO:0031406)	1/17	0.1194202700908	0.370614631316275	0	0	8.37626689189189	17.8004577617122	ASS1
Ankyrin Binding (GO:0030506)	1/18	0.125986159866926	0.379123487628294	0	0	7.88314785373609	16.3305968176512	SCN5A
Voltage-Gated Sodium Channel Activity (GO:0005248)	1/19	0.132503418536683	0.379123487628294	0	0	7.44481981981982	15.0470740056394	SCN5A
Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process (GO:0043027)	1/19	0.132503418536683	0.379123487628294	0	0	7.44481981981982	15.0470740056394	RPS6KA3
UDP-galactosyltransferase Activity (GO:0035250)	1/19	0.132503418536683	0.379123487628294	0	0	7.44481981981982	15.0470740056394	B3GNT5
Histone H4 Acetyltransferase Activity (GO:0010485)	1/20	0.138972403819006	0.379123487628294	0	0	7.05263157894737	13.9182266577843	JADE1
Fibroblast Growth Factor Binding (GO:0017134)	1/20	0.138972403819006	0.379123487628294	0	0	7.05263157894737	13.9182266577843	SCN5A
Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen, Incorporation Of Two Atoms Of Oxygen (GO:0016702)	1/21	0.145393470910115	0.379123487628294	0	0	6.69966216216216	12.9190363921662	PTGS2
Transforming Growth Factor Beta Binding (GO:0050431)	1/21	0.145393470910115	0.379123487628294	0	0	6.69966216216216	12.9190363921662	NRROS
Lipid Kinase Activity (GO:0001727)	1/21	0.145393470910115	0.379123487628294	0	0	6.69966216216216	12.9190363921662	SPHK1
Lysophospholipase Activity (GO:0004622)	1/21	0.145393470910115	0.379123487628294	0	0	6.69966216216216	12.9190363921662	PNPLA6
Cytokine Activity (GO:0005125)	3/178	0.147633338271197	0.379123487628294	0	0	2.31029354207436	4.41964589165694	WNT5A;LIF;TIMP1
Semaphorin Receptor Binding (GO:0030215)	1/22	0.151766972303608	0.379123487628294	0	0	6.38030888030888	12.0294918587735	SEMA7A
Fibroblast Growth Factor Receptor Binding (GO:0005104)	1/22	0.151766972303608	0.379123487628294	0	0	6.38030888030888	12.0294918587735	FGF5
High Voltage-Gated Calcium Channel Activity (GO:0008331)	1/23	0.158093257992203	0.379123487628294	0	0	6.08998771498772	11.2334097333281	SCN5A
Protein Phosphatase 2A Binding (GO:0051721)	1/23	0.158093257992203	0.379123487628294	0	0	6.08998771498772	11.2334097333281	SPHK1
Disordered Domain Specific Binding (GO:0097718)	1/23	0.158093257992203	0.379123487628294	0	0	6.08998771498772	11.2334097333281	DFFB
Chemorepellent Activity (GO:0045499)	1/24	0.164372675415653	0.379123487628294	0	0	5.82491186839013	10.5175716483689	SEMA7A
Nuclear Localization Sequence Binding (GO:0008139)	1/24	0.164372675415653	0.379123487628294	0	0	5.82491186839013	10.5175716483689	NUP98
Sequence-Specific DNA Binding (GO:0043565)	8/717	0.167045384602571	0.379123487628294	0	0	1.53183486880933	2.74120278018837	EGR1;CSRNP1;LEF1;LHX6;MYBL2;IRF5;GATA2;KLF2
Transcription Coregulator Binding (GO:0001221)	2/99	0.168369591904428	0.379123487628294	0	0	2.7707412862052	4.9363353974862	LEF1;GATA2
Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Flavin Or Flavoprotein As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016712)	1/25	0.170605569432732	0.379123487628294	0	0	5.58192567567568	9.87108293735773	HMOX1
Epidermal Growth Factor Receptor Binding (GO:0005154)	1/25	0.170605569432732	0.379123487628294	0	0	5.58192567567568	9.87108293735773	EREG
Ferrous Iron Binding (GO:0008198)	1/25	0.170605569432732	0.379123487628294	0	0	5.58192567567568	9.87108293735773	F3
Carboxylic Ester Hydrolase Activity (GO:0052689)	2/104	0.181657119962718	0.391999616125001	0	0	2.63425370148059	4.4930735340873	TNFAIP6;PNPLA6
Voltage-Gated Monoatomic Ion Channel Activity (GO:0005244)	1/27	0.182933154191667	0.391999616125001	0	0	5.15202702702703	8.75141070111761	PTK2B
Acetyltransferase Activity (GO:0016407)	1/27	0.182933154191667	0.391999616125001	0	0	5.15202702702703	8.75141070111761	SPHK1
Cysteine-Type Endopeptidase Activity (GO:0004197)	2/106	0.187015858220708	0.395641092939752	0	0	2.58333333333333	4.33111814454329	CTSW;CTSC
Cell Adhesion Mediator Activity (GO:0098631)	1/28	0.189028522182326	0.395641092939752	0	0	4.96096096096096	8.26425335077607	ESAM
Metal Ion Transmembrane Transporter Activity (GO:0046873)	1/29	0.195078721311695	0.403611147541437	0	0	4.78354247104247	7.8179926966138	SLC41A2
RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	12/1225	0.202671271686975	0.407798842635199	0	0	1.34585782971579	2.14821784334082	EGR1;NR4A3;TFDP1;LEF1;PRDM15;LHX6;MYBL2;IRF5;GATA2;BACH1;KLF2;RELB
Endopeptidase Inhibitor Activity (GO:0004866)	2/112	0.203217738066211	0.407798842635199	0	0	2.44168212739641	3.89076497900683	SERPINE1;TIMP1
O-acyltransferase Activity (GO:0008374)	1/31	0.207044940274799	0.407798842635199	0	0	4.46418918918919	7.03029176943762	PIGW
GTPase Activator Activity (GO:0005096)	3/211	0.208406808567599	0.407798842635199	0	0	1.94049657534247	3.04320956088024	RGS3;TBC1D30;RASGRP3
Nuclear Receptor Binding (GO:0016922)	2/115	0.211378425618892	0.407798842635199	0	0	2.37649750165553	3.69332728085804	NR4A3;LEF1
Double-Stranded DNA Binding (GO:0003690)	7/650	0.211797020423004	0.407798842635199	0	0	1.47258668652662	2.28564142905247	EGR1;LEF1;LHX6;MYBL2;IRF5;GATA2;KLF2
Beta-Tubulin Binding (GO:0048487)	1/32	0.212961617820604	0.407798842635199	0	0	4.31996512641674	6.68144523795919	BBS4
