Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Lung fibrosis WP3632	5/61	9.12286987741638e-05	0.00592986542032065	0	0	12.273685515873	114.171553636877	PDGFB;SPP1;HMOX1;TIMP1;CCN2
2	PluriNetWork WP1763	9/292	0.000349591840541703	0.0113617348176054	0	0	4.44502776375568	35.3768391730692	FGF5;WNT5A;LEF1;JADE1;LIF;SPP1;MYBL2;KLF2;RELB
3	TGF Beta Signaling Pathway WP113	4/52	0.000606669597372437	0.0131445079430695	0	0	11.3810344827586	84.3053115208907	SERPINE1;LEF1;SPP1;LIF
4	Osteoclast WP454	2/14	0.00473069419166175	0.0632601930367351	0	0	22.4931972789116	120.421455168402	PDGFB;SPP1
5	ErbB signaling pathway WP1261	3/46	0.00486616869513347	0.0632601930367351	0	0	9.46543485186365	50.4076845756454	AREG;EREG;HBEGF
6	Hypertrophy Model WP202	2/20	0.0095928139492284	0.0958117921628264	0	0	14.9909297052154	69.6589678057452	NR4A3;HBEGF
7	Complement and Coagulation Cascades WP449	3/62	0.0111209323795881	0.0958117921628264	0	0	6.89296494079406	31.0109401996625	SERPINE1;PLAUR;F3
8	ESC Pluripotency Pathways WP339	4/118	0.0117922205738863	0.0958117921628264	0	0	4.77604355716878	21.2071389858065	FGF5;WNT5A;PDGFB;LIF
9	Prostaglandin Synthesis and Regulation WP374	2/31	0.0222584794413252	0.153582113402149	0	0	9.29955430448041	35.3851039878682	PTGER4;PTGS2
10	White fat cell differentiation WP2872	2/32	0.0236280174464845	0.153582113402149	0	0	8.9891156462585	33.6671334098849	GATA2;KLF2
11	Wnt Signaling Pathway NetPath WP539	3/108	0.0469694813312081	0.277546935138957	0	0	3.86418786692759	11.8176804494914	CAMK2B;WNT5A;LEF1
12	Eicosanoid Lipid Synthesis Map WP4335	1/9	0.0650986261466566	0.29246787111965	0	0	16.7592905405405	45.7838985951609	PTGS2
13	TYROBP Causal Network WP3625	2/58	0.0695265332982969	0.29246787111965	0	0	4.80928085519922	12.8217679554623	NRROS;SPP1
14	Macrophage markers WP2271	1/10	0.0720667629517442	0.29246787111965	0	0	14.8963963963964	39.1799406007792	F3
15	SIDS Susceptibility Pathways WP1266	2/61	0.0758834274199196	0.29246787111965	0	0	4.56404934855298	11.7686612408128	SCN5A;GATA2
