Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	18/244	6.50706028615558e-06	0.0145432797395577	0	0	3.72104655636783	44.439055342276	PDGFRA;SYK;ANGPT1;FBLN1;NPNT;MT3;MTURN;GAREM1;THPO;DDT;PDGFD;CCL5;ROR1;SPRY1;APOE;EPHB2;GAS6;FGFR2
Negative Regulation Of Amyloid-Beta Formation (GO:1902430)	5/16	1.64846831304724e-05	0.0184216333983029	0	0	20.8186076218863	229.276968396955	RTN2;PRNP;RTN1;APOE;CLU
Negative Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902992)	5/18	3.12012033672706e-05	0.0202240525207054	0	0	17.6139434336156	182.745612417182	RTN2;PRNP;RTN1;APOE;CLU
Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	14/179	3.61951722965645e-05	0.0202240525207054	0	0	3.93855299405539	40.2779462223845	PDGFRA;ANGPT1;NPNT;MT3;MTURN;GAREM1;THPO;DDT;PDGFD;CCL5;ROR1;APOE;GAS6;FGFR2
Regulation Of Osteoblast Differentiation (GO:0045667)	9/85	9.08685322311258e-05	0.0344138851471836	0	0	5.4568868980963	50.7823176828227	SCUBE3;MEF2C;PTCH1;SMOC1;LRP5;LRP3;TMEM53;NPNT;FGFR2
Regulation Of Neuron Apoptotic Process (GO:0043523)	10/105	9.23862688514996e-05	0.0344138851471836	0	0	4.8573210276877	45.1222400723462	NRBP2;PRNP;MEF2C;EGLN3;PINK1;TGFB3;ATP13A2;APOE;CLU;MT3
Negative Regulation Of Neuron Death (GO:1901215)	9/88	0.00011912265210851	0.0380341610660742	0	0	5.24885537301374	47.4252816413781	NRBP2;MEF2C;PINK1;TGFB3;ATP13A2;APOE;CLU;MT3;CD200
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	20/364	0.000140013342923361	0.039116227679214	0	0	2.71280198690449	24.0727885735178	MYOM1;MEF2C;RAMP2;CALCOCO1;PID1;GSN;DTX3L;ANGPT1;ANK2;LRP3;CLU;MT3;ACTG2;KLF2;OLFM1;FGF18;ATP13A2;EPHB2;GAS6;RIGI
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I (GO:0019885)	3/6	0.000190681134092619	0.0426172334697002	0	0	45.6060606060606	390.611712422263	ERAP1;TAP2;TAP1
Epithelial Cell Differentiation Involved In Kidney Development (GO:0035850)	3/6	0.000190681134092619	0.0426172334697002	0	0	45.6060606060606	390.611712422263	MEF2C;MTSS1;PAX2
Stem Cell Differentiation (GO:0048863)	6/41	0.000232444118124129	0.0437886382503734	0	0	7.86036217303823	65.7665554632508	UFL1;MEF2C;SFRP1;JARID2;PAX2;FGFR2
Axonogenesis (GO:0007409)	13/188	0.000235106782552341	0.0437886382503734	0	0	3.4382407091715	28.7281196878959	CYFIP2;NTNG1;SEMA5B;SEMA6C;ATL1;SEMA3B;SEMA3F;IGSF9;PAX2;EFNB1;DPYSL5;EPHB2;FGFR2
Bone Development (GO:0060348)	6/44	0.000345550097031409	0.0522183052019686	0	0	7.23869532987398	57.6951012813079	CYP26B1;OPTC;LRP5;STC1;SULF1;FGFR2
Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433)	11/149	0.000402418387602356	0.0522183052019686	0	0	3.67878412337774	28.760801397403	HES6;PRNP;UFL1;PTGIS;PTCH1;ID3;HES1;GAS6;MTURN;CD200;CMKLR1
Extracellular Matrix Assembly (GO:0085029)	4/17	0.000408655612198924	0.0522183052019686	0	0	14.058231488138	109.691288137574	MFAP4;RAMP2;MYH11;GAS6
Negative Regulation Of Axon Extension (GO:0030517)	5/30	0.000419194831349968	0.0522183052019686	0	0	9.1536299765808	71.1893799689044	SEMA5B;SEMA6C;SEMA3B;SEMA3F;MT3
Antiviral Innate Immune Response (GO:0140374)	6/46	0.000442159915215246	0.0522183052019686	0	0	6.87605633802817	53.1095517123584	RNF135;TRIM7;IFIT1;USP18;IFIT3;RIGI
Positive Regulation Of MAPK Cascade (GO:0043410)	17/310	0.000445438184285155	0.0522183052019686	0	0	2.69480652987376	20.7943454431946	PDGFRA;MEF2C;ANGPT1;CD81;NPNT;MT3;MTURN;GAREM1;THPO;DDT;PDGFD;CCL5;FGF18;ROR1;APOE;GAS6;FGFR2
Extracellular Matrix Organization (GO:0030198)	12/176	0.000459773629559594	0.0522183052019686	0	0	3.38048780487805	25.9782925628639	ADAMTS2;COL3A1;COL16A1;GSN;OPTC;ADAMTSL4;SMOC1;MMP17;TGFBI;NPNT;GAS6;ADAMTS7
Positive Regulation Of Cell Differentiation (GO:0045597)	16/283	0.000467277898899047	0.0522183052019686	0	0	2.7803226735811	21.3211446552806	MEF2C;TGFB3;IGFBP3;LRP5;CREBL2;LRP3;GDPD5;NPNT;PAX2;OLFM1;SCUBE3;SFRP1;ZFP36;RPS6KA1;RIN2;CMKLR1
Negative Regulation Of Chemotaxis (GO:0050922)	5/31	0.000491026143748851	0.0522592110132706	0	0	8.80111691587101	67.0558258305823	SEMA5B;SEMA6C;ANGPT2;SEMA3B;SEMA3F
