Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Cholesterol Biosynthetic Process (GO:0006695)	13/25	2.04943379442233e-17	3.48198801672353e-14	0	0	67.8325371549894	2606.55905418976	MVK;HMGCS1;INSIG1;MSMO1;DHCR24;LSS;PLPP6;NSDHL;PMVK;SC5D;MVD;DHCR7;FDFT1
Sterol Biosynthetic Process (GO:0016126)	13/28	1.41207314911101e-16	1.1995561401698e-13	0	0	54.2577494692144	1980.20724003146	MVK;HMGCS1;INSIG1;MSMO1;DHCR24;LSS;PLPP6;SQLE;NSDHL;PMVK;MVD;DHCR7;FDFT1
Secondary Alcohol Biosynthetic Process (GO:1902653)	12/24	6.76659933329725e-16	3.83215075575734e-13	0	0	62.415873015873	2180.14667562911	PLPP6;NSDHL;MVK;HMGCS1;INSIG1;PMVK;DHCR24;MSMO1;MVD;DHCR7;LSS;FDFT1
Cholesterol Metabolic Process (GO:0008203)	13/67	5.399754569848e-11	2.29354575354294e-08	0	0	15.0416961547535	355.617021737846	MVK;HMGCS1;INSIG1;MSMO1;DHCR24;LSS;PLPP6;SQLE;NSDHL;PMVK;MVD;DHCR7;FDFT1
acetyl-CoA Metabolic Process (GO:0006084)	5/16	4.26856979449541e-06	0.00145046001616954	0	0	27.755505364201	343.175500094324	ACSS2;MVK;HMGCS1;PMVK;MVD
Steroid Biosynthetic Process (GO:0006694)	7/50	1.60008858041229e-05	0.00453091749686747	0	0	9.98619186046512	110.276183303848	CYP39A1;SQLE;DHRS11;PMVK;MSMO1;LSS;FDFT1
Lipid Biosynthetic Process (GO:0008610)	8/71	2.03738260263915e-05	0.00494501863126275	0	0	7.80614021993332	84.3161463559074	SREBF1;DHRS11;ACSS2;MVK;MVD;LSS;FADS1;FDFT1
Regulation Of Receptor Recycling (GO:0001919)	4/17	0.000141109388533808	0.0299681063898674	0	0	18.7282686353894	166.044364570409	PCSK9;LDLR;OPTN;TBC1D16
Cholesterol Homeostasis (GO:0042632)	7/72	0.000173608811238535	0.0321736152751267	0	0	6.59884615384615	57.137468792272	CYP39A1;ABCA2;INSIG1;LIPG;PCSK9;ABCG4;LDLR
Sterol Homeostasis (GO:0055092)	7/73	0.00018936795335566	0.0321736152751267	0	0	6.4985321969697	55.7042391092693	CYP39A1;ABCA2;INSIG1;LIPG;PCSK9;ABCG4;LDLR
Isoprenoid Metabolic Process (GO:0006720)	3/8	0.000228186393991409	0.032307390282617	0	0	36.4222222222222	305.412998996813	PLPP6;MVK;MVD
Negative Regulation Of Smooth Muscle Cell Differentiation (GO:0051151)	3/8	0.000228186393991409	0.032307390282617	0	0	36.4222222222222	305.412998996813	SHH;PDCD4;NFATC2
Modified Amino Acid Transport (GO:0072337)	4/29	0.00120652730907476	0.14642070700843	0	0	9.73275541795666	65.4042043752497	SLC7A11;SLC16A9;FOLR1;SLC7A2
Organic Cyclic Compound Biosynthetic Process (GO:1901362)	4/29	0.00120652730907476	0.14642070700843	0	0	9.73275541795666	65.4042043752497	DHRS11;GCH1;LSS;FDFT1
2-Oxoglutarate Metabolic Process (GO:0006103)	3/14	0.00137892055077731	0.15618573438471	0	0	16.5505050505051	109.009145082266	GPT2;IDH1;D2HGDH
Cholesterol Import (GO:0070508)	2/5	0.00257955899820873	0.243481707664258	0	0	40.3487179487179	240.483879711329	STARD4;LDLR
Mitochondrial Protein Catabolic Process (GO:0035694)	2/5	0.00257955899820873	0.243481707664258	0	0	40.3487179487179	240.483879711329	BNIP3;SFI1
Purine Deoxyribonucleotide Catabolic Process (GO:0009155)	2/5	0.00257955899820873	0.243481707664258	0	0	40.3487179487179	240.483879711329	NUDT18;NUDT16
Sterol Metabolic Process (GO:0016125)	5/60	0.00296660969337241	0.248904907099666	0	0	5.53867871259176	32.2369683094988	CYP39A1;SQLE;NSDHL;PMVK;MSMO1
Regulation Of Vascular Associated Smooth Muscle Cell Differentiation (GO:1905063)	2/6	0.00382759225776051	0.248904907099666	0	0	30.26	168.412614829004	PDCD4;NFATC2
Lymphoid Progenitor Cell Differentiation (GO:0002320)	2/6	0.00382759225776051	0.248904907099666	0	0	30.26	168.412614829004	BMP4;SHH
Negative Regulation Of CD4-positive, Alpha-Beta T Cell Proliferation (GO:2000562)	2/6	0.00382759225776051	0.248904907099666	0	0	30.26	168.412614829004	LGALS9;VSIR
Negative Regulation Of Lipoprotein Particle Clearance (GO:0010985)	2/6	0.00382759225776051	0.248904907099666	0	0	30.26	168.412614829004	PCSK9;LDLR
