Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Positive Regulation Of Cellular Component Biogenesis (GO:0044089)	5/93	0.000113840259734403	0.0676422999765773	0	0	11.6037956888472	105.370753708368	SMPD3;SYNPO2;CLDN19;EMILIN1;SYNPO
Hypotonic Response (GO:0006971)	2/6	0.000381209751704544	0.0676422999765773	0	0	99.47	783.043835264899	SLC4A11;MYLK
Cellular Hypotonic Response (GO:0071476)	2/6	0.000381209751704544	0.0676422999765773	0	0	99.47	783.043835264899	SLC4A11;MYLK
Cellular Response To Osmotic Stress (GO:0071470)	3/28	0.000384539002401739	0.0676422999765773	0	0	24.0884848484848	189.418965638651	SLC4A11;AQP5;MYLK
Hepoxilin Biosynthetic Process (GO:0051122)	2/7	0.000531918479501263	0.0676422999765773	0	0	79.572	599.894924456191	GSTM2;GSTM1
Hepoxilin Metabolic Process (GO:0051121)	2/7	0.000531918479501263	0.0676422999765773	0	0	79.572	599.894924456191	GSTM2;GSTM1
Skin Morphogenesis (GO:0043589)	2/8	0.000706866209916387	0.0681468481331643	0	0	66.3066666666667	481.032928860848	CDSN;COL1A2
Positive Regulation Of Cytoskeleton Organization (GO:0051495)	4/79	0.000714514790387044	0.0681468481331643	0	0	10.7880272108844	78.147464323936	BCAS3;SYNPO2;LMOD1;SYNPO
Smooth Muscle Contraction (GO:0006939)	2/14	0.00225190837181203	0.190911787521398	0	0	33.1433333333333	202.041006221333	APBB1;MYLK
Negative Regulation Of Biosynthetic Process (GO:0009890)	2/16	0.00294988226650646	0.211021893804494	0	0	28.4057142857143	165.49140791357	EMILIN1;ABCD1
Cellular Response To Oxidative Stress (GO:0034599)	4/117	0.00304225534973714	0.211021893804494	0	0	7.14646920715189	41.414904957091	PYCR1;SLC4A11;FOS;PDK2
Fatty Acid Metabolic Process (GO:0006631)	4/122	0.0035352678924687	0.224784116829468	0	0	6.84192320996195	38.6224252606883	ACOT2;HACL1;LPIN1;ABCD1
Fluid Transport (GO:0042044)	2/19	0.00416192957655185	0.226825161922076	0	0	23.3894117647059	128.215527099427	SLC4A11;AQP5
Xenobiotic Catabolic Process (GO:0042178)	2/19	0.00416192957655185	0.226825161922076	0	0	23.3894117647059	128.215527099427	GSTM2;GSTM1
Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288)	3/71	0.00572632157711572	0.241267649722601	0	0	8.83689839572192	45.6220955147687	CAPN5;EMILIN1;SORL1
Regulation Of Cell Migration (GO:0030334)	7/434	0.00681490748133278	0.241267649722601	0	0	3.35996548748921	16.7616676026885	SH3RF2;IFITM1;CEMIP;CLDN19;EMILIN1;SORL1;MYLK
Long-Chain Fatty Acid Biosynthetic Process (GO:0042759)	2/25	0.00715788907842449	0.241267649722601	0	0	17.2826086956522	85.3681397723264	GSTM2;GSTM1
Long-Chain Fatty Acid Metabolic Process (GO:0001676)	3/78	0.00742909023725595	0.241267649722601	0	0	8.00929292929293	39.2643721874307	GSTM2;ACOT2;HACL1
Regulation Of Actin Filament Bundle Assembly (GO:0032231)	2/26	0.00772876055202843	0.241267649722601	0	0	16.5616666666667	80.5361848189083	SYNPO2;SYNPO
Negative Regulation Of Neurogenesis (GO:0050768)	2/27	0.00831949464007076	0.241267649722601	0	0	15.8984	76.1398822392552	PTN;SORL1
