"SYMBOL","log2FC_Male","pvalue_Male","padj_Male","log2FC_Female","pvalue_Female","padj_Female"
"Egr1",-4.2842773175438,3.69548018278351e-172,4.10974351127354e-168,-4.36242682475384,3.15459761090246e-260,3.72999621513106e-256
"Spp1",-0.81658410055501,1.17163871507105e-118,6.51489707515258e-115,-0.584524553226691,1.3181947495792e-46,1.94829183987806e-43
"Timp1",-0.866067588443699,2.36898891068709e-104,8.78184189191704e-101,-0.580551600883279,2.60270233622095e-34,1.70968624574869e-31
"Dusp5",-0.734912893895089,8.02940611720396e-37,9.92166949215836e-34,-0.553939430229108,2.5103928625506e-11,2.4531310088263e-09
"Nab2",-0.528980583021152,2.35572707556427e-20,9.35644314548221e-18,-0.592023985891222,1.28621931177007e-19,3.70933101033397e-17
"Areg",-0.745015106709276,1.74200236511806e-17,4.8432020756195e-15,-1.21811476559742,7.49811882039784e-12,7.98718530922379e-10
"Pdgfb",-0.998271101650654,1.2252570181058e-15,2.89916665922439e-13,-1.09533105903907,6.32983492838862e-16,1.1339995180798e-13
"Plk2",-0.588673172803768,9.30341600069507e-14,1.95213753478736e-11,-0.694819343195657,2.08443168313319e-13,2.9340857406389e-11
"Sema7a",-0.800818671911099,2.63158140117648e-09,2.63656006869222e-07,-0.738788541221639,1.4361724766311e-12,1.76888576705063e-10
"Ereg",-0.671588795649583,3.16165409512399e-09,3.1393531421316e-07,-0.556534864354349,0.000539392555122255,0.00661595183793106
"Tnnt2",-0.968244319598047,3.24612496753159e-07,1.80500778819594e-05,-0.706646134424463,0.000664865915576946,0.00790087898068523
"Kctd11",-0.707613568015384,3.4228080101684e-07,1.89378347667078e-05,-0.736838689820156,3.89043707121831e-06,0.000107982459929778
"Jaml",-0.51236510446343,1.1305097275978e-06,5.51209465627573e-05,-0.568297894356601,0.0371816186474172,0.159562585226335
"Lif",-0.733961960863213,3.40731414850612e-06,0.0001429914741341,-1.95374295369109,1.027137192935e-07,4.5148216242615e-06
"Lef1",-1.04011334785601,2.39936179184481e-05,0.00078556708479487,-1.01009417815018,0.000543700285518321,0.00664809945808545
"Aif1l",-0.54965631609211,6.41915718805286e-05,0.00172850961472968,-0.595567356159207,6.06991437132789e-08,2.83985587281131e-06
"Tatdn2",-0.604681660872506,0.000159375028684612,0.00369252019583661,-0.667647288833983,3.85134447264675e-05,0.000766637997383421
"Dusp2",-0.580043731516872,0.00020858151471937,0.00461160044770201,-0.801137405703611,0.000915771375887526,0.0101008215937445
"Syt12",-1.28806755346542,0.000299659659985764,0.00612594683584869,-1.60213914118055,2.85996751860663e-05,0.000592228650437912
"Ptger4",-1.12638541429807,0.00275444329323645,0.0344756927522853,-0.821048854143879,0.00124303507211695,0.012749978231741
"Cd300lb",-2.26621511958796,0.00438436825429473,NA,-2.12251626303844,0.0469208750255566,NA
"Gfod1",-0.583827879358016,0.00618671928564223,0.0614196306717066,-0.675551247842193,0.021795947448333,0.110228948943152
"3300005D01Rik",-0.776267902841513,0.0330316608221991,0.189257802906028,-0.913750367219646,0.025160865892151,0.1216203832104
"Ptgs2os",-0.656890952634647,0.0410880851993789,0.21790059016377,-0.992178393860722,0.0229816831337495,0.114414914262507
