"SYMBOL","log2FC_Male","pvalue_Male","padj_Male","log2FC_Female","pvalue_Female","padj_Female"
"Col1a2",0.508102629679816,3.38013834555896e-34,3.41731986736011e-31,0.510691366668338,2.64918331825719e-08,1.4046611459674e-06
"Cbr2",1.13288134005219,1.40167225057719e-26,1.03919980657793e-23,1.07879232449679,2.27338564676257e-35,1.68003199295754e-32
"Emilin1",1.28820738149606,1.47610944088407e-25,9.11989616226208e-23,0.948692295078699,4.05515020246832e-21,1.37888393532868e-18
"Ddit4",1.04341730143075,6.3215293888162e-18,1.80260841879551e-15,0.839450174277414,5.59392890598552e-08,2.67783867952926e-06
"Pltp",1.03336169246649,5.17159460479691e-15,1.19819382499888e-12,0.504344579888295,7.30571929376381e-05,0.00132109989017386
"Serpinb1a",2.92023336559149,3.09020103256639e-14,6.87322513663417e-12,1.01954178511999,0.000111964194016653,0.00185496312446975
"Cdsn",1.31912939846589,8.36995202262725e-12,1.31101741469912e-09,1.25678119228788,0.00480529649788296,0.0360977292191665
"Mxd4",0.72812548087935,4.84519178396295e-11,6.82068073790531e-09,0.62869108252652,1.05165456211454e-17,2.43818892989064e-15
"Gstm1",0.755888397400444,7.70942118205717e-11,1.04556674348363e-08,0.916975028929216,4.46836495675143e-16,8.25530425759826e-14
"Dbp",0.968458270730314,1.21487020312457e-10,1.55293925620096e-08,0.843394893844144,3.06384724963384e-13,4.11669657723528e-11
"1190005I06Rik",1.12693183811025,5.02881788735422e-10,5.82557122138191e-08,0.61959042299564,0.000338652040904827,0.00453115114159033
"Zcchc24",0.809444768487276,1.12471847348566e-09,1.19123753748895e-07,0.530122965015343,3.69872077246061e-06,0.000104516341758702
"Ogn",0.972053825231937,1.55565633069477e-09,1.63211830694873e-07,0.637095130450907,3.51826322108925e-16,6.70966843970312e-14
"Prelp",0.941383685032617,1.96379990215739e-09,2.04106716933573e-07,0.949974698144177,5.38435873359848e-53,9.09495109515263e-50
"Pycr1",0.844012453486708,1.24367284627229e-08,1.0890461199523e-06,0.501591326609394,0.00699769716514215,0.0478677064509512
"Col6a2",0.981302952044885,1.56182814326873e-08,1.325884792465e-06,0.548060794989195,2.026122904918e-06,6.2878942854988e-05
"Pdgfrl",0.888695825596154,2.44251013779805e-08,1.98271206149285e-06,0.774157367806048,4.08160840126048e-21,1.37888393532868e-18
"Ypel3",0.911619847182709,3.58257119899751e-08,2.76415496383913e-06,1.03238609426007,1.83704650531368e-16,3.7450410135912e-14
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,2.823918738833,0.0226456646758306,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0,1,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.835504344336853,0.144191509147287,0.376528357808641
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.45611543268019,0.309489715811841,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.10302314806747,0.919116381359886,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0,1,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.6350713020528,0.371059901675219,NA
