	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL
ENSMUSG00000051951	0.0540371599948098	-0.890836174557434	4.92742312588537	-0.180791491170624	0.85653124211763	NA	Xkr4
ENSMUSG00000102331	0.0540223436348516	-0.424892053585377	4.92768185620347	-0.0862255449893706	0.93128712436178	NA	Gm19938
ENSMUSG00000104238	0.0886922760104149	0	4.60054143553992	0	1	NA	Gm37587
ENSMUSG00000098104	0.419244861651436	1.71848165914222	1.46489774053378	1.1731069081423	0.240752936587574	NA	Gm6085
ENSMUSG00000103922	0.425480906516771	1.50193516548228	1.58797529987244	0.945817712405808	0.344241569767554	NA	Gm6123
ENSMUSG00000033845	350.392680852995	0.331056119386325	0.0619904141539281	5.3404405165657	9.2720997804551e-08	3.413590122425e-07	Mrpl15
ENSMUSG00000102275	0.0583629689562907	0	4.92768185620347	0	1	NA	Gm37144
ENSMUSG00000025903	247.924862982279	0.159413183007967	0.0702314618601117	2.26982578442535	0.0232181554757232	0.0414043898841822	Lypla1
ENSMUSG00000033813	110.432748287128	0.320989060327296	0.126716761730102	2.53312234265409	0.0113051487647743	0.0214827872386989	Tcea1
ENSMUSG00000062588	0.113688091128049	0.536896514713674	3.32442907561924	0.161500366679854	0.87169932257918	NA	Gm6104
ENSMUSG00000002459	0.563001140948333	-0.286726062984421	1.05167476571947	-0.272637579915941	0.785131821292832	0.836451267099216	Rgs20
ENSMUSG00000033793	153.331022062969	-0.198972144762408	0.0776899735628275	-2.56110454975893	0.0104339951337491	0.0199501511459509	Atp6v1h
ENSMUSG00000025905	0.171464865297551	1.0177942181836	2.66354061281929	0.38212078062001	0.702371778602135	NA	Oprk1
ENSMUSG00000025907	122.480951516593	-1.26275473979338	0.09437651008862	-13.379968581246	7.9180836702158e-41	1.37378246053489e-39	Rb1cc1
ENSMUSG00000090031	2.28369934917127	-1.47791986025159	0.749998561663088	-1.97056359278126	0.0487738144045809	0.0801490587499978	4732440D04Rik
ENSMUSG00000087247	132.221827003398	-5.46126711126955	0.22491823672289	-24.2811218460604	3.10323000127396e-130	2.82935433337629e-128	Alkal1
ENSMUSG00000102135	0.294703941942845	1.01141473312002	1.87490092162915	0.539449696489125	0.589576597919636	NA	Gm37108
ENSMUSG00000051285	25.4702013346866	-0.399575601691847	0.191874582811023	-2.08248323377666	0.037298352768421	0.0630927807693935	Pcmtd1
