Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Semaphorin-Plexin Signaling Pathway (GO:0071526)	19/34	3.41092424561338e-08	0.000152877624688392	0	0	7.29759566542499	125.472651980919	FARP2;SEMA5B;SEMA6C;SEMA7A;PLXND1;SEMA3C;SEMA4D;SEMA3A;SEMA4B;SEMA6D;SEMA3E;SEMA4F;SEMA3F;SEMA4G;PLXNA2;PLXNB3;PLXNB1;MET;PLXNA4
Axon Guidance (GO:0007411)	48/149	7.00767423389237e-08	0.000157041979581528	0	0	2.75120206959136	45.3224084134202	CYFIP2;EPHB6;SEMA5B;NOTCH3;SEMA7A;NOTCH1;PLXND1;SEMA3C;NRXN1;SEMA3A;SEMA3E;SEMA3F;EFNA5;EFNA4;NTN1;IGSF9;EFNB2;DPYSL5;KIF5C;BOC;DAG1;PLXNA2;OTX2;NCAM1;EPHB2;NEO1;PLXNA4;EPHB3;VASP;EPHA4;SEMA6C;SEMA4D;SEMA6D;SEMA4B;WNT5A;UNC5C;SEMA4F;SEMA4G;ENAH;KLF7;EFNA3;PALLD;NFIB;LHX1;PLXNB3;PLXNB1;SOS1;LGR6
Regulation Of Cell Migration (GO:0030334)	105/434	1.58810723172314e-07	0.000237263220419437	0	0	1.85890062263913	29.102116781018	SEMA5B;IFITM1;PLXND1;ULK4;ARID4A;FGF1;CLDN1;MYLK;AMOT;FGF5;DPYSL3;DAG1;KDR;EPHB2;TMSB10;ACVR1;SEMA6C;EPHA4;IGFBP5;LIMCH1;SEMA6D;APLP2;MAGI2;TPM1;TIAM1;DAAM2;BEX4;MACF1;CEMIP;SEMA7A;NOTCH1;CHRD;PDGFA;PIK3R3;STC1;CORO1C;TTBK2;PODXL;PLXNA2;SRGAP3;SRGAP1;PLXNA4;ACE;JAG1;HSPA5;FZD4;OSGIN1;IGF1;DAB2;TRIP6;PLXNB3;SNAI2;PLXNB1;AMOTL2;RIGI;ITGB1;PTPRJ;CX3CL1;PPP3CA;TMSB4X;EMILIN2;EMILIN1;PHACTR1;SUN2;SPHK1;RHOD;DUSP22;TMEFF2;CDH11;CLDN19;CAMK2B;GRN;SEMA3C;ROCK2;CXCR4;NEDD9;PRR5L;SEMA3E;PRKX;SEMA3F;THBS1;EGFR;PPM1F;NKD1;CCL7;CCL5;MGAT5;PDPN;GNA12;GCNT2;MGAT3;HAS2;PTK2B;SEMA4D;SEMA4B;STAT3;SEMA4F;SEMA4G;PODN;SORL1;SH3RF2;KIF26A;BRMS1L;F2RL1;LGR6
Negative Chemotaxis (GO:0050919)	16/31	1.74867830059682e-06	0.00150785521859582	0	0	6.13910690121786	81.3839934185409	SEMA6C;SEMA7A;SEMA3C;SEMA4D;ITGB3;SEMA3A;SEMA4B;SEMA6D;PDGFA;SEMA3E;SEMA4F;UNC5C;SEMA3F;SEMA4G;NTN1;LGR6
Negative Regulation Of Chemotaxis (GO:0050922)	16/31	1.74867830059682e-06	0.00150785521859582	0	0	6.13910690121786	81.3839934185409	SEMA5B;SEMA6C;SEMA7A;NOTCH1;ANGPT2;SEMA3C;SEMA4D;SEMA3A;SEMA4B;SEMA6D;SEMA3E;SEMA4F;SEMA3F;SEMA4G;THBS1;CORO1B
Neuron Projection Guidance (GO:0097485)	39/124	2.23258462975837e-06	0.00150785521859582	0	0	2.65047632418122	34.4889272319	CYFIP2;EPHB6;SEMA5B;NOTCH3;SEMA7A;NOTCH1;SEMA3C;NRXN1;SEMA3A;SEMA3E;SEMA3F;EFNA5;EFNA4;IGSF9;EFNB2;DPYSL5;KIF5C;BOC;DAG1;OTX2;EPHB2;NEO1;EPHB3;VASP;EPHA4;SEMA6C;SEMA4D;SEMA6D;SEMA4B;WNT5A;UNC5C;SEMA4F;SEMA4G;ENAH;KLF7;EFNA3;PALLD;SOS1;LGR6
Regulation Of Osteoblast Differentiation (GO:0045667)	30/85	2.35497245206844e-06	0.00150785521859582	0	0	3.14683888511217	40.7798269843894	IFITM1;NOTCH1;CITED1;TNFAIP6;CHRD;LRP5;LRP3;TMEM53;ATRAID;PPP3CA;CCN4;WNT4;WWTR1;SEMA4D;WNT7B;CRIM1;SUCO;TENT5A;IGF1;SMAD6;BMP7;ACVR2A;BMP6;BAMBI;SMOC1;TMEM119;SNAI2;IL6ST;BMPR1B;FGFR2
Cilium Organization (GO:0044782)	60/228	4.43624815653235e-06	0.00248540802969725	0	0	2.06779827315542	25.4870643774839	DYNC2I2;GALNT11;IFT172;CEP19;PKD2;CCDC28B;CDC14A;RPGR;TCTN3;TCTN1;KIFAP3;IFT57;BBS5;CC2D2A;SNAP29;BBS4;DNAI2;MKKS;ARMC9;RFX2;RFX3;IFT80;TMEM250;DUSP23;RILPL2;IFT81;RILPL1;RP2;FAM161B;ALPK1;ATP6V0D1;CEP20;NOTCH1;INTU;ARL6;TSGA10IP;ARL3;NEDD9;CFAP126;TTBK2;ABLIM1;KIF3B;STK36;TMEM67;NPHP3;MAP4;MARK4;ATP6V1D;BBS2;BBS1;GBF1;WDR19;IFT122;FHDC1;TMEM231;ATAT1;TTC8;IFT22;HYLS1;CEP162
Protein Modification Process (GO:0036211)	149/711	5.39359863208043e-06	0.00268601211877606	0	0	1.54641903126706	18.7585232894828	EPHB6;CHRM3;PGAP1;TESK2;PLOD2;UBE2L6;PLAT;LOXL1;LOXL2;GOLGA2;LIPE;PTAR1;RPS6KA1;PDK3;MACROD2;BTRC;EPHB2;PDK2;EPHB3;ACVR1;EPHA4;MAP2K1;CDKL5;PRKCB;PRKCE;FBXO2;PRKCD;ATG10;LMTK3;DYRK1B;P3H1;ATG13;ATG12;FBXW2;PLPP6;LOX;LORICRIN;PRKD2;ULK1;TRIB2;UBA7;PIK3R4;DAPP1;STK4;CSF2RA;TTBK1;MTMR7;MTM1;UGCG;PORCN;NUAK1;NUAK2;GRK5;MAN2A2;STK36;GRK4;STK38;ST8SIA4;ST3GAL5;MARK4;ST3GAL1;ST3GAL2;LYN;TGFB2;YES1;DMPK;ST8SIA1;NEK6;ST8SIA2;OGA;ABCA7;BRAF;EIF2AK4;DCLK1;SSH1;PTPRE;TBCK;CDK5;ATG16L2;PTPRA;WNK2;BMPR1B;CDK14;FGFR1;PRKAG2;PTPRJ;TRIOBP;ING4;GMPPB;PPP6C;PPP3CA;SERP1;RB1CC1;SENP8;PRKG2;TLK1;JAK2;JAK3;MAP4K2;MANBA;STRADB;PPP2R5B;PPP2R5A;WIPI1;SUMF1;TGFBR2;PPM1B;NPC1;MMP15;B3GNT5;GAS6;B4GALT5;CAMK2B;PRKAA2;PPM1L;PPM1M;ROCK2;GLRX;PPM1E;THBS1;PPM1F;PTPRZ1;GCNT2;CCL2;PTK2B;MAP4K3;FKTN;PAK4;SLC35A1;EGLN3;MAP3K1;TAF13;GLYCTK;CDC42BPG;LIMK1;PTPN12;KRT10;HIPK3;ACVR2A;HIPK2;MAPK10;SNRK;MGAT4A;CAMK4;STK17B;TAF7;COQ8A;TAF4;PTPN3
Negative Regulation Of Axon Extension (GO:0030517)	15/30	6.16157636524737e-06	0.00276161852690387	0	0	5.75346635103145	69.0253594108388	SEMA5B;SEMA6C;SEMA7A;SEMA3C;SEMA4D;SEMA3A;SEMA4B;SEMA6D;SEMA3E;SEMA4F;SEMA3F;SEMA4G;MT3;TRIM46;DIP2B
