Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Semaphorin Receptor Binding (GO:0030215)	12/22	1.70295124964426e-05	0.0151732956343303	0	0	6.89918918918919	75.7569794011136	SEMA5B;SEMA6C;SEMA7A;SEMA3C;SEMA4D;SEMA3A;SEMA4B;SEMA6D;SEMA3E;SEMA4F;SEMA3F;SEMA4G
Chemorepellent Activity (GO:0045499)	12/24	5.32507939652739e-05	0.0160844563958827	0	0	5.74864864864865	56.5695646291459	SEMA5B;SEMA6C;SEMA7A;SEMA3C;SEMA4D;SEMA3A;SEMA4B;SEMA6D;SEMA3E;SEMA4F;SEMA3F;SEMA4G
GTPase Regulator Activity (GO:0030695)	93/424	5.41564188413559e-05	0.0160844563958827	0	0	1.62949014060564	16.0075148349046	USP6NL;DOCK6;GPSM1;DENND1B;ERRFI1;DOCK4;DOCK3;GDI1;DENND1A;FAM13A;ARRB1;ARHGEF10L;SIPA1L2;ARHGAP6;PREX2;PREX1;ARHGAP42;DENND10;PLCE1;SIRPA;RALGPS1;GARNL3;VAV3;ARHGEF11;PLEKHG1;PLEKHG2;DENND2B;SWAP70;DENND2A;ARAP2;TSC2;RAB3IL1;TBC1D2B;RHOF;ARAP1;RHOD;MTSS2;VAV2;TIAM2;RNF167;TIAM1;ARHGEF9;TBC1D2;ALS2;RP2;ALDH1A1;CDC42EP2;ELMO1;RIN3;RHOU;ARHGEF2;PLCB1;SOS1;RIN2;RABGAP1;ASAP3;AGAP1;DENND3;ADRB1;ASAP2;IQGAP2;RAP1GAP;RASGRP3;FGD3;CYTH3;FGD4;ARHGAP21;ARHGAP20;SH3BP5;TBC1D13;PDE6D;SRGAP3;SRGAP1;RALGDS;TBC1D16;FARP2;RIC1;EIF2B2;IQSEC2;GRTP1;GBF1;ARHGAP28;ARHGAP26;MYO9A;TBCK;ARHGAP31;GNAQ;LAMTOR2;PLXNB1;RGL3;RGS12;CPEB2;SIPA1
Phospholipase C Activity (GO:0004629)	11/23	0.000182339955749746	0.0406162251432559	0	0	5.2678149273894	45.3539781244699	PDIA3;CHRM3;PLCB3;PLCB4;PLCL1;CCL5;PLCG2;PLCE1;PLCG1;PLCB1;PLCD1
Phosphotyrosine Residue Binding (GO:0001784)	15/39	0.000265502554797048	0.0473125552648339	0	0	3.59401420358471	29.5927035751972	SHC3;YES1;IRS1;SHC1;PIK3R3;SLA;PIK3R2;PIK3R1;VAV2;SHF;SH3BP2;NCK2;PLCG2;LDLRAP1;PTPN3
Alpha-Actinin Binding (GO:0051393)	10/23	0.00091903715043941	0.102466652372114	0	0	4.41879187659066	30.8970059099667	PDLIM3;PALLD;SYNPO2;DAG1;LDB3;KCNN2;PKD2;PDLIM5;PDLIM4;PDLIM7
Guanyl-Nucleotide Exchange Factor Activity (GO:0005085)	47/203	0.00108360969862324	0.102466652372114	0	0	1.73785667324129	11.8651425731648	DOCK6;DENND1B;DOCK4;DOCK3;DENND1A;ADRB1;ARHGEF10L;DENND3;RASGRP3;PREX2;FGD3;CYTH3;PREX1;FGD4;DENND10;SH3BP5;PLCE1;RALGDS;RALGPS1;VAV3;FARP2;ARHGEF11;PLEKHG1;RIC1;EIF2B2;PLEKHG2;IQSEC2;DENND2B;SWAP70;DENND2A;GBF1;RAB3IL1;RHOF;RHOD;VAV2;TIAM2;TIAM1;ARHGEF9;ALS2;ELMO1;RIN3;RGL3;RHOU;LAMTOR2;ARHGEF2;SOS1;RIN2
Phosphoric Diester Hydrolase Activity (GO:0008081)	15/44	0.00116882148342318	0.102466652372114	0	0	2.97348197730692	20.0762346440485	PDIA3;PLCL1;GDPD2;PLCXD1;GPCPD1;PLD3;PLCB3;PLCB4;MPPED2;PLCG2;NAPEPLD;ENPP1;PLCE1;PLCG1;PLCB1
PDZ Domain Binding (GO:0030165)	19/62	0.00121002799652242	0.102466652372114	0	0	2.54148323738571	17.0714269976482	FZD1;TMEM88B;DOCK4;CXADR;CADM1;PLEKHA1;FZD4;FZD7;ATP2B4;CRIM1;FZD8;ADRB1;CIT;TGFBR3;SNTG2;SRR;DLG4;CFTR;SLC26A6
Phosphatidylinositol Phospholipase C Activity (GO:0004435)	9/20	0.00123272966622014	0.102466652372114	0	0	4.69895376307796	31.4760560964621	CHRM3;PLCB3;PLCB4;CCL5;PLCG2;PLCE1;PLCG1;PLCB1;PLCD1
Actin Binding (GO:0003779)	43/183	0.00126502039965573	0.102466652372114	0	0	1.77092132858606	11.8167683632597	ITGB1;MACF1;SYNPO2;TWF2;CXCR4;LDB3;IQGAP2;ADCY8;NCALD;SYNE1;LIMA1;ABLIM1;PDLIM3;RUSC1;CALD1;TMSB4X;COTL1;DAG1;PHACTR2;PHACTR1;DMD;SYNPO;PDLIM5;TMSB10;SPTAN1;PDLIM4;SPTBN1;PDLIM7;PRKCE;TPM1;SHROOM2;PAWR;FHDC1;CORO2B;SERPINB8;MTSS1;SSH1;MTSS2;TLN2;CORO7;EZR;PFN2;MSRB1
Protein Phosphorylated Amino Acid Binding (GO:0045309)	15/45	0.00151544461014189	0.112521762303035	0	0	2.87419682110247	18.6594191570449	SHC3;YES1;IRS1;SHC1;PIK3R3;SLA;PIK3R2;PIK3R1;VAV2;SHF;SH3BP2;NCK2;PLCG2;LDLRAP1;PTPN3
Muscle Alpha-Actinin Binding (GO:0051371)	7/14	0.00207878045242759	0.127402750081829	0	0	5.74064080944351	35.4540476830828	PDLIM3;PALLD;SYNPO2;PKD2;PDLIM5;PDLIM4;PDLIM7
Amyloid-Beta Binding (GO:0001540)	22/79	0.00208965252964394	0.127402750081829	0	0	2.22041034790366	13.701613764297	EPHA4;LRPAP1;TGFB2;FZD5;FZD4;ADRB2;CLU;GRIN2B;SORL1;BACE1;CST3;GRIN2A;TLR6;APBB1;APOE;EPHB2;LDLRAP1;ITM2A;GRIA3;ITM2B;GRIA4;ITM2C
Carnitine O-acyltransferase Activity (GO:0016406)	4/5	0.00214482744245503	0.127402750081829	0	0	22.9474393530997	141.00504284763	CPT2;CROT;CPT1C;CRAT
