Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Chemokine signaling pathway WP2292	51/190	1.24195232358307e-05	0.00158604489629417	0	0	2.12142535201555	23.964131761981	CXCL1;ARRB1;CX3CL1;PREX1;CCL27A;IKBKG;JAK2;JAK3;VAV3;MAP2K1;PRKCB;PRKCD;VAV2;TIAM2;TIAM1;PLCB3;ADCY9;PLCB4;ELMO1;SOS1;PLCB1;SHC3;SHC1;ROCK2;PIK3R3;CXCR4;PIK3R2;PRKX;PIK3R1;ADCY1;ADCY8;ADCY6;GNAI1;ADCY5;GNG10;CCL9;GRK5;CCL7;GRK4;CCL5;PTK2B;CCL2;CCL17;LYN;STAT1;STAT2;STAT3;BRAF;NFKBIA;CXCL10;CXCL11
EGFR1 Signaling Pathway WP572	48/178	1.93420109304167e-05	0.00158604489629417	0	0	2.13381037567084	23.1587371212521	USP6NL;ERRFI1;CEBPA;NDUFA13;CEBPB;SHC1;STXBP1;CTNND1;PIK3R3;PIK3R2;PIK3R1;ELK1;FOXO1;EGFR;PIK3C2B;CASP9;SOCS3;SH3BGRL;GRB14;RPS6KA2;RPS6KA1;GRB10;PLCG2;NCK2;PTK2B;SHOC2;PLCG1;JAK2;RALGDS;MAP3K4;NCK1;VAV3;KLF11;MAP2K1;SMAD3;MAP3K1;PRKCB;DUSP1;STAT1;STAT2;SH2D3C;STAT3;GAB1;FOS;PTPN12;VAV2;ITCH;SOS1
Focal Adhesion WP85	48/185	5.63862135068499e-05	0.00305029362562381	0	0	2.02394480114232	19.8008305761103	ITGB1;SHC3;ITGB5;LAMA2;SHC1;ROCK2;ITGB3;LAMA4;COL11A1;PIK3R4;TESK2;PDGFA;PIK3R2;PIK3R1;THBS2;ELK1;THBS1;EGFR;MYLK;THBS3;PELO;MAPK4;PAK4;VASP;FARP2;MAP2K1;ITGA4;ITGA3;BAD;LAMB2;STYK1;VEGFB;VEGFC;BRAF;IGF1;PGF;COL5A1;COL5A3;COL6A2;SELENOP;COL4A6;BCL2;ITGA8;ITGA7;SOS1;MET;BIRC2;ITGA9
Cholesterol Biosynthesis WP103	9/15	7.43974055030197e-05	0.00305029362562381	0	0	8.6172797840027	81.9166327785192	FDPS;NSDHL;MVK;HMGCS1;PMVK;MVD;HMGCR;DHCR7;CYP51
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4346	18/49	0.000133163011111208	0.00436774676444763	0	0	3.34097014436412	29.8146055262266	ABCA1;FDPS;MVK;HMGCS1;DHCR24;ACSL3;HMGCR;HSD17B7;TM7SF2;CYP51;FADS2;NSDHL;EBP;PMVK;ACOT1;MVD;DHCR7;FADS1
Type II interferon signaling (IFNG) WP1253	14/34	0.000181653221765882	0.00496518806160079	0	0	4.02488167680865	34.6679603636424	GBP2B;STAT1;STAT2;IFNGR2;PRKCD;TAP1;ISG15;IFIT2;PSMB9;SOCS3;CXCL10;IRF1;JAK2;IRF9
Insulin Signaling WP65	41/159	0.000217992307570024	0.00510724834878341	0	0	2.00460882790047	16.9009588264227	SHC3;PRKAA2;STXBP3;IRS1;SHC1;STXBP1;SNAP23;PIK3R4;PIK3R3;PIK3R2;PIK3R1;ELK1;FOXO1;CYTH3;LIPE;SOCS3;GRB14;RPS6KA2;RPS6KA1;GRB10;FLOT1;ENPP1;FLOT2;MAP3K8;MAP3K4;MAP4K3;MAPK4;EGR1;MAP4K2;MAP2K1;MAP3K1;PRKCB;PRKCD;GAB1;TSC2;FOS;INPP4A;MAPK10;RHOJ;TRIB3;SOS1
ESC Pluripotency Pathways WP339	31/118	0.000866012550724617	0.0161429659095001	0	0	2.05251556472699	14.4735416556385	LRP5;PDGFA;PIK3R2;FGF1;ELK1;EGFR;FGF5;MAPK4;WNT4;ACVR1;FZD1;MAP2K1;FZD5;FZD4;FZD7;WNT7B;WNT5A;STAT3;GAB1;FZD8;LIFR;BRAF;FOS;SMAD6;SELENOP;IL6ST;BMPR1B;SOS1;FGFR3;FGFR2;FGFR1
IL-6 signaling Pathway WP387	27/99	0.000987064912486326	0.0161429659095001	0	0	2.15908319185059	14.9425284442829	CEBPB;SHC1;HSPB1;PIK3R2;PIK3R1;FOXO1;CASP9;SOCS3;RPS6KA2;PTK2B;PLCG1;JAK2;MAP3K4;LYN;NCOA1;MAP2K1;BAD;STAT1;PRKCD;STAT3;GAB1;PPP2R5B;PPP2R5A;FOS;CDK5;IL6ST;SOS1
Alzheimers Disease WP2075	22/75	0.000995351109869142	0.0161429659095001	0	0	2.38855132715062	16.5106580431109	BAD;ITPR1;PSEN2;ITPR2;GRIN2B;RYR3;TNFRSF1A;GRIN2D;CASP9;BACE1;PPP3CA;CASP7;PLCB3;GRIN2A;CASP12;PLCB4;CDK5;GNAQ;FAS;APBB1;APOE;PLCB1
