Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome Biogenesis (GO:0042254)	90/155	2.25859767416171e-44	9.75488335470441e-41	0	0	10.9538185209492	1100.84780719951	LTV1;DDX47;SPPL2B;WDR3;FCF1;NAT10;NOC2L;PWP2;WDR46;WDR43;RRP9;RPS15;FBL;RPS17;XPO1;RPS19;NOB1;RRP12;RPS11;RPS13;METTL17;PELP1;UTP15;RPS9;WDR36;RPS8;DIS3;RPS5;NGDN;RPS6;WDR74;DDX10;DNTTIP2;WDR75;URB2;UTP18;GTPBP4;EBNA1BP2;DKC1;GRWD1;MRTO4;RPL27;RPL26;DDX27;RPS19BP1;NIP7;HEATR1;NOLC1;NOL8;SNU13;NOC4L;RPF2;SDAD1;TMA16;NOL6;EXOSC7;EMG1;EXOSC5;BMS1;EXOSC9;PES1;RRS1;RPL14;HEATR3;RRP36;UTP20;IGF2BP3;LYAR;DCAF13;NOP56;NOP58;NPM1;UTP6;NOP16;UTP4;PNO1;KRR1;WDR18;DDX31;WDR12;MRPL22;WDR55;RCL1;BOP1;TBL3;MPHOSPH10;DHX29;RSL24D1;NOP53;RPS24
Ribonucleoprotein Complex Biogenesis (GO:0022613)	70/118	1.27985818928949e-35	2.76385375977065e-32	0	0	11.4453530633437	919.56234451718	LTV1;SPPL2B;WDR3;FCF1;NAT10;NOC2L;PWP2;WDR46;WDR43;RRP9;RPS15;FBL;RPS17;XPO1;RPS19;RPL38;RPS11;RPS13;METTL17;UTP15;RPS9;WDR36;RPS8;RPS5;NGDN;RPS6;WDR74;DNTTIP2;WDR75;URB2;UTP18;GTPBP4;EBNA1BP2;SHQ1;GRWD1;MRTO4;RPL26;RPS19BP1;NIP7;HEATR1;SNU13;RPF2;SDAD1;TMA16;NOL6;EMG1;BMS1;PES1;RRS1;RPL14;HEATR3;RRP36;UTP20;IGF2BP3;NOP56;NOP58;NPM1;UTP6;NOP16;UTP4;PNO1;KRR1;DDX31;WDR12;RCL1;BOP1;TBL3;MPHOSPH10;RSL24D1;RPS24
rRNA Processing (GO:0006364)	59/101	1.03153700580377e-29	1.48506944268882e-26	0	0	10.9749356784343	732.510204432959	DDX47;SPPL2B;WDR3;NAT10;RRP9;RPS15;FBL;RPS17;RPS19;NOB1;RRP12;RRP15;PELP1;UTP15;WDR36;DIS3;RPS6;WDR74;DDX10;DDX52;EBNA1BP2;DKC1;MRTO4;NHP2;RPL27;RPL26;DDX27;NOP2;MAK16;NOLC1;NOL8;SNU13;NOC4L;NOL9;NOL6;EXOSC7;EMG1;EXOSC5;ERI1;EXOSC9;PES1;RPL14;RRP36;UTP20;IGF2BP3;LYAR;DCAF13;NOP56;NOP58;UTP4;WDR18;WDR55;LSM6;LAS1L;MPHOSPH10;NOL11;NOP53;RPS24;MPHOSPH6
Ribosomal Small Subunit Biogenesis (GO:0042274)	52/84	4.48991903442503e-28	4.84799007742043e-25	0	0	12.6635209713024	797.428854345019	LTV1;SPPL2B;WDR3;FCF1;NAT10;PWP2;WDR46;WDR43;RRP9;RPS15;FBL;RPS17;NOB1;RPS19;RPS11;RPS13;METTL17;UTP15;RPS9;WDR36;RPS8;RPS5;NGDN;RPS6;DNTTIP2;WDR75;DDX52;MRPS7;UTP18;RPS19BP1;HEATR1;RPS27L;SNU13;NOL6;EMG1;BMS1;RRP36;IGF2BP3;UTP20;NOP56;NOP58;NPM1;UTP6;UTP4;KRR1;PNO1;RCL1;TBL3;LSM6;MPHOSPH10;NOL11;RPS24
ncRNA Processing (GO:0034470)	51/100	3.36479860807131e-22	2.906513037652e-19	0	0	8.09962714123602	400.473946418205	DDX47;SPPL2B;INTS10;RRP9;THG1L;RPS15;FBL;RPS17;RPS19;NOB1;RRP12;PELP1;UTP15;WDR36;DIS3;RPS6;WDR74;DDX10;EBNA1BP2;DKC1;MRTO4;RPL27;RPL26;DDX27;KARS1;NOLC1;NOL8;NOC4L;NOL6;EXOSC7;EMG1;EXOSC5;EXOSC9;PES1;RPL14;RRP36;UTP20;IGF2BP3;LYAR;DCAF13;NOP56;NOP58;WDR18;INTS2;ADAT1;WDR55;INTS7;INTS6;INTS9;NOP53;RPS24
rRNA Metabolic Process (GO:0016072)	48/91	8.48666095864516e-22	6.10898144673141e-19	0	0	8.67834411225107	421.059166288375	DDX27;DDX47;SPPL2B;NOL8;NOLC1;NOC4L;RRP9;NOL6;RPS15;EXOSC7;FBL;RPS17;EMG1;EXOSC5;NOB1;RPS19;EXOSC9;PES1;RPL14;RRP36;IGF2BP3;UTP20;RRP12;LYAR;DCAF13;PELP1;UTP15;NOP56;WDR36;NOP58;CAVIN1;NIFK;DIS3;WDR18;MARS1;RPS6;WDR74;DDX10;SIRT7;WDR55;EBNA1BP2;DKC1;MRTO4;RPL27;POLR1G;RPL26;NOP53;RPS24
Translation (GO:0006412)	79/234	2.09497956461227e-19	1.29260239136577e-16	0	0	3.9917899045807	171.685179173678	RPL4;HBS1L;RPL30;RPL3;RPL32;MRPL38;RPL8;MRPL35;RPS15;MRPL42;RPS17;EEF2K;RPL18A;RPS19;MTG1;RACK1;RPL38;RPL37;MRPL9;RPS11;RPS13;EIF5A;TSFM;RPS9;MRPS27;RARS1;MRPS24;RPS8;PABPC4;RPS5;MARS2;MRPS23;RPS6;DHPS;MARS1;RPL13A;MRPL48;MRPS7;QRSL1;GTPBP1;TUFM;MRPL52;MRPS9;RPL27;RPL26;DAP3;MRPL19;MRPS30;MRPL12;MRPL57;MRPL10;MRPL54;RPL14;RPS3;EIF4EBP2;IGF2BP3;RPL15;RPL18;RPS27A;RPL19;VARS1;GADD45GIP1;PTCD3;RWDD1;RPL41;GATB;RPL23A;MRPL23;EEF2;MRPL22;RPS26;GARS1;DRG1;DRG2;RPS20;RPL22L1;ABCE1;RPS24;FARSB
Gene Expression (GO:0010467)	87/296	6.37759679499426e-17	3.44310506969753e-14	0	0	3.26182333125925	121.637160186665	RPL4;HBS1L;RPL30;NUP107;RPL3;RPL32;FMR1;EIF4A3;HNRNPU;ADARB1;RPL8;MRPL35;BICD1;RPS15;M1AP;MRPL42;SYNCRIP;RPS17;XPO1;RPL18A;RPS19;CASP3;RPL38;RPL37;MRPL9;RPS11;RPS13;TGM2;RPS9;RPS8;DIS3;PABPC4;RPS5;RPS6;DHPS;THOC1;DNTTIP2;RPL13A;MRPS7;THOC5;THOC7;MRPL52;PRPF4;DDX19B;DDX39A;DKC1;SARNP;SRSF3;RPL27;RPL26;HNRNPH3;RBMS2;NUFIP1;NOL9;MRPL12;MRPL10;HSPD1;EXOSC7;EXOSC5;PABPN1;NUP85;EXOSC9;RPL14;RPS3;TSPAN5;EIF4EBP2;IGF2BP3;RPL15;RPL18;RPS27A;EXOSC1;RPL19;RPL41;RBPMS;ALYREF;RPL23A;MAGOHB;MRPL23;RPS26;MCM3AP;SNRNP40;TSPAN14;HNRNPF;MPHOSPH10;RPS20;RPS24;FARSB
Maturation Of SSU-rRNA (GO:0030490)	25/38	4.18236352740993e-15	2.00706978609816e-12	0	0	14.8258155457108	490.85161659322	UTP25;SPPL2B;WDR3;HEATR1;NAT10;SNU13;PWP2;WDR46;WDR43;NOB1;RPS19;RRP36;IGF2BP3;DCAF13;UTP6;UTP4;RPS8;NGDN;DDX52;LSM6;TSR2;MPHOSPH10;TSR1;NOL10;NOL11
Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	21/30	1.0198041130804e-13	4.22054405575195e-11	0	0	17.9613821138211	537.296706350231	UTP25;UTP6;UTP4;RPS8;HEATR1;NGDN;RPP40;KRI1;PWP2;WDR46;WDR43;TBL3;RPS19;BMS1;RRS1;TSR2;RRP36;TSR1;UTP20;NOL10;DCAF13
