Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
RNA Binding (GO:0003723)	395/1411	2.98449457060389e-69	2.66813814611988e-66	0	0	3.37137793227199	531.952668156385	RPL4;RPL30;RPL3;TFRC;RPL32;RRP1;GPATCH1;HNRNPU;GPATCH4;ADARB1;NOC2L;RPL8;RRP8;RRP9;ENDOV;LUC7L;RPL38;RPL37;DDX18;NGDN;DNTTIP2;DDX10;WDR75;GTPBP1;SND1;GTPBP4;DDX39A;EWSR1;CLNS1A;DDIT3;SARNP;RPL27;RPL26;DUS3L;MRPL19;NOLC1;SNU13;MRPL12;MRPL10;LARP1;RRS1;LTA4H;BTF3;JUN;RPL41;PNO1;UPF3B;PA2G4;MAGOHB;MRPL23;MEX3D;MCAT;EIF1;MRPL22;CS;TBL3;LAS1L;FASN;HNRNPF;HNRNPC;CDK13;FARSA;ARF1;TCF20;KRI1;WDR46;WDR43;MRPL42;NKRF;RACK1;RBPMS2;RRP12;ZC3H10;WDR36;CLUH;ANXA2;NSUN5;NSUN2;GNL2;GNL3;CACTIN;SF3B4;SF3B5;KARS1;NIP7;RPS27L;NOC4L;MRPL54;BCLAF1;TCOF1;RPL14;RPS3;RRP36;FLNB;RPL15;RPS27A;RPL18;RPL19;UTP6;SF3A2;UTP4;ADAT1;ELP1;TRMT1;NOC3L;RRP1B;SRP68;KTN1;MYBBP1A;APEX1;SERBP1;TSR1;RPL22L1;HSPA1B;PUS10;FMR1;MSI2;IPO5;THG1L;HMGN5;KPNA2;SLC16A3;RPS9;RPS8;RPS5;RPS6;POLRMT;THOC5;FTSJ3;EBNA1BP2;NCL;MRTO4;SRSF2;NHP2;SNRPG;SRSF3;S100A4;SNRPF;FKBP4;SRSF7;KPNB1;LRRC59;NTPCR;RCC1L;BAG4;G3BP1;BRIX1;NOP16;RBPMS;PYM1;EEF2;LSM4;YRDC;LSM7;LSM6;ISY1;WDR3;ZC3H8;MTO1;PTBP1;MRPL9;METTL16;PELP1;EIF5A;HSP90AA1;ELAC2;RPL13A;DNAJC2;SARS2;NOA1;POLR1G;HDAC2;NUFIP1;LRP1;MAK16;SRSF1;WBP4;MRM3;FIP1L1;U2AF2;IGF2BP1;IGF2BP3;ASCC3;HNRNPA1;EIF4B;DCAF13;HNRNPA0;NOP56;NOP58;GPKOW;KRR1;CNBP;CCDC59;RPL23A;HNRNPAB;BICC1;SNRNP40;EIF3L;EIF3I;DRG2;EIF3E;P4HB;EIF3D;NOP53;NECTIN3;PPIL4;TPT1;EIF3B;METAP2;EIF4A1;TCERG1;EIF4A3;RTCB;PPAN;FCF1;PWP2;CCAR2;CCAR1;NUDT4;RPS15;LGALS3;RPS17;TRIM28;RPL18A;RPS19;TRIM25;SNRPD3;RPS11;RPS13;SEC63;SRRM4;METTL3;CIRBP;CDC40;SRRM1;GRWD1;CCDC86;TFAM;KCTD12;DNA2;PFN1;DHX33;PDCD11;ERI1;PCBP1;HLTF;LYAR;XRCC6;XRCC5;RCC2;KNOP1;RPS26;FUBP1;KYAT3;MPHOSPH10;NOL10;RPS20;DHX29;NOL11;NOL12;DCP1A;SUGP2;RPS24;DAZAP1;NAT10;PCSK9;AATF;SYNCRIP;PCF11;C1QBP;XPO5;DHX15;UTP14A;CCT3;MRPS27;MRPS24;PABPC4;MRPS23;MRPS7;PPRC1;NME1;CTU1;MRPS9;SLTM;STRAP;ARHGEF1;PABPC1;HNRNPH3;HEATR1;NOL8;MRPS30;AKAP1;NOL6;EXOSC7;EXOSC9;PES1;EXOSC1;CCT4;RTRAF;NQO1;NPM1;CAVIN1;RFTN1;SORBS2;BOP1;RSL1D1;NUDT7;CMSS1;XPOT;PRPF31;OTUD4;ACAA2;SPPL2B;EFTUD2;FBL;PCID2;PUS1;TRNT1;TUFM;DKC1;PSPC1;RPL7L1;GEMIN5;RPP25;DAP3;UTP25;DDX5;RPS19BP1;NOP2;RPF2;PRPF8;RTN4;ZFP36L2;EMG1;ZMAT3;DNAJC21;TASOR;UTP20;LLPH;ZC3H13;PNPT1;CCDC137;ALYREF;RPP40;CPSF2;HMGA1;HELZ;TDRD3;SEPSECS;UBE2N;DDX3Y;USP36;RBM26;DDX46;DDX47;PINX1;HMGB3;CHD3;HMGB1;TENT4B;YBX3;RBM34;UTP15;TSFM;DDX56;RBM19;DDX52;UTP18;CKAP4;SUPV3L1;DDX19B;THRAP3;RBMS2;PLEC;DDX27;USP10;DDX23;DDX21;MTIF2;SAMHD1;HSPD1;TBRG4;PABPN1;BMS1;TRA2A;RPP14;RBM38;PTCD3;NIFK;DDX31;NAP1L1;HSPE1;ACIN1;SSBP1;RBM45
snoRNA Binding (GO:0030515)	19/31	5.40811277750488e-11	2.41742641154468e-08	0	0	12.1754061502756	287.833125347488	NOP56;UTP25;NOP58;UTP6;NUFIP1;XRCC5;SPPL2B;WDR3;HEATR1;DDX21;SNU13;NUDT4;RRP9;NUDT7;TBL3;DKC1;NHP2;TSR1;IGF2BP3
rRNA Binding (GO:0019843)	22/46	1.13256726790878e-09	3.37505045836818e-07	0	0	7.05334059549746	145.290203169416	PTCD3;UTP25;NPM1;RPS9;MRPS27;CAVIN1;RPS5;PPAN;CIRBP;DDX21;RPF2;MRPS7;RCC1L;EMG1;TST;ERI1;RPS3;RRS1;MDM2;RBM34;NOP53;RPS13
mRNA 5'-UTR Binding (GO:0048027)	13/24	4.73990568925391e-07	0.000105936892154825	0	0	9.0647095959596	132.001011920468	RPL41;SHMT2;FMR1;SHMT1;GNL3;RSL1D1;SYNCRIP;LARP1;NCL;IGF2BP1;IGF2BP3;RPL26;RPS13
mRNA Binding (GO:0003729)	59/282	4.33273017734427e-06	0.000774692155709156	0	0	2.04582014322767	25.2644726535641	EIF4A1;DAZAP1;FMR1;EIF4A3;HNRNPU;ADARB1;MSI2;YBX3;SYNCRIP;PTBP1;PCF11;C1QBP;XPO5;RBPMS2;LUC7L;RPS13;SRRM4;CLUH;PABPC4;RPS5;METTL3;CIRBP;RPL13A;MRPS7;THOC5;CDC40;GNL3;NCL;GEMIN5;RPL26;PABPC1;SRSF7;RBMS2;DDX5;SHMT2;SHMT1;SRSF1;MRPL12;LARP1;DHX33;PCBP1;G3BP1;RPS3;IGF2BP1;IGF2BP3;CCT5;RPL41;RBPMS;ALYREF;CNBP;UPF3B;HNRNPAB;RPS26;RSL1D1;FUBP1;SERBP1;HNRNPC;DCP1A;EIF3D
DNA-directed 5'-3' RNA Polymerase Activity (GO:0003899)	14/34	1.09665141660736e-05	0.00163401061074496	0	0	5.36869300911854	61.3140394851736	PRIM1;POLRMT;POLR3A;POLR3B;POLR1A;POLR1B;POLR3D;POLR1C;POLR3E;POLR2E;POLR2F;POLR1E;POLR3G;POLR1F
Ribosome Binding (GO:0043022)	24/85	2.31798745175691e-05	0.00296040111695811	0	0	3.02365717472278	32.2691531186988	PTCD3;NPM1;MRPS27;FMR1;IFRD2;PYM1;MTIF2;SRP68;EEF2;NME1;EIF1;DNAJC2;OXA1L;LARP1;NCLN;DHX33;ERI1;C1QBP;G3BP1;SERBP1;RACK1;GEMIN5;NAA16;DHX29
Cadherin Binding (GO:0045296)	62/319	2.83131178350885e-05	0.00316399091807114	0	0	1.86427394376526	19.5230222505353	DOCK9;CTNND2;F11R;BZW2;PCMT1;ATIC;MPRIP;RUVBL1;RACK1;EFHD2;TRIM25;TMPO;NUDC;RARS1;ANXA2;AHSA1;ANK3;SND1;SHTN1;GPRC5A;CDH10;PLIN3;PKP1;CDH13;ITGA6;CDH15;PFN1;DBN1;EPHA2;PLEC;LRRC59;CAPG;IQGAP1;PPL;RTN4;SNX1;LARP1;PCBP1;MICALL1;RPL14;PACSIN2;FLNB;CCT8;RPL15;SNX5;NOP56;RPL23A;EEF2;BAIAP2;PRDX6;KTN1;RPS26;RSL1D1;MYO1B;STK24;FASN;GLOD4;SERBP1;EIF3E;DHX29;FXYD5;CDK5R1
snRNA Binding (GO:0017069)	15/43	5.51477815183544e-05	0.00547801296415654	0	0	4.1086167307931	40.2870168639529	EIF5A;SF3B3;DDX21;HNRNPU;SNU13;PRPF8;LSM4;EFTUD2;PRPF4;LSM7;LSM11;GEMIN5;PRPF31;SNRPD3;HNRNPC
Catalytic Activity, Acting On A tRNA (GO:0140101)	14/39	6.77975481225054e-05	0.00606110080215199	0	0	4.29373860182371	41.2155304021319	PUS10;ELAC2;GATB;TRNT1;QRSL1;OSGEP;THG1L;QTRT2;TRMT12;TARS2;DUS1L;DUS4L;DUS3L;TRDMT1
