Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
mRNA processing WP310	109/457	8.26389791290285e-14	1.28916807441285e-11	0	0	2.45907645135765	74.077944259901	LTV1;RPL32;FMR1;EIF4A3;HNRNPU;MSI2;RPL8;EFTUD2;FBL;LSM11;RPL38;RPL37;SNRPD3;RPS11;RPS13;RPS9;SNRPN;RPS6;METTL3;CIRBP;IMP4;CDC40;SRRM1;PRPF4;EWSR1;PSPC1;NCL;SNRPG;SRSF2;SRSF3;RPL26;SNRPF;SRSF7;DDX5;RNASEH2A;SNU13;PRPF8;NOP9;PCBP1;G3BP1;SMN1;RBPMS;ALYREF;CPSF2;MRPL23;LSM4;CLK4;WDR55;CLK1;LSM7;HNRNPF;RPS20;HNRNPC;RPS24;SUGP2;DAZAP1;RBM26;PTBP1;SYNCRIP;RBPMS2;DHX15;RBM34;DIS3;PABPC4;DDX56;RBM19;DDX19B;SLTM;PABPC1;RBMS2;SF3B4;SF3B5;SF3B3;NUFIP1;NIP7;SRSF1;MAK16;WBP4;NOL8;DDX21;MRM3;AKAP1;EXOSC7;BCLAF1;EXOSC5;PABPN1;U2AF2;EXOSC9;SPOP;IGF2BP1;IGF2BP3;HNRNPA1;RPP14;RPL19;HNRNPA0;RBM38;NPM1;SF3A2;NIFK;ADAT1;SRP68;HNRNPAB;BICC1;SNRNP40;ACIN1;RBM45;RPL37RT;PPIL4;EIF3B
Cytoplasmic Ribosomal Proteins WP163	31/92	1.87422401366735e-08	1.46189473066053e-06	0	0	3.91751645798374	69.7023568492894	RPL4;RPL30;RPL3;RPL32;RPL8;RPS15;RPS17;RPL18A;RPS19;RPS3;RPL38;RPL37;RPL15;RPS11;RPL18;RPS27A;RPS13;RPS12;RPL19;RPL41;RPS8;RPS5;RPS6;RPL13A;RPL23A;RPS26;RPL27;RPS20;RPL26;RPL37RT;RPS24
Nucleotide Metabolism WP87	11/19	1.53087105621164e-06	7.96052949230051e-05	0	0	10.5390828274068	141.114879806083	POLB;PRPS1;RRM1;ADSL;IMPDH1;MTHFD2;POLD1;NME2;SAT1;OAZ1;SRM
G1 to S cell cycle control WP413	20/61	9.73821047577192e-06	0.000305555885280071	0	0	3.74656232413434	43.2332805499414	CDKN1A;PRIM1;ORC5;TFDP1;ORC6;CDK6;ORC1;CDK4;MYC;TRP53;ORC2;CDK2;MCM3;CDK1;MDM2;E2F2;MCM5;ATM;E2F4;MCM2
Purine metabolism WP2185	40/171	9.79345786154075e-06	0.000305555885280071	0	0	2.35370632980988	27.147168558629	PRPS1;PDE1B;GMPR2;PRIM1;PDE3B;GMPR;AK4;PFAS;NT5C;NT5E;ATIC;GUK1;PPAT;POLD1;POLD2;POLR2E;PGM2;POLR2F;PDE8A;ADSL;RRM1;PNPT1;PDE6H;PDE4D;NME2;NME1;APRT;NUDT9;POLR3A;POLR3B;POLR1A;IMPDH1;POLR1B;POLR3D;IMPDH2;POLR1C;POLR3E;POLR1E;POLR3G;GART
p53 signaling WP2902	19/67	0.000149910416366787	0.00389767082553645	0	0	3.03765049318248	26.7479483880951	CDKN1A;CD82;GADD45B;SERPINE1;SIAH1B;PIDD1;CDK6;ZMAT3;CDK4;CASP3;PERP;TRP53;CDK2;CCNG1;CDK1;MDM2;ATM;BID;GTSE1
Translation Factors WP307	15/50	0.000373310616030188	0.00739351007473503	0	0	3.28559017003848	25.9334908975377	EIF5A;EIF2B5;EIF4A1;EIF2B3;EEF2;EIF1;EEF2K;EIF3I;EIF4EBP2;EIF3E;PABPC1;EIF2S3Y;EIF3D;EIF4B;EIF3B
TNF-alpha NF-kB Signaling Pathway WP246	38/187	0.000379154362806925	0.00739351007473503	0	0	1.96215813482306	15.4570324582835	RPL4;RPL30;HDAC2;SMARCB1;EIF4A3;MTIF2;RPL8;CCAR2;FBL;PSMD6;BAG4;TBK1;PSMB5;BCL7A;CASP3;RACK1;KPNA2;RPS11;KPNA3;RPS13;HSP90AA1;RIPK3;ELP1;TRAF1;CFLAR;KTN1;COPS3;DAP;CDC34;RPS6KB1;POLR1A;POLR1B;POLR1C;POLR1E;MCM5;MAP3K14;FKBP5;BIRC3
DNA Replication WP150	13/41	0.000500939549583281	0.00868295219277688	0	0	3.55771019345238	27.0351291427949	CDT1;PRIM1;CDC6;ORC5;ORC6;ORC1;POLD1;ORC2;POLD2;CDK2;MCM3;MCM5;MCM2
Fatty Acid Biosynthesis WP336	8/22	0.0022881373156167	0.0356949421236205	0	0	4.37270308729815	26.5861099449668	ACLY;MECR;ACAA2;FASN;ECHDC1;ACSL5;ACSL4;ACACA
Adipogenesis genes WP447	27/134	0.00281486465239152	0.0399198987066434	0	0	1.93670979063788	11.3739888560724	FOXC2;SERPINE1;CISD1;AHR;GATA3;AGPAT2;CYP26B1;SOCS1;RXRA;LMNA;NDN;STAT6;E2F4;PCK2;STAT5A;WNT10B;SREBF1;TGFB1;WNT5B;GADD45B;NR2F1;LIF;HMGA1;MIF;KLF5;DDIT3;RARA
White fat cell differentiation WP2872	9/32	0.00865826580053793	0.112557455406993	0	0	2.99412252279406	14.2198089365958	STAT5A;SREBF1;WNT10B;KLF5;MECOM;DDIT3;RARA;GATA3;NR2F2
Homologous recombination WP1258	5/13	0.0120068667718497	0.144082401262196	0	0	4.77806012110727	21.1299032847707	RAD52;POLD1;POLD2;MRE11A;ATM
One Carbon Metabolism WP435	8/29	0.014708377671328	0.163893351194798	0	0	2.91398049042051	12.2950687249883	AHCY;ATIC;MTHFD1L;MTHFD1;SHMT2;MTHFD2;SHMT1;GART
Spinal Cord Injury WP2432	19/99	0.0181656561477586	0.188922823936689	0	0	1.81928307223673	7.2920913302222	SEMA6A;TGFB1;BDNF;PRKCA;RTN4;NR4A1;GJA1;GAP43;COL2A1;CHST11;GDNF;CDK4;MYC;TRP53;CASP3;CDK2;CCNG1;CDK1;SOX9
Osteoblast WP238	4/10	0.0212152161467205	0.198445453956251	0	0	5.09497045683816	19.6311077071972	COL1A1;PDGFRA;TNFSF11;TNFRSF11B
Non-homologous end joining WP1242	3/6	0.0236982651483223	0.198445453956251	0	0	7.64044943820225	28.5932621924594	XRCC6;XRCC5;MRE11A
Amino Acid metabolism WP662	18/95	0.023799964404544	0.198445453956251	0	0	1.79020805206103	6.69192515052084	MARS2;CAD;ODC1;GSR;ASNS;PYCR1;ADH7;GLS;SRM;CS;ACLY;GLUD1;CTH;PDK4;SMS;BCAT1;PRODH;FARSB
Novel Jun-Dmp1 Pathway WP3654	7/26	0.0250426481212137	0.198445453956251	0	0	2.81722488038278	10.3876010995943	ARF1;JUN;MAP2K2;CDK4;MYC;TRP53;MDM2
Heart Development WP2067	10/44	0.0264058661246684	0.198445453956251	0	0	2.25005737015222	8.1770889494313	FOXC2;SHH;ERBB3;HEY2;TBX20;GATA6;NFATC2;NFATC1;FGF10;BMPR1A
Nuclear Receptors WP509	9/38	0.0267138111094953	0.198445453956251	0	0	2.37384210840853	8.59942007243407	NR4A2;AR;NR4A1;RARG;RXRA;NR2F1;RARA;NR1D2;NR2F2
Pentose Phosphate Pathway WP63	3/7	0.0379421169304244	0.269044101870282	0	0	5.73001296456353	18.7468462813023	RPIA;G6PDX;TKT
PluriNetWork WP1763	44/292	0.0410689686378407	0.278554743804485	0	0	1.36089153172587	4.34464956776661	CDKN1A;HDAC2;LEF1;GATA6;HNRNPU;PIK3CD;CTCF;RBPJ;IPO7;CABIN1;SHH;TRIM28;XPO4;DPYSL2;MYC;PERP;CASP3;SPP1;KPNA2;LYAR;MBD3;GADD45GIP1;LEFTY1;PBRM1;TGFB1;EED;CAD;SMARCA5;NR2F1;LIF;NME2;NR2F2;TGFBR1;TBX3;HCK;KLF5;EWSR1;NCL;TRP53;CDK2;MDM2;SGK1;RCOR2;KPNB1
Endochondral Ossification WP1270	12/62	0.0502728228656337	0.326773348626619	0	0	1.83597396963124	5.49009579278002	IFT88;COL2A1;TGFB1;CHST11;ADAMTS1;PTCH1;SPP1;SOX9;SOX6;FGF2;PTHLH;BMPR1A
Eukaryotic Transcription Initiation WP567	9/43	0.0548418063805004	0.342212871814322	0	0	2.02417422775003	5.87679006696881	POLR3B;POLR1A;POLR3D;POLR1B;POLR3E;POLR1C;POLR2E;GTF2H2;GTF2F2
Selenium metabolism/Selenoproteins WP108	10/50	0.0580980402248749	0.348588241349249	0	0	1.91189856957087	5.44054320621261	EEFSEC;SEPSECS;RPL30;JUN;SARS2;TXNRD3;TXNRD1;CTH;SELENOK;SELENOI
TYROBP Causal Network WP3625	11/58	0.0669928692649296	0.387069911308482	0	0	1.78992821686258	4.83847863654627	APBB1IP;STAT5A;ABCC4;LOXL3;IL18;SPP1;CAPG;SLC1A5;TGFBR1;ZFP36L2;IL13RA1
Mismatch repair WP1257	3/9	0.0763653526914815	0.422586931939314	0	0	3.81957649092481	9.82481466355788	MSH2;EXO1;POLD1
ErbB signaling pathway WP1261	9/46	0.0785578270912826	0.422586931939314	0	0	1.85973581900792	4.73101965526894	STAT5A;BTC;CDKN1A;JUN;ERBB3;MYC;PRKCA;AREG;EREG
Delta-Notch Signaling Pathway WP265	14/83	0.0952398144709455	0.495247035248917	0	0	1.55182591075283	3.64889703674635	HDAC2;JUN;TLE1;LEF1;RBPJ;WDR12;APH1B;TRP53;HEY2;CDK2;CCN3;HIVEP3;TCF3;SKP2
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	45/324	0.113149315148344	0.56939655364973	0	0	1.23551794638801	2.69225162450993	CDKN1A;PRKAA1;FLT1;CAB39L;ITGB4;FLT4;LPAR1;IL4RA;PIK3CD;LAMC2;PIK3C2A;FGF2;ACACA;GNG2;CREB3L1;PDGFD;GNG7;SPP1;EIF4B;SREBF1;PDGFRA;ANGPT4;HSP90AA1;MAP2K2;RPS6;FN1;NGF;GNG11;COL1A1;COL1A2;COL2A1;RPS6KB1;KITL;COL4A4;DDIT4;ITGA11;IL3RA;GNB4;MDM2;ITGA6;FGF13;EPHA2;ATF4;FGF10;CREB5
ESC Pluripotency Pathways WP339	18/118	0.135724123151918	0.604528908957985	0	0	1.37665941713789	2.74936914291118	MAP2K3;PDGFRA;WNT10B;WNT10A;FZD3;JUN;MAP2K2;WNT5B;NOG;LIF;PIK3CD;FGF2;MAPK12;MYC;MDM2;FGF13;FGF10;BMPR1A
Apoptosis WP1254	13/81	0.140017456515817	0.604528908957985	0	0	1.46162045547386	2.87352853143024	DFFB;JUN;TNFRSF10B;TRAF1;CFLAR;MYC;CASP3;TRP53;MDM2;IRF5;BID;BIRC3;BCL2L1
TGF Beta Signaling Pathway WP113	9/52	0.141983557304335	0.604528908957985	0	0	1.59969368425295	3.12267249292429	JUN;TGFB1;FST;SERPINE1;NOG;LEF1;SPP1;LIF;TGFBR1
Glutathione and one carbon metabolism WP730	6/31	0.142182964423845	0.604528908957985	0	0	1.83380354824751	3.57709159661025	AHCY;SHMT2;SHMT1;CTH;GSR;G6PDX
mir-193a and MVP in colon cancer metastasis WP3979	2/6	0.146718664741097	0.604528908957985	0	0	3.81835853131749	7.32834020847147	MYC;G3BP1
Kit Receptor Signaling Pathway WP407	11/67	0.147692957144236	0.604528908957985	0	0	1.5014945483831	2.87178816394199	STAT5A;PTPRU;DOK1;HCK;SOCS1;SH3KBP1;KITL;TNFRSF10B;PRKCA;SOCS4;SOCS5
Insulin Signaling WP65	23/159	0.154908511206583	0.604528908957985	0	0	1.29359518436843	2.41245229006731	MAP2K3;MAP4K1;JUN;ARF1;PRKAA1;MAP2K2;RRAD;STXBP2;PIK3CD;PRKCA;SORBS1;PIK3C2A;PTPRF;MAPK12;MAPK13;MAPK11;PFKL;SOCS1;TBC1D4;RPS6KB1;SGK1;MAP3K14;ARF6
