Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Regulation Of Cell Migration (GO:0030334)	116/434	2.82094978643048e-09	1.30130413648038e-05	0	0	1.98146700904321	39.0075403878975	SEMA5B;IFITM1;RIPOR1;PLXND1;FAM89B;TNC;ARID4A;FGF1;CLDN1;MYLK;AMOT;FGF5;DPYSL3;DAG1;KDR;EPHB2;TMSB10;ACVR1;SEMA6C;EPHA4;IGFBP5;LIMCH1;SEMA6D;APLP2;MAGI2;TPM1;SFRP1;DAAM2;ADAM9;BEX4;MACF1;CEMIP;SEMA7A;NOTCH1;CHRD;PIK3R3;STC1;CORO1C;TTBK2;PODXL;PLXNA2;SRGAP3;SRGAP1;PLXNA4;SCAI;NTNG1;XBP1;TCAF1;ACE;JAG1;HSPA5;FZD4;INSR;OSGIN1;IGF1;BST2;DAB2;TRIP6;FGF18;PLXNB3;SNAI2;PLXNB1;AMOTL2;RIGI;ITGB1;PTPRJ;CX3CL1;PPP3CA;EMILIN1;SUN2;EDN1;SPHK1;RHOD;RHOB;DUSP22;TMEFF2;CDH11;CLDN19;CAMK2B;GRN;SEMA3C;ROCK2;SEMA3D;CAMK2A;CXCR4;NEDD9;PRR5L;SEMA3E;SEMA3F;THBS1;EGFR;PPM1F;NKD1;CCL7;CCL5;MGAT5;PDPN;GNA12;GCNT2;MGAT3;FLNA;HAS2;PTK2B;SEMA4D;SEMA4B;STAT3;SEMA4G;SULF1;PODN;SORL1;SH3RF2;KIF26A;F2RL1;LGR6;CEP43;RECK
Semaphorin-Plexin Signaling Pathway (GO:0071526)	20/34	1.27834853324889e-08	2.94851089193855e-05	0	0	7.66093052899936	139.23826814762	FARP2;SEMA5B;SEMA6C;SEMA7A;PLXND1;SEMA3C;SEMA4D;SEMA3D;SEMA3A;SEMA4B;SEMA6D;SEMA3E;SEMA3F;SEMA4G;PLXNA2;PLXNB3;FLNA;PLXNB1;MET;PLXNA4
Regulation Of Osteoblast Differentiation (GO:0045667)	33/85	2.41493058727881e-07	0.000371335826637238	0	0	3.40966153846154	51.9510526696049	IFITM1;NOTCH1;CITED1;TNFAIP6;CHRD;LRP5;LRP3;TMEM53;ATRAID;HDAC9;PPP3CA;CCN4;WNT4;WWTR1;MEF2C;ZHX3;SEMA4D;WNT7B;TENT5A;IGF1;TMEM64;NPNT;SMAD6;BMP7;ACVR2A;BMP6;SKI;BAMBI;SMOC1;TMEM119;SNAI2;IL6ST;FGFR2
Axon Guidance (GO:0007411)	48/149	4.52090708013524e-07	0.000521373609016596	0	0	2.55823756009041	37.3742723096073	CYFIP2;EPHB6;SEMA5B;NOTCH3;SEMA7A;NOTCH1;PLXND1;SEMA3C;SEMA3D;NRXN1;SEMA3A;PTPRM;SEMA3E;SEMA3F;EFNA5;EFNA4;NTN1;IGSF9;EFNB2;DPYSL5;KIF5C;BOC;DAG1;PLXNA2;OTX2;NCAM1;EPHB2;NEO1;PLXNA4;EPHB3;VASP;EPHA4;SEMA6C;SEMA4D;SEMA6D;SEMA4B;WNT5A;UNC5C;SEMA4G;ENAH;KLF7;EFNA3;PALLD;NFIB;LHX1;PLXNB3;PLXNB1;LGR6
Regulation Of Angiogenesis (GO:0045765)	59/205	1.6965886320692e-06	0.00148630242602957	0	0	2.17715834095842	28.9276655878578	ITGB1;ATF2;PLXND1;YJEFN3;PTPRM;HSPB1;TNFAIP3;ISM1;FGF1;TSPAN12;AMOT;HHEX;SPRED1;KDR;EMILIN1;GLUL;CD34;HTATIP2;PTGIS;CEMIP2;SERPINF1;SPHK1;WNT5A;GAB1;PGF;RUNX1;RHOB;SFRP1;STIM1;NINJ1;RHOJ;PRKD2;GRN;RAMP2;NPR1;ROCK2;ECSCR;SEMA3E;GATA2;THBS2;THBS1;RRAS;KRIT1;HMOX1;PLCG1;PAK4;XBP1;JUP;STAT1;DAB2IP;ATP2B4;FOXJ2;SULF1;SYNJ2BP;HIPK2;SMOC2;CXCL10;EFNA3;FGF18
Axonogenesis (GO:0007409)	55/188	2.16708876503075e-06	0.00148630242602957	0	0	2.22679240802619	29.0421068809124	CYFIP2;EPHB6;APP;SEMA5B;RAB3A;DPYSL5;KIF5C;BOC;DAG1;EPHB2;NEO1;EPHB3;EPHA4;SEMA6C;APLP2;SEMA6D;APLP1;WNT5A;UNC5C;PAX2;ENAH;SLC9A6;PALLD;ULK1;B4GALT5;BRSK1;NOTCH3;SPTBN4;SEMA7A;NOTCH1;SEMA3C;SEMA3D;ATL1;NRXN1;SEMA3A;SSNA1;SEMA3E;SEMA3F;EFNA5;EFNA4;IGSF9;EFNB2;TRIM46;OTX2;APBB1;NTNG1;VASP;SEMA4D;SEMA4B;SEMA4G;KLF7;EFNA3;CDK5;LGR6;FGFR2
Negative Regulation Of Axon Extension (GO:0030517)	16/30	2.25539063130436e-06	0.00148630242602957	0	0	6.12094207511139	79.5856357479556	RTN4R;SEMA5B;SEMA6C;SEMA7A;SEMA3C;SEMA4D;SEMA3D;SEMA3A;SEMA4B;SEMA6D;SEMA3E;SEMA3F;SEMA4G;MT3;TRIM46;DIP2B
Cilium Organization (GO:0044782)	63/228	3.45847963365382e-06	0.00199424581875563	0	0	2.05737700102805	25.8708604674801	DYNC2I2;GALNT11;CEP19;PKD2;PTPDC1;CCDC28B;RPGR;IFT52;TCTN3;TCTN1;CCDC96;KIFAP3;IFT57;BBS5;CC2D2A;SNAP29;BBS4;DNAI2;MKKS;ARMC9;RFX2;RFX3;IFT80;TMEM250;WDR35;IQCG;DUSP23;RILPL2;IFT81;RILPL1;TMEM138;ALPK1;ATP6V0D1;NOTCH1;INTU;ARL6;TSGA10IP;ARL3;NEDD9;TTBK2;IFT74;ABLIM1;KIF3B;TMEM67;FLNA;NPHP3;ATP6V1D;RILP;BBS2;BBS1;MBD1;GBF1;WDR19;IFT122;PARVA;FHDC1;WDR54;TMEM231;TTC17;ATAT1;IFT22;CEP162;CEP41
Regulation Of Neuron Projection Development (GO:0010975)	51/174	4.70352403531273e-06	0.00241081737498862	0	0	2.2311774356881	27.3702965714167	DDR1;RETREG3;TENM3;LRRK2;CX3CL1;ARHGAP44;CDH2;DPYSL3;NPTN;KIF1A;EPHB3;LZTS3;EPHA4;MYLIP;CDKL5;MAGI2;WNT5A;P3H1;CBFA2T2;TANC2;ZDHHC15;RTN4RL1;ROR1;TOX;RTN4R;CAMK2B;BRSK1;SEMA3A;SEZ6;PTN;NOL3;ADCY6;EFNB2;RAB29;PTK2B;APOE;ALKAL1;LRRC4C;PDLIM5;CAMK2G;MARK2;FZD1;LYN;NTNG1;DAB2IP;MT3;CDK5;PTK7;KIF26A;PLXNB3;ITM2C
Cilium Assembly (GO:0060271)	65/243	7.90545995803956e-06	0.00364678867864365	0	0	1.96740010970768	23.1129317003646	DYNC2I2;GALNT11;CEP19;PTPDC1;CCDC28B;RPGR;IFT52;TCTN3;TCTN1;CCDC96;IFT57;PIERCE2;BBS5;CC2D2A;SNAP29;BBS4;DNAI2;MKKS;DNAAF3;ARMC9;RFX2;RFX3;IFT80;TMEM250;TMEM80;WDR35;DUSP23;RILPL2;IFT81;RILPL1;TMEM138;BBOF1;ALPK1;ATP6V0D1;NOTCH1;INTU;ARL6;DCTN1;ARL3;RSPH9;SPATA6;TTBK2;IFT74;ABLIM1;KIF3B;TMEM67;FLNA;NPHP3;ATP6V1D;RILP;BBS2;BBS1;MBD1;GBF1;WDR19;IFT122;PARVA;FHDC1;WDR54;TMEM231;ATAT1;IFT22;RSPH1;CEP162;CEP41
