Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Lysosome (GO:0005764)	131/503	1.62744492657274e-09	6.02154622831913e-07	0	0	1.91606189456185	38.7739162926437	IFITM3;IFITM1;IFITM2;GBA1;CLU;LAPTM4A;LAMP2;PGAP6;PIP4K2A;ENPP1;SLC26A11;ATP6V1E1;AP5S1;VPS39;TRIM23;CUBN;VPS18;PRKCD;OMD;ATP11A;MFSD12;WDR81;NAAA;RRAGD;SPNS1;ATP6V0D1;ARL8A;SIDT2;ATP6V1A;TMEM63A;SDC4;PSEN2;ABCB9;BCL10;ADRB2;PLD3;SNX2;NEU1;SLC38A7;ATP6V0A2;RDH14;ATP6V1D;LYN;CTSA;UVRAG;ACE;STK11IP;FUCA2;GLMP;CP;GRIN2B;GNAO1;DAB2;AKR1B10;TCN2;MAN2B2;GNAQ;OGN;PPT1;TPP1;PPT2;ADA;TECPR1;ITM2C;SLC35F6;PLEKHF1;SLC44A2;HEXB;LRRK2;HEXA;CTSZ;TCIRG1;ATRAID;SLC2A6;SGSH;SLC2A8;GM2A;SMPD1;RB1CC1;ANXA6;FLOT1;GPR137;IDS;MFSD1;ACP2;CTSF;RNF152;SLC37A3;CD34;CTSD;ABCD1;UBXN6;SLC36A1;ATP6V0B;DTX3L;GAA;ATP6AP2;TFEB;PRSS16;BACE1;RNF167;LMBRD1;NPC1;DNAJC5;TMEM9;TLR3;GRN;RAMP2;UNC93B1;SLC66A1;CXCR4;PRELP;LRP2;GNAI1;DRAM1;DRAM2;RILP;SLC31A2;SORT1;CTNS;TPCN1;RMC1;CLCN7;GALC;GALNS;CLCN5;P2RX4;SYT11;LAMTOR2;FMOD;CYB561
Early Endosome (GO:0005769)	81/307	1.17385128170818e-06	0.000184864328757966	0	0	1.93542152596628	26.4286077384528	IFITM3;APP;DAGLA;PLEKHF1;DYSF;SNX13;RAB22A;ZFYVE28;RUSC1;WDR91;DNER;KDR;FLOT1;PMEPA1;AP3S1;LDLRAP1;ATP7A;B2M;UBXN6;BOK;EPHA4;MAP2K1;DTX3L;SPHK1;TBC1D2B;TICAM1;F3;MR1;BACE1;CLIP3;RAB31;WDR81;SLC9A6;ALS2;SLC9A9;RIN3;ATP6V0D1;STEAP2;TLR3;PARM1;MGRN1;CXCR4;ADRB1;ABCB9;SNX33;TRAK1;TMEM163;EGFR;PLD3;AP3M2;NEURL1B;TMEM127;MVB12B;SYNDIG1;STX6;RAB29;APOE;ENTR1;SNX8;ATP9A;TBC1D16;UVRAG;FZD5;SORT1;CMTM6;CTNS;PLEKHA3;SNX21;NSG1;SORL1;IGF2R;TMEM230;TPCN1;ENTREP1;ITCH;CLCN5;DOP1B;NAPEPLD;F2RL1;ATP13A3;PICALM
Cell-Substrate Junction (GO:0030055)	98/395	1.95722703884348e-06	0.000184864328757966	0	0	1.78408265663168	23.4499500800795	CD81;ARPC5L;TNC;SLC4A2;CDH2;CAPN5;DAG1;B2M;TNS2;PDIA3;MAP2K1;TLE2;ACTN1;AFAP1;CASK;ADAM9;TLN2;EZR;PHLDB2;FBLN7;FBLIM1;CD99L2;LPP;CORO1C;CNN3;EFNB2;CNN1;FLRT2;RRAS;FLRT1;ATP6V0A2;RSU1;FZD1;VASP;JUP;HSPA5;PARVA;ARPC5;CORO2B;IGF2R;AIF1L;PPFIBP1;DAB2;PTPRA;PTK7;TRIP6;FAT1;CALR;FGFR3;ITGB1;ITGB5;ARPC1B;TGFB1I1;ITGB3;SNAP23;HSPB1;RND3;TRIOBP;MRC2;AKAP12;CSRP1;ANXA6;FLOT1;PGM5;JAK2;SCARF2;KLF11;ITGA4;ITGA3;ITGA1;RHOB;ENAH;PALLD;CAT;ITGA8;LCP1;CD44;SYNPO2;ASAP3;CXCR4;NEDD9;EGFR;LIMA1;IL1RL1;EFS;GNA12;FLNA;PTK2B;DMD;PDLIM7;PAK4;SVIL;SPRY4;ERBIN;LIMS2;NECTIN2;HSPA1A;SNTB2
Lytic Vacuole Membrane (GO:0098852)	76/287	2.13414472034359e-06	0.000184864328757966	0	0	1.94364464510335	25.3790322578671	IFITM3;SLC35F6;IFITM1;IFITM2;PLEKHF1;SLC44A2;GBA1;TCIRG1;CLU;ATRAID;SLC2A6;SLC2A8;LAPTM4A;LAMP2;PGAP6;ANXA6;FLOT1;GPR137;ENPP1;SLC26A11;ATP6V1E1;CTSD;RNF152;ABCD1;SLC37A3;VPS39;UBXN6;TRIM23;SLC36A1;VPS18;ATP6V0B;GAA;ATP6AP2;TFEB;ATP11A;MFSD12;RNF167;LMBRD1;WDR81;NPC1;DNAJC5;SPNS1;TMEM9;ATP6V0D1;TLR3;ARL8A;SIDT2;ATP6V1A;GRN;TMEM63A;SLC66A1;PSEN2;ABCB9;LRP2;GNAI1;ATP6V0A2;SLC38A7;RDH14;ATP6V1D;RILP;LYN;SLC31A2;STK11IP;CTNS;CP;RMC1;TPCN1;GNAO1;CLCN7;DAB2;CLCN5;P2RX4;GNAQ;LAMTOR2;CYB561;TECPR1
Focal Adhesion (GO:0005925)	96/387	2.49816660483737e-06	0.000184864328757966	0	0	1.78318867124109	23.0030508572724	ITGB1;ITGB5;CD81;ARPC1B;TGFB1I1;ITGB3;SNAP23;ARPC5L;TNC;HSPB1;SLC4A2;RND3;TRIOBP;MRC2;AKAP12;CSRP1;CDH2;CAPN5;ANXA6;DAG1;FLOT1;PGM5;JAK2;SCARF2;B2M;TNS2;PDIA3;KLF11;MAP2K1;TLE2;ITGA4;ITGA3;ACTN1;ITGA1;AFAP1;CASK;RHOB;ENAH;PALLD;CAT;ITGA8;ADAM9;LCP1;TLN2;EZR;PHLDB2;CD44;FBLN7;FBLIM1;SYNPO2;ASAP3;CXCR4;NEDD9;CD99L2;LPP;EGFR;CORO1C;CNN3;EFNB2;LIMA1;CNN1;IL1RL1;EFS;FLRT2;RRAS;FLRT1;GNA12;ATP6V0A2;FLNA;PTK2B;RSU1;PDLIM7;PAK4;FZD1;VASP;SVIL;JUP;HSPA5;SPRY4;PARVA;ARPC5;CORO2B;IGF2R;AIF1L;PPFIBP1;DAB2;PTPRA;PTK7;TRIP6;FAT1;CALR;FGFR3;LIMS2;NECTIN2;HSPA1A;SNTB2
Lytic Vacuole (GO:0000323)	62/223	3.30728937130376e-06	0.000203949511230398	0	0	2.07485114032131	26.183338355052	PLEKHF1;LRRK2;CTSZ;GBA1;CLU;SGSH;SMPD1;RB1CC1;LAMP2;PIP4K2A;IDS;MFSD1;ACP2;CTSF;CD34;CTSD;RNF152;AP5S1;VPS18;DTX3L;GAA;ATP6AP2;PRSS16;MFSD12;BACE1;RNF167;NPC1;RRAGD;NAAA;TMEM9;SIDT2;GRN;RAMP2;UNC93B1;CXCR4;ABCB9;BCL10;ADRB2;LRP2;SNX2;DRAM1;NEU1;DRAM2;RILP;CTSA;UVRAG;ACE;SORT1;FUCA2;GLMP;CTNS;GRIN2B;TPCN1;GALC;AKR1B10;MAN2B2;SYT11;PPT1;TPP1;PPT2;ADA;ITM2C
Cell-Cell Junction (GO:0005911)	76/299	1.07137398573103e-05	0.000566297678172118	0	0	1.83772694336855	21.0309168935561	WDR1;ITGB3;CTNND1;SNAP23;PTPRM;PTPRJ;LDB3;CLDN2;PKD2;CLDN1;VSIG10;TMEM47;CDH4;BAIAP2L1;CDH2;GJA5;FLOT1;PGM5;KIRREL3;MAGI1;KIRREL1;CXADR;ACTN1;HEG1;GAB1;SHROOM2;CASK;KAZN;SHROOM3;SIRT2;CDH11;CLDN19;PKP2;EZR;PLPP3;STEAP1;CDH17;JCAD;SPTBN4;NOTCH1;ILDR2;PARD6G;NDRG1;DLL1;CNN3;CYTH3;PDZD2;FLRT2;CCDC85B;CCDC85A;FLRT1;NPHP1;MICALL2;KRIT1;FLNA;NPHP4;STXBP6;STX3;CDH26;PDLIM5;JAM2;PDLIM7;JAM3;PAK4;JAG1;CADM1;JUP;STARD10;KLHL24;IGSF11;AJM1;PTK7;FAT1;LIMS2;NECTIN2;NECTIN1
Bounding Membrane Of Organelle (GO:0098588)	174/819	1.54754097375431e-05	0.000715737700361369	0	0	1.46428393291352	16.2187870103722	GALNT11;RAB3A;CHPF;ZDHHC5;SPRING1;ANTXR2;HS6ST1;HS6ST2;GALNT10;SCAMP5;RAB43;GOLGA2;C1GALT1C1;TMEM38A;TMEM38B;B2M;VPS39;TRIM23;VPS18;COG6;SACM1L;APLP2;ATG9A;WNT5A;ENTPD7;IRAG1;TAP2;CASK;TAP1;TICAM1;RAB31;STIM1;SLC9A7;GPR161;ULK1;ATP6V0D1;PLPP3;STEAP2;BLZF1;NOTCH3;RTN1;NOTCH1;ITPR1;TGFA;ITPR2;ADRB2;IQGAP2;PLD3;CORO1C;UGCG;FUT8;SNX2;MAN2A2;IRAK2;CHST12;DSEL;ALDH3B1;CHST10;ST8SIA4;ATP6V0A2;ST3GAL5;CHST14;ST3GAL1;GRIA3;ST3GAL2;GRIA4;WNT4;ST3GAL3;LYN;BBS2;B3GALNT1;BBS1;UVRAG;DMPK;ST8SIA1;GPR108;WSCD2;ST8SIA2;INSR;B3GALT4;AZIN2;IGF2R;TMEM231;GNAO1;EXT2;CALR;ITM2B;ITGB1;GPSM1;B4GALT3;MCFD2;PLEKHF1;CTSZ;ARHGAP1;SLC2A3;TCIRG1;PKD1;RYR3;TCTN3;PMEPA1;QSOX1;SNAP29;BBS5;CTSD;BBS4;BOK;SLC36A1;ATP6V0B;CHPF2;ATP6AP2;VPS37C;VPS37D;ZDHHC13;SLC39A13;WIPI1;RHOF;ARFGAP3;IL17RD;F3;RHOD;F5;TNFRSF1A;TAPBP;RAB33B;RHOB;ZDHHC15;RNF144A;BACE1;B3GNT5;B3GNT4;IRF7;RHOU;DIPK2A;TLR4;CHST2;CD44;TLR3;B4GALT4;ST6GALNAC6;B4GALT5;CAMK2B;COLEC12;UNC93B1;RAB1B;CAMK2A;EGFR;CYTH3;CYTH2;TMEM67;MGAT5;ORMDL3;MVB12B;STX6;MGAT3;NCAM1;CAMK2G;CYTH1;GPR157;FKTN;SLC35A2;RIC1;SORT1;B3GAT3;WNT7B;GBF1;PLEKHA3;SORL1;TPCN1;CLCN5;STING1;DOP1B;COL7A1;MGAT4A;LAMTOR2
Endosome Membrane (GO:0010008)	86/361	4.09020364348744e-05	0.0015350491203636	0	0	1.68650804924242	17.0410350671534	IFITM3;ITGB1;IFITM2;DAGLA;PLEKHF1;ARHGAP1;TCIRG1;ANTXR2;SCAMP5;ZFYVE28;LAPTM4A;ZFYVE27;WDR91;LAMP2;ANXA6;PMEPA1;ATP7A;B2M;CTSD;VPS39;UBXN6;BOK;PDIA3;EPHA4;VPS18;ATP6V0B;SPHK1;APLP2;ATG9A;ATP6AP2;VPS37C;VPS37D;WIPI1;TICAM1;F3;RHOD;MR1;RHOB;BACE1;RNF144A;CLIP3;RNF167;RAB31;WDR81;SLC9A6;SLC9A7;SLC9A9;IRF7;RHOU;ATP6V0D1;TLR4;TLR3;CLEC16A;ADRB2;TMEM163;NDRG1;EGFR;PLD3;CORO1C;SNX2;IRAK2;MVB12B;ATP6V0A2;SYNDIG1;USP50;RAB11FIP3;SNX8;ATP9A;FZD5;SLC31A2;SORT1;FZD7;INSR;CMTM6;SNX21;NSG1;SORL1;IGF2R;RAB11B;RMC1;TPCN1;ENTREP1;CLCN5;DOP1B;LAMTOR2;ATP13A3
Lysosomal Membrane (GO:0005765)	85/356	4.14878140638811e-05	0.0015350491203636	0	0	1.69135897346608	17.0659994632191	IFITM3;SLC35F6;IFITM1;IFITM2;PLEKHF1;SLC44A2;GBA1;TCIRG1;CLU;ATRAID;SLC2A6;SLC2A8;GLIPR1;LAPTM4A;LAMP2;CPNE1;PGAP6;ANXA6;FLOT1;GPR137;ENPP1;SLC26A11;ATP6V1E1;CTSD;RNF152;ABCD1;SLC37A3;SNAP29;VPS39;UBXN6;TRIM23;SLC36A1;VPS18;ATP6V0B;GAA;ATP6AP2;TFEB;ATP11A;MFSD12;RNF167;LMBRD1;WDR81;NPC1;DNAJC5;SPNS1;TMEM9;ATP6V0D1;TLR3;ARL8A;SIDT2;ATP6V1A;GRN;TMEM63A;SLC66A1;MGST1;CLEC16A;PSEN2;ABCB9;LRP2;GNAI1;ATP6V0A2;SLC38A7;RDH14;ATP6V1D;RILP;CTSA;LYN;SNAPIN;SLC31A2;STK11IP;CMTM6;CTNS;CP;RMC1;TPCN1;BST2;GNAO1;CLCN7;DAB2;CLCN5;P2RX4;GNAQ;LAMTOR2;CYB561;TECPR1
