Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Semaphorin Receptor Binding (GO:0030215)	12/22	3.20020097018999e-05	0.0201324322486879	0	0	6.42034329307057	66.448703086735	SEMA5B;SEMA6C;SEMA7A;SEMA3C;SEMA4D;SEMA3D;SEMA3A;SEMA4B;SEMA6D;SEMA3E;SEMA3F;SEMA4G
Amyloid-Beta Binding (GO:0001540)	27/79	4.4295780525166e-05	0.0201324322486879	0	0	2.78437707294303	27.9123252481901	LRPAP1;TM2D1;CLSTN1;ADRB2;CLU;CST3;GRIN2A;APBB1;APOE;EPHB2;LDLRAP1;GRIA3;GRIA4;EPHA4;PRNP;FZD5;FZD4;INSR;GRIN2B;SORL1;BACE1;TLR6;TLR4;ITM2A;ITM2B;ITM2C;PICALM
Chemorepellent Activity (GO:0045499)	12/24	9.81408086822683e-05	0.0297366650307273	0	0	5.34965034965035	49.3724970261876	SEMA5B;SEMA6C;SEMA7A;SEMA3C;SEMA4D;SEMA3D;SEMA3A;SEMA4B;SEMA6D;SEMA3E;SEMA3F;SEMA4G
Phospholipase C Activity (GO:0004629)	11/23	0.000316580185533774	0.0719428471625502	0	0	4.90228789323165	39.5023122811409	PDIA3;CHRM3;PLCB3;PLCB4;PLCL1;CCL5;PLCG2;PLCE1;PLCG1;PLCB1;PLCD1
GTPase Regulator Activity (GO:0030695)	93/424	0.000476253187685912	0.0865828295212989	0	0	1.51355376707096	11.5780217745151	USP6NL;DOCK6;GPSM1;DENND1B;ERRFI1;DOCK3;FAM13B;GDI1;DENND1A;LRRK2;ITSN1;ARHGAP1;ARHGEF10L;SIPA1L2;RAPGEFL1;ARHGAP44;PREX1;DENND10;PLCE1;SIRPA;SBF2;RALGPS1;GARNL3;VAV3;ARHGEF11;PLEKHG1;PLEKHG2;DENND2B;SWAP70;ARAP2;ARHGEF18;TBC1D9;RAB3IL1;TBC1D2B;RHOF;ARAP1;ARFGAP3;RHOD;MTSS2;VAV2;RNF167;TBC1D2;ALS2;ALDH1A1;ELMO1;RIN3;RHOU;PLCB1;RIN2;RABGAP1;ASAP3;AGAP1;DENND3;ADRB1;ASAP2;IQGAP2;RAP1GAP;RASGRP3;FGD3;CYTH3;FGD4;CYTH2;ARHGAP20;KRIT1;SH3BP5;TBC1D13;PDE6D;SRGAP3;TBC1D12;SRGAP1;RALGDS;CYTH1;TBC1D16;FARP2;TBC1D8B;RIC1;EIF2B2;IQSEC2;GRTP1;DENND4A;GBF1;ARHGAP28;ARHGAP26;MYO9A;ARHGAP32;ARHGAP31;GNAQ;NUCB1;LAMTOR2;PLXNB1;RGL3;RGS12;CPEB2
Actin Binding (GO:0003779)	46/183	0.000703340501319121	0.0897572763216992	0	0	1.80237085545944	13.0846165986763	ITGB1;MACF1;SPTBN4;LRRK2;SYNPO2;CXCR4;LDB3;IQGAP2;ADCY8;NCALD;SYNE1;LIMA1;ABLIM1;MAEA;RUSC1;CALD1;COTL1;DAG1;PHACTR2;DMD;SYNPO;PDLIM5;TMSB10;EMD;SPTAN1;SPTBN1;PDLIM7;PACRG;PRKCE;TPM1;SHROOM2;PAWR;PARVA;FHDC1;CORO2B;SERPINB8;MTSS1;SSH1;MTSS2;TLN2;CORO7;LCP1;EZR;ALDOA;PFN2;MSRB1
Phosphoric Diester Hydrolase Activity (GO:0008081)	16/44	0.000710322368173164	0.0897572763216992	0	0	3.05792488860598	22.1693183276974	PDIA3;PLCL1;GDPD2;GDPD5;PLCXD1;PLD3;PLCB3;PLCB4;SMPD1;MPPED2;PLCG2;NAPEPLD;ENPP1;PLCE1;PLCG1;PLCB1
Small GTPase Binding (GO:0031267)	49/199	0.000789943025933546	0.0897572763216992	0	0	1.75385011257639	12.5287155054785	USP6NL;DOCK3;LRRK2;ARHGAP1;BICDL1;CHM;GCC1;TRIOBP;BICD2;DENND10;ARHGDIB;PLCE1;ERC1;RNF152;PLEKHG1;CDKL5;PLEKHG2;MTSS2;RILPL2;ALS2;CDC42EP5;RILPL1;CDC42EP3;PIH1D2;RIN3;ULK1;RIN2;RABGAP1;MAPKAP1;IQGAP2;NDRG1;RAP1GAP;FGD3;FGD4;KIF3B;TMEM127;PDE6D;RAB29;FLNA;DVL3;SRGAP3;RAB11FIP3;RILP;RIC1;BRAF;SORL1;PEX5L;MEGF9;PICALM
GTPase Binding (GO:0051020)	53/225	0.00146942820053509	0.13547481844512	0	0	1.65432722915028	10.7909811944455	USP6NL;DOCK3;LRRK2;ARHGAP1;BICDL1;CHM;GCC1;TRIOBP;BICD2;DENND10;ARHGDIB;PLCE1;ERC1;RNF152;PLEKHG1;CDKL5;PLEKHG2;MTSS2;RILPL2;ALS2;CDC42EP5;RILPL1;RRAGD;CDC42EP3;PIH1D2;RIN3;ULK1;LCP1;RIN2;RABGAP1;MAPKAP1;AMBRA1;IQGAP2;NDRG1;RAP1GAP;FGD3;FGD4;KIF3B;TMEM127;PDE6D;RAB29;FLNA;DVL3;SRGAP3;RAB11FIP3;RILP;SPTBN1;RIC1;BRAF;SORL1;PEX5L;MEGF9;PICALM
Wnt Receptor Activity (GO:0042813)	8/16	0.00149037204010033	0.13547481844512	0	0	5.34412698412698	34.7834769471874	FZD5;FZD4;FZD7;LRP5;FZD8;ROR1;TSPAN12;PKD1
