Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
EGFR1 Signaling Pathway WP572	48/178	9.24149622814464e-05	0.0151560538141572	0	0	1.98411080880534	18.4308451068933	USP6NL;ERRFI1;CEBPA;NDUFA13;CEBPB;HIP1;SHC1;STXBP1;CTNND1;CAMK2A;INPPL1;PIK3R3;PIK3R1;ELK1;FOXO1;EGFR;PIK3C2B;CASP9;SOCS3;SH3BGRL;GRB14;RPS6KA2;RPS6KA1;GRB10;PLCG2;NCK2;PTK2B;SHOC2;PLCG1;JAK2;RALGDS;MAP3K4;VAV3;MAP3K2;KLF11;MAP2K1;SMAD3;MAP3K1;DUSP1;STAT1;STAT3;GAB1;RFXANK;FOS;PTPN12;VAV2;PLSCR1;ITCH
Alzheimers Disease WP2075	24/75	0.000359119949552375	0.0197530259755743	0	0	2.52126581328128	19.998312588265	APP;BAD;ITPR1;PSEN2;EIF2AK3;ITPR2;GRIN2B;RYR3;TNFRSF1A;GRIN2D;CASP9;BACE1;PPP3CA;CASP7;PLCB3;GRIN2A;CASP12;PLCB4;CDK5;GNAQ;FAS;APBB1;APOE;PLCB1
Insulin Signaling WP65	42/159	0.000394778186604111	0.0197530259755743	0	0	1.92677989532932	15.1005333912639	SHC3;PRKAA2;STXBP3;IRS1;SHC1;STXBP1;SRF;SNAP23;INPPL1;PIK3R3;PIK3R1;ELK1;FOXO1;CYTH3;LIPE;SOCS3;GRB14;RPS6KA2;RPS6KA1;GRB10;FLOT1;ENPP1;MAP3K8;MAP3K4;MAP4K3;MAPK4;MAP3K5;CAP1;MAP3K2;EGR1;MAP4K2;MAP2K1;XBP1;MAP3K1;INSR;PRKCD;GAB1;FOS;MAPK10;RHEB;RHOJ;RPS6KB2
Focal Adhesion WP85	47/185	0.00048178112135547	0.0197530259755743	0	0	1.828686428242	13.9675447051681	ITGB1;SHC3;ITGB5;LAMA2;SHC1;ROCK2;ITGB3;LAMA4;COL11A1;TNC;PIK3R1;THBS2;ELK1;THBS1;EGFR;MYLK;THBS3;CCND3;FLNA;PELO;MAPK4;PAK4;VASP;FARP2;MAP2K1;ITGA4;ITGA3;BAD;LAMB2;ACTN1;STYK1;BRAF;IGF1;PGF;RHOB;COL5A1;COL4A1;ITGA10;COL6A2;SELENOP;COL4A6;BCL2;ITGA8;ITGA7;MET;BIRC2;ITGA9
Primary Focal Segmental Glomerulosclerosis FSGS WP2573	22/72	0.00124032704523765	0.0312588456867627	0	0	2.35602040816327	15.76738430207	ITGB1;CDKN1C;KIRREL3;CAMK2B;NOTCH1;JAG1;ITGA3;LAMB2;ITGB3;LRP5;PARVA;CLDN1;PAX2;CDH2;PODXL;DAG1;FAT1;PLCE1;COL4A5;PLCG1;SYNPO;TLR4
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	72/324	0.00135384272470879	0.0312588456867627	0	0	1.53596889176928	10.1447800346554	ITGB1;ATF2;CRTC2;ITGB5;IRS1;ITGB3;TNC;IRS2;SLC2A3;FGF1;PIK3C2B;CASP9;LIPE;CREB3L2;KDR;IKBKG;JAK2;PELO;MAP2K1;CMC4;ITGA4;ITGA3;PPP2R5B;PPP2R5A;OSMR;PGF;COL4A1;COL6A2;COL4A6;ITGA8;ITGA7;ULK1;MET;IFNAR1;ITGA9;PFKFB4;PFKFB3;PRKAA2;ATF6B;LAMA2;EPAS1;COL11A1;LAMA4;LPAR2;PIK3R1;LPAR4;EFNA5;THBS2;EFNA4;THBS1;EGFR;FOXO1;THBS3;GNG10;ANGPT2;ANGPT1;BAD;LAMB2;INSR;IGF1;RAB11B;EFNA3;COL5A1;PIK3IP1;LPAR6;RHEB;ITGA10;FGF18;RPS6KB2;FGFR3;FGFR2;FGFR1
Neural Crest Differentiation WP2074	28/101	0.00157832412026197	0.0312588456867627	0	0	2.05493457044072	13.2571877870781	ITGB1;HDAC4;NOTCH3;NOTCH1;DLX5;BMYC;DLL1;HDAC9;PRTG;CDH2;GBX2;ZIC1;DVL3;HES1;TFAP2A;PAX3;AXIN2;ZIC5;BMP7;RHOB;LHX2;PAX7;LHX1;PMP22;SNAI2;FGFR3;FGFR2;FGFR1
Hypothetical Network for Drug Addiction WP1246	12/31	0.00174154579050536	0.0312588456867627	0	0	3.37732124334995	21.4560616575368	CAMK2B;GRIN2A;MAP2K1;PRKCE;CAMK4;KRIT1;ADCY1;ADCY8;GRIN2B;GRIA3;GRIA4;GRIN2D
Delta-Notch Signaling Pathway WP265	24/83	0.00178118938481315	0.0312588456867627	0	0	2.17836089688815	13.7900568986074	SPEN;APP;HES6;NOTCH3;MEF2C;NUMBL;NOTCH1;SMAD3;JAG1;MAML2;STAT3;PSEN2;PIK3R1;DLL1;EGFR;NCOR2;NFKBIA;ITCH;HEY1;CIR1;HES1;MAML3;JAK2;ZFPM1
IL-7 Signaling Pathway WP297	15/44	0.0021841622566487	0.0312588456867627	0	0	2.76690401220007	16.9515008772964	LYN;MAP2K1;IRS1;SHC1;STAT1;BAD;STAT3;IRS2;PIK3R1;FOXO1;MUC1;BCL2L11;IRF1;PTK2B;STAM2
