Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
RNA Binding (GO:0003723)	453/1411	1.65043334557534e-95	1.49529261109126e-92	0	0	3.98454193786074	869.60454603648	RPL4;RPL5;RPL30;RPL3;TFRC;RPL32;RRP1;HNRNPU;GPATCH4;NOC2L;RPL8;RRP9;ENDOV;RPL38;RPL37;DDX18;NGDN;RPL22;DNTTIP2;DDX10;WDR75;GTPBP1;GTPBP4;DDX39A;EWSR1;CLNS1A;DDIT3;SARNP;RPL27;RPL26;DUS3L;RPL28;MRPL19;NOLC1;BAZ2A;SNU13;ZC3HAV1;MRPL12;LARP1;RRS1;LTA4H;BTF3;RPL41;PNO1;UPF3B;PA2G4;LARP4;MAGOHB;MEX3D;MCAT;EIF1;MRPL22;CS;TBL3;LAS1L;FASN;HNRNPF;HNRNPC;FARSA;RPLP0;TCF20;KRI1;WDR46;WDR43;MRPL42;NKRF;RACK1;RBPMS2;RRP12;ZC3H10;WDR36;CLUH;ANXA2;NSUN5;NSUN2;GNL2;GNL3;CACTIN;SF3B5;KARS1;NIP7;RPS27L;NOC4L;MRPL54;BCLAF1;TCOF1;SRP72;PPP1R8;RPL14;RPS3;RPL13;FLNB;RPL15;RPS27A;RPL18;RPL19;UTP6;SF3A1;SF3A2;UTP4;CDKN2A;ADAT1;ELP1;TRMT1;NOC3L;RRP1B;SRP68;TARBP2;KTN1;NUDT21;PHF5A;MYBBP1A;APEX1;SERBP1;TRMT6;TSR1;RPL22L1;PUS10;FMR1;RPL10A;IPO5;THG1L;PPP1CC;MTREX;KPNA2;SLC16A3;RPS9;KHNYN;RPS7;RPS8;RPS5;RPS6;POLRMT;THOC5;FTSJ3;EBNA1BP2;RBMXL1;NCL;MRTO4;SRSF2;NHP2;SNRPG;SRSF3;S100A4;SNRPF;SRSF6;FKBP4;SRSF7;KPNB1;LRRC59;NTPCR;RCC1L;RAD51AP1;BAG4;G3BP1;BRIX1;NOP14;NOP16;RBPMS;PYM1;EEF2;LSM5;LSM4;LSM3;YRDC;LSM7;LSM6;CNOT1;WRAP53;ISY1;HSP90AB1;WDR3;ZC3H8;PTBP1;SUMO2;MRPL9;METTL16;TNPO1;PELP1;EIF5A;ELAC2;RPL13A;DNAJC2;NOA1;POLR1G;HDAC2;NUFIP1;LRP1;MAK16;SRSF1;WBP4;U2AF1;MRM3;FIP1L1;IGF2BP1;IGF2BP3;ASCC3;HNRNPA1;EIF4E;EIF4B;DCAF13;HNRNPA0;NOP56;NOP58;GPKOW;KRR1;CNBP;CCDC59;RPL23A;HNRNPAB;SNRNP40;MTRES1;EIF3L;EIF3I;DRG2;EIF3E;P4HB;EIF3D;NOP53;NECTIN3;PPIL4;TPT1;EIF3B;METAP2;EIF4A1;TCERG1;EIF4A3;RTCB;PPAN;THUMPD1;PWP2;CCAR2;CCAR1;NUDT4;RPS15;TIAL1;LGALS3;RPS17;LGALS1;TRIM28;RPL18A;RPS19;TRIM25;SNRPD3;RPS11;RPS10;RPS13;SEC63;AGFG1;SRRM4;METTL3;CIRBP;CDC40;JMJD6;SRRM1;GRWD1;CCDC86;TFAM;KCTD12;DNA2;PFN1;DHX9;CSTF2;DHX33;PDCD11;ERI1;PCBP1;HLTF;LYAR;ZBED4;XRCC6;XRCC5;RCC2;KNOP1;PUM3;AIMP1;CCT6A;RPS26;RPS25;RPS28;FUBP1;KYAT3;MPHOSPH10;NOL10;RPS20;NOL11;NOL12;DCP1A;RPS24;RPS23;TOP2A;MRPS15;DAZAP1;NAT10;PCSK9;BRCA1;AATF;SYNCRIP;PCF11;C1QBP;XPO5;DHX15;UTP14A;CCT3;MRPS27;MRPS24;PARP1;PABPC4;MRPS23;PPHLN1;MRPS7;PPRC1;UCHL5;NME1;CTU1;MRPS9;SLTM;STRAP;ARHGEF1;PABPC1;HNRNPH3;HEATR1;NOL8;MRPS30;AKAP1;NOL6;EXOSC7;EXOSC9;PES1;EXOSC3;EXOSC2;EXOSC1;CCT4;TEFM;RTRAF;TSNAX;NQO1;NPM1;CAVIN1;RFTN1;SORBS2;BOP1;RSL1D1;NUDT7;CMSS1;XPOT;PRPF31;TARDBP;OTUD4;ACAA2;SPPL2B;YARS1;YARS2;EFTUD2;FBL;CHCHD1;CAST;PCID2;PUS1;TRNT1;TUFM;DKC1;PSPC1;RPL7L1;GEMIN5;PPIE;DAP3;UTP25;DDX5;RPS19BP1;UTP23;NOP2;RPF2;PRPF8;RTN4;EMG1;ZMAT3;DNAJC21;UTP20;LLPH;ZC3H13;HSPA9;CPSF4;CPSF6;PNPT1;CCDC137;ALYREF;RPP40;CPSF2;HMGA1;HELZ;TDRD3;UBE2N;DDX3Y;YWHAE;RBM28;USP36;RBM25;DDX49;RBM26;DDX46;DDX47;PINX1;HMGB2;HMGB3;HMGB1;YBX3;RBM3;RBM34;UTP15;TSFM;UTP11;DDX56;RBM19;SPATS2;DARS2;DDX52;UTP18;DARS1;CKAP4;SUPV3L1;SFPQ;DDX19B;THRAP3;LUC7L3;RBMS2;PLEC;DDX28;DDX27;USP10;DDX20;PARN;DDX21;MTIF2;SAMHD1;HSPD1;TBRG4;PABPN1;BMS1;TRA2A;RPP14;RBM38;PTCD3;TAF15;PTCD2;NIFK;DDX31;NAP1L1;HSPE1;ACIN1;SSBP1;RBM45;RAN
rRNA Binding (GO:0019843)	27/46	6.42955215042563e-14	2.91258712414281e-11	0	0	10.4036697247706	316.014447668462	DDX28;RPL5;UTP25;RPLP0;UTP23;PPAN;DDX21;RPF2;RCC1L;EMG1;ERI1;RPS3;RRS1;RBM34;RPS13;PTCD3;NPM1;RPS9;MRPS27;CAVIN1;RPS5;CIRBP;GTF3A;MRPS7;TST;MDM2;NOP53
snoRNA Binding (GO:0030515)	20/31	9.78069670576132e-12	2.95377040513992e-09	0	0	13.2783972783973	336.615476096072	NOP56;UTP25;NOP14;NOP58;UTP6;NUFIP1;XRCC5;SPPL2B;WDR3;HEATR1;DDX21;SNU13;NUDT4;RRP9;NUDT7;TBL3;DKC1;NHP2;TSR1;IGF2BP3
aminoacyl-tRNA Ligase Activity (GO:0004812)	21/37	9.71910058546577e-11	2.201376282608e-08	0	0	9.58660045757072	221.01277458817	HARS1;RARS1;KARS1;MARS2;MARS1;DARS2;YARS1;YARS2;DARS1;WARS1;GARS1;LARS1;NARS2;IARS2;TARS2;IARS1;FARSA;CARS2;TARS1;VARS1;FARSB
mRNA Binding (GO:0003729)	73/282	1.59795594201823e-10	2.89549616693703e-08	0	0	2.5789270253556	58.1731809626134	EIF4A1;RPL5;DAZAP1;RBM25;FMR1;EIF4A3;HNRNPU;YBX3;TIAL1;SYNCRIP;PTBP1;PCF11;C1QBP;XPO5;RBPMS2;RPS13;SRRM4;CLUH;KHNYN;RPS7;PABPC4;RPS5;METTL3;CIRBP;RPL13A;MRPS7;THOC5;CDC40;GNL3;NCL;GEMIN5;PPIE;LUC7L3;RPL26;PABPC1;SRSF7;RBMS2;DDX5;DHX9;SHMT2;SHMT1;CSTF2;UTP23;SRSF1;PARN;MRPL12;LARP1;DHX33;PCBP1;PPP1R8;G3BP1;RPS3;IGF2BP1;IGF2BP3;CCT5;RPL41;CPSF6;RBPMS;ALYREF;CNBP;UPF3B;LARP4;HNRNPAB;PUM3;RPS26;NUDT21;RSL1D1;FUBP1;SERBP1;HNRNPC;DCP1A;TARDBP;EIF3D
mRNA 5'-UTR Binding (GO:0048027)	16/24	5.87067749814389e-10	8.86472302219728e-08	0	0	14.5844748858447	310.005860954002	RPL5;RPL41;RPS7;SHMT2;FMR1;SHMT1;UTP23;GNL3;RSL1D1;SYNCRIP;LARP1;NCL;IGF2BP1;IGF2BP3;RPL26;RPS13
Ribosome Binding (GO:0043022)	30/85	2.67099116966299e-08	3.4570257138781e-06	0	0	3.99013095464035	69.5808257694623	DHX9;FMR1;MTIF2;UNG;RBM3;LARP1;NCLN;DHX33;SRP72;ERI1;C1QBP;G3BP1;RACK1;PTCD3;NPM1;MRPS27;CPSF6;IFRD2;GTPBP6;PYM1;SRP68;EEF2;NME1;EIF1;DNAJC2;OXA1L;MTRES1;SERBP1;GEMIN5;NAA16
mRNA 3'-UTR Binding (GO:0003730)	30/93	2.63849833513173e-07	2.98809936453668e-05	0	0	3.48185704344368	52.7427725459769	RPL5;DAZAP1;DDX5;FMR1;UTP23;PARN;HNRNPU;YBX3;TIAL1;LARP1;EXOSC9;EXOSC8;IGF2BP1;IGF2BP3;CCT5;HNRNPA0;RPL41;RPS7;PABPC4;CIRBP;LARP4;MEX3D;NUDT21;RSL1D1;SERBP1;GEMIN5;PABPC1;HNRNPC;TARDBP;RBMS2
DNA-directed 5'-3' RNA Polymerase Activity (GO:0003899)	16/34	5.31372041450375e-07	5.17236083221771e-05	0	0	6.47829897144966	93.5971900225848	PRIM2;PRIM1;POLRMT;POLR3A;POLR3B;POLR1A;POLR1B;POLR3D;POLR3E;POLR2E;POLR1D;POLR2F;POLR1E;POLR3G;POLR1F;POLR2H
Single-Stranded DNA Binding (GO:0003697)	30/96	5.70900754107916e-07	5.17236083221771e-05	0	0	3.32302144619472	47.7719239671169	BLM;MCM7;DHX9;MCM9;HMGB2;HNRNPU;HMGB1;SAMHD1;HSPD1;RAD51AP1;RECQL4;PCBP1;PMS2;POLR2H;HNRNPA1;TOP3A;RPA2;RAD23A;POLA1;RAD51D;MSH2;FUBP1;TDP1;MCM3;NABP2;MCM5;MCM6;SSBP1;HROB;MCM2
