Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
mRNA processing WP310	133/457	6.20019731260641e-23	9.85831372704418e-21	0	0	3.08962871393791	157.987781243403	LTV1;RPL32;FMR1;EIF4A3;HNRNPU;RPL8;TIAL1;EFTUD2;FBL;LSM11;RPL38;RPL37;SNRPD3;RPS11;RPS13;RPS9;SNRPN;RPS7;IMP3;RPL22;RPS6;METTL3;CIRBP;CDC40;SRRM1;PRPF4;RBMXL1;EWSR1;PSPC1;NCL;SNRPG;SRSF2;SRSF3;PPIE;SNRPE;RPL26;SNRPF;SRSF6;SRSF7;DDX5;RNASEH2A;DHX9;CSTF2;SNU13;PRPF8;NOP9;PCBP1;G3BP1;SMN1;CPSF4;RBPMS;ALYREF;CPSF2;LSM4;CLK4;PUM3;WDR55;AIMP1;LSM7;RPS28;HNRNPF;RPS20;HNRNPC;RPS24;RPS23;RBM28;DAZAP1;RBM25;RBM26;BRCA1;RBM3;PTBP1;SYNCRIP;RBPMS2;DHX15;RBM34;DIS3L2;DIS3;PABPC4;DDX56;RBM19;DDX19B;SFPQ;SLTM;PABPC1;RBMS2;SF3B5;SF3B3;NUFIP1;NIP7;SRSF1;MAK16;WBP4;DDX20;NOL8;DDX21;U2AF1;MRM3;AKAP1;EXOSC7;BCLAF1;EXOSC5;PABPN1;EXOSC9;PPP1R8;EXOSC8;SPOP;IGF2BP1;IGF2BP3;HNRNPA1;RPP14;EIF4E;RPL19;HNRNPA0;RBM38;SF3A1;NPM1;SF3A2;TAF15;NIFK;ADAT1;SRP68;HNRNPAB;TARBP2;NUDT21;SNRNP40;PHF5A;ACIN1;TARDBP;RBM45;RPL37RT;PPIL4;EIF3B
Cytoplasmic Ribosomal Proteins WP163	41/92	8.65113743702299e-15	6.87765426243328e-13	0	0	5.9093630740887	191.351591466736	RPL4;RPL30;RPL3;RPL32;RPLP0;RPL10A;RPL8;RPS15;RPS17;RPL18A;RPS19;RPS3;RPL13;RPL38;RPL37;RPL15;RPS11;RPL18;RPS27A;RPS10;RPS13;RPS12;RPL19;RPL41;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPL23A;RPS26;RPS25;RPS28;RPL27;RPS20;RPL26;RPL28;RPL37RT;RPS24;RPS23
DNA Replication WP150	23/41	1.71713086971871e-11	9.10079360950917e-10	0	0	9.3396937737071	231.51028596121	PRIM2;CDT1;MCM7;RFC1;PRIM1;RPA2;CDC7;CDC6;ORC5;POLD3;POLA1;ORC6;ORC1;POLD1;POLE2;ORC2;POLD2;CDK2;MCM3;MCM5;MCM6;POLE;MCM2
G1 to S cell cycle control WP413	25/61	1.18990599999743e-08	4.72987634998978e-07	0	0	5.07494212962963	92.6014866906584	PRIM2;CDKN1A;MCM7;PRIM1;ORC5;ORC6;ORC1;MYC;ORC2;E2F2;E2F4;POLE;CDKN2A;RPA2;CDK6;CDK4;TRP53;POLE2;CDK2;MCM3;CDK1;MDM2;MCM5;MCM6;MCM2
Purine metabolism WP2185	47/171	3.92005154089721e-08	1.24657639000531e-06	0	0	2.78153571719254	47.4379121243802	PRIM2;PRPS1;PDE1B;GMPR2;PRIM1;PDE3B;GMPR;AK4;AK6;PFAS;NT5C;POLD3;NT5E;ATIC;GUK1;PPAT;POLD1;POLD2;POLR2E;PGM2;POLR2F;POLR2H;PDE8A;POLE;XDH;ADSL;RRM1;PNPT1;NME2;PAICS;NME1;APRT;NUDT9;POLA1;POLR3A;POLR3B;POLR1A;IMPDH1;POLR1B;POLR3D;POLE2;IMPDH2;POLR3E;POLR1D;POLR1E;POLR3G;GART
Nucleotide Metabolism WP87	11/19	2.42035906975832e-06	6.41395153485955e-05	0	0	10.0060584092792	129.394291421731	PRPS1;POLA1;RRM1;ADSL;IMPDH1;MTHFD2;POLD1;NME2;SAT1;OAZ1;SRM
TNF-alpha NF-kB Signaling Pathway WP246	44/187	9.95392337184171e-06	0.000226096259446119	0	0	2.25270571511647	25.9456366878155	RPL4;YWHAE;RPL30;PSMD12;HDAC2;SMARCB1;HSP90AB1;MCM7;EIF4A3;MTIF2;RPL8;CCAR2;FBL;PSMD6;BAG4;CASP8;PSMB5;BCL7A;RACK1;POLR2H;KPNA2;RPS11;KPNA3;RPS13;SMARCC1;RIPK3;ELP1;TRAF1;KTN1;COPS3;DAP;CDC34;RPS6KB1;POLR1A;POLR1B;BCL3;POLR1D;POLR1E;MCM5;PFDN2;PKN1;MAP3K14;FKBP5;BIRC3
Translation Factors WP307	18/50	1.16040162638138e-05	0.000230629823243298	0	0	4.0996832156211	46.5894531014172	EIF5A;EIF2B5;EIF4A1;EIF2B3;EEF2;EIF1;EEF2K;EEF1D;EIF3I;EIF4EBP1;EIF4EBP2;EIF3E;PABPC1;EIF2S3Y;EIF4E;EIF3D;EIF4B;EIF3B
p53 signaling WP2902	19/67	0.000272380675664714	0.00481205860340995	0	0	2.88352902466057	23.668899918579	CDKN1A;CD82;GADD45B;CDKN2A;SIAH1B;CASP8;CDK6;ZMAT3;CDK4;PERP;TRP53;CHEK1;SESN2;CDK2;CCNG1;CDK1;MDM2;BID;GTSE1
Fatty Acid Biosynthesis WP336	9/22	0.000629954698845109	0.0100162797116372	0	0	5.03241212429954	37.0881861430055	ACLY;MECR;ACAA2;FASN;ECHDC1;ACSL5;ACSL4;SCD1;ACACA
PluriNetWork WP1763	54/292	0.000989123354288072	0.0142973284847094	0	0	1.65904894222556	11.4784478276704	CDKN1A;HNRNPU;PIK3CD;BRCA1;CTCF;RBPJ;IPO7;CABIN1;SHH;TRIM28;XPO4;DPYSL2;MYC;KPNA2;HELLS;SMARCC1;LEFTY1;PBRM1;PARP1;ZFP219;EED;CAD;NME2;MITF;TGFBR1;HCK;EWSR1;NCL;SGK1;KPNB1;HDAC2;DHX9;UHRF1;LEF1;GATA6;PERP;NACC1;SPP1;LYAR;MBD3;GADD45GIP1;TGFB1;CDKN2A;SMARCA5;NR2F1;LIF;WWP2;NR2F2;TBX3;KLF5;TRP53;CDK2;MDM2;RCOR2
Mismatch repair WP1257	5/9	0.0021549919181268	0.0285536429151801	0	0	9.07592975206612	55.7259210226511	LIG1;RFC1;MSH2;EXO1;POLD1
Amino Acid metabolism WP662	20/95	0.00924216642909417	0.113038804786613	0	0	1.94040194040194	9.08880186043272	GOT1;GPT2;MARS2;CAD;ODC1;GSR;ASNS;PYCR1;ADH7;GLS;SRM;CS;ACLY;GLUD1;CTH;PDK4;SMS;BCAT1;PRODH;FARSB
Adipogenesis genes WP447	26/134	0.0100258280938349	0.113864761922839	0	0	1.75282139162923	8.06751944695971	FOXC2;CISD1;LPL;AHR;AGPAT2;CYP26B1;SOCS1;LMNA;STAT6;SCD1;E2F4;PCK2;STAT5A;WNT10B;SREBF1;TGFB1;WNT5B;GADD45B;NR2F1;LIF;HMGA1;MIF;KLF5;DDIT3;TRIB3;PPARG
Eukaryotic Transcription Initiation WP567	11/43	0.0116843937599114	0.123854573855061	0	0	2.49809703811102	11.1152857544141	POLR3B;POLR1A;POLR3D;POLR1B;POLR3E;POLR2E;POLR1D;POLR2H;GTF2H2;AK6;GTF2F2
One Carbon Metabolism WP435	8/29	0.0190125560017067	0.188937275266961	0	0	2.76675138404555	10.9636830757388	AHCY;ATIC;MTHFD1L;MTHFD1;SHMT2;MTHFD2;SHMT1;GART
Non-homologous end joining WP1242	3/6	0.026815763663366	0.2508062601456	0	0	7.25516102394715	26.2547254526564	XRCC6;XRCC5;MRE11A
Novel Jun-Dmp1 Pathway WP3654	7/26	0.0313126663598217	0.276595219511759	0	0	2.67493796526055	9.265269799179	MAP2K2;CDKN2A;CDK4;MYC;TRP53;MDM2;ETS2
Nuclear Receptors WP509	9/38	0.0346598822240774	0.277305452478446	0	0	2.25385361954784	7.57784441691254	NR4A2;AR;NR4A1;RARG;VDR;NR2F1;NR1D2;PPARG;NR2F2
Heart Development WP2067	10/44	0.0348811889909994	0.277305452478446	0	0	2.1362805991962	7.16894665444528	FOXC2;SHH;ERBB3;HEY2;TBX20;GATA6;NFATC2;NFATC1;FGF10;BMPR1A
Pentose Phosphate Pathway WP63	3/7	0.0427512893942612	0.323688333985121	0	0	5.44106110652353	17.1521612053843	RPIA;G6PDX;TKT
ErbB signaling pathway WP1261	10/46	0.0459319372578425	0.331962637454407	0	0	2.017368299977	6.21469389726995	STAT5A;BTC;CDKN1A;SHC2;MAPK8;ERBB3;MYC;EIF4EBP1;AREG;EREG
