"Gene","avg_log2FC","p_val","p_val_adj","pct_Male","pct_Female","Significant","Direction"
"Crabp1",3.2689,0,0,0.871,0.08,"Yes","Male-higher"
"S100a4",2.3901,0,0,0.998,0.814,"Yes","Male-higher"
"Col1a1",2.2435,0,0,0.73,0.145,"Yes","Male-higher"
"Bgn",2.11,0,0,0.911,0.161,"Yes","Male-higher"
"Lgals3",2.0908,0,0,0.767,0.102,"Yes","Male-higher"
"Col1a2",2.0306,0,0,0.7,0.14,"Yes","Male-higher"
"Mt1",1.8353,0,0,0.861,0.317,"Yes","Male-higher"
"Gm42047",1.6897,0,0,0.656,0.013,"Yes","Male-higher"
"Emp2",1.4907,0,0,0.818,0.248,"Yes","Male-higher"
"Sorbs2",1.4801,0,0,0.79,0.337,"Yes","Male-higher"
"Sox6",1.3421,0,0,0.596,0.108,"Yes","Male-higher"
"Meis2",1.3353,0,0,0.891,0.571,"Yes","Male-higher"
"Rpl22l1",1.3101,0,0,0.93,0.633,"Yes","Male-higher"
"Rps26",1.2681,0,0,1,0.991,"Yes","Male-higher"
"Npas3",1.2531,1.41351890392013e-197,4.56354578130613e-193,0.897,0.723,"Yes","Male-higher"
"Scd2",1.2344,0,0,0.9,0.591,"Yes","Male-higher"
"Mgp",1.2038,2.5662399612788e-117,8.2851057149886e-113,0.727,0.454,"Yes","Male-higher"
"Efemp1",1.1786,0,0,0.543,0.066,"Yes","Male-higher"
"Crlf1",1.1675,0,0,0.616,0.156,"Yes","Male-higher"
"Tm4sf1",1.1613,1.23425322998336e-233,3.98478655300127e-229,0.677,0.261,"Yes","Male-higher"
"Rps12",1.1064,0,0,1,0.995,"Yes","Male-higher"
"Tubb2b",1.1028,0,0,0.531,0.068,"Yes","Male-higher"
"Adgrl3",1.0905,6.64316360465343e-212,2.14474536976236e-207,0.775,0.411,"Yes","Male-higher"
"Snrpf",1.0821,0,0,0.893,0.611,"Yes","Male-higher"
"Rps24",1.0567,0,0,0.995,0.987,"Yes","Male-higher"
"2410006H16Rik",1.0456,5.27610254341952e-248,1.70338970614299e-243,0.879,0.644,"Yes","Male-higher"
"Cxcl14",1.0164,1.47495422929483e-240,4.76188972927837e-236,0.559,0.166,"Yes","Male-higher"
"Slc4a7",1.0141,4.51818320452009e-216,1.45869544757931e-211,0.73,0.372,"Yes","Male-higher"
"Mt2",1.0057,1.48408492509954e-175,4.79136818068385e-171,0.527,0.189,"Yes","Male-higher"
"Nav3",0.9836,0,0,0.518,0.059,"Yes","Male-higher"
"Msln",0.9782,0,0,0.456,0.062,"Yes","Male-higher"
"Gas5",0.9602,1.83428539655556e-295,5.92199040277961e-291,0.956,0.83,"Yes","Male-higher"
"Mgst3",0.9582,3.8887612228453e-293,1.2554865607956e-288,0.601,0.156,"Yes","Male-higher"
"Cd109",0.9581,5.39055874170573e-298,1.7403418897597e-293,0.57,0.133,"Yes","Male-higher"
"Tpt1",0.9468,0,0,0.995,0.981,"Yes","Male-higher"
"Nr2f2",0.9306,1.43608918635979e-174,4.6364139381626e-170,0.768,0.512,"Yes","Male-higher"
"Rpl38",0.9274,0,0,0.994,0.979,"Yes","Male-higher"
"Mif",0.9205,6.0172401471315e-298,1.94266598150141e-293,0.966,0.901,"Yes","Male-higher"
"Rps28",0.9044,0,0,0.993,0.979,"Yes","Male-higher"
"Peg10",0.9036,2.41187834508993e-33,7.78674923712285e-29,0.499,0.379,"Yes","Male-higher"
"Fbn2",0.8995,7.22887074074601e-188,2.33384091864985e-183,0.502,0.157,"Yes","Male-higher"
"Unc13c",0.8993,3.36789189499557e-226,1.08732389829932e-221,0.403,0.073,"Yes","Male-higher"
"Fdps",0.8976,1.49461103576215e-169,4.82535172895812e-165,0.789,0.513,"Yes","Male-higher"
"Tuba1a",0.8818,3.54735913430661e-254,1.14526489651089e-249,0.969,0.917,"Yes","Male-higher"
"Eya4",0.8809,1.13816439825471e-205,3.67456375976533e-201,0.529,0.16,"Yes","Male-higher"
"Csrp2",0.8788,1.16007190493622e-167,3.74529214508659e-163,0.892,0.741,"Yes","Male-higher"
"Rpl41",0.8726,0,0,0.999,0.998,"Yes","Male-higher"
"Rpl15",0.8665,0,0,0.994,0.984,"Yes","Male-higher"
"Rps20",0.8406,0,0,0.998,0.993,"Yes","Male-higher"
"Tcf4",0.8354,3.06992200307895e-175,9.91124318694039e-171,0.954,0.841,"Yes","Male-higher"
"Rpl23a",0.8345,0,0,0.994,0.985,"Yes","Male-higher"
"Spp1",0.8305,1.26480918987011e-97,4.08343646949564e-93,0.894,0.759,"Yes","Male-higher"
"Mrpl52",0.822,9.67128099437345e-182,3.12237306903347e-177,0.723,0.383,"Yes","Male-higher"
"Rpl10a",0.8094,0,0,0.99,0.983,"Yes","Male-higher"
"Capg",0.8043,3.04346453176168e-261,9.82582524079257e-257,0.49,0.098,"Yes","Male-higher"
"Uty",0.7786,0,0,0.35,0,"Yes","Male-higher"
"Mrpl33",0.7768,9.7559383160855e-147,3.1497046853482e-142,0.71,0.416,"Yes","Male-higher"
"Rpl3",0.7762,0,0,0.984,0.973,"Yes","Male-higher"
"Hcfc1r1",0.7667,2.35757088821114e-155,7.61141761258966e-151,0.834,0.606,"Yes","Male-higher"
"Hmga2",0.7639,5.65002279546866e-64,1.82410985951706e-59,0.797,0.685,"Yes","Male-higher"
"Myo1d",0.7563,1.2409402935362e-164,4.00637573768164e-160,0.382,0.097,"Yes","Male-higher"
"Aebp1",0.7519,5.96911679311738e-161,1.92712935665795e-156,0.418,0.111,"Yes","Male-higher"
"Kalrn",0.7519,2.23778460163941e-142,7.22468758639284e-138,0.441,0.151,"Yes","Male-higher"
"Lpar1",0.747,1.99998114095791e-245,6.4569391135826e-241,0.388,0.056,"Yes","Male-higher"
"Sox2ot",0.7364,2.6349640529925e-107,8.50698144508627e-103,0.395,0.148,"Yes","Male-higher"
"2200002D01Rik",0.7296,3.84201375766641e-195,1.2403941416626e-190,0.485,0.141,"Yes","Male-higher"
"Ptma",0.7294,2.17068982328942e-267,7.00807209448988e-263,0.984,0.974,"Yes","Male-higher"
"Nrn1",0.7286,2.18259971968272e-299,7.04652319499566e-295,0.383,0.032,"Yes","Male-higher"
"Sec61g",0.7244,3.61692346641347e-172,1.16772374113159e-167,0.908,0.74,"Yes","Male-higher"
"Rps15",0.7221,0,0,0.999,0.994,"Yes","Male-higher"
"Wls",0.7217,1.17990517077825e-185,3.80932384385757e-181,0.637,0.241,"Yes","Male-higher"
"Flnb",0.7201,2.99878260496956e-150,9.68156964014421e-146,0.906,0.722,"Yes","Male-higher"
"Pfn1",0.7165,1.28666492607462e-229,4.15399771383191e-225,0.968,0.902,"Yes","Male-higher"
"Rpl19",0.7162,0,0,0.997,0.992,"Yes","Male-higher"
"Mt3",0.7084,1.48832200846604e-38,4.80504760433262e-34,0.317,0.181,"Yes","Male-higher"
"Vcam1",0.7076,1.47609361680945e-177,4.76556824186931e-173,0.484,0.147,"Yes","Male-higher"
"Rai14",0.7037,2.6617691794451e-109,8.5935217958385e-105,0.646,0.372,"Yes","Male-higher"
"Rps27a",0.7004,0,0,0.992,0.992,"Yes","Male-higher"
"Gsn",0.6987,4.51931360159803e-128,1.45906039627592e-123,0.842,0.613,"Yes","Male-higher"
"Ankrd28",0.6948,2.01300433266447e-116,6.49898448800724e-112,0.66,0.378,"Yes","Male-higher"
"Tkt",0.6924,7.08592739566677e-148,2.28769165969102e-143,0.734,0.438,"Yes","Male-higher"
"Rpl37",0.6909,0,0,0.997,0.996,"Yes","Male-higher"
"Nr2f1",0.6902,1.52711287324679e-233,4.93028391127725e-229,0.402,0.066,"Yes","Male-higher"
"P3h4",0.6845,3.10000083363823e-199,1.0008352691401e-194,0.42,0.095,"Yes","Male-higher"
"Ppia",0.6832,0,0,0.998,0.994,"Yes","Male-higher"
"Rps29",0.6828,0,0,0.993,0.994,"Yes","Male-higher"
"Cdkn2a",0.68,1.71358384163171e-135,5.53230543270799e-131,0.853,0.68,"Yes","Male-higher"
"Rpl26",0.6752,0,0,0.993,0.988,"Yes","Male-higher"
"Ptch1",0.6718,1.27679551532227e-67,4.12213432121796e-63,0.386,0.19,"Yes","Male-higher"
"Myo1b",0.6707,2.10349020074698e-255,6.79111811311162e-251,0.351,0.035,"Yes","Male-higher"
"Rpl23",0.6706,0,0,0.994,0.993,"Yes","Male-higher"
"Rpl27",0.6681,1.67538463560128e-306,5.40897929603872e-302,0.986,0.98,"Yes","Male-higher"
"Oaz1",0.6678,1.04030440678897e-200,3.35862277731819e-196,0.957,0.909,"Yes","Male-higher"
"Farp1",0.6667,5.65913220652191e-95,1.8270508328756e-90,0.678,0.431,"Yes","Male-higher"
"Ube2e2",0.6634,1.36431251017765e-88,4.40468293910854e-84,0.611,0.361,"Yes","Male-higher"
"Nedd8",0.6615,2.80940262114794e-141,9.07015636237612e-137,0.861,0.676,"Yes","Male-higher"
"Thoc7",0.6565,2.12303305575458e-112,6.85421222050365e-108,0.72,0.477,"Yes","Male-higher"
"Pdlim2",0.647,9.56693557822673e-97,3.0886851514305e-92,0.687,0.436,"Yes","Male-higher"
"Nid2",0.6417,1.32971187903282e-138,4.29297480145747e-134,0.492,0.189,"Yes","Male-higher"
"Dpysl2",0.6406,1.80649134969694e-117,5.83225732249658e-113,0.597,0.309,"Yes","Male-higher"
"Msi2",0.6403,1.20618577638713e-96,3.89417077906586e-92,0.726,0.472,"Yes","Male-higher"
"Ndufc2",0.6348,8.12296738958321e-110,2.62250002172694e-105,0.748,0.511,"Yes","Male-higher"
"Arhgap24",0.6322,3.43930937029918e-117,1.11038103020109e-112,0.364,0.113,"Yes","Male-higher"
"Lsm7",0.6287,4.0045922292712e-101,1.29288260122021e-96,0.72,0.495,"Yes","Male-higher"
"Pcdh9",0.6269,1.70821456993517e-168,5.5149707390357e-164,0.287,0.041,"Yes","Male-higher"
"Ecm1",0.6257,1.91151342265072e-88,6.17132108502787e-84,0.564,0.329,"Yes","Male-higher"
"Rpl39",0.6255,2.11120728989133e-285,6.81603273541418e-281,0.995,0.99,"Yes","Male-higher"
"Psmb5",0.6251,5.13704164207555e-135,1.65849389414409e-130,0.885,0.726,"Yes","Male-higher"
"Nrp2",0.6138,1.30000725462716e-128,4.19707342156377e-124,0.457,0.168,"Yes","Male-higher"
"Apex1",0.6138,2.39548673400947e-118,7.73382892074957e-114,0.571,0.284,"Yes","Male-higher"
"Ctnnd2",0.6135,8.36888676248284e-102,2.70189509126759e-97,0.562,0.293,"Yes","Male-higher"
"Arid5b",0.6097,4.96276844219275e-99,1.60222979156193e-94,0.862,0.725,"Yes","Male-higher"
"Tinagl1",0.6096,8.41756011427198e-198,2.71760928289271e-193,0.355,0.058,"Yes","Male-higher"
"Pantr1",0.6093,3.79636009709081e-110,1.22565485734577e-105,0.432,0.171,"Yes","Male-higher"
"Apbb2",0.6076,1.12441066424329e-80,3.63015982950946e-76,0.67,0.434,"Yes","Male-higher"
"Eif2s3y",0.6047,0,0,0.314,0,"Yes","Male-higher"
"Cstb",0.5987,1.91660769109329e-79,6.18776793069467e-75,0.695,0.497,"Yes","Male-higher"
"Epb41l4a",0.5953,6.16598440412294e-107,1.99068806487109e-102,0.541,0.263,"Yes","Male-higher"
"Fads3",0.5938,2.35770088886099e-244,7.6118373196877e-240,0.361,0.041,"Yes","Male-higher"
"Kazald1",0.5905,9.80581713844289e-214,3.16580806314629e-209,0.257,0.014,"Yes","Male-higher"
"Rpl36a",0.5894,1.46091989080405e-204,4.71657986746086e-200,0.982,0.955,"Yes","Male-higher"
"Rps27l",0.5863,3.4888168141303e-134,1.12636450844197e-129,0.934,0.839,"Yes","Male-higher"
"Marcks",0.5859,4.46477197215263e-109,1.44145163120948e-104,0.902,0.799,"Yes","Male-higher"
"Ptn",0.5856,3.15471388766596e-26,1.01849937863295e-21,0.359,0.245,"Yes","Male-higher"
"Eml1",0.5852,2.92650457939548e-105,9.4482200345783e-101,0.466,0.202,"Yes","Male-higher"
"Chst1",0.5838,2.3960826777708e-156,7.73575292518301e-152,0.403,0.112,"Yes","Male-higher"
"Ano1",0.5827,6.08777060676168e-248,1.96543674039301e-243,0.292,0.015,"Yes","Male-higher"
"Prdx6",0.5809,3.15645503188867e-98,1.01906150704526e-93,0.767,0.578,"Yes","Male-higher"
"Adamtsl3",0.5777,3.94047797222143e-40,1.27218331333169e-35,0.624,0.491,"Yes","Male-higher"
"Ank2",0.5736,2.06422522026899e-73,6.66435112363844e-69,0.44,0.218,"Yes","Male-higher"
"Rps23",0.5695,1.38849115469474e-284,4.48274369293197e-280,0.994,0.993,"Yes","Male-higher"
