"motif","mean_male","mean_female","diff","pval","padj","TF"
"MA0006.1",1.18423679972033,-0.489424446321194,1.67366124604152,0,0,"AHR::ARNT"
"MA0467.1",-2.21204705562247,0.979937686468503,-3.19198474209098,0,0,"CRX"
"MA0493.1",2.01879117692789,-0.975994881824005,2.99478605875189,0,0,"KLF1"
"MA0521.1",-1.60232202299724,0.680104591485331,-2.28242661448257,0,0,"TCF12"
"MA0599.1",1.170832591757,-0.538562996062285,1.70939558781928,0,0,"KLF5"
"MA0604.1",1.44891053408349,-0.587586342540025,2.03649687662351,0,0,"ATF1"
"MA0648.1",-1.98947142362959,0.898529101240525,-2.88800052487011,0,0,"GSC"
"MA0657.1",1.31059334958334,-0.58274601032865,1.89333935991199,0,0,"KLF13"
"MA0672.1",1.99427416347073,-0.885050576575487,2.87932474004621,0,0,"NKX2-3"
"MA0673.1",1.92796442111203,-0.87328669466444,2.80125111577647,0,0,"NKX2-8"
"MA0685.1",1.5234481401713,-0.675387461603839,2.19883560177514,0,0,"SP4"
"MA0691.1",-1.31659184681707,0.547826535653527,-1.8644183824706,0,0,"TFAP4"
"MA0696.1",-3.00677839384044,1.26851303073765,-4.27529142457809,0,0,"ZIC1"
"MA0697.1",-2.68634486889572,1.11323995295994,-3.79958482185566,0,0,"ZIC3"
"MA0714.1",-1.27757088266005,0.560755985750262,-1.83832686841031,0,0,"PITX3"
"MA0732.1",1.36096364020633,-0.555347315373328,1.91631095557966,0,0,"EGR3"
"MA0733.1",1.15150352903245,-0.476637130596601,1.62814065962905,0,0,"EGR4"
"MA0740.1",1.64080554277739,-0.705670219750914,2.3464757625283,0,0,"KLF14"
"MA0742.1",1.85775618658106,-0.874500696908161,2.73225688348922,0,0,"KLF12"
"MA0747.1",0.991135778662338,-0.449626420456957,1.44076219911929,0,0,"SP8"
"MA0751.1",-2.77731950352586,1.15914251403668,-3.93646201756254,0,0,"ZIC4"
"MA0784.1",1.5280466466707,-0.571999396584195,2.10004604325489,0,0,"POU1F1"
"MA0786.1",1.47605237681707,-0.565883806465393,2.04193618328247,0,0,"POU3F1"
"MA0787.1",1.52515148750367,-0.583368734874475,2.10852022237815,0,0,"POU3F2"
"MA0788.1",1.45819282296443,-0.551987372548458,2.01018019551289,0,0,"POU3F3"
"MA0891.1",-1.92563177452031,0.856496870116391,-2.7821286446367,0,0,"GSC2"
"MA1125.1",1.66526492600831,-0.631883112804108,2.29714803881242,0,0,"ZNF384"
"MA1480.1",-1.04725522831163,0.436997625800761,-1.4842528541124,0,0,"DPRX"
"MA1511.1",1.53671928554691,-0.717365914396714,2.25408519994363,0,0,"KLF10"
"MA1512.1",1.33024674992189,-0.59288847396699,1.92313522388888,0,0,"KLF11"
"MA1513.1",1.77849505758898,-0.736627532034843,2.51512258962382,0,0,"KLF15"
"MA1515.1",2.06783971141596,-0.937215320295494,3.00505503171145,0,0,"KLF2"
"MA1516.1",1.74183501927885,-0.783511744726698,2.52534676400555,0,0,"KLF3"
"MA1517.1",1.96581857250246,-0.892203132769986,2.85802170527245,0,0,"KLF6"
"MA1547.1",-1.08118031724975,0.472388957467427,-1.55356927471717,0,0,"PITX2"
"MA1564.1",1.43072750426955,-0.625196227169446,2.055923731439,0,0,"SP9"
"MA1584.1",-1.75311476594391,0.755113044579612,-2.50822781052353,0,0,"ZIC5"
"MA1585.1",-1.06166835261431,0.463677320799505,-1.52534567341382,0,0,"ZKSCAN1"
"MA1619.1",-1.8720743530735,0.778670585158349,-2.65074493823185,0,0,"PTF1A(VAR.2)"
"MA1628.1",-4.34970421968057,1.85261068227555,-6.20231490195612,0,0,"ZIC1::ZIC2"
"MA1629.1",-5.4157119911354,2.27674407092357,-7.69245606205897,0,0,"ZIC2"
"MA0682.2",-1.11423430395252,0.497281086921943,-1.61151539087446,0,0,"PITX1"
"MA0079.4",1.95329314414736,-0.873968821661037,2.8272619658084,0,0,"SP1"
"MA0516.2",0.989677048175067,-0.429869508047446,1.41954655622251,0,0,"SP2"
"MA0746.2",1.63785265151065,-0.726798686855628,2.36465133836628,0,0,"SP3"
"MA1641.1",-1.80633820062526,0.754293701551921,-2.56063190217718,0,0,"MYF5"
"MA0162.4",1.40100897620993,-0.588849053318364,1.98985802952829,0,0,"EGR1"
"MA0039.4",1.29295538378448,-0.591514673249598,1.88447005703408,0,0,"KLF4"
"MA1107.2",0.972089131870977,-0.457276791383789,1.42936592325477,0,0,"KLF9"
"MA0712.2",-1.61698467502019,0.715354447904982,-2.33233912292518,0,0,"OTX2"
"MA0741.1",0.891189740743777,-0.401110903296602,1.29230064404038,9.56331775562147e-301,1.39886961680267e-299,"KLF16"
"MA0507.1",1.27135239186907,-0.482398579362043,1.75375097123111,6.01126966594957e-300,8.62385994384303e-299,"POU2F2"
"MA0698.1",-1.48328673083908,0.584979023386645,-2.06826575422573,2.04941013892618e-297,2.88464144082818e-296,"ZBTB18"
"MA0472.2",1.27230280945366,-0.507402752448203,1.77970556190186,2.09957967810992e-297,2.90053044420371e-296,"EGR2"
"MA0060.3",1.21078051174075,-0.476827715043248,1.687608226784,2.57560635241898e-293,3.4934587980083e-292,"NFYA"
"MA0789.1",1.42993440512922,-0.512898710972328,1.94283311610154,5.58525584782728e-280,7.44035868299848e-279,"POU3F4"
"MA0763.1",1.4142242595087,-0.500837539739237,1.91506179924794,2.34944889061355e-276,3.07489275859247e-275,"ETV3"
