SYMBOL,log2FoldChange,pvalue,padj,kd3_female_sig
Il18rap,-0.913111694974297,0.00353285707088384,0.0285331297856083,Down after KD
Col3a1,0.66018359355945,2.34291423978854e-4,0.00339077331349568,Up after KD
Tmeff2,0.5293776371125,1.58615511276945e-7,6.62710178564877e-6,Up after KD
Nab1,-0.648599214798869,1.37373767201847e-13,2.00531780666005e-11,Down after KD
Igfbp2,0.510084497882017,2.00086001653917e-29,1.02861603632866e-26,Up after KD
Col4a4,1.23627209455081,0.0287216623459137,0.133387641625328,Up after KD
Dner,1.16244014457372,3.12562370840495e-7,1.19991476390195e-5,Up after KD
Sned1,1.85105570187085,1.58908118612531e-8,8.82126570175851e-7,Up after KD
Pam,0.631085620330361,2.60054550441133e-4,0.00367369773526399,Up after KD
Tmem163,0.818712158472427,2.27581227916145e-9,1.52029403326582e-7,Up after KD
Rab7b,-1.60657580713388,5.24028605642854e-4,0.00646101588438071,Down after KD
Optc,0.836596829835354,0.00117730752991263,0.0122431699504723,Up after KD
Prelp,0.949974698144177,5.38435873359848e-53,9.09495109515263e-50,Up after KD
Fmod,1.02028581106842,2.1861419933251e-43,2.87210476989733e-40,Up after KD
Btg2,0.665167362459238,2.40231939382804e-7,9.50000819820159e-6,Up after KD
Lmod1,0.609668620019484,2.3258277673994e-12,2.72283044769609e-10,Up after KD
Nav1,0.556122274330717,0.00799678174795978,0.0528825209104455,Up after KD
Ptgs2os,-0.992178393860722,0.0229816831337495,0.114414914262507,Down after KD
Mr1,0.51913924817827,0.0175372608777496,0.0946851929764889,Up after KD
Olfml2b,-0.522013471942196,6.87141200675481e-5,0.00125901915953354,Down after KD
Pcp4l1,1.31670660382033,0.0275144301883697,0.12920199465738,Up after KD
Ifi204,0.501618811815878,0.00442348201213114,0.033941110520077,Up after KD
Ust,-0.553399545498318,0.00440991024408499,0.0338875417489691,Down after KD
Lama4,0.990001716297129,1.00481153425145e-8,5.8816294955392e-7,Up after KD
Sesn1,0.720625831834785,2.48021308146789e-10,2.05077199127807e-8,Up after KD
Man1a,0.52634036198785,1.78114579636985e-4,0.00271745392210028,Up after KD
Oit3,1.02121846810156,0.0347118718644019,0.152237823785122,Up after KD
Ddit4,0.839450174277414,5.59392890598552e-8,2.67783867952926e-6,Up after KD
Egr2,0.540175572749745,0.00520856773645005,0.0382047797244326,Up after KD
Tle2,0.984905820573154,0.00126449757983828,0.0129165797927601,Up after KD
Tcp11l2,1.41495084862858,1.23446238809486e-7,5.30773937339404e-6,Up after KD
Syn3,0.785870657688856,0.00336320660987615,0.0274630904386572,Up after KD
Nab2,-0.592023985891222,1.28621931177007e-19,3.70933101033397e-17,Down after KD
Snhg15,-0.542053220111392,8.45847119288999e-4,0.00950693568295924,Down after KD
Stc2,-0.824809372461062,4.00637995559425e-4,0.00521137916336044,Down after KD
Slit3,0.80170281943818,2.69693693569214e-7,1.048966523935e-5,Up after KD
Trim7,1.04302566690686,0.0251695769380791,0.1216203832104,Up after KD
Adamts2,0.621345356997228,0.00263490425853636,0.0228409882352888,Up after KD
Kctd11,-0.736838689820156,3.89043707121831e-6,1.07982459929778e-4,Down after KD
Inca1,2.49418685799479,6.81181661664191e-4,0.00806235432183924,Up after KD
Slc43a2,0.800732056159422,0.00728796548572098,0.0492416593732371,Up after KD
Sez6,2.41438546765607,0.0132730513277368,NA,Up after KD
Rnf135,0.565325611666771,0.0213544274256165,0.108740202360245,Up after KD
