SYMBOL,log2FoldChange,pvalue,padj,kd3_male_sig
Pcmtd1,0.538152041687198,0.00683135474163495,0.0652115846195041,Up after KD
Pard3b,0.838705391114612,0.00451823606891986,0.0491656588282366,Up after KD
Idh1,0.883670914219556,1.15689564456506e-10,1.53164719800096e-8,Up after KD
Ackr3,0.842907140222077,0.0420809847852594,0.220850699290642,Up after KD
D2hgdh,0.757548415125857,0.00623073659541315,0.061647706118852,Up after KD
Dsel,-0.933943922858267,0.00242964206192804,0.0317136729703072,Down after KD
Dyrk3,-0.703009620634239,1.33979666426078e-7,8.37071837260906e-6,Down after KD
Prelp,0.941383685032617,1.96379990215739e-9,2.04106716933573e-7,Up after KD
Tnnt2,-0.968244319598047,3.24612496753159e-7,1.80500778819594e-5,Down after KD
Kif21b,2.4639060381079,0.00161665828170526,0.0232886745477257,Up after KD
Platr22,2.75492079063908,0.00742348238413104,NA,Up after KD
Ptgs2,-0.83027388194092,2.68466639943557e-12,4.81551210131016e-10,Down after KD
Ifi204,0.796326647741116,0.00532979916953741,0.055137392152954,Up after KD
Akap7,0.601524929778527,4.2500488712181e-4,0.00794413686428629,Up after KD
Ddit4,1.04341730143075,6.3215293888162e-18,1.80260841879551e-15,Up after KD
Chst3,0.721501140339353,0.0214103306764195,0.14215181340445401,Up after KD
Zfp365,0.512613465452323,9.05875845143655e-4,0.0145581579101772,Up after KD
Slc16a9,1.87354219064457,0.0314558865219366,NA,Up after KD
Bicc1,-0.83915834680967,1.72377569578516e-4,0.00395259989955192,Down after KD
Tle2,1.16315523311742,0.00949448827954782,0.0817879195637888,Up after KD
Chst11,-0.842621950320682,2.96973024218096e-5,9.27707023126249e-4,Down after KD
Slc41a2,-0.913121188882794,6.38345592513563e-5,0.00172726066529035,Down after KD
Tmcc3,-0.632764726174151,5.57442754660438e-9,5.29856485006729e-7,Down after KD
Nab2,-0.528980583021152,2.35572707556427e-20,9.35644314548221e-18,Down after KD
Stat2,0.812609066903546,0.00786025600161655,0.0721236856385954,Up after KD
Sfi1,0.678533396543797,0.0492597980360997,0.240905107282087,Up after KD
Kcnip1,0.884971118460205,1.34604679666229e-18,4.27696755019468e-16,Up after KD
Srebf1,0.525636017584654,3.20172969208655e-8,2.54331685040675e-6,Up after KD
Kctd11,-0.707613568015384,3.4228080101684e-7,1.89378347667078e-5,Down after KD
Srr,0.583681593029894,0.014138468033336,0.108213284926862,Up after KD
Mmp28,1.77856978229065,0.0492474559874616,NA,Up after KD
Mrm1,0.59244395368409,0.0423525402138466,0.221132428163747,Up after KD
Bcas3,0.619777200477543,1.49488533859852e-4,0.00349991996853772,Up after KD
Rsad1,0.669806822063619,0.0302999408235031,0.178666830274749,Up after KD
Col1a1,0.536544793963908,4.99510820186422e-17,1.35489264177883e-14,Up after KD
Fam117a,1.07518709530286,0.0054696989524575,0.056322705602111,Up after KD
Map2k6,3.89062153607704,6.62299547703904e-5,0.0017790901618394,Up after KD
Cd300lb,-2.26621511958796,0.00438436825429473,NA,Down after KD
Itgb4,1.25626001710781,7.93367374052897e-4,0.0130905616718728,Up after KD
Rnf157,0.756931538167891,0.0439010158786489,0.225842455067933,Up after KD
Sphk1,-0.763322142486337,0.00929492051630165,0.0805053045652575,Down after KD
Tbc1d16,0.800221557570917,0.00757537623984655,0.0703220026405121,Up after KD
Cbr2,1.13288134005219,1.40167225057719e-26,1.03919980657793e-23,Up after KD
Trib2,0.713726298101168,8.21532807644765e-6,3.16133783869115e-4,Up after KD
Lpin1,1.95698424933802,3.65334921733248e-7,2.00142348009628e-5,Up after KD
Immp2l,0.755800767968562,0.0253391672722064,0.159117379578886,Up after KD
Fos,1.30762731655652,1.04300361175875e-5,3.92946424664906e-4,Up after KD
Flrt2,-0.855513696035284,3.42148901550048e-6,1.43046538877372e-4,Down after KD
Kcnk10,0.518071081003319,0.00683049180407843,0.0652115846195041,Up after KD
Zfp839,0.810625300388711,0.0447158773949486,0.227966834875178,Up after KD
Tnfaip2,-1.44015312708308,1.02093958881292e-4,0.00253434579624743,Down after KD
Serpinb9,0.94601907421241,1.18083508298415e-10,1.54494905386668e-8,Up after KD
Gfod1,-0.58382787935801606,0.00618671928564223,0.0614196306717066,Down after KD
Cxcl14,0.568361195210908,6.57857385400345e-13,1.26138482466159e-10,Up after KD
Gas1,0.631134080059172,3.60070567676816e-6,1.4869661412781e-4,Up after KD
Lhfpl2,0.558502269394061,0.0393569574104257,0.211853205886421,Up after KD
Iqgap2,0.529572438651171,0.00524433357217005,0.0544558670925333,Up after KD
Mast4,-0.513350808202191,1.03888488230891e-4,0.00256743083914609,Down after KD
Gng2,0.543723406148393,3.88118475680101e-9,3.78619786670035e-7,Up after KD
Zcchc24,0.809444768487276,1.12471847348566e-9,1.19123753748895e-7,Up after KD
Btd,0.521876284775407,0.00751663782744448,0.0698980562106723,Up after KD
Bmp4,0.595271411396941,1.89796054463686e-16,4.90865563183873e-14,Up after KD
Gch1,0.750261460145472,0.0384208214781751,0.208408211826615,Up after KD
Pck2,0.954207833784515,6.13107474889226e-32,5.6819735235359e-29,Up after KD
Fdft1,0.839506035338797,6.46328345118399e-31,5.52909040466286e-28,Up after KD
Fam167a,1.07654922105391,0.0363576129472805,NA,Up after KD
Ptk2b,-0.893051283102249,0.0254599615973984,0.159605542798572,Down after KD
Nudt18,0.64951456803545,3.46331816051921e-4,0.00680486948111911,Up after KD
Ptger4,-1.12638541429807,0.00275444329323645,0.0344756927522853,Down after KD
Matn2,0.848482295056744,4.46787819569073e-6,1.7873119933193e-4,Up after KD
Ncald,0.694818676442543,0.00504373230774496,0.0533081126938155,Up after KD
Deptor,-0.895825106634484,0.0148378181848311,0.111796325225953,Down after KD
Has2,-0.573139896879688,0.0166665555579038,0.119889239559798,Down after KD
Fbxo32,1.53257156433289,2.57951057156276e-4,0.00540239869422776,Up after KD
Sqle,0.571674970802612,1.41072080440736e-23,8.25717161358643e-21,Up after KD
Khdrbs3,-0.54489754038,0.00368878303150114,0.0422918469899771,Down after KD
Psca,0.577255676371811,0.0294105096611548,0.174906030984868,Up after KD
Ly6a,0.743950167140185,0.00618908620103476,0.0614196306717066,Up after KD
C1qtnf6,0.578081694205093,0.0197221877307932,0.135298479737808,Up after KD
Lgals2,1.40219102909964,0.0370304103604837,NA,Up after KD
Pdgfb,-0.998271101650654,1.2252570181058e-15,2.89916665922439e-13,Down after KD
Kif21a,0.54361498413773,2.61027123091472e-4,0.00544630888536635,Up after KD
Col2a1,0.771062822401775,3.88321177645534e-12,6.54321184332724e-10,Up after KD
