Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Positive Regulation Of DNA-templated Transcription (GO:0045893)	422/1243	6.51352813179091e-11	3.34078857879556e-07	0	0	1.50679233115419	35.3411432396752	ATF2;RBPJ;GABPB1;DCAF6;ELK3;ELK4;ZXDA;TBK1;CREB3L4;ZMIZ1;ZMIZ2;ZC3H12A;CREB3L2;NAMPT;IER5;IER2;DDX17;MED1;RFX3;WDR75;SOX12;ZSCAN21;MAML3;PRKD1;ATF6;ATF4;CTBP2;PDGFB;PRDM15;GATA2;PRDM16;PPARGC1A;RREB1;PPARGC1B;S100A10;FZD1;CREBBP;JUN;AFAP1L2;JAG1;FZD2;JUND;FZD5;FZD7;NR2F1;NFATC3;NFATC2;NFATC1;NR2F2;INO80;NR1D1;PBX1;ELL3;ST18;FOSL2;COL1A1;MLLT10;AGO2;SNAI1;CDK13;SETD4;SETD3;ELL;PHF20;TGFB1I1;LITAF;GLI3;GLI2;ING2;SPIN1;TEAD1;SS18;ANXA2;RIPK2;TCF12;TET2;PAX3;TET1;PAX6;KAT2B;ZEB2;PAX8;RARA;RARB;PPARG;PLCB1;SF3B5;TMF1;NFIX;SF3B3;NR1I2;BCLAF1;SCAF8;NSD1;LEO1;SPP1;MEF2D;WWOX;GSX1;STAT1;PCGF5;MBD2;STAT3;DAB2IP;NR1H4;RRP1B;POU4F2;GATAD2A;HIPK2;HEYL;NFIA;NFIB;CCNT1;RASL11A;UBP1;RORB;PARK7;FGF1;FGF2;SALL1;CDH1;MAP3K5;PITX3;GTF2I;HMGN1;MAP2K3;MAP2K1;MAP2K2;UBE2E1;DYRK1A;THOC1;NPAS4;MORF4L2;PHIP;SQSTM1;KMT2E;INO80B;KMT2D;INO80D;KMT2C;GLIS3;FOXO3;FOXO1;GLIS1;GLIS2;NPAS3;NEUROD1;ATXN7;E4F1;ZBTB18;ZBTB17;DR1;BICRAL;ZBTB16;NFKB1;DAB2;LHX2;BCL3;MAFF;TADA3;OGT;NFE2L1;NFE2L2;CALCOCO1;BMPR2;FOXM1;LBH;SIN3A;NCK2;WDR5;NCK1;PELP1;ACTR3;BCAS3;PPP1R12A;ATRX;MSL2;MSL3;ZFP90;MSL1;PPM1A;DNAJC2;TRAF6;MET;HDAC4;PRKAA1;HDAC2;NUFIP1;SMARCD3;UHRF1;WBP2;SRF;ZBTB49;ZBTB48;LRP5;FOXK1;MLLT3;BARX2;LRP6;RBBP4;E2F1;E2F2;E2F3;TRIM44;MLXIP;PRRX1;IRX6;IRX3;MACC1;FOXJ2;FOXJ1;KLF4;MTOR;APLN;KLF7;KLF6;POU2AF1;CCDC62;APP;SMARCB1;CCNC;ACTB;RPS6KA4;CHEK2;RPS6KA1;TNFSF11;EPC2;SOX8;SOX9;BTRC;ATXN7L3;SOX4;ACVR1;SLC11A1;HNF1A;RUNX2;RUNX1;SFRP1;NIF3L1;TRIM16;ZFPM2;ZFPM1;CASZ1;BEX1;PIK3R1;DHX33;PCBP1;HIVEP1;INPP5K;HIVEP3;ZBED3;EGR1;WWTR1;EGR2;EAF2;MICAL2;IGF1;TRERF1;GDF7;MC1R;SNW1;FUBP3;ID2;CREBRF;ATM;FOXE1;CITED2;WASL;CX3CL1;PTMS;RPTOR;NCOA1;EDN1;FSHB;NCOA3;NME2;TFEB;RGMB;UCHL5;TOX3;MDFIC;WAC;NCOA7;ARHGEF2;PTMA;TLR4;RHOQ;TLR3;YAP1;FOXC1;DOT1L;CAMKK2;RELB;SERTAD3;RXRA;NFIL3;APBB2;CD74;IL33;ARNT2;CDX4;GRHL1;GRHL2;CAMK4;TCEA1;F2RL1;FOXA2;ICE1;CD81;ICE2;FHOD1;PRDM2;NUCKS1;NR3C1;ETS1;ETS2;EP300;LMO1;MLIP;WNT5A;POU3F2;UBE2V1;EP400;OTX1;BCL9L;WNT4;BPTF;TFAP2A;SMAD2;TFAP2B;ZFHX3;SMAD4;TGFB2;POU2F1;SMAD3;TGFB1;AUTS2;HMGA1;CHCHD10;HMGA2;INHBA;ESR1;BMP6;ESR2;BMP4;NR4A2;AHI1;NR4A1;IL6;MRGBP;GDNF;BAMBI;TCF4;FGFR2;PICALM;CREBZF;KDM5A;DDX3X;LDB1;CHD6;SIX1;CHD3;HMGB1;TRIAP1;YBX1;IRF2BPL;SFR1;ZIC2;ZIC3;ZIC1;MYBL1;YWHAH;KDM6B;MYOCD;AXIN1;ETV1;PEX2;OXSR1;ARID1A;ARID1B;ETV5;TGFBR1;SENP1;GREM1;ELF1;SFPQ;CREB1;ELF2;ELF4;IRF2;CDH13;IRF9;CREB5;KDM3A;ATF6B;LEF1;DDX21;RNF4;MAPK7;ATOH8;NRIP1;HES1;VHL;MAPK3;TCF7L2;DEK;USF3;MEIS2;ACVR2A;REST;MEIS1;KANSL1;KANSL2;PITHD1;QRICH1;ERCC6;NAA15;LPIN1;SSBP2;TAF3;RBMX;SSBP4
Regulation Of Cell Migration (GO:0030334)	166/434	9.38191295791427e-09	2.40599157805711e-05	0	0	1.79142629799085	33.1135874365738	SEMA5A;SEMA5B;IFITM1;CSF1;ZMYND8;SERPINE1;TNC;ARID4B;LDLRAD4;FGF1;FGF2;MYLK;CCAR1;AMOT;IGF1R;FGF5;DOCK10;FGF9;CDH1;AKT2;DPYSL3;DAG1;KDR;CYP1B1;TMSB10;ACVR1;PDGFRB;SEMA6D;APLP2;MAGI2;TPM1;PRKCA;ACTN4;TIAM1;CLDN4;FRMD5;SFRP1;BRMS1;RUFY3;VCL;EPHA2;MACF1;CEMIP;SEMA7A;PDGFB;PDGFA;PIK3R3;THY1;FOXO3;CORO1C;TTBK2;PODXL;PDGFD;PDGFC;PLXNA2;PLXNA1;DRD1;SRGAP3;PLXNA4;SCAI;CCR1;NTNG1;CARMIL1;HACE1;JAG1;TGFB1;CAV1;RDX;OSGIN1;IGF1;PTK2;SMAD7;COL1A1;BST2;DAB2;FER;CXCL12;DLG5;SNAI1;NF1;CASS4;PLXNB2;PLXNB1;ATM;AMOTL2;AMOTL1;OGT;FERMT2;PTPRT;CLIC4;FLT1;LDB1;CITED2;PTEN;MIA3;PTPRJ;LAMC2;PTPRK;SYNE2;CX3CL1;ING2;DUSP10;SIN3A;TMSB4X;EMILIN2;EMILIN1;EDN1;FSHB;MINK1;NOG;TET1;RHOA;TGFBR1;TMIGD3;MMP14;TMEFF2;RAP2A;TMIGD1;RAP2B;CDH11;CDH13;SGK1;HBEGF;HDAC2;SF3B3;ROCK1;SEMA3C;SRC;SEMA3B;LEF1;NEDD9;PRR5L;SEMA3E;SEMA3F;CDC42;RBBP4;MGAT5;NTF3;LMNA;PDPN;GNA12;GCNT2;FLNA;HAS2;FYN;CTNNA2;SLIT2;RFFL;SPAG9;CD74;YTHDF3;NTRK3;SEMA4B;STAT3;LAMB1;PODN;SOD2;ELP6;SORL1;MYO1C;APC;BRMS1L;F2RL1;SPRY2;LGR6;BCAR1
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	202/557	3.48683275240095e-08	5.96132172902149e-05	0	0	1.64764406918369	28.2928281455361	ZXDA;ZMIZ1;CHEK2;CREB3L2;RPS6KA1;EPC2;SOX8;SOX9;BTRC;ATXN7L3;SOX4;ACVR1;MED1;RFX3;HNF1A;RUNX2;RUNX1;NIF3L1;SFRP1;TRIM16;ATF4;CASZ1;PDGFB;PRDM16;INPP5K;HIVEP3;PPARGC1A;RREB1;FZD1;EGR1;AFAP1L2;CREBBP;JUN;EGR2;FZD2;FZD7;NFATC2;NFATC1;INO80;NR1D1;NR2F2;IGF1;TRERF1;GDF7;COL1A1;FUBP3;ID2;SNAI1;SETD3;FOXE1;PHF20;CITED2;TGFB1I1;GLI3;GLI2;ING2;SPIN1;TEAD1;NCOA1;NME2;TFEB;PAX3;PAX6;RGMB;UCHL5;KAT2B;PAX8;MDFIC;RARA;WAC;PPARG;PLCB1;YAP1;SF3B5;FOXC1;SF3B3;NR1I2;CAMKK2;SERTAD3;RXRA;NFIL3;NSD1;SPP1;ARNT2;CD74;STAT1;MBD2;STAT3;NR1H4;GATAD2A;HIPK2;NFIB;CAMK4;FOXA2;RORB;FGF2;ETS1;SALL1;CDH1;EP300;MAP3K5;PITX3;MAP2K3;MAP2K1;MAP2K2;WNT5A;DYRK1A;MORF4L2;PHIP;UBE2V1;KMT2E;INO80B;INO80D;FOXO3;FOXO1;GLIS2;NPAS3;NEUROD1;ATXN7;EP400;WNT4;SMAD2;TFAP2A;TFAP2B;SMAD4;ZFHX3;SMAD3;TGFB1;BICRAL;ZBTB16;HMGA1;HMGA2;INHBA;ESR1;NFKB1;ESR2;BMP4;IL6;MRGBP;LHX2;BAMBI;BCL3;TADA3;TCF4;OGT;PICALM;KDM5A;CALCOCO1;SIX1;CHD3;FOXM1;LBH;SFR1;ZIC2;ZIC3;ZIC1;WDR5;MYBL1;YWHAH;MYOCD;MSL2;AXIN1;MSL3;ARID1A;ARID1B;ZFP90;TGFBR1;MSL1;DNAJC2;PPM1A;ELF1;CREB1;ELF2;ELF4;CREB5;HDAC4;HDAC2;PRKAA1;KDM3A;SMARCD3;WBP2;ZBTB48;LEF1;LRP5;FOXK1;MLLT3;RNF4;LRP6;RBBP4;ATOH8;E2F1;VHL;TRIM44;IRX6;KLF4;KLF6;REST;KANSL1;KANSL2;PITHD1;QRICH1;NAA15
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	315/938	6.55579931678023e-08	8.40617367394146e-05	0	0	1.47021020772005	24.3177630256172	ATF2;APP;SMARCB1;PWWP2B;ZMYND8;CCNC;RBPJ;GABPB1;DCAF6;ELK3;ELK4;RPS6KA4;TBK1;CREB3L4;ZMIZ1;ZMIZ2;ZC3H12A;NAMPT;RPS6KA1;TNFSF11;SOX8;SOX9;IER5;IER2;SOX4;ACVR1;DDX17;MED1;SLC11A1;RFX3;HNF1A;SOX12;RUNX2;RUNX1;ZSCAN21;MAML3;PRKD1;ZFPM2;ATF6;ZFPM1;ATF4;CASZ1;PAXIP1;BEX1;CTBP2;PRDM15;PIK3R1;GATA2;PCBP1;HIVEP1;PPARGC1A;RREB1;PPARGC1B;ZBED3;S100A10;EGR1;WWTR1;CREBBP;JUN;EGR2;JAG1;JUND;FZD5;NR2F1;EAF2;NFATC3;MICAL2;NFATC1;NR2F2;IGF1;INO80;NR1D1;ELL2;TRERF1;PBX1;ELL3;ST18;FOSL2;MLLT10;MC1R;SNW1;FUBP3;AGO2;CREBRF;ATM;CDK13;SETD4;SETD3;ELL;CITED2;WASL;LITAF;MED15;MED18;GLI3;CX3CL1;PTMS;GLI2;TEAD1;NCOA1;SS18;EDN1;ANXA2;RIPK2;FSHB;NCOA3;TCF12;TET2;NME2;TFEB;PAX3;TET1;PAX6;MED27;MED26;TOX3;KAT2B;ZEB2;PAX8;RARA;RARB;PPARG;NCOA7;ARHGEF2;PTMA;TLR4;RHOQ;TLR3;YAP1;FOXC1;TMF1;NFIX;DOT1L;NR1I2;RELB;BCLAF1;RXRA;LEO1;APBB2;MEF2D;IL33;WWOX;ARNT2;CDX4;GSX1;STAT1;PCGF5;STAT3;DAB2IP;NR1H4;RRP1B;GRHL1;GRHL2;POU4F2;HIPK2;HEYL;NFIA;NFIB;TCEA1;F2RL1;FOXA2;CCNT1;CD81;FHOD1;UBP1;PRDM2;NUCKS1;RORB;PARK7;NR3C1;FGF1;ETS1;FGF2;ETS2;SALL1;EP300;GTF2I;LMO1;MLIP;WNT5A;UBE2E1;POU3F2;NPAS4;PHIP;SQSTM1;KMT2D;KMT2C;GLIS3;FOXO3;FOXO1;GLIS1;GLIS2;NEUROD1;E4F1;OTX1;BCL9L;BPTF;ZBTB18;TFAP2A;SMAD2;ZBTB17;TFAP2B;DR1;ZFHX3;SMAD4;POU2F1;SMAD3;TGFB1;AUTS2;HMGA1;HMGA2;INHBA;ESR1;NFKB1;BMP6;BMP4;NR4A2;AHI1;NR4A1;IL6;DAB2;GDNF;BCL3;MAFF;TCF4;OGT;NFE2L1;FGFR2;NFE2L2;CREBZF;CALCOCO1;DDX3X;BMPR2;LDB1;CHD6;SIX1;HMGB1;TRIAP1;YBX1;FOXM1;IRF2BPL;ZIC3;SIN3A;NCK2;MYBL1;NCK1;PELP1;ACTR3;KDM6B;BCAS3;MYOCD;PPP1R12A;ATRX;ETV1;PEX2;OXSR1;ETV5;SENP1;GREM1;ELF1;SFPQ;CREB1;ELF4;TRAF6;IRF2;CDH13;MET;IRF9;HDAC4;HDAC2;NUFIP1;ATF6B;UHRF1;WBP2;SRF;ZBTB49;LEF1;LRP5;DDX21;RNF4;BARX2;LRP6;MAPK7;ATOH8;NRIP1;E2F1;E2F2;E2F3;HES1;MAPK3;MLXIP;TCF7L2;PRRX1;TAF13;IRX3;MACC1;FOXJ2;FOXJ1;DEK;USF3;KLF4;MEIS2;ACVR2A;KLF7;KLF6;MEIS1;POU2AF1;ERCC6;LPIN1;SSBP2;TAF3;RBMX;SSBP4;TAF1;CCDC62
Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	111/284	7.5018987082042e-07	0.000769544769487587	0	0	1.84758856487706	26.0564297538694	CSF1;IRS1;IRS2;FGF1;SOGA1;FGF2;IGF1R;FGF5;UBASH3B;FGF9;GRB14;AKT2;NAMPT;KDR;PDK4;EPHB1;ANKS1B;EPHB3;EPHA5;PDGFRB;EPHA7;TIAM1;COL4A2;MAPKAPK3;KIF16B;DOK6;DDIT4;COL4A6;PHIP;ROR1;PRKD1;NGEF;EPHA2;BLK;SHC4;SHC3;ARHGEF28;PDGFB;PDGFA;PIK3R3;PIK3R1;EFNA5;KALRN;FOXO1;EFNB2;FLRT2;PDGFD;PDGFC;LYN;BDNF;CAV2;IGF1;PTK2;AHI1;FER;CASS4;FGFR4;FGFR2;FGFR1;DDR1;PTPRT;ALK;BCAR3;TRIM71;GSK3B;FLT1;PTPRJ;PIK3CB;PIK3C2A;PTPRG;GHR;SIPA1L1;BDKRB2;BLNK;AP3S1;NRG1;SLC39A14;VAV2;HCK;RASA1;RAPGEF1;RAPGEF2;ARHGEF7;PLCB1;MET;RHOQ;DDR2;FOXC1;SRC;NEDD9;CHN1;NTF3;FYN;ALKAL1;PAK2;MPZL1;ANGPT1;RYK;SORT1;NTRK3;STAT3;VEGFC;VEGFD;PTPN11;SORBS1;MERTK;SULF2;AXL;CLNK;FRK;BCAR1
Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)	47/96	1.09224314978727e-06	0.000933685852543154	0	0	2.75080308065706	37.7610359728306	NRROS;ITGB5;ZFYVE9;SRC;WFIKKN2;TGFBRAP1;ARRB2;PTPRK;LRRC32;NR3C1;ZFP36L1;MAPK7;ZMIZ1;ZMIZ2;ANKRD1;GCNT2;LPXN;SOX9;SOX6;MAP3K7;SOX5;WNT4;SMAD2;WWOX;JUN;SMAD4;TGFB2;SMAD3;TGFB1;APLP2;FSHB;WNT5A;STAT3;SMAD6;TGFBR1;PTK2;SMAD7;TGFBR3;SFRP1;COL3A1;COL1A2;BAMBI;ID1;ZYX;XCL1;FERMT2;LIMS1
Cellular Response To Estrogen Stimulus (GO:0071391)	13/15	1.46035562265466e-06	0.00101712792077333	0	0	18.5777027027027	249.625443684169	BCAS3;WBP2;ARID5A;SERPINB9;ESR1;ESR2;CRHBP;SFRP1;SFR1;RARA;TRIM24;SOX9;PELP1
Protein Modification Process (GO:0036211)	240/711	1.58647365299017e-06	0.00101712792077333	0	0	1.4748572890907	19.6952395677383	APP;ARAF;PPP2R2A;UBE2L6;RPS6KA4;PPP4R1;TBK1;PPP4R2;PPP2R1B;AKT2;CHEK2;RPS6KA1;PDK4;BTRC;PRKACB;EPHB1;EPHB3;ACVR1;EPHA5;EPHA7;PRKCH;DAPK1;PRKCB;PRKCE;ATG10;PRKCA;PASK;PHKA2;PLPP6;ADPRH;SIK3;SIK2;TRIB1;TRIB2;CTBP1;FUT10;PDGFB;UGCG;NUAK1;NUAK2;ST3GAL5;STK38L;ATG7;ST3GAL1;ST3GAL2;ATG5;CDK17;LYN;SRPK2;CDK19;PLK2;PTK2;SRPK1;FAM220A;MSRA;PPP5C;WNK1;ATM;FBXL2;CDK14;PTPRT;PIGT;SETD3;PTPRS;PTPRO;PRKAG1;PRKAG2;PTPRM;PTPRJ;PTPRK;PHEX;PTPRG;ING5;JAK1;BRD2;DUSP5;MINK1;CTTNBP2NL;HCK;SDHAF2;B3GNT5;RARA;SGK1;PIGH;WDR45B;CAMKK2;PDPR;GCNT2;PAK6;MAP4K5;LCMT1;PAK2;MAP4K3;RYK;GAD1;WWP2;HIPK1;HIPK2;PPP1CA;PDP1;COL3A1;TAOK3;TAOK1;CAMK4;QPCT;COQ8B;PKN2;PKN1;CHRM3;CCNT1;JADE1;F13A1;PLOD2;PARK7;JADE2;MYLK3;PPP1CB;STK10;MACROD1;PIM1;MACROD2;MAP3K9;NEK3;LARGE1;MAP3K5;CDKL3;CSNK1G3;MAP2K1;PPTC7;IGFBP3;DYRK1A;LMTK2;PPP4R3A;TNNI3K;PPP4R3B;FBXO11;FBXW2;RBX1;ERN1;MELK;LOX;PXK;STK39;CSF2RA;STK3;GRK5;IRAK1;FUT9;MAP3K20;ABL2;MARK2;UVRAG;TGFB2;TGFB1;NEK7;SSH1;PTPRD;CDK8;PTPRE;PTPRB;FER;CDK6;UBLCP1;CDK4;PTPRA;UST;CDK1;CPE;STT3B;COPS8;FGFR1;GSK3B;DYRK3;BMPR2;DYRK2;LRRK2;LRRK1;PTEN;DUSP11;PPP6C;PPP2R5E;RB1CC1;TLK2;PRKG2;PRKG1;DSP;PPP1R12A;PPP2R5A;IRAK3;OXSR1;RABGGTA;YWHAZ;TGFBR1;PPM1A;PPM1B;CREB1;LATS2;NPC1;DAD1;PEAK1;CTDSP2;ATG4C;ATG4B;PFDN1;BIRC6;PIK3C3;NIM1K;PRKAA1;CAMK2D;PPM1L;ROCK1;PPM1H;GLRX;PPM1D;TTL;CCL2;CSK;FYN;FNIP2;MAPK3;SLC35A1;ATE1;USP25;TAF13;PTPN11;CDC42BPB;PTPN12;PPP2R3A;ACVR2B;MTOR;ACVR2A;MAPK10;MGAT4A;MGAT4B;AQP11;PTPN5;TAF3;METAP2;PTPN3;TAF1
Regulation Of Intracellular Signal Transduction (GO:1902531)	113/297	2.77261616820757e-06	0.00158008314741518	0	0	1.76780105272167	22.6202859046797	TRIO;WWC1;FAM13A;WWC2;ARAF;FGF1;PREX2;RASSF2;CHEK2;GRAP2;CPNE1;KDR;TNFSF11;EP300;KMT5A;USP7;GBP7;SWAP70;WNT5A;TIAM2;TIAM1;UBE2V1;SQSTM1;NGEF;OPTN;ARHGEF28;ARHGAP19;ARHGAP18;KALRN;STK3;PKHD1;ARHGAP22;ARHGAP21;NUAK1;NUAK2;PIP5K1A;SRGAP3;ECT2;LYN;WWTR1;STARD13;TGFB1;ARHGAP27;ARHGAP26;ARHGAP23;PEX5L;ARHGAP31;DLG1;DNMBP;BCL3;RCAN3;UBE2N;ATM;FBXL2;GRAP;ARHGAP8;DYRK2;PAK1IP1;LRRK2;RASGRF2;PTEN;ARHGEF10L;ARHGAP6;SLC6A2;AKAP13;SPRED1;LBH;TMSB4X;MCF2L;ITGAV;VAV3;PRMT5;PLEKHG1;ARHGEF17;MINK1;ATP6AP2;PLEKHG6;ARHGEF19;PJA2;VAV2;ARHGEF9;TMBIM4;TRAF6;ARHGEF3;RGN;ARHGEF2;MAPT;SGK1;NLGN1;PHLPP1;SGMS1;RPL11;SEZ6;AKAP7;AKAP6;FGD3;GNA13;FGD4;CHN1;GNA12;PAK6;RFFL;PAK2;NTRK3;DAB2IP;MYO9B;MTOR;HIPK2;BOP1;GPR143;TAOK3;F2RL1;TAF1
Regulation Of Apoptotic Process (GO:0042981)	236/705	3.83360659926683e-06	0.00196625682476396	0	0	1.45548863079628	18.1524241457553	ARAF;PHB2;ACTB;CCAR1;IFIT2;LGALS1;RASSF2;AKT2;RPS6KA2;RPS6KA1;ARL6IP5;KDR;TRIM24;CYP1B1;PROK2;EPC2;SOX8;SOX9;SOX4;IER3;UNC13B;MED1;DAPK1;ACTN1;ACTN4;SFRP1;BIN1;VDAC1;ATF6;ATF4;BEX1;ANP32A;MAPKAP1;OMA1;PIK3R1;MTDH;PKHD1;PRDX5;NUAK2;ATG7;BARD1;EGR1;JUN;EGR3;GADD45A;PLK2;SIAH2;OSGIN1;IGF1;PTK2;GADD45G;PPT1;ANP32E;CD28;TNFSF9;ATM;RNPS1;ANP32B;HIP1;CITED2;SLC6A2;CX3CL1;SH3RF1;PTMS;ING5;BABAM2;DSTYK;AIFM1;ADAMTSL4;TRIM2;ANKRD1;ANXA4;ANXA5;NME2;SERPINB9;ANO6;DUSP6;HCK;RNF144B;TOX3;PAX8;TAX1BP1;GAS1;ARHGEF7;SGK1;PTMA;CD44;PHLPP1;RPL10;XIAP;FSTL1;BCLAF1;FRZB;NTF3;PDPN;FLNA;LCMT1;PAK2;CD74;EGLN2;STAT1;DAB2IP;NR1H4;RRP1B;ITCH;AXL;CIAPIN1;TARDBP;HSPA1B;MAD2L1;ANKRD13C;PARK7;UBE2Z;IGF1R;CCND2;PIM1;TNFRSF8;PHLDA1;MAP3K5;BNIP3L;AREL1;IGFBP3;WNT5A;FBXO11;MELK;BRMS1;MORF4L2;FKBP8;PHIP;IL6ST;SQSTM1;SLC27A4;NOTCH2;PSMD10;HTRA1;PSEN2;FOXO3;FOXO1;RTN4;STK3;NEUROD1;ARHGAP21;GRK5;UBB;MAP3K20;EP400;ABL2;BMF;ECT2;IP6K2;TXNDC5;TFAP2A;TFAP2B;STIL;CBX4;ASNS;HMGA2;SMAD6;NFKB1;IL2;KLHL20;BMP4;LSM8;AHI1;DAB2;GCLC;IL6;MRGBP;BCL6;GDNF;IL7;BCL3;BCL2;CDK1;MDM2;NF1;BCL2L1;ALK;GSK3B;USP36;TNFAIP8;DDX3X;FHL2;HMGB1;TRIAP1;GRM4;OPA1;CASP6;MLST8;MYO18A;EMILIN2;CASP2;EMILIN1;DNM1L;IFT57;CTNNBL1;RBM5;BOK;USP47;NRG1;TRAF2;OXSR1;YWHAZ;GREM1;TMIGD1;LATS2;TMBIM4;DDAH2;RASA1;CAT;BIRC6;FXN;BIRC2;HDAC2;PRKAA1;USP27X;SRC;LEF1;LRP2;CBL;E2F1;SAP18;FYN;SLIT2;VHL;ANGPT1;CFLAR;MTOR;GOLPH3;REST;APC;ERCC3;SPRY2;QRICH1;NAA15;BCAR1
