Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Focal Adhesion (GO:0005925)	176/387	5.0911652033309e-17	2.26556851548225e-14	0	0	2.42672165821043	91.0419571385481	RPL4;CYFIP1;TES;CD81;TNC;RPL10A;PVR;ACTB;DCAF6;PPP1CB;GJA1;RPS17;ALCAM;MPRIP;CDH2;DAG1;CAPN2;TNS4;TNS3;TNS1;PDGFRB;MAP2K1;MAP2K2;RPS7;TPM4;ACTN1;AFAP1;CASK;ACTN4;HSPG2;PROCR;RPL27;TLN2;TLN1;PHLDB2;VCL;EPHA2;FBLIM1;IQGAP1;THY1;HACD3;LPP;CORO1C;CNN3;ARHGAP22;DPP4;EFNB2;NCSTN;FLRT2;TSPAN9;EPB41L2;PRKAR2A;ATP6V0A2;PACSIN2;PIP5K1A;LPXN;RSU1;FZD1;HSPA8;FZD2;CAV2;CAV1;RDX;HMGA1;MSN;PARVA;CORO2B;PTK2;ARHGAP24;IGF2R;PPFIBP1;DAB2;PTPRA;RPS29;FAT1;CASS4;ITGBL1;FERMT2;BCAR3;ARF1;FLT1;ITGB5;TGFB1I1;ITGB3;FHL1;GDI2;DOCK7;FHL2;FHL3;RND3;SYNE2;RPL7A;LASP1;CSRP2;YWHAQ;ANXA6;RPLP2;ITGB8;ITGAV;ITGB7;PGM5;ITGB6;SCARF2;GIT1;YWHAG;JAK1;ACTR3;PPP1R12A;DST;ITGA4;MME;ITGA3;ANXA5;ITGA1;NME2;RRAS2;RPL13A;IL16;KIF23;YWHAZ;RHOA;SENP1;HCK;MMP14;PALLD;PEAK1;CAT;IRF2;CDH13;MYH9;ITGA5;ARHGEF2;PABPC1;ARHGEF7;MAPRE2;CD44;ARF6;DDR2;PLEC;FOCAD;AHNAK;SRC;STX16;SYNPO2;NEDD9;THSD1;ADD1;CDC42;RAB21;GNA13;PDLIM1;LIMA1;GNA12;FLNA;XIRP2;FLNB;RPS2;MPZL1;CLASP1;PDLIM7;MAPK3;GIT2;GSN;SPRY4;SORBS1;RAB10;MARCKS;ZYX;CD9;VIM;LAMTOR3;HSPA1B;LIMS2;BCAR1;LIMS1;SNTB2
Cell-Substrate Junction (GO:0030055)	176/395	5.83553132422685e-16	1.29840571964047e-13	0	0	2.33679280400975	81.9686069491908	RPL4;CYFIP1;TES;CD81;TNC;RPL10A;PVR;ACTB;DCAF6;PPP1CB;GJA1;RPS17;ALCAM;MPRIP;CDH2;DAG1;CAPN2;TNS4;TNS3;TNS1;PDGFRB;MAP2K1;MAP2K2;RPS7;TPM4;ACTN1;AFAP1;CASK;ACTN4;HSPG2;PROCR;RPL27;TLN2;TLN1;PHLDB2;VCL;EPHA2;FBLIM1;IQGAP1;THY1;HACD3;LPP;CORO1C;CNN3;ARHGAP22;DPP4;EFNB2;NCSTN;FLRT2;TSPAN9;EPB41L2;PRKAR2A;ATP6V0A2;PACSIN2;PIP5K1A;LPXN;RSU1;FZD1;HSPA8;FZD2;CAV2;CAV1;RDX;HMGA1;MSN;PARVA;CORO2B;PTK2;ARHGAP24;IGF2R;PPFIBP1;DAB2;PTPRA;RPS29;FAT1;CASS4;ITGBL1;FERMT2;BCAR3;ARF1;FLT1;ITGB5;TGFB1I1;ITGB3;FHL1;GDI2;DOCK7;FHL2;FHL3;RND3;SYNE2;RPL7A;LASP1;CSRP2;YWHAQ;ANXA6;RPLP2;ITGB8;ITGAV;ITGB7;PGM5;ITGB6;SCARF2;GIT1;YWHAG;JAK1;ACTR3;PPP1R12A;DST;ITGA4;MME;ITGA3;ANXA5;ITGA1;NME2;RRAS2;RPL13A;IL16;KIF23;YWHAZ;RHOA;SENP1;HCK;MMP14;PALLD;PEAK1;CAT;IRF2;CDH13;MYH9;ITGA5;ARHGEF2;PABPC1;ARHGEF7;MAPRE2;CD44;ARF6;DDR2;PLEC;FOCAD;AHNAK;SRC;STX16;SYNPO2;NEDD9;THSD1;ADD1;CDC42;RAB21;GNA13;PDLIM1;LIMA1;GNA12;FLNA;XIRP2;FLNB;RPS2;MPZL1;CLASP1;PDLIM7;MAPK3;GIT2;GSN;SPRY4;SORBS1;RAB10;MARCKS;ZYX;CD9;VIM;LAMTOR3;HSPA1B;LIMS2;BCAR1;LIMS1;SNTB2
Adherens Junction (GO:0005912)	72/150	5.08227804195592e-09	7.53871242890128e-07	0	0	2.65495020503808	50.7029281140193	BMPR2;CTNND2;CTNND1;PTPRM;LDB3;PARK7;PVR;CDH7;RND1;CDH6;BAIAP2L1;CDH2;CDH1;TNKS1BP1;PGM5;MAGI1;DSP;ANXA2;TMOD3;SHROOM3;FRMD4A;FRMD4B;SHROOM1;PARD3B;FRMD5;LRRC7;PARD3;CDC42EP4;CDH11;PKP2;PKP1;CDH13;PKP4;PLPP3;TLN1;JCAD;VCL;CDH18;LIN7C;NDRG1;ADD1;CNN3;CYTH3;PDLIM1;CCDC85B;CCDC85A;CDH22;CTNNA3;STXBP6;CTNNA2;PDLIM4;S100A11;PDLIM7;JAG1;RDX;MSN;SORBS1;WTIP;PLEKHA7;SMAD7;PPP1CA;RAB10;AHI1;MYO1E;DLG1;DLG2;APC;DLG5;ZYX;NECTIN3;FERMT2;NECTIN1
Cell-Cell Junction (GO:0005911)	121/299	2.52951793665901e-08	2.81408870453315e-06	0	0	1.96065311204055	34.2970225781871	CTNND2;CTNND1;PARK7;PVR;CDH7;CDH6;GJA1;BAIAP2L1;CDH2;CDH1;KIRREL3;MAGI1;MAP2K2;ACTN1;TMOD3;CASK;FRMD4A;FRMD4B;TIAM1;CLDN4;FRMD5;PARD3;PKP2;PKP1;PKP4;PLPP3;TLN1;DSC2;JCAD;VCL;EPHA2;USP53;LIN7C;NDRG1;MTDH;CNN3;RAP1B;PDZD2;FLRT2;CDH22;STXBP6;ECT2;S100A11;JAG1;CADM1;RDX;STARD10;MSN;SMAD7;AHI1;OCLN;DLG1;VANGL2;DLG2;DNMBP;GJB3;DLG5;FAT1;UBA1;FGFR4;FERMT2;CLIC4;B4GALT1;BMPR2;WDR1;ITGB3;PTPRM;PTPRJ;LDB3;PTPRK;FOXM1;VSIG10;RND1;TNKS1BP1;PGM5;DSP;ANXA2;SHROOM3;SHROOM1;RHOA;PARD3B;RAP2B;LRRC7;CDC42EP4;CDH11;RAPGEF2;CDH13;ITGA5;CDH18;SDCCAG8;AHNAK;PARD6G;ADD1;CYTH3;PDLIM1;CCDC85B;CCDC85A;FLNA;CTNNA3;CTNNA2;STX3;PAK2;PDLIM4;JAM2;PDLIM7;MPP1;SORBS1;CDC42BPB;WTIP;GRHL2;PPP1CA;RAB10;MYO1E;APC;ZYX;PKN2;NECTIN3;LIMS2;ADGRL3;LIMS1;NECTIN1
Actin Cytoskeleton (GO:0015629)	123/327	2.02717108790237e-06	0.000180418226823311	0	0	1.73663708086785	22.7653484965096	IPP;ACTB;MYLK3;MYLK;AMOT;BAIAP2L1;MPRIP;CDH2;CDH1;CAPN2;PLS3;PLS1;GAS2L3;TPM4;DAPK1;TPM3;ACTN1;SWAP70;TPM1;AFAP1;CASK;ACTN4;CD2AP;EEF1A1;BIN1;SPECC1L;TLN2;MACF1;NOTCH3;ACTL7B;TWF2;IQGAP1;IQGAP2;KALRN;CNN3;CORO1C;ARHGAP21;CALD1;ARSJ;STK38L;TSPAN5;ABL2;LPXN;SPTBN1;MARK2;VCAM1;AUTS2;RDX;MICAL2;DSTN;PARVA;NEB;FHDC1;CORO2B;KLHL20;ARHGAP33;MSRA;DIAPH2;FER;DIAPH3;INTS6;CLIC5;CLIC4;FLT1;WDR1;LMOD1;WASL;PPP1R9A;ARHGAP6;PPP1R9B;RND1;AKAP13;LASP1;PSTPIP1;SIPA1L1;SH3PXD2B;NDC1;ACTR3;PPP1R12A;DENND2A;COBL;SHROOM3;SHROOM1;CTTNBP2NL;HCK;SYNPO2L;PALLD;PEAK1;CDC42EP4;RARA;MYH9;TAX1BP3;ANG;RHOQ;DDR2;PLEKHH2;AHNAK;SYNPO2;ASAP1;ADCY8;BARX2;NTN1;LIMA1;ABLIM1;FLNA;FLNB;WASF2;PDLIM7;GSN;MYO9B;SORBS2;TTC17;MYO1D;MYO1E;MARCKS;MYO1C;AXL;KANSL2;CAPZA1;CAPZA2;ZYX;SPRY2;CENPQ
Basement Membrane (GO:0005604)	23/46	0.000404424300990967	0.026226631346523	0	0	2.85957446808511	22.3419868056776	LAMA5;LAMA2;DST;LAMA4;LAMA3;TNC;CASK;LAMB1;NID1;HSPG2;USH2A;EFEMP2;FRAS1;COL4A2;COL4A1;COL4A4;COL4A3;PXDN;DAG1;COL4A6;ANG;TINAG;FBN1
Cytoskeleton (GO:0005856)	192/599	0.000423905269001179	0.026226631346523	0	0	1.35835240814245	10.5489655485404	FHOD3;RIPOR2;MTRR;FHOD1;IPP;MYLK3;ACTB;MYLK;RASSF1;BAIAP2L1;MPRIP;CDH1;ZC3H12A;SOX9;SAP30BP;GAS2L3;SLC30A9;ANAPC7;TPM4;DAPK1;TPM3;PRKCE;SWAP70;TPM1;DYRK1A;MTUS1;AFAP1;CASK;ACTN4;ANK3;GABRG3;CD2AP;FRMD5;PREPL;BIN1;MAP7D1;SPECC1L;PHIP;PKP4;TLN2;PHLDB2;VCL;KANK3;PSMD10;NOTCH3;MACF1;GYPC;ARL6;EPB41;ACTL7B;IQGAP1;HMMR;IQGAP2;KALRN;NDRG1;CORO1C;CNN3;ARHGAP21;NUAK1;EPB41L1;ATXN7;CALD1;SNTG1;EPB41L2;ARSJ;ABL2;STK38L;TSPAN5;MDN1;SPTBN1;DTNA;AUTS2;TEX35;DSTN;MSN;TBCC;NEB;PARVA;CORO2B;PTK2;KLHL20;ARHGAP33;MSRA;TPX2;FER;SESTD1;INTS6;TUBA8;CLIC5;CLIC4;DYRK3;FLT1;HIP1;DYRK2;MTCL1;STON1;LDB3;WASL;FOXM1;PPP1R9A;ARHGAP6;LYST;SYNE2;PPP1R9B;RND1;AKAP13;EPB41L4A;HINT1;ACTR1B;SIPA1L1;DBT;NINL;NDC1;ACTR3;BCAS3;PPP1R12A;DST;RIPK2;DENND2A;SHROOM3;NAV1;PJA2;CTTNBP2NL;CCNA1;MMP14;IFT43;SYNPO2L;PALLD;PEAK1;CDC42EP4;RARA;MYH9;ANG;TAX1BP3;ARHGEF2;MAPT;TMEM9;MAPRE2;DDR2;PLEC;AHNAK;ROCK1;USP10;SYNPO2;ZBTB49;NR1I2;NOL9;ADCY8;ADD3;BARX2;NTN1;ADD1;PDLIM1;LIMA1;ABLIM1;KATNA1;FLNA;STOM;FLNB;IGF2BP2;CCT8;DISC1;WASF2;PDLIM4;PDLIM7;MAPK3;CENPV;GSN;SPAG6;MID1IP1;KRT13;DTNBP1;MYO9B;SORBS2;CDC42BPB;KLF4;TTC17;MYO1D;MYO1E;MARCKS;MYO1C;TEC;AXL;KANSL2;TAOK1;CAPZA1;CAPZA2;ZYX;SPRY2;PKN2;VIM;CENPQ
Axon (GO:0030424)	75/205	0.000487674387955533	0.026226631346523	0	0	1.65445486518171	12.6166455006389	APP;CNTNAP2;GSK3B;CNTF;PTPRS;LRRK2;PTPRO;DOCK7;PARK7;SLC6A1;MYPN;SLC8A1;IGF1R;ALCAM;GRM7;SCN9A;BOC;SACS;KIF1C;LDLRAP1;SPG11;EPHA5;KIRREL3;MME;DSCAM;DYRK1A;MUL1;COBL;OPRM1;CCSAP;PRSS12;CD2AP;UHMK1;SLC5A7;SCN10A;BIN1;PALLD;MAP1B;RUFY3;SCN8A;FEZ2;RIN3;MAPT;PRKAA1;SEMA3A;SLC1A1;ADAM22;KCNA4;ATP1A3;IQGAP1;LRP2;ADCY8;HDAC6;SLC38A7;MAP4;CTNNA2;PRPH;TGFB2;CNTN5;SYT1;STAT1;CNTN6;NTRK3;DAB2IP;DTNBP1;ATP2B3;SYT8;MYO1D;TH;NFIB;SYT11;PPT1;NF1;VIM;ADGRL3
beta-catenin-TCF Complex (GO:1990907)	9/12	0.000530426251952151	0.026226631346523	0	0	8.56712962962963	64.611832047839	TLE4;TCF7L2;TLE3;TCF7L1;TLE1;LDB1;LEF1;TCF4;BCL9L
Neuron Projection (GO:0043005)	173/557	0.00358327667990459	0.159455812255754	0	0	1.29439481656707	7.289355445421	CYFIP1;CHRM3;APP;CNTF;STMN2;PARK7;SLC8A1;IGF1R;CRHBP;TMEM266;ALCAM;CDH2;SCN9A;CAPN2;SACS;HOMER3;RGS8;EPHB1;RGS6;KPNA1;EPHB3;RGS7;EPHA5;KIRREL3;EPHA7;UNC13A;DSCAM;MAGI2;DYRK1A;NPY1R;MUL1;ANK2;ANK3;GABRG3;CD2AP;UHMK1;SLC5A7;SCN10A;BIN1;MAP1B;RUFY3;SCN8A;FEZ2;RIN3;ATF4;GRIA1;CHRNA1;PSMD10;RTN3;SLC1A1;CHRNA9;SLC1A3;IQGAP1;RTN4;INPP5A;UBB;MAP2;HRH4;SLC38A7;INPP5K;APOD;KCNN3;MAP4;MARK2;PRPH;BBS2;HSPA8;PRNP;TGFB2;CADM1;CNTN5;SYT1;CNTN6;PLK2;TRAPPC4;NR1D1;NSG1;SYT8;ZWINT;SLC6A6;CPEB1;DLG1;DLG2;TH;PPT1;NF1;STRN;CPEB3;CPEB2;CNIH3;GABRB3;CNTNAP2;GSK3B;NRSN1;PTPRS;TENM3;TENM4;LRRK2;PTPRO;DOCK7;PTEN;SLC6A1;PPP1R9A;SLC6A2;MYPN;GPHN;PPP1R9B;OPA1;GRM7;BOC;KIF1C;LDLRAP1;SPG11;GIT1;PACRG;MME;NPY5R;COBL;OPRM1;CCSAP;PRSS12;GCHFR;TMIGD1;ALS2;PALLD;PEX6;IL1RAPL1;RAPGEF2;CDH13;MAPT;ARHGEF7;PAFAH1B1;SHANK1;NLGN1;PRKAA1;CAMK2D;STAU1;KCNA1;SEMA3A;ADAM22;KCNA4;LRP4;ATP1A3;LRP2;ADCY8;TRAK1;HDAC6;PTGS1;TRAK2;CDC42;PGRMC1;GNA12;SLC17A6;FYN;STX3;CTNNA2;CAMK2G;FARP1;RIC3;SKOR1;STAT1;NTRK3;GABRA3;DAB2IP;DTNBP1;SORBS2;MYO1D;SYT11;RGS12;ATXN10;VIM;ADGRL2;ADGRL3
