Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Cadherin Binding (GO:0045296)	122/319	8.3275151483834e-07	0.000879385599669287	0	0	1.78422742237887	24.9765620638944	TES;CTNND2;CTNND1;PARK7;CDH7;CDH6;BAIAP2L1;MPRIP;CDH2;CDH1;KDR;MB21D2;TMPO;SH3GL1;ACVR1;SH3GLB1;SWAP70;TMOD3;ANK3;SND1;CD2AP;PKP2;PKP1;PKP4;TLN1;PHLDB2;VCL;EPHA2;MACF1;DDX6;NOTCH3;PDXDC1;TWF2;ARHGAP18;IQGAP1;NDRG1;RTN4;CNN3;SNX1;KLC2;CALD1;PCBP1;COBLL1;CDH22;CDH23;PACSIN2;SFN;SNX9;STXBP6;PROM1;S100A11;SPTBN1;MARK2;ZC3H15;HSPA8;RDX;PARVA;PAICS;EIF2S1;PPFIBP1;DLG1;PTPRB;DIAPH3;PICALM;PTPRT;BMPR2;DDX3X;DOCK9;PTPRO;OLA1;PTPRM;PTPRJ;CLINT1;RPL7A;LASP1;ATIC;TNKS1BP1;NCK1;ANXA2;YWHAZ;GPRC5A;PKM;CDH11;CDH13;MYH9;CDH18;CHMP5;PLEC;AHNAK;SRC;USO1;ASAP1;CBL;ADD1;PDLIM1;LIMA1;EIF4H;FLNA;PAK6;EPS8L1;CTNNA3;FLNB;FYN;CCT8;CTNNA2;RPS2;PAK2;WASF2;NOP56;STAT1;DAB2IP;PTPN11;PPP1CA;RAB10;FMNL2;APC;CAPZA1;GLOD4;ABI1;SERBP1;PKN2;PFKP
RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)	89/228	9.49500739831602e-06	0.00501336390631086	0	0	1.84007464874495	21.2799930531748	PTPRT;ATF2;GSK3B;SMARCB1;LDB1;BHLHE41;KEAP1;HMGB1;RBPJ;ETS1;ETS2;SIN3A;CPNE1;ANKRD1;UBXN7;EP300;CDK5RAP3;BBS4;GTF2I;NCOA1;MED1;BCAS3;MYOCD;ANXA4;NCOA3;DNMT3A;ACTN4;ARID1A;PIAS2;RBX1;NIF3L1;BBS10;BRMS1;CREB1;MDFIC;NCOA7;PPARG;TRIB1;ZFPM2;TRIB2;ZFPM1;ATF4;PSMD10;HDAC4;FOXC1;HDAC2;BEX1;SMARCD3;UHRF2;NR1I2;GATA2;HDAC9;ADD1;MTDH;NEUROD1;RXRA;NRIP1;RBBP8;E4F1;HES1;PPARGC1A;MEF2D;BBS2;SMARCE1;SPEN;ARNT2;TCF7L2;CREBBP;EGR2;JUN;SMAD3;PRRX1;STAT1;STAT3;NR1H4;HMGA2;NFATC1;WWP2;KLF4;HIPK2;FAM220A;REST;SNW1;ID2;BHLHE40;TADA3;TACC2;NFE2L2;TAF1
Protein Serine/Threonine Kinase Activity (GO:0004674)	124/342	1.47355820996006e-05	0.00518692489905942	0	0	1.6370744279403	18.212854811111	MYLK2;ARAF;STKLD1;MYLK3;MYLK;RPS6KA4;STK10;TBK1;AKT2;CHEK2;RPS6KA2;RPS6KA1;PIM1;MAP3K9;NEK3;PRKACB;MAP3K7;STK32B;MAP3K4;MAP3K5;ACVR1;CDKL3;CSNK1G3;PRKAB2;MAP2K1;PRKCH;MAP2K2;DAPK1;PRKCB;PRKCE;DYRK1A;CASK;LMTK2;PRKCA;PASK;UHMK1;ERN1;MELK;MAPKAPK3;PRKD3;SIK3;ULK3;PRKD1;SIK2;ALPK1;SQSTM1;CSNK1G1;STK39;PKMYT1;TTBK2;STK3;NUAK1;NUAK2;GRK5;IRAK1;IRAK2;MAP3K20;STK38L;MARK2;SRPK2;CDK19;PLK2;NEK7;SRPK1;CDK8;CDK6;WNK1;CDK4;CDK1;ATM;CDK13;CDK14;MAP3K14;GSK3B;DYRK3;DYRK2;MAST4;LRRK2;LRRK1;TLK2;BRD2;CAMK1D;RIPK2;MINK1;HUNK;IRAK3;OXSR1;TGFBR1;LATS2;MYO3B;MYO3A;BMP2K;SGK1;CAMK1G;NIM1K;CAMK2D;PRKAA1;ROCK1;ATP23;TTK;PPM1D;CAMKK2;MAPK7;PAK6;FYN;MAP4K5;PAK2;CAMK2G;MAP4K3;MAPK3;RIOK3;CDC42BPB;HIPK1;ACVR2B;ACVR2A;MTOR;HIPK2;MOS;TAOK3;CAMK4;TAOK1;PKN2;PKN1;TAF1
DNA-binding Transcription Factor Binding (GO:0140297)	104/282	3.13674935121323e-05	0.00828101828720292	0	0	1.67956001156935	17.416598013832	ATF2;CCNT1;ZMYND8;HDAC11;KEAP1;NUCKS1;PARK7;RBPJ;ETS1;ETS2;EP300;NBN;GTF2I;LMO1;MED1;RBFOX2;TLE1;PIAS2;RBX1;NIF3L1;TRIB1;ZFPM2;TRIB2;ZFPM1;ATF4;PSMD10;BEX1;CTBP2;CTBP1;CREM;GATA2;MTDH;NEUROD1;PRDM16;E4F1;PPARGC1A;BBS2;SMAD2;ZBTB17;CREBBP;EGR2;JUN;CBX5;SMAD3;HMGA2;NFATC1;CNOT7;BCL6;ID2;BCL3;BHLHE40;BCL2;NFE2L2;GSK3B;LDB1;BHLHE41;FHL2;HMGB1;SIN3A;ANKRD1;UBXN7;BBS4;MYOCD;TCF12;DNMT3A;YWHAZ;KAT2B;BBS10;CREB1;MDFIC;PPARG;PTMA;YAP1;HDAC4;FOXC1;HDAC2;SMARCD3;UHRF2;SRF;ZBTB49;CXXC5;HDAC8;HDAC9;PURA;E2F1;RBBP8;FLNA;HES1;VHL;MEF2D;EIF4E;RUNX1T1;MAPK3;SPEN;TCF7L2;PRRX1;STAT3;WWP2;KLF4;HIPK2;REST;NFIA;BCOR;TAF1
Nuclear Receptor Coactivator Activity (GO:0030374)	25/50	0.000229424343926891	0.0484544214373593	0	0	2.86029411764706	23.9690851906891	CALCOCO1;TMF1;RNF4;ETS1;FGF2;CCAR1;DCAF6;SFR1;ZMIZ1;ZMIZ2;SOX9;ATXN7L3;PPARGC1A;PPARGC1B;NCOA1;MED1;SS18;PRKCB;NCOA3;HMGA1;ACTN4;TRERF1;NCOA7;PKN1;CCDC62
Wnt Receptor Activity (GO:0042813)	11/16	0.000406388034459186	0.0665006685506004	0	0	6.28413739868777	49.0678148639222	FZD3;FZD2;FZD5;RYK;FZD7;FZD6;LRP5;FZD8;ROR1;NID1;LRP6
GTPase Regulator Activity (GO:0030695)	141/424	0.00044081882561951	0.0665006685506004	0	0	1.43237118420721	11.0677553760095	USP6NL;TRIO;DENND5B;FAM13A;IPO5;PREX2;DOCK10;RABGEF1;ARHGAP42;HERC2;TBC1D30;PLCE1;RGS8;TBC1D22A;RGS6;RGS7;RALGAPA1;RALGAPA2;SWAP70;TBC1D2B;TIAM2;TIAM1;RALGAPB;ADGRB3;ELMO1;RIN3;RIN2;NGEF;ARHGEF28;NPRL3;ARHGAP19;ARHGAP18;IQGAP1;THY1;HACD3;IQGAP2;KALRN;RASGRP1;RIC8A;ARHGAP22;ARHGAP21;RIC8B;TBC1D13;SRGAP3;ECT2;EIF2B5;RAP1GAP2;JUN;STARD13;RABGAP1L;EIF2B2;TNK2;ARHGAP27;ARHGAP26;ARHGAP24;ARHGAP23;ARHGAP33;CCDC88A;ARHGAP31;DNMBP;GNAQ;CCDC88C;NF1;PLXNB1;GNB5;RGL1;CPEB2;DENND1B;DOCK4;ARHGAP8;DOCK9;DENND1A;LRRK2;RASGRF2;DOCK7;ARHGEF10L;WASL;SIPA1L2;ARHGAP6;SLC6A2;SIPA1L3;AKAP13;SIPA1L1;RASGEF1B;MCF2L;EVI5L;DNM1L;GIT1;RALGPS1;RALGPS2;VAV3;PLEKHG1;PLEKHG2;ARHGEF17;DENND2A;ELMOD1;PLEKHG6;ARAP2;ARHGEF19;ARHGEF18;TBC1D9;ARFGAP2;VAV2;TBC1D1;ARHGEF9;ALS2;RASA4;TBC1D5;RASA1;RAPGEF1;ARHGEF3;RAPGEF2;ARHGEF2;PLCB1;RAPGEF5;SOS1;ARHGEF7;RAPGEF6;DOCK1;RAPGEF4;ASAP1;ASAP2;FGD3;CYTH3;GNA13;FGD4;FGD6;CHN1;SH3BP5;SH3BP4;EPS8L1;SLIT2;CYTH1;FARP2;FARP1;GIT2;RIC1;MYO9B;SGSM2;RGS12;LAMTOR3
Platelet-Derived Growth Factor Receptor Binding (GO:0005161)	9/12	0.000530426251952151	0.0700162652576839	0	0	8.56712962962963	64.611832047839	PDGFRB;ITGB3;PDGFD;PDGFC;PDGFB;PDGFA;PTPRJ;VEGFD;ITGA5
Ubiquitin-Like Protein Transferase Activity (GO:0019787)	84/240	0.00113700007611655	0.126886112174303	0	0	1.54413779604619	10.4682690930618	TRIM71;TNFAIP3;UBE2L6;FBXO24;RNF115;TRIM5;UBE2Q2;TRIM2;FBXO4;TRIM27;BTRC;RNF152;ATG3;AREL1;FBXW8;NSMCE2;ATG10;NSMCE1;UBE2E1;MUL1;UBE2E2;TRAF2;FBXO11;TOPORS;FBXW2;PIAS2;PJA2;PIAS1;RBX1;RNF144B;RNF169;UBE2R2;TRAF6;TRIM13;BIRC6;BIRC2;HDAC4;CUL5;UHRF2;UHRF1;CUL3;CUL2;NEDD4L;XIAP;CBL;RCHY1;RNF4;HDAC9;ANAPC11;RNF135;ZNRF1;RMND5A;RNF139;RNF217;VHL;ATG5;BARD1;BRAP;HACE1;CBX4;SIAH2;HUWE1;KLHL21;UBE2G1;WWP2;MIB1;KLHL20;UBE2W;ITCH;TTC3;RLIM;MDM2;RNF182;UBE2N;LNX1;TRIM36;FBXL3;MDM4;ASB4;STUB1;BCOR;FBXL5;RNF220;LNX2
Nuclear Receptor Binding (GO:0016922)	45/115	0.00131681404814753	0.126886112174303	0	0	1.84028471528472	12.2057620953787	KDM3A;SMARCD3;TMF1;WBP2;TGFB1I1;LEF1;NR1I2;PARK7;PHB2;RERG;RXRA;NSD1;NRIP1;EP300;HMGN3;PPARGC1A;PPARGC1B;YWHAH;NCOA1;SMARCE1;MED1;BCAS3;TCF7L2;SMAD3;KDM4C;PRKCB;STAT1;NCOA3;ARID5A;HMGA1;NR1H4;ARID1A;ESR1;TRERF1;FOXP1;NR4A2;NR4A1;SNW1;TADA3;STRN;NCOA7;PKN1;TACC2;CCDC62;TAF1
