Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Regulation Of Epithelial To Mesenchymal Transition (GO:0010717)	45/83	3.00481114913709e-08	0.000152614358264673	0	0	3.43776106934002	59.5436237983636	FOXA1;CRB2;PHLDB1;HPN;LEF1;PTEN;TWIST1;LDLRAD4;GATA3;ADIPOR1;LOXL2;SPRED2;SDCBP;SPRED1;PDPN;DAG1;GCNT2;NKX2-1;CLASP1;BCL9L;CLASP2;MARK1;SMAD2;EPHA4;WWTR1;TGFB2;SMAD3;TGFB3;DAB2IP;IL17RD;USF3;MTOR;PTK2;TGFBR2;SMAD7;COL1A1;EFNA1;OLFM1;SFRP1;DAB2;BAMBI;SNAI1;SPRY2;PHLDB2;FOXA2
Negative Regulation Of Cell Differentiation (GO:0045596)	86/207	4.59822611800202e-07	0.00116771952266661	0	0	2.0683458992787	30.1821825093022	RB1;FOXA1;TRIO;TNFAIP6;ITGB3;PTEN;HNRNPU;TMEM182;RORA;LDLRAD4;RORB;TSKU;CDC73;SPRED2;SPRED1;EFEMP1;HEY1;BCL7A;BCL7C;ENPP1;NELFB;ITGAV;NEPRO;SOX4;ADAMTS7;EPHA4;MED1;ADGRV1;PEX2;IL17RD;SFRP1;PKP2;PPARG;TRIB2;YAP1;NOTCH1;HPN;TWIST2;LRP5;TWIST1;GATA3;ADAMTS12;ADIPOR1;HDAC9;FOXO1;ZFP36L2;PTHLH;BICRA;RANBP3L;NOCT;NKX2-1;E2F1;PTK2B;RUNX1T1;MARK1;SUZ12;WNT10B;WWTR1;SMAD3;SEMA4D;NR1H2;CAV1;PTCH1;DAB2IP;CRIM1;TMEM64;SMAD6;USF3;MEIS2;USH2A;HOPX;TBX3;SMARCA4;SMAD7;BMP4;EFNA1;MEIS1;REST;CDK6;COL5A1;BAMBI;COL5A2;SNAI2;SPRY2;CALR;FOXA2
Negative Regulation Of Cell Migration (GO:0030336)	70/163	1.2419717629734e-06	0.00210265819471396	0	0	2.18765748940189	29.7495392212717	IFITM1;CLIC4;PTPRR;MCTP1;CITED2;ZMYND8;PTEN;PTPRJ;LDLRAD4;PTPN23;PTPRK;FGF2;CX3CL1;PTPRG;GJA1;ING2;DUSP10;HYAL2;ARHGDIB;DPYSL3;DAG1;CYP1B1;EMILIN2;ARID2;EPHA4;IGFBP3;MAGI2;TPM1;TET1;MITF;ATP1B2;GTPBP4;DUSP22;TMIGD3;CLDN5;SFRP1;TMEFF2;RAP2B;NAV3;CDH11;ADTRP;PHLDB2;VCL;KANK1;HDAC2;SF3B3;LRP1;STC1;NEDD9;THY1;ADIPOR1;FOXO3;CORO1C;ADGRG1;RBBP4;MARVELD3;NKX2-1;HMOX1;SRGAP3;SLIT2;SRGAP1;CLASP1;CLASP2;DAB2IP;MCC;SMAD7;BST2;DLG5;CALR;BMPR1A
Protein Modification Process (GO:0036211)	238/711	1.76347699447137e-06	0.00223917491373003	0	0	1.47354365901233	19.5218351904235	APP;MAML1;ARAF;TESK2;PPP2R2A;TBK1;PPP2R1B;CHEK2;AKT3;RPS6KA1;CDK20;PDK4;KAT7;PRKACB;ACVR1;EPHA5;EPHA4;PRKCI;EPHA7;COG7;DAPK1;DAPK2;PRKCE;COG3;ATG10;P3H1;PRKCA;CSNK1D;CSNK1E;PHKA2;RUNX3;CDC34;SIK3;SIK2;ALG10B;TRIB2;LIPT1;MTMR2;MTMR3;MEAF6;PRKDC;FUT10;PDGFB;WNK4;MTMR6;MTMR7;NUAK1;ST3GAL4;ST3GAL5;STK38L;ATG7;ST3GAL1;ST3GAL2;ATG5;ST3GAL3;B3GALNT2;SRPK2;YES1;ST8SIA1;PLK2;INSR;ST8SIA2;PLK1;EIF2AK3;DCLK1;PTK2;MSRA;CDK10;ATM;CDK14;CDK15;SMG1;PTPRR;PRKAG2;PTPRM;PTPRJ;PTPRK;PHEX;TRIOBP;PTPRG;SERP2;JAK1;PRMT6;DUSP5;MANBA;ANXA1;SYK;FN3KRP;UCHL3;INCENP;PIGK;RARA;FAM20C;SGK1;CHST5;NEDD8;GCNT2;PAK6;MAP4K5;PAK3;MAP4K3;PAK4;UBL4A;MAP3K1;RYK;HIPK3;HIPK2;TMEM59;TAOK3;TAOK1;QPCT;STK17B;PKN2;NEK11;PRAG1;JADE1;F13A1;PLOD2;LOXL1;LOXL2;PPP1CB;STK10;MACROD1;PIM3;MACROD2;MAP3K9;LARGE1;MAP3K5;TGM2;CSNK1G3;CDKL5;PPTC7;FBXW11;IGFBP3;DYRK1A;ADAM10;LMTK2;PRPF4B;TNNI3K;PPP4R3B;FBXO11;RBX1;ERN1;LOX;CCNE1;ERG;TNIK;PPEF2;PXK;STK39;FUT1;STK3;GRK5;IRAK1;ABL1;MAP3K20;MARK1;UVRAG;TGFB2;NEK6;RHBDD1;NEK7;CDK9;PTPRD;CDK8;PTPRE;FER;CDK6;PTPRC;STK25;ATG16L1;UST;CDK1;STT3A;CPE;TAF4B;TAB1;COPS8;MAP3K13;BMPR1A;GSK3B;DYRK3;ST6GALNAC2;LRRK2;MAST2;LRRK1;NGLY1;PTEN;PIK3CD;ILK;DUSP16;DUSP11;DUSP12;RB1CC1;PRKG2;TLK1;PRKG1;PPP1R12A;PPP2R5A;WIPI1;PPP2R5D;WIPI2;YWHAZ;TGFBR2;PPM1A;DAD1;PEAK1;CTDSP2;ATG4C;PFDN1;PIK3C3;PRKAA1;CAMK2D;PRKAA2;PPM1L;ROCK2;PPM1H;GLRX;PPM1J;RNF7;PPM1D;RNF2;MAPK8;ERBB2;PTK2B;FYN;FNIP2;USP25;CDC42BPB;PTPN12;CDC42BPA;MTOR;ACVR2A;BCKDK;SNRK;AQP11;TAF3;METAP2
Phosphorylation (GO:0016310)	153/429	2.7213731823413e-06	0.00276437087862229	0	0	1.61765243504374	20.7292032376895	DGKG;APP;DGKD;PRAG1;MAML1;TESK2;STK10;TBK1;CHEK2;AKT3;RPS6KA1;CDK20;PDK4;PIM3;MAP3K9;PRKACB;MAP3K5;ACVR1;EPHA5;EPHA4;PRKCI;EPHA7;CDKL5;DAPK1;DAPK2;PRKCE;IGFBP3;DYRK1A;ADAM10;LMTK2;PRKCA;PRPF4B;CSNK1D;TNNI3K;CSNK1E;RUNX3;ERN1;CCNE1;SIK3;ERG;TNIK;SIK2;TRIB2;DGKH;CERKL;PXK;PRKDC;MAPKAP1;PDGFB;STK39;WNK4;STK3;NUAK1;FGGY;GRK5;IRAK1;ABL1;MAP3K20;STK38L;NADK;MARK1;SRPK2;UVRAG;TGFB2;PLK2;NEK6;TNK2;INSR;PLK1;NEK7;EIF2AK3;DCLK1;PTK2;CDK9;CDK8;FER;CDK6;STK25;CDK1;CDK10;TAF4B;ATM;COPS8;MAP3K13;CDK14;CDK15;GALK2;BMPR1A;ALK;PRR5;GSK3B;SMG1;DYRK3;LRRK2;MAST2;LRRK1;PRKAG2;PIK3CD;ILK;PIK3CB;HK2;HK1;RPTOR;RB1CC1;PRKG2;TLK1;PRKG1;JAK1;SYK;SPHK2;YWHAZ;TGFBR2;PIK3CA;INCENP;PEAK1;RARA;FAM20C;PIK3C3;TOP1;SGK1;PRKAA1;CAMK2D;PRKAA2;ROCK2;MAPK8;ERBB2;PAK6;PTK2B;RICTOR;FYN;MAP4K5;PAK3;FNIP2;MAP4K3;PAK4;MAP3K1;RYK;CDC42BPB;CDC42BPA;HIPK3;MTOR;GCK;ACVR2A;HIPK2;BCKDK;SNRK;TAOK3;TAOK1;STK17B;POMK;PKN2;TAF3;NEK11
Cell-Substrate Junction Assembly (GO:0007044)	19/28	3.48031447796809e-06	0.00294608620559999	0	0	6.10942137302052	76.7855776669563	COL17A1;DST;ITGB4;SRC;RCC2;TESK2;LAMC1;PTPRK;THY1;SORBS1;THSD1;RHOD;BCR;PEAK1;CDH11;PIP5K1A;WHAMM;ARHGEF7;PLEC
Regulation Of Cell Migration (GO:0030334)	153/434	5.70584902165447e-06	0.00402034269083092	0	0	1.5883235548716	19.1774484065698	SEMA5A;IFITM1;SERPINE2;CSF1;FAM89B;ZMYND8;ULK4;TNC;LDLRAD4;CLDN1;FGF2;MYLK;AMOT;IGF1R;FAM110C;DPYSL3;DAG1;CYP1B1;TNR;ARID2;ACVR1;PDGFRB;EPHA4;TBCCD1;WNT5B;SEMA6D;HGF;MAGI2;TPM1;ADAM10;PRKCA;MITF;ACTN4;GTPBP4;CLDN5;CLDN4;SFRP1;RUFY3;SPATA13;MYADM;ADAM9;VCL;EPHA2;MACF1;NOTCH1;PDGFB;TWIST2;PDGFA;STC1;TWIST1;THY1;FOXO3;CORO1C;SDCBP;PODXL;PDGFD;PDGFC;NKX2-1;PLXNA2;SRGAP3;SRGAP1;ARSB;XBP1;FZD4;INSR;RCC2;CAV1;OSGIN1;IGF1;PTK2;SMAD7;COL1A1;BST2;DAB2;FER;CXCL12;DLG5;FGF18;SNAI1;CASS4;SNAI2;PLXNB2;ATM;ITGB1;CLIC4;MCTP1;LDB1;CITED2;PTEN;KIF14;PIK3CD;PTPRJ;LAMC2;PTPRK;CX3CL1;ING2;DUSP10;TMSB4X;EMILIN2;CTSH;PHACTR1;APPL1;PLEKHG3;ANXA1;TET1;RHOD;DUSP22;TMIGD3;F7;MMP14;TMEFF2;RAP2B;KIF2A;NAV3;CDH11;CDH13;SGK1;HBEGF;KANK1;HDAC2;SF3B3;SEMA3C;ROCK2;SEMA3D;SRC;LEF1;NEDD9;NEXN;SEMA3E;RBBP4;ERBB4;MGAT5;PDPN;GCNT2;MGAT3;HAS2;PTK2B;FYN;CTNNA2;SLIT2;RFFL;SASH1;SPAG9;SEMA4D;NTRK3;SEMA4B;ELP3;ELP6;SORL1;TJP1;F2RL1;SPRY2;BCAR1
Positive Regulation Of Cell Migration (GO:0030335)	103/272	6.33249488612864e-06	0.00402034269083092	0	0	1.77379794863976	21.2320355322489	SEMA5A;FAM89B;CSF1;CLDN1;MYLK;IGF1R;CAPN7;FAM110C;FBXO5;ACVR1;PDGFRB;EPHA4;SEMA6A;WNT5B;PRKCE;HGF;SEMA6D;ADAM10;PRKCA;ACTN4;SHTN1;CLDN4;RUFY3;MYADM;ADAM9;EPHA2;NOTCH1;PDGFB;TWIST2;PDGFA;TWIST1;RTN4;SDCBP;PODXL;PDGFD;PDGFC;RREB1;S100A11;TNFSF18;XBP1;TGFB2;SMURF2;FZD4;INSR;CAV1;IGF1;PTK2;COL1A1;DAB2;FER;CXCL12;PTPRC;AGO2;SNAI1;CASS4;SNAI2;ATM;FGF10;ITGB1;DOCK5;PIK3CD;LAMC2;NIPBL;CTSH;GAB1;RHOD;F7;MMP14;RAPGEF2;CDH13;ARHGEF2;ARHGEF7;DOCK1;DDR2;HBEGF;SEMA3C;ROCK2;SEMA3D;SRC;SEMA3A;LEF1;NEDD9;SEMA3E;MGAT5;PDPN;GCNT2;HAS2;PTK2B;CLASP1;CLASP2;SPAG9;SEMA4D;NTRK3;SEMA4B;DAB2IP;ELP3;ELP6;RAB11A;MTOR;TJP1;F2RL1;SPRY2;BCAR1
Circulatory System Development (GO:0072359)	57/132	9.49832563532706e-06	0.00536022176686957	0	0	2.20595560793557	25.5105420551435	CDKN1B;CITED2;PTEN;ECE1;LDB3;SMG9;PKD1;GLI2;AKAP13;GJA1;SALL1;HEY1;GJA5;HEY2;SOX4;KDM6A;MEF2A;KDM6B;FBXW7;SLC2A10;CACYBP;FOXL1;ZDHHC16;HSPG2;ISL1;TGFBR2;KAT2B;MTHFD1;PIK3CA;MYL2;HAND1;PKP2;PHIP;ZFPM2;ZFPM1;CRB2;POPDC2;RAMP2;NOTCH1;NXN;PDGFB;CACNA1C;HDAC9;PDLIM3;ERBB4;POLR2D;SMYD4;PDLIM5;TGFB2;NTRK3;MICAL2;POU6F1;TAB2;CCM2;BCOR;DZIP1;FBN1
Regulation Of Anatomical Structure Morphogenesis (GO:0022603)	55/127	1.21900196684257e-05	0.00619131098959342	0	0	2.21682265418766	25.0831111342904	GSK3B;PHLDB1;PID1;SPARC;LRRK2;TNFAIP3;TSPAN12;ETS1;FGF2;ARHGAP44;LFNG;SIPA1L1;BMPER;CDH2;ZMYM6;DAG1;LZTS1;PPFIA2;SH3D19;EPHA4;RC3H1;ZDHHC15;CLDN4;SFRP1;HECW2;RUFY3;HECW1;PHIP;TNIK;PHLDB2;EPHA2;CRB2;SDC2;EFNA5;STRIP1;ERBB2;KRIT1;HMOX1;LRRC4C;PAK3;PDLIM5;CLASP1;BCL9L;CLASP2;EGLN1;ZRANB1;SEMA4D;STAT2;MYO19;FMNL2;BCL6;GDNF;NEDD4;CCM2;FGFR2
