Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Actin Binding (GO:0003779)	78/183	4.55840630019979e-07	0.000464501601990359	0	0	2.1607326007326	31.5491215747364	ITGB1;TLNRD1;LRRK2;HNRNPU;FHL3;LDB3;LMOD2;SYNE1;MAEA;TMSB4X;DAG1;PHACTR2;PHACTR1;SYNPO;MYOZ2;PHACTR4;TMOD1;PLEKHG3;GAS2L3;PACRG;PRKCE;TPM2;TPM1;SHROOM2;COBL;ACTN4;MTSS1;MAP1B;MYL2;TNNT2;KCNMA1;FSCN1;PPP1R42;TLN2;EZR;UTRN;ALDOA;VCL;MACF1;SPTBN4;PLEKHH2;SYNPO2;CACNA1A;TWF1;NOD2;IQGAP2;MEFV;ADCY8;NCALD;LIMA1;ABLIM1;PDLIM3;CALD1;MICAL1;MYO6;ABL1;DMD;FLNB;EPS8L3;PDLIM5;MYH10;SPTBN1;VPS16;SNCA;GSN;MICAL2;KLHL2;PARVA;SORBS1;FHDC1;CORO2B;MYO19;PTK2;CCDC88A;SMTN;MLPH;TRPV4;FXYD5
Cadherin Binding (GO:0045296)	115/319	2.6173808945009e-05	0.0133355556574821	0	0	1.64066182801354	17.3102149242516	TES;RPL34;CTNND2;HDLBP;ENO1;CDH7;CDH3;CDH2;PPME1;KIF5B;MB21D2;TMPO;ACVR1;CAST;SH3GLB1;IST1;SWAP70;CSNK1D;ANK3;GAPVD1;OLFM4;SND1;CD2AP;ATXN2L;SHTN1;FSCN1;PKP2;RPL24;EZR;PHLDB2;VCL;EPHA2;MACF1;NOTCH3;PDXDC1;TWF1;ARHGAP18;NDRG1;RTN4;CNN3;LARP1;BAG3;CALD1;PCBP1;COBLL1;CDH23;PACSIN2;STXBP6;CDH26;S100A11;SPTBN1;ZC3H15;PARVA;PAICS;PPFIBP1;DLG1;EHD4;EIF5;DIAPH3;FXYD5;ITGB1;DOCK9;OLA1;PTPRM;PTPRJ;LASP1;ERC1;LRRFIP1;NCK1;ANXA1;ANXA2;YWHAZ;EPN2;GPRC5A;PKM;CDH10;CDH11;CDHR3;CDC42EP1;CDH13;ALDOA;MAPRE1;CDH18;PLEC;AHNAK;SRC;CAPG;ASAP1;SLC3A2;CBL;LIMA1;EPCAM;CTNNA1;RPL14;PAK6;CTNNA3;FLNB;FYN;CTNNA2;PDLIM5;PAK4;RANBP1;DAB2IP;BAIAP2;KTN1;TJP1;MYO1B;KRT18;FMNL2;VAPA;VAPB;ABI1;PKN2;PFKP;TJP2
Protein Serine/Threonine Kinase Activity (GO:0004674)	118/342	0.000175986799611788	0.0597768496014705	0	0	1.53197245100824	13.2440574382594	ARAF;TESK2;MYLK;RPS6KA3;STK10;TBK1;CHEK2;AKT3;RPS6KA1;CDK20;PIM3;MAP3K9;PRKACB;MAP3K7;MAP3K5;ACVR1;CSNK1G3;PRKCI;CDKL5;DAPK1;DAPK2;PRKCE;DYRK1A;LMTK2;CSNK1D;PRKCA;PRPF4B;CSNK1E;ERN1;PRKD3;SIK3;PRKD1;SIK2;TNIK;ALPK1;RAF1;PRKDC;WNK4;STK39;STK3;NUAK1;GRK5;IRAK1;MAP3K20;STK38L;MAP2K6;MARK1;SRPK2;PLK2;NEK6;PLK1;NEK7;EIF2AK3;CDK9;CLK1;CDK8;CDK7;CDK6;STK25;CDK1;CDK10;ATM;CDK13;MAP3K13;CDK14;MAP3K14;CDK15;BMPR1A;GSK3B;SMG1;DYRK3;MAST4;LRRK2;MAST2;LRRK1;ILK;TLK1;CAMK1D;SYK;RIPK2;CIT;TGFBR2;MYO3B;FAM20C;TOP1;SGK1;CAMK2D;PRKAA1;PRKAA2;ATP23;ROCK2;PPM1D;MAPK8;PAK6;PTK2B;FYN;MAP4K5;PAK3;MAP4K3;PAK4;MAP3K2;MAP3K3;MAP3K1;MOK;CDC42BPB;CDC42BPA;HIPK3;ACVR2A;MTOR;HIPK2;BCKDK;PIKFYVE;SNRK;TAOK3;STK17B;TAOK1;PKN2;NEK11
Microtubule Binding (GO:0008017)	86/239	0.000273745132264336	0.0697365724443395	0	0	1.63219735411615	13.3894258693549	MAP10;NUMA1;MTCL1;LRRK2;MAST2;KIF14;FMN1;TPGS1;KIF15;OPA1;KIF5C;KIF5B;KIF13A;KIF21A;KIF1B;CEP290;DLGAP5;NDEL1;GABARAPL2;GAS2L3;DST;FBXW11;SGIP1;MTUS1;HAUS4;MTUS2;KIF22;EML1;KNSTRN;MID1;MID2;EML4;DNM3;CLIP2;KIF2A;FAM161A;STIM1;NAV3;KIF16B;MAP1B;NME8;ARHGEF2;EZR;MAPRE1;SAXO1;MACF1;CCDC69;ABRAXAS2;NDRG1;CAMSAP2;MAP2;KIF3A;KRIT1;MAP6;TOGARAM1;MAP4;KIF3C;WHAMM;MAP9;CLASP1;CLASP2;RCC2;NDE1;MX2;PLK1;RMDN2;TBCB;RMDN1;FHDC1;LRPPRC;RAB11A;CCDC88B;REEP1;CCDC88A;KIF18B;HOOK2;VAPA;VAPB;GJB6;REEP3;TRPV4;JMY;CCSER2;CCDC66;FGF13;MDM1
SH3 Domain Binding (GO:0017124)	27/59	0.000686099467188047	0.139827071412924	0	0	2.44178383128295	17.7871448829063	KHDRBS1;WIPF1;CBLB;CBL;MYPN;MICAL1;DPYSL3;SH3BP2;ABL1;AFAP1L2;GPX1;AFAP1L1;SGIP1;LANCL1;DAB2IP;AFAP1;PTPN12;CD2AP;ENAH;PLSCR1;ABI2;ADAM12;RUFY2;ELMO1;ADAM9;GRB2;SKAP1
Adenyl Ribonucleotide Binding (GO:0032559)	104/309	0.00109010094222134	0.185135476687257	0	0	1.47317073170732	10.0492120185604	PRAG1;EIF4A3;HNRNPU;PPIP5K1;PPIP5K2;AKT3;PDK4;PAPOLA;ENPP1;PRKACB;MAP3K5;ACVR1;PRKCI;CDKL5;DAPK1;DAPK2;LMTK2;RUNX3;ERN1;CNBD2;ACLY;SIK3;SIK2;PI4K2A;PIF1;PXK;AARS2;HSPA4L;WNK4;TWF1;ABCB8;ABCB9;AK5;STK3;MYO6;ABL1;MAP3K20;STK38L;N4BP2;MYH10;MARK1;ABCA1;SRPK2;ABCA2;EIF2B2;INSR;NEK6;PLK1;GCLC;CDK6;UBA2;BMPR1A;RYR1;ABCD4;DYRK3;MAST2;KIF14;OLA1;PRKAG2;ATP7B;ME1;MYO18A;PDE4B;TLK1;ATP7A;ABCD1;HSP90AA1;KSR1;PDE4D;SYN3;SYN2;SYN1;NME1;PEAK1;LANCL2;RAPGEF2;TOP1;RAPGEF4;POPDC2;ATP10D;ATP1A3;ATP1A1;HMGCR;NT5C2;SRR;MTHFD1L;MAP4K5;MAP4K3;ABCF1;PNPLA8;GSS;CDC42BPB;CDC42BPA;GCK;BCKDK;MYO1B;SNRK;PDE10A;STK17B;TAOK1;PFKM;HSPA1B;PFKP;NEK11
Tubulin Binding (GO:0015631)	107/322	0.00151935715545998	0.219418599086247	0	0	1.44504274253447	9.37755857507028	MAP10;TPGS1;GJA1;KIF5C;FAM110C;KIF5B;DAG1;KIF21A;GABARAPL2;GABARAPL1;GAS2L3;MTUS1;MTUS2;UNC5C;EML1;MID1;MID2;EML4;CLIP2;FAM161A;IFT81;KIF16B;MAP1B;PPP1R42;TTLL11;EZR;NDRG1;MAP2;KIF3A;MAP6;MAP4;KIF3C;MAP9;RCC2;PLK1;RITA1;RMDN2;RMDN1;TBCA;FHDC1;CCDC88B;REEP1;CCDC88A;KIF18B;HOOK2;GJB6;REEP3;TRPV4;JMY;CCSER2;FGF13;DNAL1;MDM1;NUMA1;MTCL1;LRRK2;MAST2;KIF14;FMN1;KIF15;OPA1;KIF13A;KIF1B;DLGAP5;APPL1;NDEL1;BCAS3;PACRG;DST;SGIP1;KIF22;ARL4C;DNM3;KIF2A;NAV3;NME8;ARHGEF2;ALDOA;ARHGEF7;SAXO1;CCDC69;PRUNE1;HTT;STMND1;ABRAXAS2;NCALD;IFT74;KRIT1;TOGARAM1;FYN;WHAMM;CLASP1;CLASP2;SNCA;NDE1;MX2;LRPPRC;RAB11A;TTLL7;AGBL4;NEDD1;TTLL5;AGBL1;VAPA;VAPB;TAOK1;CCDC66
PDZ Domain Binding (GO:0030165)	27/62	0.0017226190310991	0.219418599086247	0	0	2.23203615365303	14.2044759794068	GRIA1;SLC22A4;DOCK4;NLGN1;SLC22A5;SDC2;KIF14;PTEN;SRR;ERC1;FZD1;GRID2;FZD2;CADM1;PLEKHA1;FZD4;PLEKHA2;ATP2B4;CRIM1;ARHGAP29;ATP2B2;ATP2B1;SYNJ2;CIT;TGFBR3;RAPGEF2;CFTR
Phosphatidylinositol Kinase Activity (GO:0052742)	10/16	0.00208226382095364	0.224347645114151	0	0	4.81575191384456	29.7338951233515	PI4K2B;PIKFYVE;PIK3CA;PIK3CD;PIP5K1A;PIK3C3;PIK3CB;PIK3C2A;PI4K2A;PIK3C2B
Transforming Growth Factor Beta Binding (GO:0050431)	12/21	0.00220164519248431	0.224347645114151	0	0	3.85332294911734	23.5767506074024	TGFBR3;TWSG1;TGFB3;CD109;HYAL2;WFIKKN2;LTBP2;ITGAV;LRRC32;LTBP1;TSKU;TGFBR2
ATP Binding (GO:0005524)	93/279	0.00266755621345909	0.247112707410437	0	0	1.45064292779426	8.59736949829014	RYR1;ABCD4;DYRK3;PRAG1;MAST2;EIF4A3;KIF14;OLA1;HNRNPU;PRKAG2;ATP7B;PPIP5K1;PPIP5K2;AKT3;PDK4;PAPOLA;MYO18A;ENPP1;TLK1;ATP7A;PRKACB;ABCD1;MAP3K5;ACVR1;PRKCI;HSP90AA1;CDKL5;KSR1;DAPK1;DAPK2;LMTK2;SYN3;RUNX3;SYN2;SYN1;NME1;ERN1;ACLY;PEAK1;SIK3;LANCL2;SIK2;TOP1;PI4K2A;PIF1;PXK;AARS2;HSPA4L;ATP10D;WNK4;TWF1;ATP1A3;ABCB8;ABCB9;AK5;ATP1A1;NT5C2;STK3;SRR;MTHFD1L;ABL1;MAP3K20;STK38L;MAP4K5;N4BP2;MYH10;MAP4K3;MARK1;ABCF1;ABCA1;SRPK2;ABCA2;EIF2B2;PNPLA8;INSR;GSS;NEK6;PLK1;CDC42BPB;CDC42BPA;GCK;BCKDK;MYO1B;SNRK;CDK6;STK17B;TAOK1;UBA2;PFKM;HSPA1B;PFKP;NEK11;BMPR1A
Phosphatidylinositol Monophosphate Phosphatase Activity (GO:0052744)	8/12	0.0033875172665757	0.264599305776501	0	0	5.77743190661479	32.8600567779532	MTMR2;MTMR3;SACM1L;PTEN;OCRL;SYNJ2;MTMR6;MTMR7
Platelet-Derived Growth Factor Receptor Binding (GO:0005161)	8/12	0.0033875172665757	0.264599305776501	0	0	5.77743190661479	32.8600567779532	PDGFRB;ITGB3;PDGFD;PDGFC;PDGFB;PDGFA;PTPRJ;VEGFD
Transcription Coregulator Binding (GO:0001221)	38/99	0.00376166494372933	0.264599305776501	0	0	1.80314394790029	10.0667608343902	CCNT2;THRB;FAM89B;ZBTB49;LEF1;GATA6;EHMT1;TWIST1;RORA;CHD4;ENO1;GATA2;ETS1;MYC;EP300;ELOC;SUZ12;MED1;ZBTB17;SREBF1;SMAD3;NEK6;FOS;RUNX3;TRERF1;PBX1;SMARCA4;CIT;CDK9;NR5A1;NR5A2;BCL6;HAND1;MTF2;RARA;ATF7;PPARG;VGLL4
Cadherin Binding Involved In Cell-Cell Adhesion (GO:0098641)	10/17	0.00389498487404075	0.264599305776501	0	0	4.12750931435244	22.8996919581194	KRT18;ANXA2;EPCAM;CDC42EP1;STXBP6;BAIAP2;PDLIM5;S100A11;CNN3;PAK4
Platelet-Derived Growth Factor Binding (GO:0048407)	7/10	0.00418580735424011	0.266583605873167	0	0	6.73947999740647	36.9057677029273	PDGFRB;COL1A2;COL2A1;COL5A1;COL6A1;PDGFB;PDGFA
