Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Focal Adhesion WP85	85/185	2.05388736085297e-09	3.53268626066711e-07	0	0	2.47663440647837	49.5414345271008	ITGB1;GSK3B;ITGB5;LAMC3;ITGB4;ITGB3;ITGB2;TNC;ARAF;PTEN;TESK2;ILK;PIK3CD;LAMC2;PIK3CB;ITGAE;LAMC1;MYLK;CCND2;CCND1;AKT3;RAC2;TNR;ITGB8;ITGAV;CAPN1;ITGB6;PDGFRB;PPP1R12A;ITGA4;VWF;ACTN1;HGF;COL2A1;PIK3CA;COL6A2;COL4A6;ITGA8;RAPGEF1;ITGA7;RAF1;SOS1;DOCK1;VCL;LAMA5;LAMA2;ROCK2;SRC;LAMA4;COL11A1;PXN;LAMA3;PDGFB;PDGFA;PIK3R1;THBS2;PIK3R5;MAPK8;PDGFD;PDGFC;ERBB2;SPP1;PAK6;FYN;PAK3;MAP2K5;MAP2K6;PAK4;JUN;BAD;TNK2;CAV1;VEGFB;VEGFC;VEGFD;IGF1;PTK2;COL1A1;COL1A2;COL5A1;COL5A2;ITGA11;BCL2;GRB2;BCAR1
Integrin-mediated Cell Adhesion WP6	47/100	3.5728640413022e-06	0.000307266307551989	0	0	2.57275857859909	32.2679060778958	ITGB1;ITGB5;ITGB4;ROCK2;SRC;ITGB3;PXN;ITGB2;ARAF;ILK;ITGAE;CAPNS1;CAPN7;AKT3;CAPN5;CAPN2;RAC2;ITGB8;PAK6;ITGAV;FYN;CAPN1;ITGB6;PAK3;MAP2K5;TNS1;MAP2K6;PAK4;VAV3;GIT2;ITGA4;ACTN1;CAV1;ITGA1;SORBS1;PTK2;ITGA11;ITGA8;RAPGEF1;ITGA7;GRB2;RAF1;ARHGEF7;SOS1;DOCK1;VCL;BCAR1
White fat cell differentiation WP2872	20/32	1.25956924374381e-05	0.000614742398779168	0	0	4.82319292771711	54.4160134490167	INS1;SREBF1;TLE3;WNT10B;EGR2;CEBPD;EBF1;RORA;GATA3;NR2F2;NR3C1;GATA2;KLF4;KLF15;FOXO1;KLF5;MECOM;CTNNA1;RARA;PPARG
TGF Beta Signaling Pathway WP113	28/52	1.42963348553295e-05	0.000614742398779168	0	0	3.37877604166667	37.691960991728	ZFYVE9;LEF1;LTBP1;SPP1;EP300;ITGB6;SKIL;JAK1;TGIF1;SMAD2;JUN;SMAD3;FST;LIF;FOS;INHBA;SMAD6;RUNX3;SMAD5;RUNX2;NFKB1;TGFBR2;SMAD7;TGFBR3;BMP4;FKBP1A;ZEB2;BAMBI
Alpha6-Beta4 Integrin Signaling Pathway WP488	33/67	2.97512835336726e-05	0.00082236544117713	0	0	2.81176470588235	29.3060064660767	COL17A1;LAMA5;LAMA2;IRS1;ITGB4;SRC;LAMA3;PIK3CD;LAMC2;PIK3CB;LAMC1;PIK3R1;NTN1;CASP3;ERBB2;CLCA2;ABL1;FYN;SMAD2;YES1;SMAD3;DST;BAD;ERBIN;PRKCA;YWHAZ;MTOR;PTK2;AR;PIK3CA;EIF6;GRB2;PLEC
ErbB signaling pathway WP1261	25/46	3.31750567037023e-05	0.00082236544117713	0	0	3.44640881923724	35.5452689212942	GSK3B;CDKN1B;SRC;ARAF;PIK3R5;MAPK8;ERBB4;MYC;AKT3;ERBB2;ABL1;PAK4;NCK1;JUN;BAD;GAB1;NRG1;PRKCA;NRG2;MTOR;PTK2;EREG;GRB2;SOS1;HBEGF
Adipogenesis genes WP447	56/134	3.54783602310119e-05	0.00082236544117713	0	0	2.08306644913086	21.3443228857693	RB1;INS1;IRS1;CISD1;RORA;AHR;NR3C1;SCD1;MEF2A;TLE3;SREBF1;NCOA2;MBNL1;WNT5B;EBF1;MIF;KLF15;NCOR2;RBL2;RBL1;RARA;PPARG;PLIN2;IL6ST;CEBPD;LPL;TWIST1;GATA3;GATA2;FOXO1;ZMPSTE24;SOCS3;SOCS1;E2F1;PPARGC1A;PCK2;FZD1;WWTR1;WNT10B;EGR2;SMAD3;GADD45B;GADD45A;STAT2;NR2F1;LIF;IGF1;DLK1;BMP4;KLF7;KLF6;KLF5;SP1;ID3;AGRP;LPIN3
PluriNetWork WP1763	106/292	3.82495554035874e-05	0.00082236544117713	0	0	1.65768405607947	16.8609321687024	INS1;RIF1;IRS1;JADE1;HNRNPU;EHMT1;RBPJ;SALL1;ZFP281;CCND1;SALL3;DPYSL2;MYC;TRIM24;EP300;PIM3;KPNA2;ACVR1;CUBN;ZFP219;IGFBP3;MITF;IL6ST;RAF1;KPNB1;NOTCH1;GATA6;TWIST1;SOCS2;TPO;FZD1;TFAP2A;SMAD2;SMAD3;POU2F1;GADD45A;SMURF1;INSR;NR2F1;LIF;NR2F2;NFKB1;SMARCA4;THAP11;SMAD7;BMP4;P4HA1;SP1;TRP53;ID1;REL;NANOG;GRB2;ITGB1;GSK3B;PTEN;PIK3CD;CHD4;CDC73;MED12;ZMYM2;CASP3;JARID2;JAK1;KDM6A;KDM6B;HELLS;PBRM1;DNMT3A;GAB1;TET1;FOS;ZFX;ETV5;AES;RBL2;NR5A2;MTF2;SGK1;SOS1;CD44;CERS2;HDAC4;HDAC2;SATB1;ROCK2;SATB2;LEF1;LRP5;RNF2;RBBP4;PERP;SPP1;ZFP143;SUZ12;CDKN2A;MBD2;ELP4;KLF4;PML;MTOR;TBX3;GATAD2A;REST;KLF5;CDK2AP1
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	115/324	5.64054673189188e-05	0.001077971153206	0	0	1.60086491357994	15.661172546928	FOXA1;INS1;CSF1;IRS1;TNC;FGF2;IGF1R;COMP;PPP2R1B;CREB3L1;CREB3L2;AKT3;TNR;PDGFRB;RAB2A;CMC4;HGF;RPS6;COL4A6;RAF1;EPHA2;PFKFB2;PFKFB3;PDGFB;IL4RA;PDGFA;LPAR3;PIK3R1;FOXO3;EFNA5;FOXO1;PIK3R5;HSP90B1;PDGFD;PDGFC;PPARGC1A;INSR;IGF1;PTK2;COL1A1;EFNA1;EFNA3;COL1A2;FGF14;LPAR5;COL5A1;KITL;RHEB;GNB2;COL5A2;ITGA11;FGF18;GNB4;GRB2;FGF13;FGFR2;FGF10;ITGB1;GSK3B;CDKN1B;ITGB5;CAB39L;LAMC3;ITGB4;ITGB3;ITGB2;PTEN;PIK3CD;SLC2A3;LAMC2;PIK3CB;ITGAE;LAMC1;PIK3C2A;PIK3C2B;RPTOR;ITGB8;ITGAV;ITGB6;JAK1;SREBF1;HSP90AA1;ITGA4;VWF;PPP2R5A;PPP2R5D;TBC1D1;COL2A1;PIK3CA;COL6A2;IL3RA;ITGA8;ITGA7;SOS1;CREB5;PHLPP2;LAMA5;PRKAA1;PRKAA2;LAMA2;COL11A1;LAMA4;LAMA3;IL6RA;THBS2;GNG2;GNG7;SPP1;ANGPT1;BAD;VEGFB;VEGFC;VEGFD;MTOR;EPOR
EGFR1 Signaling Pathway WP572	68/178	0.000162648570654214	0.00255588205684014	0	0	1.79394416607015	15.6502230444803	ARF4;PTPRR;SH3KBP1;ARAF;PIK3CD;CBLB;PIK3CB;PIK3C2B;RPS6KA3;GJA1;GRB14;MYC;RPS6KA1;APPL1;JAK1;NCK1;TGIF1;VAV3;PRKCI;KRT8;GAB1;PRKCA;FOS;EEF1A1;DOK2;PLSCR1;PIK3CA;RASA1;PRKD1;RAF1;SOS1;PLEC;RALB;SRC;PXN;HTT;ASAP1;PIK3R1;PLD1;CBL;FOXO1;SOCS3;SH3BGRL;MAPK8;SOCS1;PTK2B;MAP2K5;SNCA;SMAD2;MAP3K2;MAP3K3;JUN;SMAD3;MAP3K1;TNK2;CAV1;STAT2;RFXANK;PTPN12;KRT18;TNIP1;SP1;ABI1;SPRY2;GRB2;PKN2;MAP3K14;BCAR1
