Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	206/938	5.32588833228815e-11	2.4360613231886e-07	0	0	1.74289720589752	41.2297262009495	ATF2;APP;TCERG1;SPI1;MAML1;PWWP2B;ZMYND8;HNRNPU;RBPJ;ELK3;RPS6KA3;ZC3H12A;NAMPT;RPS6KA1;EPC1;TNFSF11;IER5;JUNB;IER2;SOX4;ACVR1;DDX17;MEF2C;RFX3;SOX11;MED4;RUNX2;HCFC1;RUNX1;MAML3;PRKD1;ATF5;ATF6;SKAP1;PAXIP1;CTBP2;EPAS1;MEPCE;TWIST1;GATA3;MED12L;PPP3R1;HIVEP1;FADD;RREB1;PPARGC1B;ZBED3;S100A10;EGR1;WWTR1;JUN;XBP1;JAG1;JUP;FZD5;SS18L1;EAF2;SMARCA5;NFATC3;LIF;NFATC1;NR1D2;NR2F2;INO80;SMARCA2;ELL2;TRERF1;PBX1;FOSL2;MLLT10;AGO2;CREBRF;CDK13;RARG;CITED2;TCF20;GLI3;GLI2;PHF8;PPP3CA;MED13;HEY1;HYAL2;IKBKG;TEAD1;HTATIP2;SS18;ANXA2;TFE3;TET2;FOS;MED27;SREBF2;TOX3;KAT2B;ZEB2;NCOA7;RHOQ;TMF1;NFIX;DOT1L;EGFR;HSF1;LEO1;STAT4;APBB2;BRD4;ARNT2;NFYC;STAT3;SKI;PER1;PSMC3;NFIA;NFIB;PRKRA;APEX1;TCEA1;CRTC3;CRTC1;PRDM2;RORB;PARK7;FGF1;ETS1;FGF2;ETS2;GTF2I;HGF;POU3F2;TBL1XR1;PHIP;FIZ1;NOTCH1;NOTCH4;GLIS3;FOXO3;FOXO1;ABL1;CAMTA2;ZFHX3;POU2F1;SMAD3;HMGA2;SMAD9;INHBA;BMP4;NR4A2;IL6;TFCP2;NR4A3;GDNF;TCF4;NFE2L2;BMPR1A;CALCOCO1;BMPR2;THRB;AKAP8L;HMGB1;PKD2;IRF2BPL;SIN3A;MYBL1;KDM6B;KLF10;VEZF1;ETV4;ETV5;TNFRSF1A;ELF1;CREB1;CDH13;MET;CEBPA;NUFIP1;USP16;PLAG1;WBP2;SRF;TAF9;LEF1;LRP5;LRP6;ATAD2B;NRIP1;E2F1;MLXIP;CNBP;IRX3;MACC1;FOXJ2;CDC5L;KLF4;MEIS2;USF1;KLF7;KLF6;MEIS1;KLF5;LPIN1;PAXBP1;LPIN2;TAF2;SSBP4;TAF1
Regulation Of Cell Migration (GO:0030334)	107/434	5.07190427858194e-09	1.15994450851169e-05	0	0	2.00174987179102	38.232520747896	SEMA5A;CSF1;PLXND1;ZMYND8;ULK4;LDLRAD4;FGF1;FGF2;IGF1R;PLAU;FAM110C;TNR;CPNE3;ACVR1;EPHA4;WNT5B;SEMA6D;APLP2;HGF;F2R;MAGI2;TPM1;ADAM10;CLDN4;FRMD5;ADAM17;DAAM2;VCL;MACF1;CD151;NOTCH1;PDGFA;TWIST1;FOXO3;PODXL;PDGFC;CARMIL1;XBP1;TCAF1;HACE1;JAG1;RCC2;OSGIN1;SMAD7;COL1A1;FER;SNAI1;NF1;PLXNB2;PLXNB1;AMOTL1;FERMT2;FLT1;CITED2;PIK3CD;PTPRJ;PTPRK;SYNE2;PPP3CA;SIN3A;TMSB4X;PHACTR1;ANXA1;SPHK1;MINK1;RHOB;TMEFF2;RAP2A;RAP2B;NAV3;CDH13;SGK1;HBEGF;KANK1;ROCK2;SEMA3D;SRC;LEF1;CXCR4;NEDD9;PRR5L;SEMA3E;PRKX;THBS1;EGFR;PPM1F;PARD6B;ERBB4;MGAT5;LMNA;GCNT2;FLNA;HAS2;SLIT2;SASH1;SPAG9;YTHDF3;SEMA4B;STAT3;ELP3;LAMB1;ELP5;SORL1;MAPK15;SH3RF2;MYO1C;SPRY2
Positive Regulation Of DNA-templated Transcription (GO:0045893)	248/1243	9.9731225305746e-09	1.52056874849494e-05	0	0	1.5433578937633	28.4338567747376	ATF2;APP;TCERG1;SPI1;MAML1;TRRAP;HNRNPU;RBPJ;ACTB;ELK3;ZXDA;RPS6KA3;ZC3H12A;CREB3L2;NAMPT;RPS6KA1;EPC1;TNFSF11;IER5;JUNB;IER2;SOX4;CDK5RAP2;ACVR1;DDX17;MEF2C;RFX3;SOX11;MED4;RUNX3;RUNX2;HCFC1;RUNX1;MAML3;PRKD1;ATF5;ATF6;SKAP1;MEAF6;CTBP2;EPAS1;TWIST1;GATA3;MED12L;PPP3R1;PRDM16;HIVEP1;HIVEP3;FADD;RREB1;PPARGC1B;ZBED3;S100A10;FZD1;EGR1;WWTR1;JUN;XBP1;AFAP1L2;JAG1;FZD2;JUP;FZD5;SS18L1;EAF2;SMARCA5;NFATC3;LIF;NFATC1;NR1D2;NR2F2;INO80;SMARCA2;TRERF1;PBX1;FOSL2;COL1A1;MLLT10;AGO2;SNAI1;CREBRF;MMS19;CDK13;RARG;CITED2;TCF20;GLI3;GLI2;PHF8;PPP3CA;MED13;HEY1;MECOM;HYAL2;CD38;IKBKG;TEAD1;HTATIP2;SS18;ANXA2;TFE3;TET2;FOS;RGMB;SREBF2;TOX3;KAT2B;ZEB2;NCOA7;MAPRE3;RHOQ;TMF1;NFIX;DOT1L;EGFR;NFIL3;HSF1;LEO1;SPP1;STAT4;APBB2;BRD4;ARNT2;NFYC;STAT3;GATAD2A;SKI;PER1;TFAP4;PSMC3;NFIA;NFIB;PRKRA;APEX1;TCEA1;CRTC3;CRTC1;RASL11A;PRDM2;YEATS4;RORB;PARK7;FGF1;ETS1;FGF2;ETS2;GTF2I;HGF;F2R;DYRK1A;POU3F2;KAT6B;TBL1XR1;MORF4L2;PHIP;FIZ1;UBE2V1;INO80C;NOTCH1;NOTCH4;GLIS3;FOXO3;FOXO1;NPAS3;ATXN7;ABL1;EP400;CAMTA2;NDP;ZFHX3;POU2F1;SMAD3;BICRAL;HMGA2;INHBA;BMP4;NR4A2;IL6;TFCP2;NR4A3;GDNF;TCF4;NFE2L2;PICALM;MAP3K12;BMPR1A;CALCOCO1;BMPR2;THRB;AKAP8L;CHD3;HMGB1;PKD2;IRF2BPL;SIN3A;WDR5;YAF2;MYBL1;KDM6B;KLF10;VEZF1;ETV4;ARID1B;ETV5;TNFRSF1A;ELF1;CREB1;CDH13;MET;CREB5;CEBPA;PRKAA1;KDM3A;NUFIP1;USP16;PLAG1;WBP2;SRF;TAF9;LEF1;LRP5;MLLT3;LRP6;ATAD2B;ERBB4;NRIP1;E2F1;ATF7IP;MLXIP;CNBP;IRX3;MACC1;FOXJ2;CDC5L;KLF4;MEIS2;USF1;KLF7;KLF6;MEIS1;KLF5;KANSL1;QRICH1;LPIN1;PAXBP1;LPIN2;TAF2;SSBP4
Protein Phosphorylation (GO:0006468)	113/500	2.8498682248379e-07	0.000325882431510214	0	0	1.78376624171841	26.8828251143859	EPHB6;ATF2;MYLK2;APP;PRAG1;MAML1;IGF1R;RPS6KA3;PPP4R1;EFEMP1;AKT3;RPS6KA1;PDK3;MAP3K9;PRKACB;ACVR1;EPHA4;PRKCI;MUSK;IGFBP3;PRKCD;DYRK1A;ADAM10;PRPF4B;TNNI3K;VRK2;CSNK1E;PRKAB1;RUNX3;ERN1;MAPKAPK3;TYRO3;SIK3;ULK3;PRKD1;TRIB2;EPHA3;PXK;PKDCC;CSF2RA;NUAK1;GRK2;ABL1;MAP3K20;ABL2;CDK17;LYN;UVRAG;CDK19;NEK7;SMAD7;BMP4;MEX3B;FER;CDK6;CDK4;STK25;CDK1;COPS8;CDK14;MAP3K12;BMPR1A;FGFR1;DDR1;BMPR2;FLT1;MAST4;LRRK2;LRRK1;PRKAG2;PIK3CD;RB1CC1;TLK2;PRKG2;JAK2;PRKG1;JAK1;HTATIP2;BRD2;CAMK1D;MINK1;YWHAZ;TGFBR2;HCK;CREB1;LATS2;MYO3B;FAM20B;TOP1;GAS6;SGK1;PRKAA1;CAMK2D;ROCK2;SRC;TAF9;PRKX;EGFR;ERBB4;MAPK1;RICTOR;MAP4K3;RYK;MAPK14;MAPK15;HIPK3;ABI2;TAOK3;PKN2;TEK;TAF2;CDK5R1;TAF1
Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	72/284	5.15066215054315e-07	0.000471182573531688	0	0	2.06554977228367	29.907033954015	EPHB6;DDR1;FLT1;CSF1;PTPRJ;PLAT;PIK3CB;FGF1;FGF2;IGF1R;GHR;SIPA1L1;UBASH3B;NAMPT;AP3S1;SAMD12;JAK2;EPHA4;MUSK;HGF;FRS2;MTSS1;VAV1;PGF;HCK;MAPKAPK3;KIF16B;RASA1;DDIT4;TYRO3;RAPGEF1;PHIP;PRKD1;MET;EPHA3;RHOQ;SRC;ARHGEF28;MVP;PXN;PDGFA;NEDD9;EFNA5;EGFR;FOXO1;EFNB2;SOCS2;FLRT2;ERBB3;ERBB4;PDGFC;MAPK1;LYN;KL;ANGPT1;RYK;BDNF;CAV2;STAT3;VEGFD;BAIAP2;MAPK14;SULF2;FIBP;FER;NR4A3;AXL;APEX1;GRB2;TEK;CDK5R1;FGFR1
Regulation Of Endothelial Cell Migration (GO:0010594)	31/88	7.04209082780525e-07	0.000504376502636889	0	0	3.28953268126067	46.6001467249531	SCARB1;BMPR2;ROCK2;PIK3CD;PTPRM;PRCP;PIK3CB;GATA3;FGF1;ETS1;FGF2;THBS1;BMPER;RRAS;ZC3H12A;ABL1;SLIT2;ADAMTS9;GLUL;SASH1;ANGPT1;NR2F2;FOXP1;RHOB;BMP4;RHOJ;NF1;PRKD1;TEK;PLPP3;RIN2
Positive Regulation Of Cell Migration (GO:0030335)	69/272	8.60661404537805e-07	0.000504376502636889	0	0	2.06611802510247	28.8545048917881	SEMA5A;DOCK5;BMPR2;FLT1;CSF1;PIK3CD;FGF1;SYNE2;IGF1R;PPP3CA;PLAU;FAM110C;CPNE3;ACVR1;EPHA4;WNT5B;SPHK1;HGF;SEMA6D;F2R;ADAM10;SHTN1;CLDN4;ADAM17;DAAM2;PLAA;CDH13;KIF20B;HBEGF;CD151;NOTCH1;ROCK2;SEMA3D;SRC;SEMA3A;LEF1;PDGFA;TWIST1;CXCR4;NEDD9;SEMA3E;THBS1;EGFR;PPM1F;PODXL;MGAT5;PDGFC;GCNT2;HAS2;RREB1;CLASP1;CLASP2;SPAG9;CARMIL1;XBP1;SMURF2;SEMA4B;STAT3;ELP3;LAMB1;ELP5;COL1A1;SH3RF2;FER;MYO1C;AGO2;SNAI1;SPRY2;FERMT2
Positive Regulation Of Cell Motility (GO:2000147)	59/221	8.82162663116553e-07	0.000504376502636889	0	0	2.21122719668781	30.8264737268013	SEMA5A;FLT1;CSF1;PIK3CD;FGF1;SYNE2;IGF1R;PPP3CA;PLAU;FAM110C;CPNE3;ACVR1;EPHA4;WNT5B;SPHK1;HGF;SEMA6D;F2R;ADAM10;CLDN4;ADAM17;DAAM2;CDH13;HBEGF;CD151;NOTCH1;ROCK2;SEMA3D;LEF1;PDGFA;TWIST1;CXCR4;NEDD9;SEMA3E;NTN1;THBS1;EGFR;PPM1F;PODXL;MGAT5;PDGFC;GCNT2;HAS2;SPAG9;CARMIL1;XBP1;CAVIN1;SEMA4B;STAT3;ELP3;LAMB1;ELP5;COL1A1;SH3RF2;FER;MYO1C;SNAI1;SPRY2;FERMT2
Positive Regulation Of Endothelial Cell Migration (GO:0010595)	30/85	1.01107272743757e-06	0.000513849628366606	0	0	3.29839799266551	45.5327307502902	SEMA5A;SCARB1;BMPR2;ROCK2;PIK3CD;HMGB1;PIK3CB;GATA3;FGF1;ETS1;FGF2;THBS1;RRAS;TMSB4X;AKT3;ZC3H12A;ABL1;SASH1;ANGPT1;MAPK14;FOXP1;RHOB;BMP4;ADAM17;PRKD1;TEK;PLPP3;MET;RIN2;FGFR1
Regulation Of Anatomical Structure Morphogenesis (GO:0022603)	39/127	1.59171338871602e-06	0.000728049703998707	0	0	2.68331881111434	35.8241831607696	MTCH2;PHLDB1;PLXND1;SDC2;LRRK2;NEDD4L;EFNA5;ETS1;FGF2;ARHGAP35;STRIP1;SIPA1L1;BMPER;CDH2;CFL1;KIF13B;HMOX1;LRRC4C;PDLIM5;PDZD8;CLASP1;HTATIP2;CLASP2;EGLN1;EPHA4;MEF2C;TANC2;CLDN4;IL6;RAP2A;GDNF;HECW2;NEDD4;NF1;PHIP;CCM2;PHLDB2;FERMT2;CDK5R1
