Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
SH3 Domain Binding (GO:0017124)	22/59	9.92356485795813e-06	0.00362175923720528	0	0	3.58917774514105	41.349475174578	VASP;KHDRBS1;AFAP1L2;GPX1;LANCL1;CBLB;PTPN22;PTPN12;CBL;MAPK15;CD2AP;CASP9;ENAH;RUFY1;ABI2;ADAM12;RUFY2;SH3BP2;ABL1;GRB2;SOCS7;SKAP1
Protein Tyrosine Phosphatase Activity (GO:0004725)	26/76	9.99511014762315e-06	0.00362175923720528	0	0	3.14094699646643	36.1630249120867	PTPN21;PTPRM;PTPN22;PTPRJ;PTPRK;MTMR7;DUSP11;UBASH3B;TNS2;DUSP5;PTPN1;DUSP2;EYA4;PTPN12;PTPN13;PTPN14;CDC25A;DUSP6;DUSP7;PTP4A1;PTP4A2;PTPRE;DUSP21;PTPN4;PTPN5;PTPN3
Cadherin Binding (GO:0045296)	74/319	1.19267592882721e-05	0.00362175923720528	0	0	1.8347188192315	20.7997045455448	BMPR2;HSP90AB1;PTPRM;PTPRJ;PARK7;FNBP1L;LASP1;CDH2;KIF5B;TNKS1BP1;MB21D2;TMPO;ACVR1;CAST;ANXA1;ANXA2;TMOD3;ANK3;YWHAZ;CD2AP;HCFC1;EPN2;EEF1G;SHTN1;GPRC5A;PKM;PKP2;CDH13;MYH9;RPL29;ALDOA;MAPRE1;PHLDB2;VCL;CDH18;PLEC;MACF1;DDX6;NOTCH3;AHNAK;SRC;USO1;ARHGAP18;ASAP1;IQGAP1;CBL;EGFR;CNN3;LIMA1;LDHA;LARP1;CALD1;COBLL1;MICALL1;CDH22;CTNNA1;FLNA;PDLIM5;SPTBN1;VASP;PTPN1;JUP;IDH1;PARVA;BAIAP2;PPP1CA;RAB10;PPFIBP1;EHD4;DIAPH3;GIPC1;PKN2;CDK5R1;PICALM
cAMP Response Element Binding (GO:0035497)	7/9	3.31971590432476e-05	0.00756065297209964	0	0	21.0589680589681	217.18211171029	JUN;CREB1;NR4A3;CREB3L1;CREB3L2;HMGA2;CREB5
Kinase Binding (GO:0019900)	95/460	0.000105991351192306	0.0193116241872381	0	0	1.58172292151444	14.4761702757462	ATF2;HSP90AB1;TFRC;MAML1;PRKAG2;PEBP1;PTPN22;PTPRJ;PARK7;PTPRK;ACTB;PPP1CB;CASP9;GHR;ZFP36;CCND3;SPRED1;CCND1;RB1CC1;TRIM68;KIF13B;SCN5A;JAK2;PDE8A;TNS2;CDK5RAP2;CEP68;PRKCD;ADAM10;UNC5C;VRK2;PRKAB1;YWHAZ;CDC25A;DNM1;PARP8;TOM1L1;KAT2B;GPRC5B;SIKE1;FRMD5;TRIB3;MAPRE3;UBE2V1;ATF5;UTRN;MAPRE1;SKAP1;LLGL1;PPP1R15A;CEBPA;CTBP2;MVP;IQGAP1;FOXO3;EGFR;CCNB1;BAG5;SOCS1;HSF1;FLNA;RICTOR;RBBP6;CEP192;FAM83D;SASH1;BARD1;PTPN1;CDKN2C;SMAD3;FZD5;ERCC6L2;CAV2;RCC2;STAT3;NBEAL1;MSN;TPCN2;USF1;SKI;TPX2;PER1;IBTK;NR4A3;DLG4;SNAI1;SPRY2;GRB2;PTPN5;CALM2;FERMT2;LIMS1;BCL2L1;MAP3K12;CDK5R1
Protein Tyrosine Kinase Activity (GO:0004713)	28/99	0.000218636532016674	0.0300106525660706	0	0	2.38083949239994	20.0659530356346	DDR1;PKDCC;FLT1;SRC;EGFR;IGF1R;ERBB3;ERBB4;ABL1;ABL2;JAK2;JAK1;LYN;EPHA4;MUSK;RYK;TNK2;DYRK1A;HIPK3;BCR;HCK;FER;WEE1;AXL;TYRO3;TEK;MET;FGFR1
Protein Kinase Binding (GO:0019901)	102/511	0.000230597769442913	0.0300106525660706	0	0	1.515439645024	12.691557923679	ATF2;UGT1A10;TFRC;MAML1;PEBP1;ACTB;PPP1CB;ZFP36;CCND3;CCND1;CDK5RAP2;ACVR1;EPHA4;PRKCD;ADAM10;UNC5C;VRK2;PRKAB1;CDC25A;TOM1L1;FRMD5;MAPKAPK3;PKP2;TRIB3;UBE2V1;UTRN;TRIB2;SKAP1;LLGL1;KHDRBS1;CTBP2;IQGAP1;FOXO3;CCNB1;BAG5;SOCS1;CEP192;FAM83D;SMAD3;FZD5;CAV2;RCC2;NBEAL1;MSN;TPX2;IBTK;NR4A3;GRB2;CALM2;FERMT2;BCL2L1;MAP3K12;PRR7;BMPR2;PRKAG2;PTPRJ;PTPRK;CASP9;GHR;HINT1;SPRED1;RB1CC1;TRIM68;KIF13B;PRKG2;ITGAV;SCN5A;JAK2;YWHAG;CEP68;YWHAZ;DNM1;PJA2;KAT2B;GPRC5B;SIKE1;BANK1;MAPRE3;MAPRE1;PPP1R15A;MVP;NEDD9;XIAP;PPM1D;HSF1;MARVELD3;RICTOR;RBBP6;PDLIM5;SASH1;SPAG9;PTPN1;CDKN2C;ERCC6L2;STAT3;TPCN2;USF1;SKI;SPRY2;PTPN5;LIMS1;CDK5R1
Phosphatase Activity (GO:0016791)	24/83	0.00041893684004489	0.0458832711622192	0	0	2.45403619649526	19.0869791437373	HDDC2;DUSP5;RNGTT;PTPRM;PTPN22;PTPRJ;HDHD2;APTX;PPP1CA;DUSP11;PPP1CB;NT5C;NANP;PHOSPHO1;NT5E;ACP6;NOCT;ENPP1;PLPP3;LPIN1;ENOPH1;LPIN2;FRA10AC1;POLG
GTPase Binding (GO:0051020)	51/225	0.000453292470318302	0.0458832711622192	0	0	1.77324973876698	13.6522018804744	USP6NL;DOCK5;RTKN;DENND5B;LRRK2;DOCK7;BRK1;FNBP1L;TRIOBP;BICD2;AKAP13;GOLGA5;ARHGDIB;DENND5A;DNM1L;GIT1;PLEKHG2;RABGGTB;SIKE1;CDC42EP4;RAB34;RASA1;RRAGD;CDC42EP3;PEX5;EXOC5;RIN2;RAPGEF6;RAPGEF4;IQGAP1;IQGAP2;RASIP1;STRN3;MICALL1;FLNA;SH3BP4;RAB11FIP3;RILP;SPTBN1;RABGAP1L;HACE1;RCC2;BNIP3;HPS4;MYO5A;SORL1;MYO1C;ABI2;SGSM2;RADIL;PICALM
Actin Binding (GO:0003779)	43/183	0.000557653300269577	0.0508022156545585	0	0	1.85661469706973	13.9093360712466	MACF1;SPTBN4;PLEKHH2;TLNRD1;LRRK2;ARPC1A;HNRNPU;CACNA1A;CXCR4;IQGAP2;ADCY8;SYNE2;LIMA1;ABLIM1;RUSC1;CALD1;TMSB4X;MYO6;ABL1;ABL2;PHACTR1;EPS8L3;SYNPO;PDLIM5;SPTBN1;TMOD1;TPM2;TPM1;SHROOM2;MSN;PARVA;CORO2B;MTSS1;GIPC1;MYH9;ANG;TLN2;CORO7;UTRN;ALDOA;VCL;FERMT2;PFN2
