Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
TGF Beta Signaling Pathway WP113	27/52	1.65847220727874e-10	2.76964858615549e-08	0	0	6.53535524920467	147.175900294321	LEF1;THBS1;LTBP1;SPP1;ITGB6;SKIL;JAK1;TGIF1;SMAD1;JUN;SMAD3;FST;TFE3;STAT3;LIF;SMAD9;FOS;INHBA;SMAD6;RUNX3;RUNX2;TGFBR2;SMAD7;SKI;BMP4;FKBP1A;ZEB2
Focal Adhesion WP85	54/185	1.14910357141903e-07	9.5950148213489e-06	0	0	2.5028523791621	39.9933622795899	MYLK2;FLT1;ITGB5;ITGA2B;PIK3CD;PIK3CB;LAMC1;ACTB;CCND3;CCND1;AKT3;TNR;ITGAV;ITGB6;VWF;ACTN1;HGF;PGF;VAV1;RHOB;HCK;COL4A1;ITGA8;RAPGEF1;ITGA5;MET;VCL;BIRC3;LAMA5;LAMA2;ROCK2;SRC;COL11A1;PXN;PDGFA;THBS1;EGFR;RAP1B;PDGFC;SPP1;FLNA;MAPK1;VASP;JUN;CAV2;TNK2;VEGFD;LAMB1;COL1A1;DIAPH1;COL3A1;ITGA11;BCL2;GRB2
Insulin Signaling WP65	45/159	3.17333753172323e-06	0.00017664912259926	0	0	2.39145087906533	30.2775059360753	SNAP25;PRKAA1;RRAD;SRF;SLC2A1;PIK3CD;CBLB;PIK3CB;FOXO3;CBL;FOXO1;IGF1R;RPS6KA3;SOCS1;KIF5B;RPS6KA2;RPS6KA1;EIF4EBP1;ENPP1;MAPK1;MAP3K9;STX4A;MAP4K3;EGR1;PTPN1;PRKCI;XBP1;JUN;PRKCD;MINK1;FOS;MAPK14;EHD2;MYO1C;TBC1D4;RHEB;RHOJ;RAPGEF1;TRIB3;GRB2;SGK1;SOS2;RHOQ;MAP3K12;ARF6
PluriNetWork WP1763	69/292	1.21328451211768e-05	0.000499074755553048	0	0	1.87859552921073	21.2649392633671	ATF2;INS1;BMPR2;JADE1;HNRNPU;PIK3CD;RBPJ;ZMYM2;CCND1;PPP2R1A;SALL3;SIN3A;TRIM24;JAK1;ACVR1;KDM6B;CUBN;MEF2C;TLE2;EED;IGFBP3;TFE3;FOS;ETV5;HCFC1;HCK;CREB1;SGK1;STK40;CD44;KDM3A;NOTCH1;CTBP2;ROCK2;LEF1;LRP5;NEDD4L;TWIST1;RNF2;SOCS2;RRAS;LEO1;SPP1;EP400;MAPK1;FZD1;GADD45GIP1;SMAD1;TCF7L1;SMAD3;POU2F1;SMURF1;H3F3A;STAT3;SMARCA5;LIF;WWP2;INHBB;NR2F2;KLF4;SMARCA2;GATAD2A;SMAD7;BMP4;KLF5;ID1;CDK2AP1;GRB2;FGFR1
EGFR1 Signaling Pathway WP572	47/178	1.49423579506901e-05	0.000499074755553048	0	0	2.17297997983581	24.1446554024599	USP6NL;CEBPA;SH3KBP1;SRC;PXN;PEBP1;PIK3CD;CBLB;ASAP1;PIK3CB;CBL;FOXO1;EGFR;CASP9;RPS6KA3;GJA1;SOCS1;SIN3A;RPS6KA2;RPS6KA1;MAPK1;JAK2;RALGDS;GIT1;JAK1;TGIF1;PRKCI;JUN;SMAD3;CAV2;TNK2;STAT3;FOS;PTPN12;MAPK14;DNM1;VAV1;CREB1;RASA1;SPRY2;GRB2;PKN2;PRKD1;RAB5A;SOS2;PTPN5;PLEC
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	74/324	2.10099978360837e-05	0.000584778273104329	0	0	1.79749245147376	19.3599142811247	ATF2;INS1;FLT1;HSP90AB1;CSF1;ITGB5;ITGA2B;SLC2A1;SLC2A2;PIK3CD;SLC2A3;PIK3CB;LAMC1;FGF1;FGF2;IGF1R;GHR;CASP9;PPP2R1A;CREB3L1;CREB3L2;AKT3;TNR;ITGAV;IKBKG;ITGB6;JAK2;JAK1;RAB2A;VWF;HGF;F2R;PGF;TBC1D1;CREB1;COL4A1;DDIT4;ITGA8;ITGA5;MET;CREB5;LAMA5;PRKAA1;PHLPP1;LAMA2;EPAS1;COL11A1;LPAR2;PDGFA;IL6RA;LPAR4;FOXO3;EFNA5;THBS1;EGFR;FOXO1;PDGFC;SPP1;EIF4EBP1;MAPK1;ANGPT1;VEGFD;LAMB1;PPP2R3A;GNG11;COL1A1;RAB10;COL3A1;KITL;RHEB;ITGA11;GRB2;TEK;FGFR1
Spinal Cord Injury WP2432	30/99	3.24067575150426e-05	0.00077313264357316	0	0	2.62700390781255	27.1557166108409	BTG2;ROCK2;CXCL2;NTN1;EFNB2;PPP3CA;ZFP36;GJA1;CCND1;E2F1;MAPK1;SLIT3;SLIT2;E2F5;EPHA4;EGR1;ANXA1;IL1R1;BDNF;FOS;RHOB;FKBP1A;IL6;VCAN;GDNF;COL4A1;CDK4;CDK1;CD47;VIM
Delta-Notch Signaling Pathway WP265	26/83	5.7040644359179e-05	0.00119072345099786	0	0	2.75408840121505	26.9122536547855	APP;NOTCH3;NOTCH1;MAML1;NOTCH4;FHL1;LEF1;RBPJ;EGFR;HEY1;POFUT1;SIN3A;MAPK1;HIVEP3;JAK2;SMAD1;MEF2C;JUN;TLE1;SMAD3;JAG1;STAT3;ADAM10;NCOR2;ADAM17;MAML3
Alpha6-Beta4 Integrin Signaling Pathway WP488	22/67	9.51457182190564e-05	0.00176548166028694	0	0	2.9497216341253	27.3147201522966	LAMA5;RTKN;CD151;SMAD3;DST;LAMA2;SRC;PRKCD;ERBIN;PIK3CD;LAMB1;PIK3CB;LAMC1;YWHAZ;NTN1;EGFR;EIF4EBP1;ABL1;GRB2;VIM;MET;PLEC
Primary Focal Segmental Glomerulosclerosis FSGS WP2573	22/72	0.00030709246501748	0.00512844416579192	0	0	2.65397318278052	21.4662949561668	KIRREL3;LAMA5;NOTCH1;CD151;JAG1;LRP5;PARVA;DNM1;CD2AP;LRP6;CDH2;PODXL;FAT1;MYH9;COL4A5;ITGAV;VIM;SYNPO;UTRN;VCL;CDK5RAP2;LIMS1
