SYMBOL,in_male_CC,in_female_CC,kd3_male_log2FoldChange,kd3_male_pvalue,kd3_male_padj,kd3_male_sig,kd3_female_log2FoldChange,kd3_female_pvalue,kd3_female_padj,kd3_female_sig,description,gene_biotype,GO_Term_Description,Overall_pvalue_M,Expression_HR_M,Expression_pvalue_M,Recurrence_Recurrent_HR_M,Recurrence_Recurrent_pvalue_M,Recurrence_Secondary_HR_M,Recurrence_Secondary_pvalue_M,Age_HR_M,Age_pvalue_M,Subtype_Mesenchymal_HR_M,Subtype_Mesenchymal_pvalue_M,Subtype_Proneural_HR_M,Subtype_Proneural_pvalue_M,MGMT_Unmethylated_HR_M,MGMT_Unmethylated_pvalue_M,Overall_pvalue_F,Expression_HR_F,Expression_pvalue_F,Recurrence_Recurrent_HR_F,Recurrence_Recurrent_pvalue_F,Recurrence_Secondary_HR_F,Recurrence_Secondary_pvalue_F,Age_HR_F,Age_pvalue_F,Subtype_Mesenchymal_HR_F,Subtype_Mesenchymal_pvalue_F,Subtype_Proneural_HR_F,Subtype_Proneural_pvalue_F,MGMT_Unmethylated_HR_F,MGMT_Unmethylated_pvalue_F
Il18rap,FALSE,TRUE,-0.208315898428918,0.524241631788282,0.799504873671621,Not DE,-0.913111694974297,0.00353285707088384,0.0285331297856083,Down after KD,interleukin 18 receptor accessory protein [Source:MGI Symbol;Acc:MGI:1338888],protein_coding,signal transduction; cell population proliferation; immune system process; inflammatory response; positive regulation of natural killer cell mediated cytotoxicity; cellular response to interleukin-18; interleukin-18-mediated signaling pathway; response to interleukin-18; neutrophil activation; cellular response to hydrogen peroxide; cellular response to cytokine stimulus,0.0012247557953075244,1.3149439184151401,0.09666695762112916,0.3500536667821052,0.093620432857843,0.5414256559359313,0.553703655817995,1.0280581616000914,0.0013416628467660698,0.8955662089660034,0.6154733067764241,1.2085161266530076,0.4163883996791151,1.213791244688053,0.30913535890584015,0.008308628147600949,1.112247928120132,0.701625078846923,0.4668223099271536,0.12848319255152044,0.6620053458868509,0.5879368954486089,1.0266832582345835,0.005308540796559129,0.7727929988974063,0.3803123441508905,0.6264507399023209,0.09370538095507401,1.2462838923449648,0.332259572801044
Col3a1,FALSE,TRUE,0.352246147400645,0.0501088741049062,0.243664533852498,Not DE,0.66018359355945,2.34291423978854e-4,0.00339077331349568,Up after KD,"collagen, type III, alpha 1 [Source:MGI Symbol;Acc:MGI:88453]",protein_coding,in utero embryonic development; gene expression; lung development; cellular response to amino acid stimulus; aorta smooth muscle tissue morphogenesis; multicellular organism growth; tissue homeostasis; cartilage development; skeletal system development; cerebral cortex development; collagen fibril organization; fibroblast proliferation; extracellular matrix organization; blood vessel development; chondrocyte differentiation; cell-matrix adhesion; integrin-mediated signaling pathway; transforming growth factor beta receptor signaling pathway; skin development; heart development; aorta development; digestive tract development; peptide cross-linking; response to cytokine; positive regulation of Rho protein signal transduction; wound healing; neuron migration; response to radiation; supramolecular fiber organization; layer formation in cerebral cortex; skeletal system morphogenesis; response to angiotensin; negative regulation of immune response; transforming growth factor beta1 production; limb joint morphogenesis; elastic fiber assembly; endochondral bone morphogenesis; basement membrane organization; negative regulation of neuron migration,0.0013343053450958953,1.0808040134778083,0.13358060889317536,0.3938624878096438,0.1411775588611998,0.40133186331587123,0.37749730304943907,1.0272646343352598,0.0017032351120671637,0.8405967033750662,0.45896811890053435,1.2492561443489743,0.338292048461466,1.2496610251486882,0.24195914681748526,0.008663386638286062,0.9892713723951125,0.8519297303216009,0.4612789681494314,0.1280096806802388,0.6288707753964164,0.54365816419463,1.0266263994063758,0.0054476589180095306,0.8141326953579159,0.475454720449465,0.6358323504229826,0.1013459363571366,1.2418296231171722,0.33908177188300526
Tmeff2,FALSE,TRUE,9.60291379630982e-4,0.995513815414385,0.998745787741192,Not DE,0.5293776371125,1.58615511276945e-7,6.62710178564877e-6,Up after KD,transmembrane protein with EGF-like and two follistatin-like domains 2 [Source:MGI Symbol;Acc:MGI:1861735],protein_coding,"response to stress; cell differentiation; negative regulation of cell migration; wound healing, spreading of cells; negative regulation of integrin biosynthetic process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nab1,FALSE,TRUE,-0.175953485864027,0.0255644634229804,0.159990094387712,Not DE,-0.648599214798869,1.37373767201847e-13,2.00531780666005e-11,Down after KD,Ngfi-A binding protein 1 [Source:MGI Symbol;Acc:MGI:107564],protein_coding,regulation of DNA-templated transcription; negative regulation of DNA-templated transcription; endochondral ossification; Schwann cell differentiation; regulation of epidermis development; myelination,0.0029807754303691203,0.9213584860365199,0.634581768028208,0.3326439911439438,0.0824110283487681,0.4674577670262084,0.46098874521349925,1.026826254261159,0.0021913902453932284,1.009558607449346,0.9641180425443803,1.2533048132405884,0.35183900528741885,1.219352387486628,0.29589547404155725,0.0024918174466185754,1.3997962011137537,0.06529356304769593,0.37919601932648844,0.05679556113636116,0.6771639493280683,0.6097135567406919,1.0269711546497102,0.0038242271166415323,0.7711062830014985,0.3480329402281849,0.5658687625564344,0.044196071119534684,1.246053972369374,0.32799157934100587
Igfbp2,FALSE,TRUE,0.178792840411719,0.024442375159483,0.154533060914503,Not DE,0.510084497882017,2.00086001653917e-29,1.02861603632866e-26,Up after KD,insulin-like growth factor binding protein 2 [Source:MGI Symbol;Acc:MGI:96437],protein_coding,positive regulation of activated T cell proliferation; osteoblast differentiation; negative regulation of osteoblast differentiation; regulation of insulin-like growth factor receptor signaling pathway; female pregnancy; response to nutrient; response to xenobiotic stimulus; response to mechanical stimulus; response to estradiol; response to retinoic acid; cellular response to hormone stimulus; response to estrogen; response to steroid hormone; response to glucocorticoid,0.0017535032617815,1.0930408281590465,0.21995198229547064,0.32887615545160886,0.0759603012646216,0.43834718694024044,0.4234753918630118,1.024880771582231,0.004211488995185872,1.0311374968292184,0.884166720068836,1.3168613836328786,0.2518488020107433,1.200317637698667,0.3372476363966218,0.008592317784329832,1.0174901390813902,0.813686290990229,0.48166444351820026,0.1568301243535399,0.6312006379778945,0.5450196829403934,1.0266500715337408,0.0055766301447571194,0.8211093558320683,0.5027101828943809,0.6403687738272404,0.10899929659768232,1.2301275163860417,0.36658802531301443
Col4a4,FALSE,TRUE,-0.0366361366683324,0.912748225340764,0.970153980883464,Not DE,1.23627209455081,0.0287216623459137,0.133387641625328,Up after KD,"collagen, type IV, alpha 4 [Source:MGI Symbol;Acc:MGI:104687]",protein_coding,collagen fibril organization; glomerular basement membrane development,0.002854469696540989,0.8947445894298817,0.5686000726704448,0.31152006819279804,0.061507132935214884,0.4643494129636631,0.45680413352482996,1.0267163781204733,0.0021666835741094384,0.9819165845513416,0.930304829839277,1.2570568592798155,0.34033109609161977,1.2126335021476862,0.3103724965101008,0.001128355836409581,1.6679260793852015,0.0131141698799293,0.4645393708901553,0.1285057637891663,0.8119874331730099,0.7852848652830671,1.031318647721956,0.0014123407928970785,0.7951831384819321,0.41093286424900205,0.554164932038788,0.03906471377603988,1.3500534957482546,0.19679396794713286
Dner,FALSE,TRUE,0.475463766569686,0.573173433687143,0.830230585016025,Not DE,1.16244014457372,3.12562370840495e-7,1.19991476390195e-5,Up after KD,delta/notch-like EGF repeat containing [Source:MGI Symbol;Acc:MGI:2152889],protein_coding,nervous system development; cell differentiation; Notch signaling pathway; glial cell differentiation; skeletal muscle fiber development; Notch receptor processing; central nervous system development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sned1,FALSE,TRUE,-0.917028519326871,0.408052624764836,0.724102958354833,Not DE,1.85105570187085,1.58908118612531e-8,8.82126570175851e-7,Up after KD,"sushi, nidogen and EGF-like domains 1 [Source:MGI Symbol;Acc:MGI:3045960]",protein_coding,cell-matrix adhesion,3.0165786893587593e-4,1.551405326686119,0.008374135212402227,0.30369774039859465,0.05678964842976784,0.4773966883016559,0.47330345379200167,1.0279059156857968,0.001498374636249304,0.9262272758889184,0.7177669632438145,1.330006440814907,0.22588027167204777,1.2341902999955223,0.2701571195751775,0.0025697836606057996,1.754760540793327,0.06961701131846205,0.485775938583163,0.1505263211299784,0.6991115769769813,0.6371215546646019,1.0280578890641228,0.003462587357943985,0.831281729418661,0.5040892513664319,0.6409905774795158,0.1060390436825586,1.1771021650854587,0.47504564487425194
Pam,FALSE,TRUE,0.452079864438524,0.0036834936780627,0.0422918469899771,Not DE,0.631085620330361,2.60054550441133e-4,0.00367369773526399,Up after KD,peptidylglycine alpha-amidating monooxygenase [Source:MGI Symbol;Acc:MGI:97475],protein_coding,peptide metabolic process; lipid metabolic process; regulation of transcription by RNA polymerase II; protein maturation; proteasome-mediated ubiquitin-dependent protein catabolic process; regulation of actin cytoskeleton organization; cellular response to oxidative stress; response to pH; response to zinc ion; response to xenobiotic stimulus; peptide amidation; long-chain fatty acid metabolic process; toxin metabolic process; fatty acid primary amide biosynthetic process,0.0030552390026815984,1.0546740437703936,0.6854283024048518,0.30923111374992024,0.06026885865653898,0.4389024586974008,0.4262133582082715,1.0263721143969837,0.0023532089798487046,1.0039872495990392,0.9849024160594609,1.2362661878775654,0.3712388733304462,1.233617884974959,0.2735374676923834,0.008724308301249718,0.9683537074671398,0.8977407508347623,0.4616136515842704,0.1304390161371839,0.6071004680710529,0.5662905899267034,1.0266906677215966,0.005319455828062616,0.8034504584525917,0.42964826438921644,0.6207228131934258,0.15046865765182116,1.2411555764437077,0.3399087440124104
Tmem163,FALSE,TRUE,0.0685297790905772,0.915529359476235,0.971172679917859,Not DE,0.818712158472427,2.27581227916145e-9,1.52029403326582e-7,Up after KD,transmembrane protein 163 [Source:MGI Symbol;Acc:MGI:1919410],protein_coding,myelination; zinc ion import into synaptic vesicle; intracellular zinc ion homeostasis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
