SYMBOL,in_male_CC,in_female_CC,kd3_male_log2FoldChange,kd3_male_pvalue,kd3_male_padj,kd3_male_sig,kd3_female_log2FoldChange,kd3_female_pvalue,kd3_female_padj,kd3_female_sig,description,gene_biotype,GO_Term_Description,Overall_pvalue_M,Expression_HR_M,Expression_pvalue_M,Recurrence_Recurrent_HR_M,Recurrence_Recurrent_pvalue_M,Recurrence_Secondary_HR_M,Recurrence_Secondary_pvalue_M,Age_HR_M,Age_pvalue_M,Subtype_Mesenchymal_HR_M,Subtype_Mesenchymal_pvalue_M,Subtype_Proneural_HR_M,Subtype_Proneural_pvalue_M,MGMT_Unmethylated_HR_M,MGMT_Unmethylated_pvalue_M,Overall_pvalue_F,Expression_HR_F,Expression_pvalue_F,Recurrence_Recurrent_HR_F,Recurrence_Recurrent_pvalue_F,Recurrence_Secondary_HR_F,Recurrence_Secondary_pvalue_F,Age_HR_F,Age_pvalue_F,Subtype_Mesenchymal_HR_F,Subtype_Mesenchymal_pvalue_F,Subtype_Proneural_HR_F,Subtype_Proneural_pvalue_F,MGMT_Unmethylated_HR_F,MGMT_Unmethylated_pvalue_F
Pcmtd1,TRUE,FALSE,0.538152041687198,0.00683135474163495,0.0652115846195041,Up after KD,0.229803882705092,0.222088053908135,0.482782248123557,Not DE,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773],protein_coding,protein modification process; protein ubiquitination; methylation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pard3b,TRUE,FALSE,0.838705391114612,0.00451823606891986,0.0491656588282366,Up after KD,0.298057729271605,0.218738390988072,0.479252889473827,Not DE,par-3 family cell polarity regulator beta [Source:MGI Symbol;Acc:MGI:1919301],protein_coding,cell division; microtubule cytoskeleton organization; cell adhesion; protein localization; establishment of cell polarity; establishment or maintenance of epithelial cell apical/basal polarity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idh1,TRUE,FALSE,0.883670914219556,1.15689564456506e-10,1.53164719800096e-8,Up after KD,0.164422236322166,0.205532187080542,0.463370729410027,Not DE,"isocitrate dehydrogenase 1 (NADP+), soluble [Source:MGI Symbol;Acc:MGI:96413]",protein_coding,isocitrate metabolic process; glyoxylate cycle; tricarboxylic acid cycle; 2-oxoglutarate metabolic process; response to oxidative stress; glutathione metabolic process; NADP+ metabolic process; regulation of phospholipid catabolic process; regulation of phospholipid biosynthetic process; NADPH regeneration; female gonad development; response to steroid hormone,7.449976656633818e-4,1.4383596415414324,0.05541663795418355,0.3271586661592833,0.07327122898060855,0.46065011837112946,0.452404247059937,1.025831700706691,0.0026525300248280196,1.011917437380522,0.9547002806677283,1.2932309792791046,0.2721156207968346,1.159141256744386,0.44137912709379284,0.008779382321558922,1.0010991998519128,0.9963383771103056,0.4673492304605831,0.129779327639553,0.6406967998329952,0.5567979811759133,1.0266445924193335,0.005408234750087169,0.8019932173066607,0.4256001892638671,0.6357594284929858,0.11951995929303517,1.2413248165556354,0.3443847699595297
Ackr3,TRUE,FALSE,0.842907140222077,0.0420809847852594,0.220850699290642,Up after KD,0.637279781108346,0.395526087444397,0.660506394589355,Not DE,atypical chemokine receptor 3 [Source:MGI Symbol;Acc:MGI:109562],protein_coding,G protein-coupled receptor signaling pathway; chemotaxis; angiogenesis; vasculogenesis; negative regulation of cell population proliferation; immune response; cell adhesion; signal transduction; positive regulation of ERK1 and ERK2 cascade; cell chemotaxis; positive regulation of cytosolic calcium ion concentration; chemokine-mediated signaling pathway; receptor internalization; calcium-mediated signaling; oculomotor nerve development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D2hgdh,TRUE,FALSE,0.757548415125857,0.00623073659541315,0.061647706118852,Up after KD,0.0103050506916905,0.967989866697877,0.988368552821403,Not DE,D-2-hydroxyglutarate dehydrogenase [Source:MGI Symbol;Acc:MGI:2138209],protein_coding,protein destabilization; response to zinc ion; malate metabolic process; lactate metabolic process; response to manganese ion; response to cobalt ion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dsel,TRUE,FALSE,-0.933943922858267,0.00242964206192804,0.0317136729703072,Down after KD,-0.16780330171874,0.523459539869055,0.755540234303187,Not DE,dermatan sulfate epimerase-like [Source:MGI Symbol;Acc:MGI:2442948],protein_coding,chondroitin sulfate proteoglycan metabolic process; dermatan sulfate proteoglycan metabolic process,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyrk3,TRUE,FALSE,-0.703009620634239,1.33979666426078e-7,8.37071837260906e-6,Down after KD,-0.312265727829075,0.0370445148479099,0.159292694885743,Not DE,dual-specificity tyrosine phosphorylation regulated kinase 3 [Source:MGI Symbol;Acc:MGI:1330300],protein_coding,"protein phosphorylation; cell division; negative regulation of apoptotic process; regulation of cellular response to stress; erythrocyte differentiation; stress granule disassembly; peptidyl-tyrosine phosphorylation; positive regulation of cell cycle G2/M phase transition; organelle disassembly; nuclear speck organization; negative regulation of DNA damage response, signal transduction by p53 class mediator",2.5530002245239227e-5,0.4677957641248848,6.035223731985215e-4,0.28635006968480137,0.0511065988575533,0.33866763674925676,0.29601750230312096,1.0202958455898434,0.021966225987994886,1.5390264947924994,0.07561479023388709,1.5271792370853317,0.08199288495434158,1.0930515839809207,0.6454594509406903,0.00758477446593134,1.1583549793190218,0.5333072536210185,0.44737953290653204,0.11284508874493819,0.6530290386337125,0.5736096763450782,1.02693166980397,0.004996836079277563,0.7162718663723061,0.31615286315843005,0.6058050413075737,0.08111068499851941,1.2184324771356845,0.38897178390168136
Prelp,TRUE,TRUE,0.941383685032617,1.96379990215739e-9,2.04106716933573e-7,Up after KD,0.949974698144177,5.38435873359848e-53,9.09495109515263e-50,Up after KD,proline arginine-rich end leucine-rich repeat [Source:MGI Symbol;Acc:MGI:2151110],protein_coding,cellular senescence,0.0031603025736255527,0.9610705686722419,0.7780798690787183,0.30188330540831126,0.060871253337064286,0.443847619342979,0.43249918686808764,1.0260115185109875,0.0027498115382901295,0.9849839749717514,0.942353626881562,1.2121949149334614,0.407940262970006,1.2141299323782933,0.30964003501189047,0.004501636977652962,1.3126292332807679,0.1833812048373543,0.5657595353579614,0.2717490683073383,0.6999511917406419,0.6357108808582412,1.0311611803022678,0.0021574590933923997,0.7901471152050378,0.39799380944321533,0.6924325809878897,0.19458876494605126,1.2869417684130071,0.2696293434491791
Tnnt2,TRUE,FALSE,-0.968244319598047,3.24612496753159e-7,1.80500778819594e-5,Down after KD,-0.706646134424463,6.64865915576946e-4,0.00790087898068523,Down after KD,"troponin T2, cardiac [Source:MGI Symbol;Acc:MGI:104597]",protein_coding,regulation of muscle contraction; response to bacterium; heart development; muscle filament sliding; muscle contraction; sarcomere organization; response to calcium ion; cardiac muscle contraction; regulation of heart contraction; positive regulation of ATP-dependent activity; negative regulation of ATP-dependent activity; ventricular cardiac muscle tissue morphogenesis; actin crosslink formation; atrial cardiac muscle tissue morphogenesis; regulation of muscle filament sliding speed,0.002876503470580745,0.8610125112596593,0.5759946702185158,0.30875491641463343,0.05942305008953411,0.430205272113192,0.4153685472710971,1.025894578167187,0.0027598236115886038,1.0056402385296608,0.9786133411936371,1.2257885656161238,0.3828216062008776,1.2387284783833403,0.26541547272450255,0.006983744754345139,1.4461805312508274,0.4312702981471991,0.43774890094183705,0.10488262824065478,0.6208144737295731,0.5278034084061304,1.0278803845690476,0.004341513224364848,0.780172471978331,0.3761303479939649,0.6188261532477926,0.08479659300117612,1.2745914314117062,0.29051734878663565
Kif21b,TRUE,FALSE,2.4639060381079,0.00161665828170526,0.0232886745477257,Up after KD,0.104121138261817,0.824137047179969,0.928029864710748,Not DE,kinesin family member 21B [Source:MGI Symbol;Acc:MGI:109234],protein_coding,microtubule-based movement,0.0011761701857845527,1.160145608785419,0.10764614345393152,0.3275374078130301,0.07376196340356186,0.5110451998622106,0.5158844020491622,1.0291144249445214,0.001094196989489783,1.055363684342492,0.7997237430415477,1.0600400309104596,0.8147323458253266,1.267025166061526,0.2210351683584715,0.005308761318987614,0.8717534045425884,0.25776174985582623,0.4139780928052686,0.08518455307304194,0.5898611982416336,0.49168621175379457,1.0253562776814151,0.008297039089747152,0.8334792625350516,0.5121742820474343,0.7963120033091821,0.502414800808184,1.2426062806173956,0.33864531605385334
