Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Metalloendopeptidase Activity (GO:0004222)	19/101	2.01157181675653e-06	0.000706445164781552	0	0	4.06135032020711	53.27108382314	MMP2;ECE1;ECE2;ADAMTS12;ADAMTS10;ADAM19;ADAMTS5;MMP11;ADAMTS2;MMP14;BMP1;ADAM15;MMP16;ADAMTS1;ADAM12;MMP19;TLL1;TRABD2B;ADAMTS6
Cadherin Binding (GO:0045296)	39/319	2.18713673306982e-06	0.000706445164781552	0	0	2.46155123339658	32.0811936481394	LRRC59;RAB1A;AHNAK;DOCK9;ARHGAP1;CAPG;ZC3HAV1;CLINT1;EGFR;PDLIM1;DNAJB1;LASP1;EFHD2;TRIM25;FLNB;RPL15;YKT6;CAST;ANXA1;ANXA2;IDH1;MRTFB;PRDX6;EHD1;PTPRB;MYO1B;GPRC5A;P2RX4;STK24;CDH11;PLIN3;PKP1;FXYD5;PHLDB2;CC2D1A;DBN1;VCL;CDH18;EPHA2
Platelet-Derived Growth Factor Binding (GO:0048407)	6/10	4.56362388219799e-06	0.0009827003426333	0	0	26.0850965961362	320.778698346696	PDGFRB;COL3A1;COL1A2;COL5A1;COL4A1;COL6A1
Metallopeptidase Activity (GO:0008237)	19/124	4.29363623038788e-05	0.00693422251207642	0	0	3.16784605834885	31.8551994190011	MMP2;ECE1;ECE2;ADAMTS12;ADAMTS10;ADAM19;ADAMTS5;MMP11;ADAMTS2;MMP14;BMP1;ADAM15;MMP16;ADAMTS1;ADAM12;MMP19;TLL1;TRABD2B;ADAMTS6
GTPase Regulator Activity (GO:0030695)	40/424	0.000566295755166699	0.0642826559628667	0	0	1.83236388097499	13.699474473236	ARF4;SEC23A;TBC1D9B;ARHGEF25;DOCK9;ARHGEF28;MYCBP2;ARHGAP1;ARRB1;KALRN;IPO5;ARHGAP22;SH3BP1;OPHN1;SH3BP5;EVI5L;EIF2B5;TBC1D8B;RAP1GAP2;FARP1;ARHGEF10;STARD13;VPS9D1;DIS3;HPS1;ARAP1;GMIP;ARFGAP3;RHOD;ARHGAP23;TIAM1;RABIF;BMP1;TBC1D4;RASA4;ALDH1A1;CDC42EP2;RAB3GAP2;RANGRF;ARHGEF5
Calcium Ion Binding (GO:0005509)	34/346	0.000702017743297485	0.0642826559628667	0	0	1.91348272438924	13.8948540725416	SPARC;LRP1;CIB2;THBS1;S100A16;S100A13;EFHD2;MAN1C1;CAPN1;TGM2;SLC25A24;ANXA1;GSN;ANXA2;GLCE;ANXA4;ANXA5;HPCAL1;ANXA11;PLA2G4A;ASPN;SMOC2;PITPNM1;PLSCR3;ASPH;CDH11;CALU;MICU3;MICU2;ESYT1;FKBP9;ITGA5;CDH18;FBN1
Transmembrane Receptor Protein Kinase Activity (GO:0019199)	8/37	0.000724145331797903	0.0642826559628667	0	0	4.79974574924519	34.7046502009648	FLT1;AXL;ERBB2;ROR2;BMPR1B;EPHA1;EGFR;EPHA2
Protein Tyrosine Phosphatase Activity (GO:0004725)	12/76	0.000810859173168158	0.0642826559628667	0	0	3.26832793709528	23.2620500914658	DUSP4;DUSP22;PTPRD;PTPRB;PTPRZ1;EYA2;PTPRN;EYA4;PTPN13;TNS2;MTMR6;PTPRG
Phospholipase Inhibitor Activity (GO:0004859)	4/9	0.000895578798244273	0.0642826559628667	0	0	13.885766758494	97.4508713568391	ANXA1;ANXA2;ANXA4;ANXA5
Wnt Receptor Activity (GO:0042813)	5/16	0.00127148198695783	0.0815186437463008	0	0	7.89438502673797	52.6363816664572	FZD7;FZD6;LRP5;NID1;TSPAN12
